sku,ean,product_name,brand,category,subcategory,color,supplier_id,origin_country,unit_cost,list_price,vat_rate,weight_kg,stock_qty,reorder_level,warranty_months,discontinued
SKU-0079,4000000000079,Office Item 79,Plain,Office,Toner,grey,17,DE,179.98,277.85,0.19,26.474,44,50,36,false
SKU-0080,4000000000080,Office Item 80,Plain,Office,Toner,blue,4,IT,11.35,19.44,0.19,2.104,82,50,12,true
SKU-0081,4000000000081,Office Item 81,Orbit,Office,Stationery,grey,13,PL,68.9,106.44,0.19,2.822,718,10,12,false
SKU-0082,4000000000082,Office Item 82,Plain,Office,Toner,blue,13,IT,213.59,368.28,0.19,11.978,681,50,24,false
SKU-0083,4000000000083,Office Item 83,Plain,Office,Paper,black,3,DE,166.09,254.24,0.19,22.739,569,10,24,false
SKU-0084,4000000000084,Office Item 84,Plain,Office,Stationery,black,10,PL,100.95,149.26,0.19,4.375,493,25,0,false
SKU-0085,4000000000085,Office Item 85,Nordic,Office,Toner,oak,8,IT,135.28,243.42,0.07,17.071,673,50,0,false
SKU-0086,4000000000086,Office Item 86,Contour,Office,Toner,grey,1,CN,169.84,308.33,0.19,1.995,758,10,0,false
SKU-0087,4000000000087,Office Item 87,Plain,Office,Toner,grey,6,PL,54.77,79.56,0.19,21.763,581,10,0,false
SKU-0088,4000000000088,Office Item 88,Nordic,Office,Stationery,black,9,IT,182.05,305.89,0.19,17.018,424,50,12,false
SKU-0089,4000000000089,Office Item 89,Plain,Office,Paper,grey,19,IT,30.86,49.14,0.19,1.319,404,10,0,false
SKU-0090,4000000000090,Office Item 90,Helix,Office,Toner,grey,11,DE,227.1,285.02,0.19,4.961,389,25,24,true
SKU-0091,4000000000091,Food Item 91,Nordic,Food,Drinks,black,15,DE,207.38,375.43,0.19,16.077,726,100,24,false
SKU-0092,4000000000092,Food Item 92,Contour,Food,Snacks,oak,15,PL,8.92,11.66,0.07,6.851,603,100,0,false
SKU-0093,4000000000093,Food Item 93,Contour,Food,Snacks,grey,6,DE,77.22,122.15,0.07,14.88,198,50,24,false
SKU-0094,4000000000094,Food Item 94,Helix,Food,Snacks,black,5,PL,197.27,271.88,0.19,21.298,671,10,12,false
SKU-0095,4000000000095,Food Item 95,Plain,Food,Coffee,oak,15,PL,152.2,275.75,0.19,4.269,69,100,36,false
SKU-0096,4000000000096,Food Item 96,Orbit,Food,Snacks,grey,17,DE,191.93,278.64,0.19,1.101,377,50,0,false
SKU-0097,4000000000097,Food Item 97,Nordic,Food,Coffee,oak,17,IT,234.66,363.9,0.07,12.62,585,25,24,false
SKU-0098,4000000000098,Food Item 98,Nordic,Food,Drinks,black,11,DE,122.32,193.02,0.19,1.144,724,100,36,false
SKU-0099,4000000000099,Food Item 99,Contour,Food,Drinks,grey,13,IT,147.91,259.35,0.07,22.109,662,50,0,false
SKU-0100,4000000000100,Food Item 100,Plain,Food,Drinks,grey,20,CN,135.68,199.0,0.19,25.673,317,100,12,false
SKU-0101,4000000000101,Food Item 101,Contour,Food,Coffee,blue,11,CN,225.37,379.88,0.07,18.106,433,50,0,false
SKU-0102,4000000000102,Food Item 102,Helix,Food,Drinks,blue,7,CN,46.54,88.43,0.19,2.207,103,10,24,false
SKU-0103,4000000000103,Food Item 103,Orbit,Food,Drinks,white,6,CN,149.86,268.31,0.19,20.207,44,100,24,false
SKU-0104,4000000000104,Food Item 104,Plain,Food,Coffee,grey,15,CN,60.06,95.92,0.19,27.038,480,25,24,false
SKU-0105,4000000000105,Food Item 105,Plain,Food,Drinks,grey,13,IT,138.62,260.34,0.19,22.445,141,50,0,false
SKU-0106,4000000000106,Food Item 106,Orbit,Food,Snacks,oak,4,PL,210.29,274.33,0.19,7.675,525,25,36,false
SKU-0107,4000000000107,Food Item 107,Plain,Food,Drinks,black,14,DE,218.88,330.0,0.19,6.64,83,50,12,true
SKU-0108,4000000000108,Food Item 108,Contour,Food,Snacks,white,2,PL,223.67,412.96,0.19,19.505,142,100,36,false
SKU-0109,4000000000109,Food Item 109,Nordic,Food,Drinks,white,5,IT,217.78,287.96,0.19,6.692,124,10,12,false
SKU-0110,4000000000110,Food Item 110,Plain,Food,Snacks,black,16,DE,191.36,317.81,0.19,20.133,298,100,0,false
SKU-0111,4000000000111,Food Item 111,Plain,Food,Snacks,black,17,PL,60.77,78.64,0.07,10.963,481,10,36,false
SKU-0112,4000000000112,Food Item 112,Nordic,Food,Drinks,black,12,CN,63.86,110.25,0.07,21.613,752,50,12,true
SKU-0113,4000000000113,Food Item 113,Helix,Food,Coffee,blue,16,CN,132.86,236.16,0.07,20.063,468,10,24,false
SKU-0114,4000000000114,Food Item 114,Nordic,Food,Drinks,grey,17,IT,190.7,360.98,0.19,7.13,771,25,24,false
SKU-0115,4000000000115,Food Item 115,Contour,Food,Drinks,black,12,IT,188.28,344.21,0.19,25.055,395,50,12,false
SKU-0116,4000000000116,Food Item 116,Orbit,Food,Drinks,black,14,DE,121.42,185.76,0.19,15.296,328,10,0,false
SKU-0117,4000000000117,Food Item 117,Plain,Food,Coffee,blue,6,IT,73.77,109.07,0.07,20.364,361,100,24,false
SKU-0118,4000000000118,Food Item 118,Nordic,Food,Snacks,blue,12,CN,190.79,356.65,0.19,23.77,694,100,0,false
SKU-0119,4000000000119,Food Item 119,Contour,Food,Drinks,blue,19,DE,59.69,98.09,0.19,26.57,380,100,0,false
SKU-0120,4000000000120,Food Item 120,Plain,Food,Drinks,grey,8,DE,128.95,163.36,0.19,13.998,396,10,24,false
