order_id,customer_nr,order_date,promised_date,shipped_date,status,channel,priority,currency,payment_method,warehouse,billing_city,shipping_city,net_amount,discount_amount,shipping_cost,packing_cost,sales_rep_id,po_number,notes
84,51,2024-12-04,2024-12-12,2024-12-10,delivered,partner,high,EUR,sepa,MUC2,Hamburg,Hamburg,5314.67,0,7.9,2.9,11,PO-2024-00084,
85,257,2025-12-15,2025-12-18,2025-12-18,delivered,edi,high,CHF,card,CGN1,Frankfurt,Frankfurt,1220.09,40,4.9,1.5,9,PO-2025-00085,call before delivery
86,86,2024-01-24,2024-02-06,,open,store,normal,EUR,sepa,CGN1,Stuttgart,Stuttgart,839.92,15,4.9,1.5,7,PO-2026-00086,
87,68,2025-04-04,2025-04-18,2025-04-17,shipped,partner,high,EUR,prepay,MUC2,Stuttgart,Stuttgart,2969.19,80,7.9,0,8,PO-2024-00087,
88,300,2025-08-19,2025-09-01,2025-08-29,shipped,store,normal,EUR,invoice,BER3,Berlin,Berlin,2030.28,80,0,0,3,PO-2025-00088,
89,305,2025-02-16,2025-02-28,2025-02-25,delivered,store,rush,CHF,card,MUC2,Frankfurt,Frankfurt,593.2,40,7.9,2.9,12,PO-2026-00089,leave at gate
90,298,2026-06-02,2026-06-15,2026-06-14,delivered,edi,high,EUR,prepay,BER3,Hamburg,Hamburg,1685.47,80,12.9,0,3,PO-2024-00090,call before delivery
91,112,2024-03-01,2024-03-03,2024-03-02,delivered,phone,rush,EUR,sepa,CGN1,Leipzig,Leipzig,2964.43,15,7.9,2.9,3,,leave at gate
92,313,2024-06-27,2024-07-04,,open,store,rush,USD,card,MUC2,Hamburg,Hamburg,2760.01,80,7.9,2.9,1,PO-2026-00092,leave at gate
93,81,2026-06-06,2026-06-14,2026-06-12,delivered,edi,normal,CHF,sepa,HH1,Köln,Leipzig,3565.82,40,12.9,0,9,PO-2024-00093,call before delivery
94,68,2025-10-21,2025-10-31,2025-10-31,delivered,web,normal,EUR,sepa,MUC2,Stuttgart,Stuttgart,2398.22,0,4.9,2.9,8,,leave at gate
95,309,2025-09-13,2025-09-21,2025-09-20,delivered,store,normal,USD,sepa,BER3,München,München,2711.07,80,0,1.5,9,PO-2026-00095,
96,168,2024-05-27,2024-06-08,2024-06-07,shipped,web,high,EUR,invoice,HH1,Frankfurt,Frankfurt,1729.61,0,7.9,2.9,3,PO-2024-00096,
97,189,2024-09-21,2024-09-26,2024-09-25,delivered,store,rush,EUR,sepa,HH1,Leipzig,Leipzig,3278.59,0,0,0,12,,
98,239,2025-10-10,2025-10-24,2025-10-23,shipped,partner,rush,CHF,invoice,MUC2,Hamburg,Hamburg,465.73,15,0,0,3,PO-2026-00098,
99,311,2025-03-09,2025-03-20,,cancelled,partner,normal,EUR,invoice,BER3,München,München,2436.59,0,0,2.9,8,PO-2024-00099,leave at gate
100,121,2025-08-22,2025-08-25,2025-08-22,delivered,web,normal,USD,sepa,BER3,Köln,Köln,2048.72,0,0,1.5,11,PO-2025-00100,call before delivery
101,203,2025-10-12,2025-10-24,2025-10-22,shipped,partner,normal,CHF,prepay,CGN1,Berlin,Berlin,2304.41,80,7.9,0,1,,
102,3,2026-07-12,2026-07-26,,open,web,normal,CHF,invoice,CGN1,Berlin,Berlin,1758.77,80,12.9,0,4,,call before delivery
103,5,2024-05-07,2024-05-20,2024-05-20,delivered,partner,high,EUR,invoice,CGN1,Frankfurt,Frankfurt,1692.52,80,0,0,3,PO-2025-00103,leave at gate
104,19,2024-10-14,2024-10-26,2024-10-23,delivered,web,high,USD,prepay,BER3,Hamburg,Hamburg,2473.6,0,0,0,11,PO-2026-00104,
105,110,2025-01-16,2025-01-28,,open,web,high,USD,paypal,HH1,München,Leipzig,1193.9,0,7.9,0,8,,
106,189,2025-03-18,2025-03-25,2025-03-25,delivered,phone,normal,EUR,paypal,BER3,Leipzig,Leipzig,528.77,0,12.9,2.9,12,PO-2025-00106,call before delivery
107,333,2026-04-07,2026-04-12,,open,phone,high,EUR,invoice,HH1,Frankfurt,Frankfurt,1652.82,40,0,0,2,PO-2026-00107,
108,196,2026-05-10,2026-05-17,2026-05-16,shipped,web,rush,EUR,paypal,HH1,Stuttgart,Stuttgart,3096.67,0,7.9,0,10,PO-2024-00108,
109,36,2026-03-12,2026-03-23,2026-03-20,shipped,web,normal,EUR,prepay,HH1,Berlin,Berlin,2085.8,80,0,1.5,1,PO-2025-00109,
110,241,2024-08-26,2024-09-04,2024-09-01,delivered,edi,normal,EUR,invoice,BER3,Berlin,Berlin,634.79,0,12.9,2.9,10,PO-2026-00110,
111,89,2024-10-30,2024-11-07,2024-11-04,delivered,edi,rush,EUR,card,MUC2,München,München,1498.28,0,7.9,1.5,7,PO-2024-00111,call before delivery
112,298,2025-10-29,2025-11-04,2025-11-02,delivered,partner,high,EUR,prepay,MUC2,Hamburg,Hamburg,2880.53,0,4.9,2.9,3,PO-2025-00112,
113,109,2024-07-24,2024-08-05,2024-08-02,delivered,store,high,USD,prepay,CGN1,Stuttgart,Stuttgart,2760.98,0,7.9,0,5,PO-2026-00113,
114,,2025-05-22,2025-06-02,2025-06-01,shipped,phone,rush,EUR,paypal,MUC2,Köln,Köln,575.49,0,4.9,2.9,4,,
115,40,2025-01-01,2025-01-13,,open,edi,high,EUR,invoice,MUC2,München,München,1342.36,15,12.9,0,1,PO-2025-00115,call before delivery
116,200,2026-05-17,2026-05-20,2026-05-20,delivered,phone,rush,EUR,sepa,MUC2,Stuttgart,Stuttgart,1626.37,0,4.9,1.5,12,PO-2026-00116,call before delivery
117,305,2026-03-29,2026-04-02,,cancelled,phone,normal,USD,paypal,CGN1,Frankfurt,Frankfurt,899.85,0,0,0,12,PO-2024-00117,
118,343,2024-07-12,2024-07-14,2024-07-12,delivered,phone,rush,EUR,invoice,BER3,Leipzig,Leipzig,2502.83,0,7.9,0,6,,
119,295,2025-01-18,2025-01-31,2025-01-28,delivered,store,high,USD,paypal,HH1,Stuttgart,Stuttgart,1349.07,25,7.9,2.9,4,PO-2026-00119,
120,178,2025-03-11,2025-03-15,2025-03-15,delivered,partner,rush,USD,sepa,MUC2,Leipzig,Leipzig,33233.4,25,7.9,0,8,PO-2024-00120,call before delivery
121,273,2025-03-18,2025-03-20,2025-03-19,delivered,store,normal,EUR,invoice,CGN1,München,Köln,787.56,25,7.9,2.9,12,,
122,130,2024-04-10,2024-04-22,2024-04-20,shipped,partner,high,EUR,card,MUC2,Hamburg,Frankfurt,3635.87,0,7.9,0,8,,call before delivery
123,164,2024-05-24,2024-06-02,2024-06-01,delivered,store,normal,EUR,card,BER3,Leipzig,Leipzig,2107.34,40,12.9,0,4,,leave at gate
124,270,2024-12-14,2024-12-19,2024-12-16,delivered,store,normal,EUR,card,MUC2,Köln,Köln,1773.83,0,12.9,2.9,3,,leave at gate
125,209,2024-12-13,2024-12-24,2024-12-24,shipped,edi,normal,EUR,card,CGN1,Berlin,Berlin,2888.87,40,7.9,1.5,11,,leave at gate
126,117,2025-02-04,2025-02-15,,open,store,high,EUR,card,HH1,Leipzig,Leipzig,1163.93,80,0,1.5,6,PO-2024-00126,leave at gate
127,122,2024-02-05,2024-02-17,2024-02-17,delivered,store,normal,EUR,prepay,HH1,Hamburg,Hamburg,1159.63,0,4.9,1.5,11,,leave at gate
128,60,2024-05-12,2024-05-16,2024-05-15,delivered,partner,rush,CHF,card,CGN1,Hamburg,Hamburg,2955.9,0,12.9,0,4,PO-2026-00128,leave at gate
129,4,2024-05-26,2024-06-04,2024-06-01,delivered,edi,normal,EUR,sepa,BER3,Leipzig,Leipzig,3043.14,0,7.9,2.9,7,,call before delivery
130,96,2025-03-01,2025-03-13,2025-03-12,shipped,edi,normal,CHF,invoice,MUC2,Köln,München,1674.7,40,12.9,2.9,2,PO-2025-00130,call before delivery
131,37,2025-12-15,2025-12-22,2025-12-22,delivered,web,high,CHF,paypal,MUC2,Berlin,Berlin,1527.09,80,12.9,0,6,PO-2026-00131,leave at gate
132,338,2024-12-21,2024-12-29,2024-12-29,delivered,web,high,EUR,card,CGN1,Leipzig,Leipzig,4425.07,25,12.9,0,12,PO-2024-00132,leave at gate
133,313,2024-12-02,2024-12-06,2024-12-05,shipped,web,normal,EUR,sepa,HH1,Hamburg,Hamburg,3391.49,0,12.9,1.5,1,PO-2025-00133,
134,6,2025-11-24,2025-12-06,2025-12-05,shipped,store,normal,USD,invoice,BER3,Leipzig,Leipzig,2748.55,0,4.9,0,11,PO-2026-00134,
135,198,2025-01-27,2025-01-29,2025-01-26,shipped,web,normal,EUR,card,HH1,Berlin,Berlin,1362.49,0,4.9,0,4,,
136,23,2025-03-01,2025-03-11,2025-03-08,delivered,store,normal,EUR,card,HH1,Berlin,Berlin,793.97,25,4.9,0,4,PO-2025-00136,leave at gate
137,7,2025-02-02,2025-02-05,2025-02-04,shipped,store,high,USD,paypal,HH1,Frankfurt,Frankfurt,2851.81,15,7.9,0,11,,
138,52,2025-09-06,2025-09-10,2025-09-08,delivered,store,normal,EUR,invoice,BER3,Hamburg,Hamburg,2158.05,40,4.9,1.5,11,,
139,68,2024-11-12,2024-11-16,2024-11-14,shipped,store,high,EUR,card,BER3,Stuttgart,Stuttgart,7506.32,0,0,0,8,PO-2025-00139,leave at gate
140,192,2024-05-17,2024-05-31,2024-05-31,shipped,phone,high,EUR,card,MUC2,München,München,3902.2,0,12.9,1.5,6,,
141,127,2025-09-14,2025-09-17,2025-09-14,delivered,web,normal,EUR,card,MUC2,Berlin,Berlin,895.76,0,12.9,0,7,PO-2024-00141,
142,43,2025-03-12,2025-03-16,2025-03-15,delivered,partner,high,USD,paypal,MUC2,München,München,2000.68,0,4.9,2.9,8,,
143,213,2025-02-11,2025-02-25,2025-02-22,delivered,web,rush,CHF,invoice,CGN1,Berlin,Berlin,1558.63,40,12.9,0,6,PO-2026-00143,
144,271,2024-11-09,2024-11-13,2024-11-10,delivered,phone,normal,EUR,invoice,HH1,München,Leipzig,906.74,80,0,1.5,1,,leave at gate
145,243,2025-02-08,2025-02-16,,cancelled,web,normal,CHF,prepay,MUC2,Stuttgart,Stuttgart,1055.01,80,7.9,0,7,PO-2025-00145,call before delivery
146,206,2025-06-05,2025-06-13,2025-06-12,delivered,phone,rush,EUR,sepa,HH1,München,München,1058.85,25,0,2.9,11,,call before delivery
147,80,2024-09-17,2024-10-01,2024-10-01,shipped,store,rush,USD,invoice,MUC2,Frankfurt,München,2122.22,0,0,0,8,,call before delivery
148,291,2025-06-29,2025-07-02,2025-06-30,delivered,phone,high,EUR,paypal,CGN1,Leipzig,Leipzig,2162.32,15,12.9,0,3,PO-2025-00148,leave at gate
149,89,2025-01-31,2025-02-04,2025-02-02,delivered,phone,normal,EUR,paypal,MUC2,München,München,1416.84,15,12.9,0,7,PO-2026-00149,
150,33,2026-02-06,2026-02-18,2026-02-18,shipped,phone,normal,EUR,invoice,BER3,Stuttgart,Stuttgart,1027.24,15,12.9,2.9,4,PO-2024-00150,
151,278,2025-05-11,2025-05-23,2025-05-23,delivered,web,normal,USD,invoice,BER3,Leipzig,Leipzig,2403.38,0,7.9,0,11,,call before delivery
152,276,2026-02-14,2026-02-19,2026-02-17,delivered,store,rush,USD,invoice,CGN1,Hamburg,Frankfurt,882.23,25,7.9,1.5,11,PO-2026-00152,leave at gate
153,236,2026-01-12,2026-01-25,2026-01-24,delivered,partner,rush,USD,paypal,BER3,Frankfurt,Frankfurt,1073.74,0,0,1.5,2,PO-2024-00153,call before delivery
154,195,2024-01-24,2024-02-01,,cancelled,edi,normal,EUR,paypal,BER3,Leipzig,Frankfurt,1221.24,80,4.9,2.9,11,,
155,172,2025-09-13,2025-09-27,2025-09-27,shipped,partner,rush,EUR,paypal,HH1,Hamburg,Hamburg,2272.03,0,4.9,2.9,8,PO-2026-00155,
156,48,2024-04-18,2024-05-02,2024-04-30,delivered,phone,high,CHF,invoice,MUC2,Köln,Leipzig,1189.86,0,7.9,2.9,12,PO-2024-00156,call before delivery
157,335,2026-02-23,2026-03-07,2026-03-04,delivered,phone,normal,EUR,invoice,CGN1,Hamburg,Hamburg,895.82,25,12.9,2.9,12,PO-2025-00157,
158,64,2025-08-09,2025-08-11,2025-08-10,delivered,store,rush,EUR,sepa,MUC2,Köln,Köln,1469.32,40,0,1.5,8,,
159,5,2025-07-05,2025-07-17,2025-07-14,delivered,phone,high,EUR,invoice,CGN1,Frankfurt,Frankfurt,3511.46,15,4.9,2.9,3,,
160,334,2025-05-04,2025-05-18,2025-05-16,delivered,phone,normal,EUR,invoice,MUC2,München,Leipzig,1576.98,15,12.9,0,8,PO-2025-00160,
161,318,2025-02-05,2025-02-08,2025-02-06,delivered,partner,normal,USD,paypal,HH1,Berlin,Berlin,1139.94,25,12.9,2.9,12,,
162,177,2025-04-13,2025-04-17,2025-04-16,delivered,phone,normal,EUR,sepa,HH1,Frankfurt,Frankfurt,2932.72,80,12.9,1.5,11,,
163,249,2025-11-26,2025-11-30,2025-11-30,delivered,web,high,USD,paypal,MUC2,Stuttgart,Stuttgart,3457.29,0,7.9,2.9,4,PO-2025-00163,
164,234,2025-05-15,2025-05-29,2025-05-26,delivered,store,high,CHF,sepa,HH1,Berlin,Berlin,1106.93,0,12.9,0,1,PO-2026-00164,leave at gate
165,295,2024-08-18,2024-09-01,,open,edi,normal,CHF,paypal,BER3,Stuttgart,Stuttgart,1786.24,80,7.9,0,3,PO-2024-00165,
166,311,2024-07-08,2024-07-18,2024-07-18,delivered,phone,normal,EUR,prepay,MUC2,München,München,1365.77,40,12.9,0,8,PO-2025-00166,call before delivery
167,70,2025-08-11,2025-08-14,2025-08-12,shipped,partner,normal,CHF,invoice,MUC2,Berlin,Berlin,2745.9,15,0,0,6,,call before delivery
168,259,2024-05-23,2024-06-04,2024-06-04,delivered,phone,normal,EUR,card,CGN1,Berlin,München,1093.14,25,4.9,0,4,,
169,162,2024-05-11,2024-05-23,2024-05-22,delivered,store,rush,EUR,sepa,BER3,Leipzig,München,2324.35,15,7.9,2.9,9,PO-2025-00169,
170,155,2025-10-10,2025-10-14,2025-10-12,delivered,store,rush,EUR,prepay,MUC2,Leipzig,Leipzig,3127.32,25,4.9,2.9,2,PO-2026-00170,leave at gate
