return_id,order_item_id,return_date,quantity,reason,condition,warehouse,carrier,tracking_nr,restocked,refund_amount,restock_fee,net_refund
73,3182,2025-04-11,1,damaged,unopened,BER3,dhl,RR0000000073,true,155.79,0,155.79
74,4319,2024-06-06,1,damaged,used,BER3,dhl,RR0000000074,false,232.2,5.0,227.2
75,2054,2025-07-18,1,wrong_item,damaged,CGN1,self,RR0000000075,true,335.88,0,335.88
76,3065,2026-01-09,2,damaged,unopened,HH1,self,RR0000000076,true,473.65,0,473.65
77,549,2025-10-06,2,damaged,damaged,MUC2,ups,,true,205.13,5.0,200.13
78,4536,2024-06-07,1,wrong_item,damaged,CGN1,dhl,,true,89.15,2.5,86.65
79,3842,2025-09-03,1,changed_mind,used,HH1,dhl,RR0000000079,false,90.69,2.5,88.19
80,761,2025-06-20,2,damaged,unopened,MUC2,self,RR0000000080,true,320.31,0,320.31
81,2137,2025-09-04,1,late,damaged,CGN1,self,RR0000000081,false,85.78,0,85.78
82,3537,2025-01-18,1,late,used,HH1,self,RR0000000082,false,314.56,5.0,309.56
83,3548,2026-02-27,1,changed_mind,damaged,BER3,self,RR0000000083,true,92.48,2.5,89.98
84,2737,2025-10-09,1,wrong_item,damaged,MUC2,ups,RR0000000084,true,93.56,5.0,88.56
85,2763,2025-01-03,1,damaged,damaged,BER3,ups,,false,78.7,0,78.7
86,3934,2024-10-20,2,changed_mind,used,MUC2,ups,RR0000000086,true,427.95,0,427.95
87,1565,2026-01-02,1,damaged,unopened,MUC2,dhl,RR0000000087,true,215.69,5.0,210.69
88,2848,2025-05-28,1,damaged,used,CGN1,self,RR0000000088,false,273.46,0,273.46
89,4440,2025-10-16,2,damaged,damaged,CGN1,self,,true,554.08,5.0,549.08
90,1858,2026-04-07,2,changed_mind,unopened,BER3,ups,RR0000000090,true,379.21,0,379.21
91,2002,2025-09-05,2,wrong_item,damaged,MUC2,dhl,RR0000000091,false,551.23,5.0,546.23
92,1652,2025-03-18,1,wrong_item,used,CGN1,self,,true,196.4,0,196.4
93,3137,2026-03-25,2,damaged,used,MUC2,dpd,,false,536.13,0,536.13
94,118,2025-02-18,1,damaged,used,HH1,dpd,,true,119.27,0,119.27
95,4776,2024-07-05,1,late,unopened,HH1,dpd,RR0000000095,true,173.24,5.0,168.24
96,1394,2025-06-11,2,late,unopened,CGN1,self,,true,694.69,0,694.69
97,2035,2024-11-22,2,late,damaged,MUC2,dpd,,false,491.51,0,491.51
98,3789,2026-01-18,1,changed_mind,used,HH1,dpd,RR0000000098,true,319.25,2.5,316.75
99,472,2024-08-21,1,changed_mind,unopened,BER3,dhl,RR0000000099,true,95.21,5.0,90.21
100,926,2024-09-19,2,damaged,damaged,CGN1,self,RR0000000100,false,478.91,5.0,473.91
