aufg_nr,prj_nr,ma_nr,titel,plan_h,stat_txt
136,25,70,Aufg 136,8,offen
137,25,70,Aufg 137,8,arbeit
138,25,70,Aufg 138,16,arbeit
139,25,66,Aufg 139,8,fertig
140,26,16,Aufg 140,8,arbeit
141,26,56,Aufg 141,4,fertig
142,26,56,Aufg 142,4,arbeit
143,26,16,Aufg 143,8,arbeit
144,26,28,Aufg 144,8,offen
145,26,19,Aufg 145,8,offen
146,27,4,Aufg 146,4,fertig
147,27,4,Aufg 147,16,fertig
148,27,4,Aufg 148,16,fertig
149,27,60,Aufg 149,4,arbeit
150,28,15,Aufg 150,8,offen
151,28,59,Aufg 151,4,arbeit
152,28,59,Aufg 152,8,fertig
153,28,51,Aufg 153,8,arbeit
154,29,6,Aufg 154,16,offen
155,29,6,Aufg 155,8,fertig
156,29,67,Aufg 156,8,arbeit
157,29,6,Aufg 157,4,fertig
158,29,6,Aufg 158,32,offen
159,29,67,Aufg 159,4,fertig
160,29,67,Aufg 160,4,offen
161,30,42,Aufg 161,4,offen
162,30,15,Aufg 162,4,arbeit
163,30,15,Aufg 163,32,offen
164,30,42,Aufg 164,32,fertig
165,31,68,Aufg 165,4,arbeit
166,31,68,Aufg 166,16,arbeit
167,31,68,Aufg 167,8,fertig
168,31,68,Aufg 168,8,offen
169,31,78,Aufg 169,16,fertig
170,31,78,Aufg 170,4,fertig
171,31,78,Aufg 171,4,fertig
172,31,78,Aufg 172,4,fertig
173,32,68,Aufg 173,8,fertig
174,32,1,Aufg 174,8,offen
175,32,68,Aufg 175,8,fertig
176,32,68,Aufg 176,4,fertig
177,33,18,Aufg 177,8,fertig
178,33,18,Aufg 178,32,fertig
179,33,78,Aufg 179,32,fertig
180,33,18,Aufg 180,8,offen
181,33,78,Aufg 181,32,fertig
182,33,78,Aufg 182,16,offen
183,33,18,Aufg 183,16,arbeit
184,34,80,Aufg 184,8,fertig
185,34,76,Aufg 185,4,arbeit
186,34,29,Aufg 186,4,arbeit
187,34,29,Aufg 187,32,arbeit
188,34,80,Aufg 188,16,arbeit
189,34,80,Aufg 189,4,fertig
190,35,50,Aufg 190,32,offen
191,35,14,Aufg 191,16,fertig
192,35,50,Aufg 192,8,arbeit
193,35,50,Aufg 193,16,offen
194,35,73,Aufg 194,32,arbeit
195,35,50,Aufg 195,16,offen
196,35,14,Aufg 196,16,offen
197,35,50,Aufg 197,4,fertig
198,36,25,Aufg 198,4,fertig
199,36,50,Aufg 199,8,offen
200,36,50,Aufg 200,32,offen
201,36,65,Aufg 201,8,offen
202,36,45,Aufg 202,32,offen
203,36,45,Aufg 203,8,offen
204,36,65,Aufg 204,4,arbeit
205,37,64,Aufg 205,4,arbeit
206,37,64,Aufg 206,4,fertig
207,37,73,Aufg 207,4,offen
208,37,73,Aufg 208,4,fertig
209,37,35,Aufg 209,32,fertig
210,37,73,Aufg 210,32,fertig
211,37,64,Aufg 211,8,fertig
212,38,67,Aufg 212,4,fertig
213,38,62,Aufg 213,16,fertig
214,38,62,Aufg 214,4,arbeit
215,38,15,Aufg 215,32,fertig
216,38,67,Aufg 216,8,offen
217,39,28,Aufg 217,4,arbeit
218,39,47,Aufg 218,16,fertig
219,39,28,Aufg 219,8,offen
220,39,47,Aufg 220,16,arbeit
221,40,51,Aufg 221,4,arbeit
222,40,72,Aufg 222,8,fertig
223,40,72,Aufg 223,32,fertig
224,40,1,Aufg 224,32,offen
225,40,13,Aufg 225,4,offen
226,40,1,Aufg 226,16,fertig
227,41,73,Aufg 227,4,fertig
228,41,73,Aufg 228,32,arbeit
229,41,17,Aufg 229,16,fertig
230,41,64,Aufg 230,16,fertig
231,41,64,Aufg 231,4,offen
232,42,44,Aufg 232,4,offen
233,42,44,Aufg 233,4,offen
234,42,54,Aufg 234,4,fertig
235,42,44,Aufg 235,4,arbeit
236,42,76,Aufg 236,16,offen
237,43,54,Aufg 237,16,offen
238,43,12,Aufg 238,32,arbeit
239,43,54,Aufg 239,16,offen
240,43,54,Aufg 240,16,offen
241,43,12,Aufg 241,8,arbeit
242,43,12,Aufg 242,16,offen
243,43,54,Aufg 243,4,offen
244,44,56,Aufg 244,4,fertig
245,44,6,Aufg 245,32,offen
246,44,6,Aufg 246,32,arbeit
247,44,6,Aufg 247,4,fertig
248,44,41,Aufg 248,4,fertig
249,44,6,Aufg 249,32,fertig
250,44,13,Aufg 250,4,arbeit
251,44,13,Aufg 251,8,arbeit
252,45,78,Aufg 252,4,arbeit
253,45,78,Aufg 253,32,fertig
254,45,17,Aufg 254,4,arbeit
255,45,78,Aufg 255,16,offen
256,45,78,Aufg 256,16,offen
257,45,17,Aufg 257,8,arbeit
258,45,17,Aufg 258,16,fertig
259,46,68,Aufg 259,8,fertig
260,46,22,Aufg 260,32,fertig
261,46,68,Aufg 261,8,offen
262,46,22,Aufg 262,8,offen
263,46,68,Aufg 263,16,offen
264,47,66,Aufg 264,8,arbeit
265,47,76,Aufg 265,8,fertig
266,47,66,Aufg 266,32,fertig
267,47,76,Aufg 267,32,fertig
268,47,76,Aufg 268,32,offen
269,47,20,Aufg 269,8,fertig
270,47,76,Aufg 270,16,arbeit
271,48,8,Aufg 271,16,fertig
272,48,8,Aufg 272,32,fertig
273,48,76,Aufg 273,16,fertig
274,48,76,Aufg 274,4,arbeit
275,48,76,Aufg 275,16,arbeit
276,49,35,Aufg 276,4,fertig
277,49,35,Aufg 277,32,offen
278,49,77,Aufg 278,8,arbeit
279,49,35,Aufg 279,8,arbeit
280,49,77,Aufg 280,16,fertig
281,49,77,Aufg 281,32,fertig
282,49,53,Aufg 282,8,fertig
283,49,53,Aufg 283,32,fertig
284,50,13,Aufg 284,4,offen
285,50,50,Aufg 285,16,arbeit
286,50,13,Aufg 286,32,offen
287,50,50,Aufg 287,4,fertig
288,50,13,Aufg 288,4,arbeit
289,50,13,Aufg 289,8,fertig
290,50,50,Aufg 290,32,offen
291,50,50,Aufg 291,8,arbeit
292,51,75,Aufg 292,8,arbeit
293,51,75,Aufg 293,8,fertig
294,51,61,Aufg 294,8,fertig
295,51,38,Aufg 295,16,arbeit
296,51,75,Aufg 296,8,arbeit
297,52,26,Aufg 297,16,arbeit
298,52,26,Aufg 298,4,fertig
299,52,26,Aufg 299,16,arbeit
300,52,26,Aufg 300,32,offen
301,52,4,Aufg 301,8,offen
302,52,26,Aufg 302,4,arbeit
303,52,4,Aufg 303,16,fertig
304,53,21,Aufg 304,4,fertig
305,53,70,Aufg 305,4,arbeit
306,53,21,Aufg 306,32,arbeit
307,53,70,Aufg 307,32,fertig
308,53,70,Aufg 308,16,arbeit
309,54,58,Aufg 309,16,fertig
310,54,58,Aufg 310,16,offen
311,54,15,Aufg 311,8,offen
312,54,15,Aufg 312,32,offen
313,54,58,Aufg 313,4,offen
314,54,15,Aufg 314,32,fertig
315,55,6,Aufg 315,16,arbeit
316,55,6,Aufg 316,16,offen
317,55,6,Aufg 317,8,offen
318,55,63,Aufg 318,32,arbeit
319,55,63,Aufg 319,8,arbeit
320,55,63,Aufg 320,8,arbeit
321,55,63,Aufg 321,8,fertig
322,55,63,Aufg 322,4,offen
323,56,79,Aufg 323,8,fertig
324,56,11,Aufg 324,16,offen
325,56,44,Aufg 325,8,arbeit
326,56,30,Aufg 326,4,arbeit
327,56,11,Aufg 327,16,arbeit
328,56,30,Aufg 328,32,fertig
329,57,59,Aufg 329,16,fertig
330,57,25,Aufg 330,4,arbeit
331,57,25,Aufg 331,16,offen
332,57,59,Aufg 332,16,arbeit
333,58,71,Aufg 333,32,fertig
334,58,71,Aufg 334,16,fertig
335,58,34,Aufg 335,32,fertig
336,58,34,Aufg 336,32,fertig
337,58,34,Aufg 337,16,fertig
338,58,71,Aufg 338,16,arbeit
339,58,34,Aufg 339,32,offen
340,58,71,Aufg 340,8,fertig
341,59,67,Aufg 341,32,fertig
342,59,10,Aufg 342,16,offen
343,59,50,Aufg 343,32,offen
344,59,50,Aufg 344,32,fertig
345,59,10,Aufg 345,8,offen
346,59,67,Aufg 346,8,offen
347,60,23,Aufg 347,16,fertig
348,60,4,Aufg 348,32,offen
349,60,23,Aufg 349,4,fertig
350,60,60,Aufg 350,4,arbeit
351,60,4,Aufg 351,4,fertig
352,61,46,Aufg 352,32,fertig
353,61,17,Aufg 353,8,arbeit
354,61,17,Aufg 354,4,fertig
355,61,65,Aufg 355,4,arbeit
356,61,17,Aufg 356,8,arbeit
357,61,17,Aufg 357,8,arbeit
358,61,46,Aufg 358,8,offen
359,62,38,Aufg 359,16,fertig
360,62,75,Aufg 360,16,arbeit
361,62,19,Aufg 361,32,offen
362,62,38,Aufg 362,4,offen
363,62,75,Aufg 363,8,fertig
364,62,19,Aufg 364,4,fertig
365,62,75,Aufg 365,16,arbeit
366,63,55,Aufg 366,4,offen
367,63,55,Aufg 367,8,offen
368,63,55,Aufg 368,4,fertig
369,63,55,Aufg 369,32,arbeit
370,63,58,Aufg 370,32,fertig
371,63,58,Aufg 371,4,fertig
372,64,25,Aufg 372,32,arbeit
373,64,5,Aufg 373,32,arbeit
374,64,25,Aufg 374,8,fertig
375,64,5,Aufg 375,8,arbeit
376,64,59,Aufg 376,4,fertig
377,65,34,Aufg 377,4,arbeit
378,65,22,Aufg 378,4,offen
379,65,34,Aufg 379,32,fertig
380,65,34,Aufg 380,32,fertig
381,65,4,Aufg 381,8,fertig
382,65,22,Aufg 382,32,offen
383,66,24,Aufg 383,8,fertig
384,66,70,Aufg 384,4,arbeit
385,66,57,Aufg 385,4,offen
386,66,12,Aufg 386,8,arbeit
387,66,70,Aufg 387,16,fertig
388,66,70,Aufg 388,16,fertig
389,67,13,Aufg 389,8,fertig
390,67,15,Aufg 390,4,offen
391,67,15,Aufg 391,4,offen
392,67,58,Aufg 392,4,fertig
393,67,50,Aufg 393,4,fertig
394,67,58,Aufg 394,32,fertig
395,68,68,Aufg 395,32,fertig
396,68,68,Aufg 396,16,offen
397,68,68,Aufg 397,8,arbeit
398,68,39,Aufg 398,32,arbeit
399,68,68,Aufg 399,16,fertig
400,69,47,Aufg 400,32,offen
401,69,77,Aufg 401,4,fertig
402,69,49,Aufg 402,16,fertig
403,69,47,Aufg 403,8,arbeit
404,69,47,Aufg 404,32,offen
405,69,77,Aufg 405,8,arbeit
406,69,77,Aufg 406,32,offen
407,69,49,Aufg 407,4,fertig
408,70,25,Aufg 408,8,offen
409,70,25,Aufg 409,32,offen
410,70,51,Aufg 410,32,arbeit
411,70,51,Aufg 411,8,fertig
412,70,21,Aufg 412,8,arbeit
413,70,15,Aufg 413,4,fertig
414,71,65,Aufg 414,16,fertig
415,71,65,Aufg 415,8,arbeit
416,71,41,Aufg 416,4,arbeit
417,71,41,Aufg 417,4,arbeit
418,72,26,Aufg 418,8,fertig
419,72,26,Aufg 419,4,offen
420,72,17,Aufg 420,32,arbeit
421,72,26,Aufg 421,8,offen
422,72,17,Aufg 422,8,arbeit
423,72,17,Aufg 423,16,fertig
424,72,17,Aufg 424,32,offen
425,72,26,Aufg 425,8,offen
426,73,47,Aufg 426,4,fertig
427,73,47,Aufg 427,16,arbeit
428,73,72,Aufg 428,32,arbeit
429,73,47,Aufg 429,16,fertig
430,74,64,Aufg 430,8,fertig
431,74,3,Aufg 431,16,arbeit
432,74,3,Aufg 432,4,arbeit
433,74,64,Aufg 433,4,offen
434,74,64,Aufg 434,16,fertig
435,74,64,Aufg 435,16,arbeit
436,74,3,Aufg 436,4,fertig
437,75,17,Aufg 437,4,fertig
438,75,72,Aufg 438,4,arbeit
439,75,72,Aufg 439,4,fertig
440,75,19,Aufg 440,8,fertig
441,75,19,Aufg 441,4,fertig
442,75,19,Aufg 442,16,arbeit
443,76,21,Aufg 443,16,arbeit
444,76,44,Aufg 444,32,arbeit
445,76,62,Aufg 445,16,arbeit
446,76,62,Aufg 446,16,fertig
447,76,5,Aufg 447,8,fertig
448,76,21,Aufg 448,16,arbeit
449,77,3,Aufg 449,4,fertig
450,77,33,Aufg 450,8,offen
451,77,10,Aufg 451,8,offen
452,77,33,Aufg 452,8,fertig
453,78,28,Aufg 453,32,arbeit
454,78,71,Aufg 454,8,fertig
455,78,30,Aufg 455,8,fertig
456,78,71,Aufg 456,32,fertig
457,78,30,Aufg 457,4,offen
458,79,2,Aufg 458,8,fertig
459,79,17,Aufg 459,4,offen
460,79,17,Aufg 460,4,arbeit
461,79,17,Aufg 461,8,arbeit
462,79,17,Aufg 462,4,arbeit
463,79,17,Aufg 463,16,offen
464,79,2,Aufg 464,8,fertig
465,80,28,Aufg 465,32,fertig
466,80,61,Aufg 466,16,fertig
467,80,48,Aufg 467,8,fertig
468,80,48,Aufg 468,32,arbeit
469,80,38,Aufg 469,8,fertig
470,80,61,Aufg 470,8,arbeit
471,80,61,Aufg 471,4,fertig
472,81,71,Aufg 472,16,fertig
473,81,11,Aufg 473,8,fertig
474,81,11,Aufg 474,8,offen
475,81,71,Aufg 475,16,arbeit
476,81,71,Aufg 476,16,fertig
477,81,2,Aufg 477,16,arbeit
478,82,73,Aufg 478,4,fertig
479,82,73,Aufg 479,8,arbeit
480,82,67,Aufg 480,16,fertig
481,82,67,Aufg 481,4,offen
482,83,3,Aufg 482,8,fertig
483,83,32,Aufg 483,8,fertig
484,83,3,Aufg 484,4,arbeit
485,83,16,Aufg 485,32,offen
486,83,3,Aufg 486,32,arbeit
487,83,32,Aufg 487,16,offen
488,84,50,Aufg 488,16,offen
489,84,50,Aufg 489,32,fertig
490,84,13,Aufg 490,16,offen
491,84,13,Aufg 491,4,offen
492,85,23,Aufg 492,16,offen
493,85,43,Aufg 493,32,arbeit
494,85,43,Aufg 494,4,offen
495,85,23,Aufg 495,32,offen
496,85,1,Aufg 496,8,offen
497,86,53,Aufg 497,4,offen
498,86,53,Aufg 498,32,arbeit
499,86,19,Aufg 499,4,fertig
500,86,19,Aufg 500,32,arbeit
501,86,53,Aufg 501,8,fertig
502,86,32,Aufg 502,4,arbeit
503,86,53,Aufg 503,4,arbeit
504,86,32,Aufg 504,4,offen
505,87,66,Aufg 505,4,fertig
506,87,66,Aufg 506,4,offen
507,87,74,Aufg 507,32,offen
508,87,66,Aufg 508,4,fertig
509,88,33,Aufg 509,8,fertig
510,88,28,Aufg 510,32,fertig
511,88,28,Aufg 511,16,fertig
512,88,28,Aufg 512,4,arbeit
513,88,6,Aufg 513,32,offen
514,88,28,Aufg 514,16,arbeit
515,89,76,Aufg 515,4,arbeit
516,89,76,Aufg 516,16,arbeit
517,89,76,Aufg 517,16,arbeit
518,89,76,Aufg 518,32,fertig
519,89,76,Aufg 519,8,fertig
520,89,76,Aufg 520,16,arbeit
521,89,76,Aufg 521,16,fertig
522,90,22,Aufg 522,32,fertig
523,90,22,Aufg 523,4,arbeit
524,90,72,Aufg 524,16,arbeit
525,90,72,Aufg 525,4,arbeit
526,90,22,Aufg 526,4,arbeit
527,90,72,Aufg 527,8,arbeit
528,90,22,Aufg 528,16,fertig
529,91,37,Aufg 529,8,offen
530,91,80,Aufg 530,8,offen
531,91,80,Aufg 531,8,offen
532,91,37,Aufg 532,32,fertig
533,91,80,Aufg 533,4,fertig
534,91,37,Aufg 534,16,fertig
535,92,11,Aufg 535,32,arbeit
536,92,11,Aufg 536,16,fertig
537,92,11,Aufg 537,4,fertig
538,92,44,Aufg 538,4,fertig
539,92,44,Aufg 539,32,arbeit
540,93,19,Aufg 540,4,fertig
541,93,19,Aufg 541,4,fertig
542,93,6,Aufg 542,32,arbeit
543,93,6,Aufg 543,8,arbeit
544,94,54,Aufg 544,4,arbeit
545,94,54,Aufg 545,32,fertig
546,94,53,Aufg 546,4,fertig
547,94,53,Aufg 547,16,arbeit
548,94,53,Aufg 548,4,arbeit
549,95,21,Aufg 549,16,offen
550,95,5,Aufg 550,8,offen
551,95,21,Aufg 551,32,arbeit
552,95,75,Aufg 552,32,fertig
553,95,5,Aufg 553,4,fertig
554,95,5,Aufg 554,4,arbeit
555,95,21,Aufg 555,16,fertig
556,95,71,Aufg 556,4,offen
557,96,55,Aufg 557,4,arbeit
558,96,55,Aufg 558,4,fertig
559,96,68,Aufg 559,16,arbeit
560,96,55,Aufg 560,4,fertig
561,96,2,Aufg 561,16,offen
562,96,68,Aufg 562,32,fertig
563,96,34,Aufg 563,16,arbeit
564,96,55,Aufg 564,32,arbeit
565,97,35,Aufg 565,16,offen
566,97,35,Aufg 566,8,arbeit
567,97,35,Aufg 567,16,arbeit
568,97,8,Aufg 568,32,arbeit
569,97,56,Aufg 569,4,arbeit
570,97,56,Aufg 570,8,arbeit
571,97,8,Aufg 571,16,arbeit
572,98,72,Aufg 572,4,offen
573,98,72,Aufg 573,8,arbeit
574,98,27,Aufg 574,16,fertig
575,98,27,Aufg 575,32,fertig
576,98,27,Aufg 576,32,arbeit
577,98,72,Aufg 577,16,offen
578,98,27,Aufg 578,16,arbeit
579,99,46,Aufg 579,16,arbeit
580,99,46,Aufg 580,32,offen
581,99,74,Aufg 581,16,offen
582,99,74,Aufg 582,8,fertig
583,100,22,Aufg 583,4,offen
584,100,30,Aufg 584,16,fertig
585,100,66,Aufg 585,4,offen
586,100,30,Aufg 586,4,arbeit
587,100,30,Aufg 587,4,fertig
588,100,66,Aufg 588,4,arbeit
589,100,22,Aufg 589,32,offen
590,100,22,Aufg 590,4,offen
591,101,58,Aufg 591,4,fertig
592,101,78,Aufg 592,32,fertig
593,101,36,Aufg 593,8,offen
594,101,36,Aufg 594,16,arbeit
595,101,78,Aufg 595,16,fertig
596,101,78,Aufg 596,8,fertig
597,102,10,Aufg 597,16,fertig
598,102,10,Aufg 598,16,arbeit
599,102,47,Aufg 599,4,fertig
600,102,40,Aufg 600,16,arbeit
601,102,10,Aufg 601,32,fertig
602,102,36,Aufg 602,32,fertig
603,102,36,Aufg 603,16,fertig
604,103,71,Aufg 604,16,fertig
605,103,5,Aufg 605,8,fertig
606,103,1,Aufg 606,32,fertig
607,103,55,Aufg 607,8,fertig
608,103,71,Aufg 608,4,fertig
609,103,5,Aufg 609,8,offen
610,104,80,Aufg 610,4,offen
611,104,65,Aufg 611,8,arbeit
612,104,14,Aufg 612,32,offen
613,104,14,Aufg 613,16,fertig
614,104,14,Aufg 614,8,fertig
615,104,14,Aufg 615,4,fertig
616,104,80,Aufg 616,16,fertig
617,105,75,Aufg 617,32,fertig
618,105,61,Aufg 618,8,arbeit
619,105,75,Aufg 619,16,arbeit
620,105,61,Aufg 620,16,fertig
621,105,76,Aufg 621,8,fertig
622,105,76,Aufg 622,4,fertig
623,105,61,Aufg 623,16,arbeit
624,106,26,Aufg 624,4,arbeit
625,106,46,Aufg 625,32,fertig
626,106,26,Aufg 626,32,fertig
627,106,46,Aufg 627,32,arbeit
628,106,26,Aufg 628,16,fertig
629,106,26,Aufg 629,8,fertig
630,106,2,Aufg 630,8,fertig
631,107,54,Aufg 631,32,fertig
632,107,54,Aufg 632,32,fertig
633,107,54,Aufg 633,8,arbeit
634,107,54,Aufg 634,4,fertig
635,108,34,Aufg 635,32,fertig
636,108,58,Aufg 636,16,fertig
637,108,58,Aufg 637,32,fertig
638,108,34,Aufg 638,32,offen
639,108,34,Aufg 639,4,fertig
640,108,58,Aufg 640,16,fertig
641,108,58,Aufg 641,32,offen
642,108,34,Aufg 642,32,fertig
643,109,72,Aufg 643,16,fertig
644,109,22,Aufg 644,16,fertig
645,109,72,Aufg 645,16,fertig
646,109,4,Aufg 646,8,arbeit
647,110,25,Aufg 647,32,fertig
648,110,2,Aufg 648,4,arbeit
649,110,2,Aufg 649,4,offen
650,110,25,Aufg 650,8,arbeit
651,110,2,Aufg 651,16,arbeit
652,110,2,Aufg 652,16,arbeit
653,111,26,Aufg 653,32,fertig
654,111,30,Aufg 654,32,arbeit
655,111,26,Aufg 655,16,arbeit
656,111,80,Aufg 656,8,offen
657,112,77,Aufg 657,4,arbeit
658,112,77,Aufg 658,32,arbeit
659,112,53,Aufg 659,16,offen
660,112,53,Aufg 660,16,fertig
661,112,53,Aufg 661,32,offen
662,112,16,Aufg 662,32,arbeit
663,112,77,Aufg 663,8,fertig
664,112,53,Aufg 664,16,fertig
665,113,24,Aufg 665,16,arbeit
666,113,16,Aufg 666,32,fertig
667,113,44,Aufg 667,32,offen
668,113,44,Aufg 668,8,offen
669,114,79,Aufg 669,16,fertig
670,114,58,Aufg 670,16,offen
671,114,79,Aufg 671,8,arbeit
672,114,79,Aufg 672,16,offen
673,114,11,Aufg 673,16,arbeit
674,114,11,Aufg 674,4,arbeit
675,115,48,Aufg 675,4,offen
676,115,33,Aufg 676,32,offen
677,115,19,Aufg 677,8,offen
678,115,56,Aufg 678,16,fertig
679,115,48,Aufg 679,16,arbeit
680,115,48,Aufg 680,8,offen
681,115,48,Aufg 681,16,fertig
682,115,33,Aufg 682,4,fertig
683,116,7,Aufg 683,8,arbeit
684,116,7,Aufg 684,32,arbeit
685,116,71,Aufg 685,32,offen
686,116,7,Aufg 686,8,arbeit
687,116,7,Aufg 687,32,arbeit
688,116,7,Aufg 688,4,fertig
689,116,7,Aufg 689,16,fertig
690,117,36,Aufg 690,4,fertig
691,117,11,Aufg 691,16,arbeit
692,117,36,Aufg 692,8,offen
693,117,11,Aufg 693,16,arbeit
694,117,67,Aufg 694,8,fertig
695,118,30,Aufg 695,4,fertig
696,118,62,Aufg 696,8,offen
697,118,62,Aufg 697,16,offen
698,118,62,Aufg 698,32,fertig
699,118,30,Aufg 699,8,arbeit
700,118,60,Aufg 700,32,offen
701,118,62,Aufg 701,8,arbeit
702,118,30,Aufg 702,16,offen
703,119,23,Aufg 703,8,offen
704,119,67,Aufg 704,32,offen
705,119,23,Aufg 705,32,arbeit
706,119,23,Aufg 706,4,fertig
707,119,33,Aufg 707,8,fertig
708,120,14,Aufg 708,8,fertig
709,120,14,Aufg 709,8,fertig
710,120,47,Aufg 710,16,offen
711,120,14,Aufg 711,4,arbeit
712,120,47,Aufg 712,16,offen
713,120,14,Aufg 713,4,arbeit
714,120,47,Aufg 714,16,offen
715,120,47,Aufg 715,32,arbeit
