ko_nr,prj_nr,ko_dat,art,betrag
67,18,2025-03-24,Lizenz,3619.84
68,18,2025-01-16,Lizenz,3873.34
69,19,2025-04-13,Sonst,4932.6
70,19,2025-06-08,Lizenz,811.29
71,20,2025-07-13,Lizenz,5191.61
72,20,2025-06-07,Lizenz,4387.63
73,21,2025-04-11,Lizenz,4711.32
74,21,2025-01-20,Reise,254.67
75,21,2025-06-25,Sonst,4403.47
76,21,2025-04-27,NachU,3580.68
77,22,2025-06-17,NachU,343.62
78,22,2025-02-01,Sonst,1417.77
79,23,2025-06-26,Lizenz,2963.2
80,23,2025-02-11,Sonst,3147.15
81,24,2025-06-03,Reise,4156.54
82,24,2025-06-27,Reise,4147.47
83,24,2025-02-01,Lizenz,3663.52
84,24,2025-05-25,Lizenz,3205.49
85,25,2025-06-20,Sonst,1977.14
86,25,2025-03-12,Lizenz,2012.13
87,25,2025-06-17,Reise,1622.53
88,25,2025-03-14,NachU,1316.59
89,26,2025-01-27,Sonst,802.04
90,26,2025-04-28,NachU,4541.71
91,26,2025-04-19,NachU,896.94
92,26,2025-04-17,Sonst,922.72
93,27,2025-01-17,Lizenz,3793.89
94,27,2025-02-10,NachU,220.61
95,28,2025-04-17,Lizenz,2569.58
96,28,2025-06-01,Reise,3364.7
97,29,2025-04-04,Lizenz,1562.14
98,29,2025-06-03,Reise,2800.07
99,29,2025-03-28,Reise,2020.77
100,29,2025-01-21,Lizenz,3556.63
101,30,2025-06-18,Reise,1846.79
102,30,2025-04-19,NachU,2110.17
103,30,2025-07-06,Lizenz,93.92
104,31,2025-02-17,Reise,775.65
105,31,2025-07-11,NachU,4301.24
106,31,2025-02-12,Sonst,1889.29
107,31,2025-03-15,NachU,4770.63
108,31,2025-06-14,Sonst,2082.62
109,32,2025-05-16,Lizenz,4818.89
110,32,2025-02-09,Lizenz,2462.49
111,33,2025-05-14,Reise,4623.4
112,33,2025-04-29,Reise,1383.08
113,33,2025-05-11,Sonst,5089.96
114,33,2025-02-27,NachU,4731.5
115,34,2025-02-25,NachU,2906.58
116,34,2025-02-20,Sonst,4413.72
117,35,2025-05-14,Lizenz,2763.14
118,35,2025-04-02,Sonst,4993.95
119,35,2025-02-02,NachU,3324.16
120,35,2025-05-21,Sonst,1115.96
121,35,2025-05-26,Lizenz,2640.91
122,36,2025-02-24,Sonst,4148.83
123,36,2025-03-30,NachU,3109.86
124,36,2025-05-19,NachU,4883.0
125,37,2025-02-03,Reise,863.97
126,37,2025-07-15,Sonst,3837.93
127,37,2025-04-16,NachU,4294.93
128,37,2025-04-22,Sonst,479.51
129,38,2025-04-05,Reise,1819.52
130,38,2025-01-19,Reise,2962.73
131,38,2025-02-07,Lizenz,3141.14
132,39,2025-06-29,NachU,1004.96
133,39,2025-06-01,NachU,287.78
134,39,2025-01-27,NachU,4779.25
135,39,2025-05-15,Sonst,3384.54
136,40,2025-07-12,Sonst,721.6
137,40,2025-04-17,Reise,3891.13
138,41,2025-03-07,Sonst,5115.03
139,41,2025-03-29,Reise,1542.42
140,41,2025-02-19,Reise,2176.86
141,41,2025-03-11,Reise,2886.91
142,41,2025-05-05,Sonst,4311.4
143,42,2025-03-07,Lizenz,1608.43
144,42,2025-02-22,Reise,3247.53
145,42,2025-02-07,Lizenz,964.01
146,42,2025-02-12,Lizenz,591.31
147,43,2025-02-25,Reise,1944.96
148,43,2025-03-30,NachU,4987.73
149,43,2025-03-05,Lizenz,850.43
150,43,2025-02-01,Reise,4663.07
151,43,2025-06-10,NachU,522.36
152,44,2025-07-13,Lizenz,4206.18
153,44,2025-04-02,Lizenz,1795.46
154,44,2025-04-13,Sonst,926.63
155,44,2025-04-09,Lizenz,2791.91
156,45,2025-02-21,Lizenz,608.91
157,45,2025-03-27,NachU,4565.24
158,45,2025-02-16,Lizenz,1588.69
159,45,2025-01-13,Reise,4455.44
160,45,2025-02-12,Sonst,4610.31
161,46,2025-06-18,Sonst,585.15
162,46,2025-05-09,Lizenz,616.08
163,46,2025-01-08,Lizenz,2465.61
164,46,2025-04-18,Lizenz,3540.2
165,47,2025-06-04,Lizenz,151.46
166,47,2025-01-14,NachU,3864.52
167,47,2025-04-12,NachU,2066.37
168,48,2025-01-17,NachU,1565.59
169,48,2025-05-02,Lizenz,125.69
170,49,2025-02-06,NachU,1045.86
171,49,2025-04-06,NachU,2428.46
172,50,2025-06-19,Reise,2135.35
173,50,2025-07-10,Sonst,3090.16
174,50,2025-03-03,Sonst,1936.55
175,51,2025-03-02,Sonst,1590.13
176,51,2025-07-12,Reise,2676.45
177,51,2025-02-17,NachU,4953.81
178,51,2025-03-22,Sonst,3537.13
179,51,2025-02-26,Reise,2491.0
180,52,2025-06-23,NachU,3090.03
181,52,2025-07-09,Sonst,4511.06
182,52,2025-07-17,Sonst,2110.34
183,53,2025-04-07,NachU,1507.06
184,53,2025-06-14,Reise,4421.71
185,53,2025-03-14,Lizenz,662.35
186,53,2025-05-21,Lizenz,2595.43
187,54,2025-04-13,Sonst,4071.46
188,54,2025-02-24,Lizenz,2381.88
189,54,2025-01-30,Lizenz,5198.7
190,54,2025-02-08,Sonst,1956.05
191,54,2025-06-19,NachU,2810.82
192,55,2025-05-15,Sonst,4998.42
193,55,2025-03-20,NachU,1902.92
194,55,2025-01-20,Sonst,4860.07
195,55,2025-03-20,NachU,2361.99
196,55,2025-03-23,Sonst,1763.67
197,56,2025-01-15,NachU,1693.24
198,56,2025-05-05,Lizenz,4620.12
199,56,2025-02-16,NachU,3274.61
200,56,2025-05-27,Sonst,3828.67
201,56,2025-04-25,NachU,692.53
202,57,2025-06-24,Sonst,2535.46
203,57,2025-02-14,NachU,1656.26
204,58,2025-03-13,Reise,4477.49
205,58,2025-07-15,Reise,1450.42
206,58,2025-02-12,Lizenz,1658.57
207,58,2025-06-29,Sonst,5172.31
208,58,2025-01-15,Lizenz,2359.48
209,59,2025-06-28,Lizenz,2442.66
210,59,2025-02-05,Reise,4465.14
211,59,2025-04-21,Sonst,5132.28
212,59,2025-01-09,Reise,1598.83
213,60,2025-01-10,NachU,1740.0
214,60,2025-03-10,Lizenz,964.06
215,60,2025-04-13,Sonst,3567.77
216,61,2025-06-10,Lizenz,4007.4
217,61,2025-06-10,Sonst,4717.51
218,61,2025-03-03,Lizenz,2614.27
219,61,2025-06-20,Sonst,5117.13
220,61,2025-03-23,Reise,339.9
221,62,2025-06-03,Reise,2978.21
222,62,2025-04-25,Lizenz,1684.66
223,62,2025-03-23,Lizenz,3117.21
224,62,2025-04-09,Lizenz,2596.93
225,62,2025-01-17,Sonst,341.52
226,63,2025-06-04,Sonst,4180.28
227,63,2025-04-17,Sonst,2672.98
228,64,2025-07-01,Reise,5035.69
229,64,2025-07-15,Sonst,2833.36
230,64,2025-05-13,Lizenz,2843.53
231,64,2025-03-07,Lizenz,1958.27
232,65,2025-05-15,NachU,1864.0
233,65,2025-02-15,NachU,902.98
234,65,2025-01-25,Reise,930.9
235,65,2025-04-20,Lizenz,1804.63
236,66,2025-05-09,Reise,1185.62
237,66,2025-04-26,Reise,2383.71
238,66,2025-01-11,Sonst,1286.01
239,67,2025-03-25,NachU,4693.24
240,67,2025-02-01,Reise,4434.02
241,67,2025-06-19,NachU,469.03
242,68,2025-03-09,Lizenz,814.18
243,68,2025-04-29,NachU,1908.13
244,68,2025-02-28,Lizenz,521.96
245,68,2025-03-07,Reise,1804.25
246,68,2025-06-30,NachU,2223.35
247,69,2025-05-25,Reise,2987.09
248,69,2025-04-28,Sonst,3894.9
249,69,2025-06-14,Reise,1267.61
250,70,2025-06-22,NachU,3566.26
251,70,2025-01-26,Sonst,1536.67
252,70,2025-02-22,Sonst,2287.65
253,70,2025-04-28,NachU,4227.22
254,71,2025-06-19,Reise,2109.14
255,71,2025-06-27,Lizenz,1291.52
256,71,2025-05-27,NachU,1337.78
257,71,2025-05-15,Lizenz,1124.21
258,72,2025-03-11,Lizenz,746.41
259,72,2025-01-24,Sonst,3115.55
260,73,2025-05-13,NachU,717.43
261,73,2025-02-19,Reise,3546.58
262,73,2025-05-22,Lizenz,898.46
263,73,2025-07-15,Lizenz,3412.64
264,73,2025-02-15,Lizenz,4878.72
265,74,2025-02-02,NachU,1260.67
266,74,2025-02-02,Lizenz,3257.92
267,74,2025-06-27,Lizenz,378.05
268,74,2025-06-01,Sonst,1232.6
269,75,2025-05-05,Lizenz,1895.08
270,75,2025-03-15,Lizenz,4977.98
271,75,2025-07-15,Sonst,1191.64
272,75,2025-01-25,NachU,367.85
273,76,2025-05-23,Reise,1285.06
274,76,2025-06-21,Sonst,4033.85
275,76,2025-01-26,Reise,668.5
276,77,2025-04-20,Lizenz,932.09
277,77,2025-01-27,Lizenz,4124.2
278,78,2025-04-24,NachU,4975.68
279,78,2025-01-20,Sonst,4647.73
280,78,2025-04-28,Lizenz,2203.88
281,79,2025-04-16,NachU,2242.85
282,79,2025-04-14,NachU,2856.93
283,79,2025-02-12,NachU,1793.73
284,79,2025-04-06,Lizenz,4991.57
285,79,2025-04-01,Sonst,1060.27
286,80,2025-01-16,Reise,1010.66
287,80,2025-07-01,NachU,2705.72
288,81,2025-03-12,Sonst,3729.69
289,81,2025-01-17,Reise,1264.15
290,81,2025-05-25,NachU,314.34
291,81,2025-04-19,NachU,3663.86
292,81,2025-05-23,Lizenz,4671.86
293,82,2025-01-24,Sonst,2262.81
294,82,2025-06-22,Sonst,4442.67
295,82,2025-02-08,NachU,1079.87
296,82,2025-04-01,Lizenz,482.21
297,83,2025-06-27,Lizenz,4357.17
298,83,2025-04-18,Reise,2522.44
299,83,2025-07-03,Reise,5132.78
300,83,2025-04-13,Sonst,4785.08
301,84,2025-04-25,Lizenz,2423.13
302,84,2025-05-15,Sonst,2726.24
303,85,2025-02-02,Reise,2514.26
304,85,2025-03-12,Reise,3523.75
305,85,2025-01-16,Lizenz,2815.53
306,85,2025-03-19,Lizenz,2311.08
307,86,2025-04-09,Sonst,829.84
308,86,2025-01-29,Sonst,3140.57
309,86,2025-03-26,Lizenz,1502.08
310,86,2025-03-04,NachU,1515.46
311,87,2025-07-07,Sonst,2201.85
312,87,2025-06-09,Lizenz,3016.3
313,87,2025-05-19,Reise,2591.72
314,87,2025-07-15,Lizenz,4012.5
315,88,2025-02-03,Lizenz,205.33
316,88,2025-05-23,Sonst,712.67
317,89,2025-04-15,Lizenz,2740.05
318,89,2025-04-11,Lizenz,4831.64
319,89,2025-03-19,Sonst,4007.89
320,89,2025-02-17,Lizenz,2160.01
321,89,2025-02-24,Lizenz,3933.15
322,90,2025-02-16,NachU,2766.31
323,90,2025-03-17,Reise,3553.56
324,90,2025-06-16,NachU,5117.81
325,90,2025-07-03,Lizenz,2948.09
326,90,2025-03-18,Sonst,1725.75
327,91,2025-03-03,Reise,3382.65
328,91,2025-02-19,Sonst,5154.07
329,92,2025-06-05,Reise,2669.97
330,92,2025-01-11,NachU,2147.03
331,93,2025-02-26,Lizenz,4320.26
332,93,2025-01-24,NachU,484.54
333,93,2025-03-10,Reise,633.8
334,93,2025-04-23,Sonst,2499.31
335,93,2025-02-04,Lizenz,730.75
336,94,2025-03-07,NachU,2559.44
337,94,2025-04-03,Sonst,3975.52
338,94,2025-01-13,Lizenz,719.1
339,95,2025-07-11,NachU,167.67
340,95,2025-03-10,Reise,3198.55
341,95,2025-03-27,Reise,656.12
342,96,2025-05-19,Lizenz,1297.29
343,96,2025-02-24,Lizenz,3395.9
344,96,2025-02-03,NachU,1119.34
345,97,2025-07-10,Sonst,3588.23
346,97,2025-03-07,Sonst,2768.78
347,97,2025-04-03,NachU,3899.68
348,97,2025-05-28,Sonst,4641.25
349,98,2025-06-08,Lizenz,5119.81
350,98,2025-06-11,Sonst,1696.71
351,98,2025-03-20,NachU,255.61
352,98,2025-02-03,Reise,3814.48
353,99,2025-04-17,Reise,2205.62
354,99,2025-01-15,Reise,4187.75
355,99,2025-06-07,Lizenz,4649.51
356,99,2025-03-02,Lizenz,2695.53
357,100,2025-01-16,NachU,1614.28
358,100,2025-05-11,Sonst,755.12
359,100,2025-07-07,Sonst,3584.24
360,101,2025-04-08,Sonst,4082.82
361,101,2025-02-20,NachU,3262.6
362,102,2025-05-20,Sonst,3663.37
363,102,2025-04-17,Lizenz,2245.6
364,102,2025-02-14,NachU,4476.54
365,102,2025-04-27,Sonst,3022.31
366,102,2025-01-09,Reise,1642.34
367,103,2025-05-19,Reise,1082.67
368,103,2025-04-22,Lizenz,1814.4
369,103,2025-06-22,Lizenz,2364.88
370,103,2025-02-22,Sonst,1624.52
371,103,2025-05-08,Sonst,1741.59
372,104,2025-01-10,Sonst,3400.8
373,104,2025-01-24,Reise,1547.75
374,104,2025-02-13,Sonst,3092.94
375,104,2025-07-17,Sonst,4737.28
376,104,2025-04-16,Sonst,459.28
377,105,2025-04-11,Lizenz,2299.96
378,105,2025-07-09,Sonst,889.67
379,105,2025-03-06,Lizenz,2922.44
380,106,2025-05-03,Reise,209.43
381,106,2025-04-20,NachU,3650.03
382,106,2025-06-10,Sonst,5107.71
383,106,2025-02-23,Reise,2708.7
384,106,2025-02-07,Reise,1114.58
385,107,2025-03-26,Reise,3841.01
386,107,2025-02-25,Lizenz,1743.64
387,107,2025-02-20,Reise,3366.48
388,107,2025-05-23,Reise,2123.9
389,108,2025-03-13,Lizenz,3925.04
390,108,2025-02-25,Reise,3065.1
391,108,2025-04-12,Lizenz,3891.52
392,108,2025-07-11,NachU,1719.49
393,109,2025-04-20,NachU,3144.97
394,109,2025-06-15,Sonst,4740.8
395,109,2025-04-05,Lizenz,1275.97
396,109,2025-03-07,NachU,3302.87
397,110,2025-06-15,Lizenz,4187.39
398,110,2025-06-23,Sonst,4716.34
399,110,2025-06-13,Sonst,2674.14
400,110,2025-04-20,NachU,3375.24
401,111,2025-06-22,NachU,2249.41
402,111,2025-02-12,NachU,3480.39
403,111,2025-04-28,Sonst,4209.71
404,111,2025-06-13,Lizenz,2274.16
405,111,2025-06-12,Sonst,799.27
406,112,2025-06-20,Reise,4987.2
407,112,2025-01-27,NachU,685.13
408,112,2025-06-04,NachU,1722.42
409,112,2025-07-16,NachU,1301.76
410,112,2025-06-08,Lizenz,1770.52
411,113,2025-01-11,NachU,4765.28
412,113,2025-05-15,Sonst,4359.62
413,113,2025-03-07,Sonst,4442.16
414,113,2025-03-05,Reise,3893.33
415,114,2025-07-16,Sonst,1783.23
416,114,2025-05-12,NachU,1790.03
417,114,2025-04-22,Reise,3399.46
418,115,2025-06-29,Reise,2790.34
419,115,2025-04-24,NachU,4413.48
420,116,2025-01-28,Reise,870.6
421,116,2025-03-08,Sonst,1853.85
422,116,2025-03-15,Lizenz,3239.71
423,116,2025-04-04,Reise,4935.61
424,117,2025-04-24,Reise,1372.1
425,117,2025-05-20,NachU,3092.62
426,118,2025-07-04,Sonst,3684.55
427,118,2025-05-31,Reise,1535.75
428,118,2025-03-30,Reise,4091.53
429,118,2025-03-16,Reise,4433.69
430,119,2025-03-04,Sonst,843.37
431,119,2025-05-22,NachU,1248.8
432,119,2025-03-14,Reise,1724.86
433,119,2025-02-03,NachU,1546.87
434,120,2025-04-07,Sonst,219.06
435,120,2025-01-26,Sonst,3463.04
436,120,2025-04-18,Sonst,1098.84
437,120,2025-06-02,Reise,3062.83
