zeit_id,prj_nr,ma_nr,tag,std,stdsatz,betrag,fakt_kz
51,3,4,2025-02-21,2.5,113.0,282.5,true
52,3,4,2025-04-25,8.0,113.0,904.0,true
53,3,72,2025-05-21,4.0,137.0,548.0,true
54,3,55,2025-02-25,4.0,65.0,260.0,true
55,3,4,2025-04-25,8.0,113.0,904.0,false
56,3,65,2025-01-29,2.5,185.0,462.5,true
57,3,72,2025-06-04,2.5,137.0,342.5,true
58,3,4,2025-02-10,8.0,113.0,904.0,true
59,4,70,2025-05-28,4.0,113.0,452.0,true
60,4,62,2025-03-02,8.0,149.0,1192.0,true
61,4,70,2025-06-06,2.5,113.0,282.5,true
62,4,62,2025-05-24,4.0,149.0,596.0,true
63,4,70,2025-04-02,8.0,113.0,904.0,false
64,4,69,2025-07-07,2.5,101.0,252.5,false
65,4,69,2025-03-28,1.0,101.0,101.0,true
66,4,70,2025-02-09,2.5,113.0,282.5,false
67,4,70,2025-02-05,4.0,113.0,452.0,true
68,4,67,2025-06-21,8.0,77.0,616.0,false
69,4,70,2025-02-04,2.5,113.0,282.5,true
70,4,67,2025-05-04,8.0,77.0,616.0,true
71,4,62,2025-02-04,8.0,149.0,1192.0,true
72,4,62,2025-06-29,1.0,149.0,149.0,true
73,4,67,2025-02-12,1.0,77.0,77.0,true
74,4,67,2025-01-21,1.0,77.0,77.0,true
75,4,62,2025-03-05,8.0,149.0,1192.0,true
76,4,62,2025-03-02,2.5,149.0,372.5,true
77,4,67,2025-04-10,1.0,77.0,77.0,true
78,4,69,2025-05-12,8.0,101.0,808.0,true
79,4,69,2025-03-20,1.0,101.0,101.0,true
80,5,65,2025-06-23,1.0,185.0,185.0,true
81,5,65,2025-07-13,4.0,185.0,740.0,true
82,5,65,2025-04-02,4.0,185.0,740.0,true
83,5,65,2025-07-12,8.0,185.0,1480.0,false
84,5,65,2025-01-20,8.0,185.0,1480.0,true
85,5,9,2025-07-07,4.0,173.0,692.0,true
86,5,9,2025-01-12,8.0,173.0,1384.0,false
87,5,65,2025-04-28,4.0,185.0,740.0,false
88,5,9,2025-06-18,1.0,173.0,173.0,true
89,5,65,2025-07-17,4.0,185.0,740.0,true
90,5,9,2025-02-02,1.0,173.0,173.0,true
91,5,9,2025-06-14,4.0,173.0,692.0,true
92,5,65,2025-03-03,1.0,185.0,185.0,false
93,5,9,2025-01-26,2.5,173.0,432.5,true
94,6,49,2025-04-18,1.0,125.0,125.0,true
95,6,49,2025-07-13,4.0,125.0,500.0,true
96,6,24,2025-05-16,8.0,89.0,712.0,true
97,6,24,2025-02-08,4.0,89.0,356.0,true
98,6,24,2025-04-16,4.0,89.0,356.0,true
99,6,66,2025-06-03,8.0,65.0,520.0,false
100,6,24,2025-07-15,8.0,89.0,712.0,false
101,6,22,2025-06-07,4.0,65.0,260.0,false
102,6,22,2025-05-22,8.0,65.0,520.0,true
103,6,66,2025-02-02,2.5,65.0,162.5,false
104,6,24,2025-03-11,4.0,89.0,356.0,true
105,6,66,2025-01-09,4.0,65.0,260.0,true
106,6,24,2025-06-15,8.0,89.0,712.0,true
107,6,66,2025-03-20,8.0,65.0,520.0,false
108,6,24,2025-02-26,8.0,89.0,712.0,false
109,6,22,2025-04-15,1.0,65.0,65.0,true
110,6,49,2025-02-20,8.0,125.0,1000.0,true
111,6,22,2025-05-28,2.5,65.0,162.5,true
112,6,22,2025-07-07,1.0,65.0,65.0,true
113,6,22,2025-04-27,8.0,65.0,520.0,true
114,6,49,2025-05-20,2.5,125.0,312.5,true
115,6,22,2025-02-13,8.0,65.0,520.0,true
116,6,49,2025-06-12,2.5,125.0,312.5,true
117,6,49,2025-07-01,4.0,125.0,500.0,true
118,6,24,2025-07-06,2.5,89.0,222.5,false
119,6,66,2025-06-01,4.0,65.0,260.0,true
120,7,50,2025-04-12,8.0,137.0,1096.0,false
121,7,50,2025-02-18,4.0,137.0,548.0,true
122,7,50,2025-03-27,4.0,137.0,548.0,true
123,7,8,2025-01-27,1.0,161.0,161.0,true
124,7,69,2025-04-16,8.0,101.0,808.0,true
125,7,8,2025-02-06,8.0,161.0,1288.0,true
126,7,69,2025-02-22,2.5,101.0,252.5,false
127,7,7,2025-03-24,1.0,149.0,149.0,true
128,7,50,2025-07-10,1.0,137.0,137.0,true
129,7,8,2025-07-10,8.0,161.0,1288.0,true
130,7,8,2025-05-26,2.5,161.0,402.5,true
131,7,7,2025-02-10,1.0,149.0,149.0,false
132,7,7,2025-06-22,1.0,149.0,149.0,true
133,7,50,2025-06-29,4.0,137.0,548.0,true
134,7,8,2025-05-12,1.0,161.0,161.0,false
135,7,7,2025-03-05,4.0,149.0,596.0,false
136,7,69,2025-06-24,4.0,101.0,404.0,true
137,7,7,2025-05-12,2.5,149.0,372.5,true
138,7,69,2025-01-21,2.5,101.0,252.5,false
139,7,69,2025-05-18,8.0,101.0,808.0,true
140,7,7,2025-03-06,4.0,149.0,596.0,true
141,7,50,2025-07-15,1.0,137.0,137.0,true
142,7,7,2025-03-03,8.0,149.0,1192.0,false
143,7,69,2025-07-22,2.5,101.0,252.5,true
144,7,69,2025-05-20,2.5,101.0,252.5,true
145,7,8,2025-03-26,8.0,161.0,1288.0,true
146,8,23,2025-04-01,4.0,77.0,308.0,true
147,8,23,2025-06-23,1.0,77.0,77.0,true
148,8,23,2025-05-03,8.0,77.0,616.0,false
149,8,37,2025-06-17,1.0,113.0,113.0,false
150,8,23,2025-04-10,4.0,77.0,308.0,true
151,8,23,2025-04-07,1.0,77.0,77.0,true
152,8,23,2025-02-17,4.0,77.0,308.0,true
153,8,23,2025-01-17,1.0,77.0,77.0,false
154,8,37,2025-04-29,8.0,113.0,904.0,true
155,8,37,2025-04-13,8.0,113.0,904.0,true
156,8,23,2025-04-22,2.5,77.0,192.5,true
157,8,23,2025-03-17,2.5,77.0,192.5,true
158,9,17,2025-05-08,8.0,137.0,1096.0,true
159,9,17,2025-02-07,1.0,137.0,137.0,true
160,9,17,2025-04-06,2.5,137.0,342.5,false
161,9,59,2025-06-27,2.5,113.0,282.5,false
162,9,59,2025-05-09,1.0,113.0,113.0,true
163,9,59,2025-03-08,2.5,113.0,282.5,true
164,9,17,2025-03-13,4.0,137.0,548.0,true
165,9,59,2025-03-24,4.0,113.0,452.0,true
166,9,59,2025-06-22,8.0,113.0,904.0,false
167,9,59,2025-04-08,8.0,113.0,904.0,false
168,9,59,2025-05-16,1.0,113.0,113.0,true
169,9,17,2025-02-06,4.0,137.0,548.0,true
170,9,59,2025-01-04,8.0,113.0,904.0,false
171,9,17,2025-04-16,4.0,137.0,548.0,true
172,9,17,2025-07-22,4.0,137.0,548.0,false
173,10,69,2025-02-07,1.0,101.0,101.0,false
174,10,52,2025-05-20,8.0,161.0,1288.0,true
175,10,12,2025-01-15,2.5,77.0,192.5,false
176,10,25,2025-04-10,1.0,101.0,101.0,true
177,10,25,2025-04-09,2.5,101.0,252.5,true
178,10,25,2025-07-08,2.5,101.0,252.5,true
179,10,69,2025-03-29,2.5,101.0,252.5,true
180,10,52,2025-03-14,2.5,161.0,402.5,true
181,10,12,2025-04-20,8.0,77.0,616.0,true
182,10,52,2025-06-20,8.0,161.0,1288.0,true
183,10,25,2025-06-18,1.0,101.0,101.0,true
184,10,52,2025-04-07,1.0,161.0,161.0,true
185,10,25,2025-05-15,4.0,101.0,404.0,false
186,10,52,2025-03-15,8.0,161.0,1288.0,true
187,10,25,2025-04-23,4.0,101.0,404.0,false
188,10,12,2025-06-11,4.0,77.0,308.0,true
189,10,69,2025-02-09,8.0,101.0,808.0,true
190,10,69,2025-01-20,4.0,101.0,404.0,true
191,10,12,2025-03-09,4.0,77.0,308.0,true
192,10,69,2025-05-13,1.0,101.0,101.0,true
193,10,25,2025-02-23,1.0,101.0,101.0,true
194,10,12,2025-02-04,2.5,77.0,192.5,true
195,11,40,2025-03-22,8.0,149.0,1192.0,true
196,11,25,2025-06-08,4.0,101.0,404.0,true
197,11,26,2025-02-11,4.0,113.0,452.0,true
198,11,40,2025-06-10,2.5,149.0,372.5,true
199,11,40,2025-06-03,8.0,149.0,1192.0,true
200,11,25,2025-06-20,1.0,101.0,101.0,true
201,11,26,2025-04-20,1.0,113.0,113.0,true
202,11,26,2025-03-01,1.0,113.0,113.0,true
203,11,60,2025-02-11,8.0,125.0,1000.0,false
204,11,60,2025-02-12,2.5,125.0,312.5,true
205,11,40,2025-02-14,8.0,149.0,1192.0,false
206,11,60,2025-04-03,1.0,125.0,125.0,true
207,11,25,2025-07-05,2.5,101.0,252.5,true
208,11,26,2025-01-03,2.5,113.0,282.5,true
209,12,27,2025-07-04,4.0,125.0,500.0,true
210,12,31,2025-04-21,2.5,173.0,432.5,false
211,12,31,2025-01-14,8.0,173.0,1384.0,true
212,12,59,2025-02-21,1.0,113.0,113.0,false
213,12,27,2025-01-15,8.0,125.0,1000.0,false
214,12,27,2025-04-25,2.5,125.0,312.5,false
215,12,27,2025-05-06,8.0,125.0,1000.0,true
216,12,27,2025-06-17,1.0,125.0,125.0,true
217,12,59,2025-07-13,8.0,113.0,904.0,true
218,12,27,2025-01-05,8.0,125.0,1000.0,true
219,12,31,2025-04-02,1.0,173.0,173.0,true
220,12,27,2025-03-09,4.0,125.0,500.0,false
221,12,52,2025-02-14,8.0,161.0,1288.0,false
222,12,27,2025-06-27,2.5,125.0,312.5,true
223,12,27,2025-04-17,2.5,125.0,312.5,true
224,12,27,2025-04-29,4.0,125.0,500.0,true
225,12,52,2025-04-23,8.0,161.0,1288.0,true
226,12,27,2025-06-19,4.0,125.0,500.0,true
227,12,52,2025-04-05,4.0,161.0,644.0,true
228,12,59,2025-06-09,1.0,113.0,113.0,false
229,12,27,2025-06-11,8.0,125.0,1000.0,true
230,12,31,2025-07-08,1.0,173.0,173.0,true
231,12,59,2025-02-06,4.0,113.0,452.0,false
232,12,59,2025-03-24,1.0,113.0,113.0,true
233,12,59,2025-02-14,2.5,113.0,282.5,true
234,12,27,2025-04-02,8.0,125.0,1000.0,true
235,12,31,2025-01-12,2.5,173.0,432.5,true
236,12,31,2025-02-14,2.5,173.0,432.5,true
237,13,68,2025-05-03,8.0,89.0,712.0,true
238,13,37,2025-02-11,2.5,113.0,282.5,true
239,13,68,2025-01-23,4.0,89.0,356.0,true
240,13,37,2025-04-27,2.5,113.0,282.5,true
241,13,68,2025-04-27,1.0,89.0,89.0,true
242,13,37,2025-06-01,1.0,113.0,113.0,true
243,13,68,2025-04-29,1.0,89.0,89.0,false
244,13,68,2025-05-22,4.0,89.0,356.0,true
245,13,68,2025-03-20,1.0,89.0,89.0,true
246,13,37,2025-03-13,8.0,113.0,904.0,true
247,13,68,2025-01-24,8.0,89.0,712.0,false
248,13,68,2025-04-07,1.0,89.0,89.0,true
249,13,68,2025-06-23,1.0,89.0,89.0,false
250,13,68,2025-05-02,1.0,89.0,89.0,false
251,13,37,2025-06-04,2.5,113.0,282.5,true
252,13,37,2025-03-20,4.0,113.0,452.0,true
253,13,37,2025-03-17,2.5,113.0,282.5,false
254,13,37,2025-01-18,4.0,113.0,452.0,true
255,13,37,2025-07-19,8.0,113.0,904.0,true
256,13,68,2025-04-08,1.0,89.0,89.0,true
257,13,68,2025-05-17,8.0,89.0,712.0,false
258,14,7,2025-07-10,2.5,149.0,372.5,false
259,14,69,2025-02-07,8.0,101.0,808.0,true
260,14,69,2025-02-12,4.0,101.0,404.0,true
261,14,69,2025-03-18,4.0,101.0,404.0,true
262,14,7,2025-06-25,1.0,149.0,149.0,true
263,14,52,2025-06-30,4.0,161.0,644.0,true
264,14,52,2025-04-22,8.0,161.0,1288.0,true
265,14,52,2025-06-06,2.5,161.0,402.5,true
266,14,7,2025-05-10,8.0,149.0,1192.0,true
267,14,7,2025-05-22,8.0,149.0,1192.0,true
268,14,52,2025-03-15,2.5,161.0,402.5,true
269,14,7,2025-03-11,4.0,149.0,596.0,true
270,14,69,2025-04-18,8.0,101.0,808.0,true
271,14,52,2025-02-16,2.5,161.0,402.5,true
272,14,52,2025-04-23,1.0,161.0,161.0,true
273,14,7,2025-03-06,1.0,149.0,149.0,false
274,14,7,2025-03-13,4.0,149.0,596.0,false
275,14,7,2025-01-30,4.0,149.0,596.0,true
276,14,7,2025-04-23,2.5,149.0,372.5,true
277,14,52,2025-02-16,4.0,161.0,644.0,false
278,14,52,2025-01-11,1.0,161.0,161.0,true
279,14,7,2025-04-23,8.0,149.0,1192.0,true
280,14,52,2025-02-28,8.0,161.0,1288.0,true
281,14,69,2025-02-19,8.0,101.0,808.0,false
282,14,69,2025-05-14,8.0,101.0,808.0,true
283,14,69,2025-03-23,4.0,101.0,404.0,true
284,14,69,2025-01-28,1.0,101.0,101.0,false
285,15,8,2025-06-05,2.5,161.0,402.5,true
286,15,73,2025-01-23,8.0,149.0,1192.0,false
287,15,80,2025-06-02,1.0,101.0,101.0,true
288,15,21,2025-04-01,2.5,185.0,462.5,false
289,15,73,2025-05-25,1.0,149.0,149.0,true
290,15,21,2025-03-10,1.0,185.0,185.0,true
291,15,21,2025-04-14,2.5,185.0,462.5,true
292,15,8,2025-01-24,4.0,161.0,644.0,true
293,15,8,2025-05-07,1.0,161.0,161.0,true
294,15,8,2025-02-03,8.0,161.0,1288.0,false
295,15,21,2025-07-19,2.5,185.0,462.5,true
296,15,21,2025-07-05,4.0,185.0,740.0,true
297,15,73,2025-01-27,1.0,149.0,149.0,true
298,15,80,2025-03-14,2.5,101.0,252.5,true
299,15,8,2025-07-01,8.0,161.0,1288.0,true
300,15,80,2025-04-06,8.0,101.0,808.0,true
301,15,80,2025-02-22,4.0,101.0,404.0,true
302,15,80,2025-06-16,4.0,101.0,404.0,true
303,15,80,2025-02-20,8.0,101.0,808.0,true
304,15,8,2025-06-20,1.0,161.0,161.0,true
305,16,7,2025-01-07,8.0,149.0,1192.0,true
306,16,7,2025-05-26,1.0,149.0,149.0,true
307,16,24,2025-05-05,8.0,89.0,712.0,true
308,16,24,2025-04-06,4.0,89.0,356.0,true
309,16,7,2025-04-26,8.0,149.0,1192.0,true
310,16,7,2025-03-05,2.5,149.0,372.5,false
311,16,7,2025-04-19,1.0,149.0,149.0,true
312,16,52,2025-05-22,1.0,161.0,161.0,true
313,16,24,2025-07-20,4.0,89.0,356.0,true
314,16,24,2025-03-12,1.0,89.0,89.0,true
315,16,52,2025-02-14,4.0,161.0,644.0,true
316,16,7,2025-05-19,1.0,149.0,149.0,true
317,16,52,2025-07-18,1.0,161.0,161.0,true
318,16,7,2025-01-11,1.0,149.0,149.0,true
319,16,52,2025-04-07,1.0,161.0,161.0,true
320,16,52,2025-05-19,4.0,161.0,644.0,true
321,16,7,2025-04-05,8.0,149.0,1192.0,false
322,16,52,2025-01-26,4.0,161.0,644.0,false
323,16,52,2025-03-05,1.0,161.0,161.0,true
324,16,7,2025-03-08,4.0,149.0,596.0,true
325,16,24,2025-03-30,2.5,89.0,222.5,false
326,16,24,2025-06-20,8.0,89.0,712.0,true
327,16,24,2025-01-23,8.0,89.0,712.0,true
328,16,7,2025-01-27,8.0,149.0,1192.0,true
329,16,24,2025-04-15,8.0,89.0,712.0,true
330,16,24,2025-04-10,8.0,89.0,712.0,true
331,16,24,2025-07-19,2.5,89.0,222.5,true
332,17,21,2025-03-26,4.0,185.0,740.0,true
333,17,12,2025-04-07,8.0,77.0,616.0,true
334,17,12,2025-06-20,8.0,77.0,616.0,false
335,17,21,2025-05-13,8.0,185.0,1480.0,true
336,17,12,2025-06-12,1.0,77.0,77.0,true
337,17,21,2025-02-08,2.5,185.0,462.5,true
338,17,12,2025-05-17,1.0,77.0,77.0,true
339,17,28,2025-03-27,2.5,137.0,342.5,true
340,17,21,2025-06-04,1.0,185.0,185.0,true
341,17,12,2025-03-24,8.0,77.0,616.0,false
342,17,28,2025-03-12,8.0,137.0,1096.0,true
343,17,28,2025-06-30,2.5,137.0,342.5,true
344,17,21,2025-01-18,4.0,185.0,740.0,true
345,17,12,2025-02-19,2.5,77.0,192.5,true
346,17,28,2025-05-14,4.0,137.0,548.0,true
347,17,12,2025-04-12,8.0,77.0,616.0,true
348,17,12,2025-06-09,1.0,77.0,77.0,true
349,17,12,2025-03-22,4.0,77.0,308.0,true
350,17,12,2025-02-18,8.0,77.0,616.0,true
351,17,21,2025-03-28,2.5,185.0,462.5,false
352,17,28,2025-06-19,4.0,137.0,548.0,true
353,17,12,2025-06-08,8.0,77.0,616.0,true
354,17,28,2025-01-26,1.0,137.0,137.0,true
355,17,21,2025-07-03,2.5,185.0,462.5,true
356,17,21,2025-03-20,2.5,185.0,462.5,true
357,17,28,2025-04-11,2.5,137.0,342.5,true
358,17,12,2025-04-01,4.0,77.0,308.0,false
359,17,28,2025-01-13,2.5,137.0,342.5,true
360,18,43,2025-06-21,2.5,185.0,462.5,true
361,18,55,2025-03-03,2.5,65.0,162.5,true
362,18,55,2025-04-06,4.0,65.0,260.0,true
363,18,55,2025-06-27,8.0,65.0,520.0,true
364,18,55,2025-02-24,1.0,65.0,65.0,false
365,18,55,2025-02-17,4.0,65.0,260.0,true
366,18,43,2025-01-16,8.0,185.0,1480.0,true
367,18,43,2025-03-31,1.0,185.0,185.0,true
368,18,55,2025-03-16,1.0,65.0,65.0,true
369,18,55,2025-02-28,4.0,65.0,260.0,false
370,18,55,2025-01-30,8.0,65.0,520.0,true
371,18,43,2025-06-22,1.0,185.0,185.0,true
372,18,55,2025-06-17,2.5,65.0,162.5,true
373,18,55,2025-02-24,4.0,65.0,260.0,true
374,18,43,2025-03-07,8.0,185.0,1480.0,true
375,18,55,2025-05-10,8.0,65.0,520.0,true
376,18,43,2025-01-04,4.0,185.0,740.0,true
377,18,55,2025-03-23,2.5,65.0,162.5,true
378,18,55,2025-03-19,8.0,65.0,520.0,true
379,18,55,2025-07-02,8.0,65.0,520.0,true
380,19,60,2025-02-22,1.0,125.0,125.0,false
381,19,60,2025-05-09,8.0,125.0,1000.0,true
382,19,60,2025-04-05,8.0,125.0,1000.0,true
383,19,23,2025-06-02,4.0,77.0,308.0,true
384,19,13,2025-01-29,4.0,89.0,356.0,true
385,19,23,2025-04-04,1.0,77.0,77.0,true
386,19,17,2025-02-20,4.0,137.0,548.0,false
387,19,60,2025-04-29,8.0,125.0,1000.0,true
388,19,60,2025-05-30,2.5,125.0,312.5,true
389,19,23,2025-02-21,4.0,77.0,308.0,true
390,19,60,2025-04-18,8.0,125.0,1000.0,true
391,19,13,2025-02-10,4.0,89.0,356.0,true
392,19,13,2025-05-25,2.5,89.0,222.5,true
393,19,23,2025-03-14,1.0,77.0,77.0,true
394,19,17,2025-04-23,8.0,137.0,1096.0,true
395,19,17,2025-04-12,4.0,137.0,548.0,true
396,20,19,2025-01-07,2.5,161.0,402.5,true
397,20,47,2025-07-17,2.5,101.0,252.5,true
398,20,47,2025-07-07,1.0,101.0,101.0,true
399,20,19,2025-05-04,8.0,161.0,1288.0,true
400,20,14,2025-03-15,4.0,101.0,404.0,true
401,20,47,2025-04-05,1.0,101.0,101.0,false
402,20,47,2025-04-15,2.5,101.0,252.5,true
403,20,47,2025-01-27,2.5,101.0,252.5,true
404,20,14,2025-02-17,4.0,101.0,404.0,true
405,20,19,2025-03-04,2.5,161.0,402.5,true
406,20,19,2025-03-28,2.5,161.0,402.5,true
407,20,47,2025-01-23,2.5,101.0,252.5,true
408,20,47,2025-06-13,4.0,101.0,404.0,false
409,21,71,2025-05-29,4.0,125.0,500.0,false
410,21,13,2025-05-20,8.0,89.0,712.0,false
411,21,32,2025-07-01,8.0,185.0,1480.0,true
412,21,13,2025-04-05,1.0,89.0,89.0,true
413,21,32,2025-06-08,4.0,185.0,740.0,false
414,21,8,2025-06-26,2.5,161.0,402.5,true
415,21,32,2025-05-08,1.0,185.0,185.0,false
416,21,13,2025-07-18,4.0,89.0,356.0,false
417,21,13,2025-06-28,2.5,89.0,222.5,false
418,21,8,2025-02-14,1.0,161.0,161.0,false
419,21,13,2025-04-10,1.0,89.0,89.0,false
420,21,13,2025-04-19,2.5,89.0,222.5,true
421,21,71,2025-06-24,1.0,125.0,125.0,false
422,21,71,2025-05-07,4.0,125.0,500.0,true
423,21,32,2025-06-27,2.5,185.0,462.5,true
424,21,13,2025-07-22,1.0,89.0,89.0,true
425,21,32,2025-04-23,2.5,185.0,462.5,true
426,21,8,2025-03-17,8.0,161.0,1288.0,false
427,22,74,2025-01-12,4.0,161.0,644.0,true
428,22,74,2025-04-16,8.0,161.0,1288.0,true
429,22,74,2025-02-07,8.0,161.0,1288.0,true
430,22,50,2025-01-06,4.0,137.0,548.0,true
431,22,50,2025-01-26,4.0,137.0,548.0,false
432,22,74,2025-05-06,1.0,161.0,161.0,true
433,22,53,2025-01-08,2.5,173.0,432.5,true
434,22,50,2025-06-24,1.0,137.0,137.0,true
435,22,53,2025-07-11,8.0,173.0,1384.0,true
436,22,53,2025-04-13,2.5,173.0,432.5,true
437,22,74,2025-06-09,1.0,161.0,161.0,false
438,22,50,2025-03-23,4.0,137.0,548.0,false
439,22,74,2025-06-29,1.0,161.0,161.0,true
440,22,53,2025-01-19,1.0,173.0,173.0,true
441,22,50,2025-06-09,1.0,137.0,137.0,true
442,22,53,2025-02-15,2.5,173.0,432.5,true
443,22,53,2025-02-10,2.5,173.0,432.5,true
444,22,74,2025-01-23,2.5,161.0,402.5,false
445,22,53,2025-05-07,4.0,173.0,692.0,true
446,22,50,2025-01-07,1.0,137.0,137.0,true
447,22,50,2025-05-12,4.0,137.0,548.0,true
448,22,74,2025-07-06,1.0,161.0,161.0,true
449,22,74,2025-02-22,1.0,161.0,161.0,true
450,22,53,2025-03-18,1.0,173.0,173.0,true
451,22,53,2025-06-08,1.0,173.0,173.0,true
452,22,74,2025-03-03,4.0,161.0,644.0,true
453,22,74,2025-07-16,2.5,161.0,402.5,true
454,23,17,2025-05-16,2.5,137.0,342.5,false
455,23,31,2025-04-27,4.0,173.0,692.0,false
456,23,17,2025-03-02,2.5,137.0,342.5,true
457,23,31,2025-02-21,1.0,173.0,173.0,true
458,23,17,2025-07-12,1.0,137.0,137.0,true
459,23,29,2025-05-05,2.5,149.0,372.5,true
460,23,29,2025-01-10,1.0,149.0,149.0,true
461,23,8,2025-01-31,4.0,161.0,644.0,false
462,23,8,2025-05-11,1.0,161.0,161.0,true
463,23,31,2025-06-10,1.0,173.0,173.0,true
464,23,31,2025-07-08,8.0,173.0,1384.0,false
465,23,17,2025-03-25,8.0,137.0,1096.0,false
466,23,8,2025-05-19,4.0,161.0,644.0,true
467,23,29,2025-02-02,1.0,149.0,149.0,true
468,23,17,2025-02-13,4.0,137.0,548.0,true
469,23,8,2025-04-30,4.0,161.0,644.0,true
470,23,17,2025-05-06,4.0,137.0,548.0,true
471,23,17,2025-02-01,4.0,137.0,548.0,true
472,23,29,2025-06-13,2.5,149.0,372.5,true
473,23,8,2025-04-28,4.0,161.0,644.0,true
474,23,17,2025-01-12,1.0,137.0,137.0,true
475,23,31,2025-03-03,1.0,173.0,173.0,true
476,23,29,2025-03-07,8.0,149.0,1192.0,true
477,24,54,2025-07-18,2.5,185.0,462.5,true
478,24,54,2025-04-13,8.0,185.0,1480.0,true
479,24,54,2025-02-14,4.0,185.0,740.0,true
480,24,54,2025-05-28,4.0,185.0,740.0,true
481,24,48,2025-05-19,8.0,113.0,904.0,true
482,24,40,2025-04-16,1.0,149.0,149.0,true
483,24,54,2025-07-15,2.5,185.0,462.5,true
484,24,6,2025-01-10,4.0,137.0,548.0,true
485,24,40,2025-03-29,1.0,149.0,149.0,true
486,24,40,2025-05-16,1.0,149.0,149.0,true
487,24,48,2025-02-20,4.0,113.0,452.0,true
488,24,40,2025-05-18,1.0,149.0,149.0,true
489,24,54,2025-06-08,2.5,185.0,462.5,false
490,24,6,2025-02-15,4.0,137.0,548.0,true
491,24,48,2025-04-29,8.0,113.0,904.0,true
492,24,6,2025-05-26,1.0,137.0,137.0,true
493,24,54,2025-05-12,8.0,185.0,1480.0,true
494,24,6,2025-05-14,1.0,137.0,137.0,true
495,24,6,2025-03-29,4.0,137.0,548.0,true
496,24,40,2025-01-23,1.0,149.0,149.0,true
497,24,48,2025-02-07,8.0,113.0,904.0,true
498,24,40,2025-06-10,2.5,149.0,372.5,false
499,24,48,2025-05-09,1.0,113.0,113.0,true
500,24,54,2025-02-22,2.5,185.0,462.5,true
501,24,54,2025-05-18,2.5,185.0,462.5,true
502,24,40,2025-05-07,8.0,149.0,1192.0,true
503,24,6,2025-05-10,4.0,137.0,548.0,false
504,24,48,2025-05-08,8.0,113.0,904.0,true
505,25,55,2025-02-06,1.0,65.0,65.0,true
506,25,70,2025-02-02,2.5,113.0,282.5,true
507,25,70,2025-03-08,8.0,113.0,904.0,true
508,25,55,2025-05-04,8.0,65.0,520.0,false
509,25,70,2025-06-15,2.5,113.0,282.5,false
510,25,70,2025-04-18,1.0,113.0,113.0,true
511,25,55,2025-07-07,4.0,65.0,260.0,true
512,25,70,2025-01-08,1.0,113.0,113.0,true
513,25,55,2025-07-17,2.5,65.0,162.5,false
