route_id,depot_id,vehicle_id,driver_id,route_date,planned_stops,total_distance_km
74,8,23,7,2025-04-10,7,208.7
75,2,17,25,2025-06-02,7,187.5
76,8,23,23,2025-04-11,7,171.5
77,7,14,22,2025-06-22,4,107.8
78,1,16,8,2025-05-21,6,132.8
79,7,22,14,2025-05-11,6,142.1
80,5,4,20,2025-04-10,4,92.1
81,6,5,13,2025-05-19,3,99.2
82,5,12,20,2025-06-18,3,63.6
83,5,12,20,2025-06-30,5,99.1
84,1,24,8,2025-05-03,6,176.0
85,3,2,2,2025-05-04,6,200.5
86,6,5,21,2025-04-29,4,80.5
87,1,8,16,2025-05-11,3,53.9
88,7,22,14,2025-04-02,6,101.2
89,5,4,4,2025-06-27,5,161.3
90,1,24,16,2025-04-24,3,97.9
91,3,18,2,2025-05-23,4,80.4
92,7,14,30,2025-05-24,5,153.5
93,3,10,2,2025-04-23,5,123.7
94,2,17,1,2025-04-12,7,224.4
95,3,10,2,2025-05-10,7,153.6
96,2,25,9,2025-06-06,6,148.5
97,6,13,5,2025-06-27,5,112.3
98,5,4,20,2025-06-06,4,103.2
99,6,13,5,2025-06-02,7,225.0
100,2,1,25,2025-05-01,3,75.2
101,5,12,28,2025-06-13,5,126.6
102,4,11,27,2025-06-29,3,54.9
103,7,14,30,2025-05-08,3,87.7
104,3,10,26,2025-04-04,6,163.3
105,2,17,17,2025-06-12,3,83.9
106,1,16,16,2025-04-19,5,86.1
107,5,4,4,2025-06-05,5,114.3
108,4,19,3,2025-05-23,7,182.5
109,2,25,25,2025-04-24,5,156.0
110,1,8,24,2025-05-09,4,106.3
111,1,24,8,2025-06-18,6,133.8
112,8,7,7,2025-06-02,5,148.9
113,6,13,13,2025-05-03,4,72.1
114,4,11,19,2025-04-14,6,153.0
115,5,12,28,2025-05-14,3,43.9
116,5,20,20,2025-06-28,3,69.9
117,2,1,17,2025-04-18,5,178.2
118,6,13,29,2025-04-04,3,68.7
119,3,10,26,2025-06-30,6,140.5
120,6,5,13,2025-05-16,4,99.6
121,6,5,21,2025-05-30,4,98.3
122,8,15,15,2025-04-27,5,120.9
123,7,14,22,2025-04-09,5,141.1
124,7,6,22,2025-04-30,3,78.1
125,8,15,15,2025-06-23,3,121.2
126,1,8,24,2025-05-20,7,275.3
127,4,19,3,2025-05-13,7,186.3
128,6,5,21,2025-06-07,5,170.0
129,2,9,25,2025-04-24,7,148.5
130,3,2,2,2025-04-22,3,99.8
131,6,5,5,2025-04-17,7,142.6
132,5,20,20,2025-05-26,6,199.4
133,6,21,21,2025-05-31,4,134.9
134,6,13,5,2025-06-13,3,86.4
135,6,13,29,2025-05-30,5,132.8
136,3,2,18,2025-04-24,4,104.1
137,1,16,24,2025-04-12,3,45.9
138,1,8,16,2025-05-19,6,199.2
139,6,5,21,2025-06-04,7,188.7
140,5,20,20,2025-06-19,3,65.1
141,4,3,3,2025-04-11,6,150.7
142,6,13,5,2025-04-23,5,115.3
143,5,20,4,2025-04-07,3,120.3
144,4,3,3,2025-04-18,7,203.3
145,3,18,26,2025-04-26,6,135.2
146,5,4,20,2025-06-17,5,131.5
147,8,7,7,2025-04-28,4,85.6
148,2,25,9,2025-05-27,4,114.4
149,5,4,28,2025-04-06,7,227.0
150,6,5,21,2025-04-26,3,84.5
151,3,18,26,2025-04-21,6,208.5
152,1,24,24,2025-06-21,6,136.7
153,4,11,27,2025-06-19,6,174.7
154,4,11,11,2025-05-11,3,89.9
155,1,16,16,2025-04-10,5,100.8
156,7,6,22,2025-05-29,6,151.3
157,1,24,24,2025-05-28,7,110.2
158,7,6,30,2025-05-26,5,124.3
159,3,10,26,2025-04-01,3,109.8
160,5,4,20,2025-06-26,5,101.2
161,3,10,10,2025-05-21,5,103.5
162,7,22,30,2025-04-12,6,128.9
163,2,25,1,2025-05-22,7,173.2
164,3,2,26,2025-06-14,4,135.8
165,8,7,7,2025-06-21,4,132.1
166,1,16,24,2025-04-24,7,167.7
167,8,15,23,2025-06-17,3,61.3
168,5,20,28,2025-04-25,3,35.1
169,5,20,28,2025-05-13,6,156.9
170,7,22,30,2025-05-07,5,110.6
171,6,21,5,2025-04-01,5,149.5
172,7,14,14,2025-06-02,3,96.5
173,1,24,24,2025-04-24,5,132.8
174,3,18,10,2025-06-08,6,180.8
175,2,25,1,2025-05-01,5,72.0
176,4,3,3,2025-05-19,5,180.6
177,7,14,6,2025-04-18,4,101.5
178,4,11,19,2025-06-01,3,64.2
179,7,6,22,2025-06-08,7,193.0
180,5,12,20,2025-06-06,5,97.4
181,8,7,7,2025-04-22,4,100.7
182,6,5,13,2025-05-22,4,138.4
183,3,2,2,2025-06-26,3,92.3
184,1,8,24,2025-06-22,4,90.5
185,8,7,23,2025-05-19,7,129.3
186,3,18,26,2025-06-23,6,175.8
187,2,1,17,2025-06-10,4,120.0
188,5,12,20,2025-05-16,7,217.3
189,6,13,13,2025-04-03,7,181.0
190,5,12,28,2025-04-21,7,188.5
191,1,24,24,2025-04-02,7,199.2
192,8,7,23,2025-04-14,4,142.4
193,8,15,7,2025-05-14,3,113.6
194,7,6,6,2025-05-20,7,177.3
