shipment_id,route_id,depot_id,consignee,promised_at,delivered_at,delay_min,weight_kg,status
47,12,2,Ostbau 47,2025-06-03 11:30:00,2025-06-03 11:55:00,25,340.2,delivered
48,12,2,Alpin 48,2025-06-03 12:30:00,2025-06-03 12:40:00,10,160.5,delivered
49,12,2,Hanse 49,2025-06-03 13:00:00,2025-06-03 12:40:00,-20,213.2,delivered
50,12,2,Rhein 50,2025-06-03 14:15:00,2025-06-03 13:55:00,-20,64.7,delivered
51,13,5,Südhandel 51,2025-04-03 09:30:00,,,287.3,late
52,13,5,Westlog 52,2025-04-03 10:45:00,2025-04-03 11:40:00,55,377.5,exception
53,13,5,Ostbau 53,2025-04-03 11:30:00,2025-04-03 11:25:00,-5,160.1,delivered
54,14,8,Südhandel 54,2025-06-18 09:00:00,2025-06-18 09:55:00,55,352.5,late
55,14,8,Westlog 55,2025-06-18 10:15:00,2025-06-18 10:40:00,25,409.1,exception
56,14,8,Ostbau 56,2025-06-18 11:45:00,2025-06-18 12:40:00,55,265.1,delivered
57,14,8,Alpin 57,2025-06-18 12:45:00,2025-06-18 13:10:00,25,44.9,late
58,14,8,Hanse 58,2025-06-18 13:30:00,2025-06-18 13:40:00,10,277.9,delivered
59,14,8,Rhein 59,2025-06-18 14:45:00,2025-06-18 14:45:00,0,83.2,delivered
60,15,4,Südhandel 60,2025-05-28 09:45:00,2025-05-28 09:55:00,10,222.3,delivered
61,15,4,Westlog 61,2025-05-28 10:30:00,2025-05-28 10:55:00,25,16.7,exception
62,15,4,Ostbau 62,2025-05-28 11:45:00,2025-05-28 11:40:00,-5,46.4,delivered
63,15,4,Alpin 63,2025-05-28 12:00:00,2025-05-28 12:55:00,55,169.9,exception
64,15,4,Hanse 64,2025-05-28 13:30:00,2025-05-28 13:40:00,10,202.0,delivered
65,16,1,Südhandel 65,2025-05-08 09:00:00,2025-05-08 08:55:00,-5,173.7,delivered
66,16,1,Westlog 66,2025-05-08 10:30:00,2025-05-08 10:10:00,-20,118.1,delivered
67,16,1,Ostbau 67,2025-05-08 11:15:00,2025-05-08 12:10:00,55,301.0,late
68,17,4,Südhandel 68,2025-06-17 09:00:00,2025-06-17 08:55:00,-5,123.8,delivered
69,17,4,Westlog 69,2025-06-17 10:30:00,2025-06-17 10:40:00,10,257.0,delivered
70,17,4,Ostbau 70,2025-06-17 11:45:00,2025-06-17 11:40:00,-5,260.3,delivered
71,17,4,Alpin 71,2025-06-17 12:00:00,2025-06-17 12:55:00,55,381.1,exception
72,17,4,Hanse 72,2025-06-17 13:45:00,2025-06-17 13:45:00,0,128.0,delivered
73,17,4,Rhein 73,2025-06-17 14:00:00,2025-06-17 13:40:00,-20,91.7,delivered
74,18,7,Südhandel 74,2025-04-21 09:15:00,2025-04-21 09:10:00,-5,116.1,delivered
75,18,7,Westlog 75,2025-04-21 10:15:00,2025-04-21 09:55:00,-20,404.2,delivered
76,18,7,Ostbau 76,2025-04-21 11:45:00,2025-04-21 11:55:00,10,230.6,delivered
77,18,7,Alpin 77,2025-04-21 12:15:00,,,30.2,exception
78,18,7,Hanse 78,2025-04-21 13:00:00,,,283.5,delivered
79,18,7,Rhein 79,2025-04-21 14:45:00,2025-04-21 15:10:00,25,32.3,late
80,19,8,Südhandel 80,2025-06-10 09:30:00,2025-06-10 09:10:00,-20,120.2,delivered
81,19,8,Westlog 81,2025-06-10 10:15:00,2025-06-10 10:15:00,0,167.2,delivered
82,19,8,Ostbau 82,2025-06-10 11:45:00,2025-06-10 11:45:00,0,348.8,delivered
83,20,3,Südhandel 83,2025-04-03 09:45:00,2025-04-03 09:45:00,0,384.3,delivered
84,20,3,Westlog 84,2025-04-03 10:00:00,2025-04-03 10:25:00,25,217.1,late
85,20,3,Ostbau 85,2025-04-03 11:45:00,2025-04-03 11:40:00,-5,57.4,delivered
86,20,3,Alpin 86,2025-04-03 12:15:00,2025-04-03 12:40:00,25,249.7,late
87,20,3,Hanse 87,2025-04-03 13:00:00,2025-04-03 13:55:00,55,205.5,late
88,21,8,Südhandel 88,2025-05-10 09:00:00,2025-05-10 08:40:00,-20,299.9,delivered
89,21,8,Westlog 89,2025-05-10 10:30:00,2025-05-10 10:10:00,-20,345.4,delivered
90,21,8,Ostbau 90,2025-05-10 11:00:00,2025-05-10 10:40:00,-20,162.1,delivered
91,21,8,Alpin 91,2025-05-10 12:45:00,2025-05-10 12:25:00,-20,52.4,delivered
92,21,8,Hanse 92,2025-05-10 13:45:00,2025-05-10 13:55:00,10,21.5,delivered
93,22,5,Südhandel 93,2025-05-25 09:45:00,2025-05-25 09:25:00,-20,403.9,delivered
94,22,5,Westlog 94,2025-05-25 10:30:00,2025-05-25 10:10:00,-20,249.7,delivered
95,22,5,Ostbau 95,2025-05-25 11:45:00,2025-05-25 11:40:00,-5,264.6,delivered
96,22,5,Alpin 96,2025-05-25 12:15:00,2025-05-25 13:10:00,55,364.6,delivered
97,22,5,Hanse 97,2025-05-25 13:00:00,2025-05-25 13:10:00,10,229.3,delivered
98,22,5,Rhein 98,2025-05-25 14:15:00,2025-05-25 15:10:00,55,106.8,delivered
99,23,4,Südhandel 99,2025-06-22 09:45:00,2025-06-22 09:55:00,10,211.4,delivered
100,23,4,Westlog 100,2025-06-22 10:15:00,2025-06-22 10:25:00,10,54.1,delivered
101,23,4,Ostbau 101,2025-06-22 11:15:00,2025-06-22 11:25:00,10,178.2,delivered
102,23,4,Alpin 102,2025-06-22 12:15:00,2025-06-22 13:10:00,55,377.0,delivered
103,23,4,Hanse 103,2025-06-22 13:45:00,2025-06-22 13:55:00,10,164.4,delivered
104,24,7,Südhandel 104,2025-06-15 09:00:00,,,204.8,exception
105,24,7,Westlog 105,2025-06-15 10:30:00,2025-06-15 10:40:00,10,122.1,delivered
106,24,7,Ostbau 106,2025-06-15 11:15:00,,,285.1,late
107,25,2,Südhandel 107,2025-05-23 09:30:00,2025-05-23 09:55:00,25,133.7,exception
108,25,2,Westlog 108,2025-05-23 10:00:00,2025-05-23 10:10:00,10,219.8,delivered
109,25,2,Ostbau 109,2025-05-23 11:30:00,2025-05-23 11:30:00,0,417.7,delivered
110,25,2,Alpin 110,2025-05-23 12:30:00,2025-05-23 12:40:00,10,187.2,delivered
111,25,2,Hanse 111,2025-05-23 13:00:00,2025-05-23 13:00:00,0,313.3,delivered
112,25,2,Rhein 112,2025-05-23 14:45:00,2025-05-23 15:10:00,25,370.7,late
113,25,2,Main 113,2025-05-23 15:45:00,2025-05-23 15:25:00,-20,419.6,delivered
114,26,4,Südhandel 114,2025-06-16 09:00:00,,,229.0,delivered
115,26,4,Westlog 115,2025-06-16 10:45:00,2025-06-16 10:45:00,0,54.5,delivered
116,26,4,Ostbau 116,2025-06-16 11:15:00,2025-06-16 11:40:00,25,84.0,exception
117,26,4,Alpin 117,2025-06-16 12:15:00,2025-06-16 12:10:00,-5,359.5,delivered
118,26,4,Hanse 118,2025-06-16 13:00:00,2025-06-16 13:00:00,0,334.2,delivered
119,26,4,Rhein 119,2025-06-16 14:15:00,2025-06-16 14:40:00,25,259.5,late
120,27,1,Südhandel 120,2025-06-26 09:45:00,2025-06-26 09:55:00,10,279.1,delivered
121,27,1,Westlog 121,2025-06-26 10:30:00,2025-06-26 10:25:00,-5,56.4,delivered
122,27,1,Ostbau 122,2025-06-26 11:30:00,2025-06-26 12:25:00,55,199.9,late
123,27,1,Alpin 123,2025-06-26 12:45:00,,,390.5,exception
124,27,1,Hanse 124,2025-06-26 13:00:00,2025-06-26 13:10:00,10,352.3,delivered
125,28,1,Südhandel 125,2025-06-03 09:15:00,2025-06-03 09:25:00,10,217.8,delivered
126,28,1,Westlog 126,2025-06-03 10:30:00,,,153.3,late
127,28,1,Ostbau 127,2025-06-03 11:45:00,2025-06-03 12:40:00,55,288.7,late
128,28,1,Alpin 128,2025-06-03 12:00:00,2025-06-03 11:40:00,-20,346.3,delivered
129,28,1,Hanse 129,2025-06-03 13:45:00,2025-06-03 13:45:00,0,205.6,delivered
130,28,1,Rhein 130,2025-06-03 14:15:00,2025-06-03 14:40:00,25,108.6,exception
131,28,1,Main 131,2025-06-03 15:30:00,2025-06-03 15:55:00,25,128.3,delivered
132,29,5,Südhandel 132,2025-04-26 09:00:00,2025-04-26 09:10:00,10,58.4,delivered
133,29,5,Westlog 133,2025-04-26 10:30:00,2025-04-26 10:25:00,-5,367.2,delivered
134,29,5,Ostbau 134,2025-04-26 11:30:00,2025-04-26 11:40:00,10,69.0,delivered
135,29,5,Alpin 135,2025-04-26 12:45:00,2025-04-26 12:55:00,10,403.2,delivered
136,29,5,Hanse 136,2025-04-26 13:45:00,2025-04-26 13:55:00,10,327.9,delivered
137,29,5,Rhein 137,2025-04-26 14:45:00,2025-04-26 15:10:00,25,335.6,exception
138,29,5,Main 138,2025-04-26 15:30:00,2025-04-26 15:25:00,-5,133.9,delivered
139,30,4,Südhandel 139,2025-05-01 09:15:00,2025-05-01 08:55:00,-20,20.8,delivered
140,30,4,Westlog 140,2025-05-01 10:15:00,2025-05-01 10:15:00,0,344.5,delivered
141,30,4,Ostbau 141,2025-05-01 11:30:00,2025-05-01 12:25:00,55,18.6,delivered
142,30,4,Alpin 142,2025-05-01 12:45:00,2025-05-01 13:10:00,25,360.2,exception
143,31,5,Südhandel 143,2025-04-25 09:30:00,2025-04-25 09:30:00,0,241.5,delivered
144,31,5,Westlog 144,2025-04-25 10:45:00,2025-04-25 10:45:00,0,310.1,delivered
145,31,5,Ostbau 145,2025-04-25 11:15:00,,,112.3,late
146,31,5,Alpin 146,2025-04-25 12:00:00,2025-04-25 12:25:00,25,213.5,delivered
147,31,5,Hanse 147,2025-04-25 13:00:00,2025-04-25 13:55:00,55,370.7,exception
148,31,5,Rhein 148,2025-04-25 14:00:00,2025-04-25 13:40:00,-20,292.0,delivered
149,31,5,Main 149,2025-04-25 15:15:00,2025-04-25 15:10:00,-5,266.6,delivered
150,32,4,Südhandel 150,2025-05-12 09:00:00,2025-05-12 09:10:00,10,145.8,delivered
151,32,4,Westlog 151,2025-05-12 10:45:00,2025-05-12 10:55:00,10,339.7,delivered
152,32,4,Ostbau 152,2025-05-12 11:15:00,,,275.8,exception
153,32,4,Alpin 153,2025-05-12 12:30:00,2025-05-12 12:40:00,10,289.0,delivered
154,33,3,Südhandel 154,2025-05-25 09:00:00,2025-05-25 08:40:00,-20,211.1,delivered
155,33,3,Westlog 155,2025-05-25 10:00:00,2025-05-25 10:25:00,25,277.3,delivered
156,33,3,Ostbau 156,2025-05-25 11:15:00,2025-05-25 11:15:00,0,151.4,delivered
157,34,3,Südhandel 157,2025-05-10 09:15:00,2025-05-10 09:40:00,25,176.4,exception
158,34,3,Westlog 158,2025-05-10 10:30:00,2025-05-10 10:25:00,-5,206.7,delivered
159,34,3,Ostbau 159,2025-05-10 11:30:00,2025-05-10 11:10:00,-20,293.5,delivered
160,34,3,Alpin 160,2025-05-10 12:15:00,2025-05-10 12:25:00,10,261.7,delivered
161,35,7,Südhandel 161,2025-04-27 09:30:00,2025-04-27 10:25:00,55,15.3,late
162,35,7,Westlog 162,2025-04-27 10:30:00,2025-04-27 10:25:00,-5,327.4,delivered
163,35,7,Ostbau 163,2025-04-27 11:00:00,2025-04-27 11:55:00,55,331.8,exception
164,35,7,Alpin 164,2025-04-27 12:15:00,2025-04-27 12:25:00,10,347.6,delivered
165,35,7,Hanse 165,2025-04-27 13:45:00,,,301.9,delivered
166,35,7,Rhein 166,2025-04-27 14:15:00,2025-04-27 14:40:00,25,287.7,late
167,36,2,Südhandel 167,2025-04-20 09:15:00,,,410.1,delivered
168,36,2,Westlog 168,2025-04-20 10:45:00,2025-04-20 10:45:00,0,126.9,delivered
169,36,2,Ostbau 169,2025-04-20 11:15:00,2025-04-20 11:10:00,-5,181.9,delivered
170,36,2,Alpin 170,2025-04-20 12:30:00,2025-04-20 12:40:00,10,373.3,delivered
171,36,2,Hanse 171,2025-04-20 13:30:00,2025-04-20 13:40:00,10,126.0,delivered
172,37,1,Südhandel 172,2025-04-30 09:30:00,2025-04-30 09:30:00,0,279.6,delivered
173,37,1,Westlog 173,2025-04-30 10:30:00,2025-04-30 10:10:00,-20,200.7,delivered
174,37,1,Ostbau 174,2025-04-30 11:30:00,2025-04-30 11:25:00,-5,153.8,delivered
175,38,2,Südhandel 175,2025-04-18 09:00:00,2025-04-18 09:55:00,55,232.3,delivered
176,38,2,Westlog 176,2025-04-18 10:15:00,2025-04-18 10:40:00,25,341.1,delivered
177,38,2,Ostbau 177,2025-04-18 11:15:00,2025-04-18 11:15:00,0,331.3,delivered
178,38,2,Alpin 178,2025-04-18 12:00:00,,,268.0,delivered
179,38,2,Hanse 179,2025-04-18 13:45:00,2025-04-18 13:45:00,0,354.6,delivered
180,38,2,Rhein 180,2025-04-18 14:30:00,2025-04-18 14:10:00,-20,257.8,delivered
181,38,2,Main 181,2025-04-18 15:00:00,,,60.8,delivered
182,39,5,Südhandel 182,2025-04-10 09:45:00,2025-04-10 09:55:00,10,249.0,delivered
183,39,5,Westlog 183,2025-04-10 10:00:00,2025-04-10 10:25:00,25,366.0,exception
184,39,5,Ostbau 184,2025-04-10 11:15:00,2025-04-10 11:15:00,0,271.9,delivered
185,39,5,Alpin 185,2025-04-10 12:30:00,,,235.9,exception
186,39,5,Hanse 186,2025-04-10 13:45:00,2025-04-10 14:10:00,25,406.4,delivered
187,39,5,Rhein 187,2025-04-10 14:45:00,2025-04-10 14:55:00,10,127.7,delivered
188,39,5,Main 188,2025-04-10 15:45:00,2025-04-10 15:55:00,10,361.1,delivered
189,40,5,Südhandel 189,2025-06-04 09:30:00,2025-06-04 09:55:00,25,171.6,late
190,40,5,Westlog 190,2025-06-04 10:45:00,2025-06-04 11:10:00,25,182.7,delivered
191,40,5,Ostbau 191,2025-06-04 11:45:00,2025-06-04 11:45:00,0,308.2,delivered
192,40,5,Alpin 192,2025-06-04 12:45:00,2025-06-04 12:45:00,0,47.5,delivered
193,41,4,Südhandel 193,2025-06-05 09:45:00,2025-06-05 09:40:00,-5,311.7,delivered
194,41,4,Westlog 194,2025-06-05 10:15:00,2025-06-05 10:40:00,25,94.7,delivered
195,41,4,Ostbau 195,2025-06-05 11:00:00,2025-06-05 10:55:00,-5,341.3,delivered
196,41,4,Alpin 196,2025-06-05 12:30:00,2025-06-05 12:25:00,-5,180.4,delivered
197,41,4,Hanse 197,2025-06-05 13:15:00,2025-06-05 13:25:00,10,170.1,delivered
198,41,4,Rhein 198,2025-06-05 14:30:00,2025-06-05 14:25:00,-5,235.2,delivered
199,41,4,Main 199,2025-06-05 15:30:00,2025-06-05 15:30:00,0,32.3,delivered
200,42,8,Südhandel 200,2025-06-08 09:30:00,,,416.1,late
201,42,8,Westlog 201,2025-06-08 10:45:00,2025-06-08 11:40:00,55,405.4,delivered
202,42,8,Ostbau 202,2025-06-08 11:45:00,2025-06-08 11:25:00,-20,226.3,delivered
203,42,8,Alpin 203,2025-06-08 12:15:00,,,18.6,late
204,42,8,Hanse 204,2025-06-08 13:45:00,2025-06-08 13:40:00,-5,328.8,delivered
205,43,6,Südhandel 205,2025-05-07 09:45:00,2025-05-07 09:45:00,0,244.1,delivered
206,43,6,Westlog 206,2025-05-07 10:15:00,2025-05-07 10:15:00,0,230.9,delivered
207,43,6,Ostbau 207,2025-05-07 11:45:00,2025-05-07 11:55:00,10,124.7,delivered
208,43,6,Alpin 208,2025-05-07 12:15:00,2025-05-07 12:25:00,10,180.6,delivered
209,43,6,Hanse 209,2025-05-07 13:15:00,2025-05-07 13:15:00,0,328.8,delivered
210,44,8,Südhandel 210,2025-04-13 09:30:00,2025-04-13 09:25:00,-5,86.3,delivered
211,44,8,Westlog 211,2025-04-13 10:00:00,2025-04-13 09:40:00,-20,295.4,delivered
212,44,8,Ostbau 212,2025-04-13 11:15:00,2025-04-13 11:15:00,0,39.7,delivered
213,44,8,Alpin 213,2025-04-13 12:30:00,2025-04-13 12:40:00,10,201.5,delivered
214,44,8,Hanse 214,2025-04-13 13:30:00,2025-04-13 13:40:00,10,144.9,delivered
215,44,8,Rhein 215,2025-04-13 14:15:00,2025-04-13 14:25:00,10,29.9,delivered
216,44,8,Main 216,2025-04-13 15:15:00,2025-04-13 15:40:00,25,368.5,delivered
217,45,8,Südhandel 217,2025-05-19 09:45:00,2025-05-19 09:40:00,-5,43.9,delivered
218,45,8,Westlog 218,2025-05-19 10:15:00,2025-05-19 10:40:00,25,214.8,exception
219,45,8,Ostbau 219,2025-05-19 11:30:00,,,260.6,delivered
220,45,8,Alpin 220,2025-05-19 12:45:00,,,313.5,delivered
221,45,8,Hanse 221,2025-05-19 13:45:00,2025-05-19 13:40:00,-5,130.1,delivered
222,46,2,Südhandel 222,2025-05-08 09:15:00,2025-05-08 10:10:00,55,88.8,exception
223,46,2,Westlog 223,2025-05-08 10:30:00,2025-05-08 10:40:00,10,215.9,delivered
224,46,2,Ostbau 224,2025-05-08 11:30:00,,,323.1,delivered
225,47,2,Südhandel 225,2025-06-12 09:30:00,2025-06-12 09:30:00,0,114.4,delivered
226,47,2,Westlog 226,2025-06-12 10:00:00,2025-06-12 09:55:00,-5,220.1,delivered
227,47,2,Ostbau 227,2025-06-12 11:30:00,2025-06-12 12:25:00,55,118.6,delivered
228,47,2,Alpin 228,2025-06-12 12:00:00,2025-06-12 12:25:00,25,29.6,exception
229,48,3,Südhandel 229,2025-05-29 09:15:00,2025-05-29 09:15:00,0,218.1,delivered
230,48,3,Westlog 230,2025-05-29 10:15:00,2025-05-29 10:10:00,-5,244.4,delivered
231,48,3,Ostbau 231,2025-05-29 11:15:00,2025-05-29 12:10:00,55,182.0,late
232,49,8,Südhandel 232,2025-05-11 09:30:00,2025-05-11 09:30:00,0,248.8,delivered
233,49,8,Westlog 233,2025-05-11 10:45:00,2025-05-11 10:55:00,10,249.8,delivered
234,49,8,Ostbau 234,2025-05-11 11:30:00,2025-05-11 11:40:00,10,115.0,delivered
235,49,8,Alpin 235,2025-05-11 12:15:00,2025-05-11 13:10:00,55,88.7,exception
236,49,8,Hanse 236,2025-05-11 13:00:00,2025-05-11 13:25:00,25,53.8,late
237,49,8,Rhein 237,2025-05-11 14:00:00,2025-05-11 14:55:00,55,355.0,late
238,49,8,Main 238,2025-05-11 15:15:00,2025-05-11 16:10:00,55,18.8,delivered
239,50,4,Südhandel 239,2025-04-18 09:30:00,2025-04-18 09:30:00,0,393.8,delivered
240,50,4,Westlog 240,2025-04-18 10:00:00,2025-04-18 10:00:00,0,264.8,delivered
241,50,4,Ostbau 241,2025-04-18 11:30:00,2025-04-18 11:55:00,25,409.1,delivered
242,50,4,Alpin 242,2025-04-18 12:00:00,2025-04-18 12:10:00,10,412.2,delivered
243,50,4,Hanse 243,2025-04-18 13:15:00,2025-04-18 13:10:00,-5,68.1,delivered
244,50,4,Rhein 244,2025-04-18 14:15:00,2025-04-18 14:40:00,25,125.0,late
245,50,4,Main 245,2025-04-18 15:30:00,2025-04-18 15:40:00,10,242.0,delivered
246,51,3,Südhandel 246,2025-04-06 09:00:00,2025-04-06 09:25:00,25,18.6,late
247,51,3,Westlog 247,2025-04-06 10:00:00,2025-04-06 09:55:00,-5,277.7,delivered
248,51,3,Ostbau 248,2025-04-06 11:45:00,2025-04-06 12:40:00,55,190.7,delivered
249,51,3,Alpin 249,2025-04-06 12:15:00,2025-04-06 12:25:00,10,46.7,delivered
250,51,3,Hanse 250,2025-04-06 13:15:00,2025-04-06 13:40:00,25,357.6,late
251,51,3,Rhein 251,2025-04-06 14:00:00,2025-04-06 14:00:00,0,270.9,delivered
252,52,4,Südhandel 252,2025-06-25 09:30:00,2025-06-25 09:55:00,25,377.0,exception
253,52,4,Westlog 253,2025-06-25 10:30:00,2025-06-25 10:40:00,10,322.7,delivered
254,52,4,Ostbau 254,2025-06-25 11:30:00,2025-06-25 11:25:00,-5,67.3,delivered
255,52,4,Alpin 255,2025-06-25 12:30:00,2025-06-25 12:10:00,-20,159.9,delivered
256,53,8,Südhandel 256,2025-05-04 09:15:00,2025-05-04 08:55:00,-20,307.1,delivered
257,53,8,Westlog 257,2025-05-04 10:45:00,2025-05-04 11:40:00,55,405.3,late
258,53,8,Ostbau 258,2025-05-04 11:15:00,2025-05-04 11:40:00,25,156.6,late
259,53,8,Alpin 259,2025-05-04 12:15:00,2025-05-04 12:10:00,-5,82.4,delivered
260,53,8,Hanse 260,2025-05-04 13:45:00,2025-05-04 14:10:00,25,242.9,delivered
261,54,3,Südhandel 261,2025-04-05 09:45:00,2025-04-05 09:25:00,-20,79.8,delivered
262,54,3,Westlog 262,2025-04-05 10:45:00,2025-04-05 10:55:00,10,340.7,delivered
263,54,3,Ostbau 263,2025-04-05 11:45:00,2025-04-05 12:40:00,55,379.9,delivered
264,54,3,Alpin 264,2025-04-05 12:15:00,,,308.8,exception
265,55,5,Südhandel 265,2025-05-31 09:15:00,2025-05-31 09:15:00,0,412.9,delivered
266,55,5,Westlog 266,2025-05-31 10:45:00,2025-05-31 11:10:00,25,294.1,late
267,55,5,Ostbau 267,2025-05-31 11:15:00,2025-05-31 11:15:00,0,404.1,delivered
268,55,5,Alpin 268,2025-05-31 12:15:00,2025-05-31 11:55:00,-20,361.9,delivered
269,56,8,Südhandel 269,2025-05-08 09:30:00,2025-05-08 10:25:00,55,127.3,exception
270,56,8,Westlog 270,2025-05-08 10:30:00,2025-05-08 10:25:00,-5,185.4,delivered
271,56,8,Ostbau 271,2025-05-08 11:30:00,2025-05-08 11:10:00,-20,71.6,delivered
272,56,8,Alpin 272,2025-05-08 12:30:00,2025-05-08 12:25:00,-5,217.4,delivered
273,56,8,Hanse 273,2025-05-08 13:30:00,2025-05-08 13:25:00,-5,43.2,delivered
274,57,8,Südhandel 274,2025-04-15 09:00:00,2025-04-15 08:55:00,-5,381.6,delivered
275,57,8,Westlog 275,2025-04-15 10:00:00,2025-04-15 10:10:00,10,192.4,delivered
276,57,8,Ostbau 276,2025-04-15 11:00:00,2025-04-15 10:40:00,-20,241.9,delivered
277,57,8,Alpin 277,2025-04-15 12:30:00,2025-04-15 12:55:00,25,333.5,delivered
278,57,8,Hanse 278,2025-04-15 13:30:00,2025-04-15 13:25:00,-5,141.5,delivered
279,57,8,Rhein 279,2025-04-15 14:30:00,2025-04-15 14:30:00,0,145.7,delivered
280,58,8,Südhandel 280,2025-06-27 09:30:00,2025-06-27 09:10:00,-20,405.0,delivered
281,58,8,Westlog 281,2025-06-27 10:30:00,2025-06-27 10:10:00,-20,282.2,delivered
282,58,8,Ostbau 282,2025-06-27 11:15:00,2025-06-27 11:10:00,-5,66.2,delivered
283,58,8,Alpin 283,2025-06-27 12:30:00,2025-06-27 12:55:00,25,362.7,delivered
284,58,8,Hanse 284,2025-06-27 13:45:00,2025-06-27 14:40:00,55,98.9,late
285,58,8,Rhein 285,2025-06-27 14:15:00,2025-06-27 13:55:00,-20,164.6,delivered
286,59,6,Südhandel 286,2025-05-20 09:15:00,2025-05-20 08:55:00,-20,378.5,delivered
287,59,6,Westlog 287,2025-05-20 10:15:00,2025-05-20 11:10:00,55,163.3,late
288,59,6,Ostbau 288,2025-05-20 11:00:00,,,269.2,late
289,59,6,Alpin 289,2025-05-20 12:30:00,2025-05-20 12:40:00,10,199.5,delivered
