stop_id,route_id,shipment_id,seq,city,leg_km,dwell_min,arrived_at,departed_at
57,14,57,4,Berlin,24.9,8,2025-06-18 13:10:00,2025-06-18 13:18:00
58,14,58,5,Köln,35.3,35,2025-06-18 13:40:00,2025-06-18 14:15:00
59,14,59,6,Köln,41.9,34,2025-06-18 14:45:00,2025-06-18 15:19:00
60,15,60,1,Köln,45.7,12,2025-05-28 09:55:00,2025-05-28 10:07:00
61,15,61,2,Berlin,43.0,5,2025-05-28 10:55:00,2025-05-28 11:00:00
62,15,62,3,Hamburg,38.7,10,2025-05-28 11:40:00,2025-05-28 11:50:00
63,15,63,4,Frankfurt,14.5,28,2025-05-28 12:55:00,2025-05-28 13:23:00
64,15,64,5,Köln,30.3,15,2025-05-28 13:40:00,2025-05-28 13:55:00
65,16,65,1,Stuttgart,22.4,17,2025-05-08 08:55:00,2025-05-08 09:12:00
66,16,66,2,Berlin,41.4,20,2025-05-08 10:10:00,2025-05-08 10:30:00
67,16,67,3,Berlin,13.2,4,2025-05-08 12:10:00,2025-05-08 12:14:00
68,17,68,1,München,7.5,7,2025-06-17 08:55:00,2025-06-17 09:02:00
69,17,69,2,Frankfurt,7.3,5,2025-06-17 10:40:00,2025-06-17 10:45:00
70,17,70,3,München,18.7,15,2025-06-17 11:40:00,2025-06-17 11:55:00
71,17,71,4,Köln,10.6,29,2025-06-17 12:55:00,2025-06-17 13:24:00
72,17,72,5,Stuttgart,32.2,18,2025-06-17 13:45:00,2025-06-17 14:03:00
73,17,73,6,Leipzig,8.5,33,2025-06-17 13:40:00,2025-06-17 14:13:00
74,18,74,1,Stuttgart,46.2,12,2025-04-21 09:10:00,2025-04-21 09:22:00
75,18,75,2,Köln,37.8,32,2025-04-21 09:55:00,2025-04-21 10:27:00
76,18,76,3,Stuttgart,40.4,15,2025-04-21 11:55:00,2025-04-21 12:10:00
77,18,77,4,Köln,14.1,24,2025-04-21 11:55:00,2025-04-21 12:19:00
78,18,78,5,Berlin,46.3,11,2025-04-21 13:55:00,2025-04-21 14:06:00
79,18,79,6,Köln,25.0,5,2025-04-21 15:10:00,2025-04-21 15:15:00
80,19,80,1,Köln,13.1,19,2025-06-10 09:10:00,2025-06-10 09:29:00
81,19,81,2,Leipzig,36.1,18,2025-06-10 10:15:00,2025-06-10 10:33:00
82,19,82,3,Frankfurt,34.9,13,2025-06-10 11:45:00,2025-06-10 11:58:00
83,20,83,1,Berlin,12.9,26,2025-04-03 09:45:00,2025-04-03 10:11:00
84,20,84,2,München,40.7,12,2025-04-03 10:25:00,2025-04-03 10:37:00
85,20,85,3,Leipzig,34.5,6,2025-04-03 11:40:00,2025-04-03 11:46:00
86,20,86,4,Hamburg,36.2,16,2025-04-03 12:40:00,2025-04-03 12:56:00
87,20,87,5,Hamburg,34.6,18,2025-04-03 13:55:00,2025-04-03 14:13:00
88,21,88,1,München,22.9,32,2025-05-10 08:40:00,2025-05-10 09:12:00
89,21,89,2,Köln,18.4,34,2025-05-10 10:10:00,2025-05-10 10:44:00
90,21,90,3,Leipzig,13.4,8,2025-05-10 10:40:00,2025-05-10 10:48:00
91,21,91,4,Hamburg,33.9,23,2025-05-10 12:25:00,2025-05-10 12:48:00
92,21,92,5,Berlin,45.1,25,2025-05-10 13:55:00,2025-05-10 14:20:00
93,22,93,1,Köln,15.3,31,2025-05-25 09:25:00,2025-05-25 09:56:00
94,22,94,2,München,6.3,22,2025-05-25 10:10:00,2025-05-25 10:32:00
95,22,95,3,Köln,4.6,13,2025-05-25 11:40:00,2025-05-25 11:53:00
96,22,96,4,München,24.9,16,2025-05-25 13:10:00,2025-05-25 13:26:00
97,22,97,5,Leipzig,43.3,25,2025-05-25 13:10:00,2025-05-25 13:35:00
98,22,98,6,Frankfurt,6.0,6,2025-05-25 15:10:00,2025-05-25 15:16:00
99,23,99,1,Hamburg,39.9,32,2025-06-22 09:55:00,2025-06-22 10:27:00
100,23,100,2,Hamburg,18.8,15,2025-06-22 10:25:00,2025-06-22 10:40:00
101,23,101,3,Leipzig,34.1,29,2025-06-22 11:25:00,2025-06-22 11:54:00
102,23,102,4,Hamburg,28.7,18,2025-06-22 13:10:00,2025-06-22 13:28:00
103,23,103,5,Berlin,43.4,4,2025-06-22 13:55:00,2025-06-22 13:59:00
104,24,104,1,Köln,6.0,34,2025-06-15 09:00:00,2025-06-15 09:34:00
105,24,105,2,Berlin,39.6,20,2025-06-15 10:40:00,2025-06-15 11:00:00
106,24,106,3,Leipzig,29.4,26,2025-06-15 11:10:00,2025-06-15 11:36:00
107,25,107,1,München,27.7,17,2025-05-23 09:55:00,2025-05-23 10:12:00
108,25,108,2,Berlin,47.4,22,2025-05-23 10:10:00,2025-05-23 10:32:00
109,25,109,3,Leipzig,17.9,6,2025-05-23 11:30:00,2025-05-23 11:36:00
110,25,110,4,Berlin,41.5,23,2025-05-23 12:40:00,2025-05-23 13:03:00
111,25,111,5,Köln,8.3,34,2025-05-23 13:00:00,2025-05-23 13:34:00
112,25,112,6,Hamburg,18.1,23,2025-05-23 15:10:00,2025-05-23 15:33:00
113,25,113,7,Frankfurt,17.3,12,2025-05-23 15:25:00,2025-05-23 15:37:00
114,26,114,1,Köln,47.3,24,2025-06-16 09:10:00,2025-06-16 09:34:00
115,26,115,2,München,15.9,30,2025-06-16 10:45:00,2025-06-16 11:15:00
116,26,116,3,Berlin,15.6,13,2025-06-16 11:40:00,2025-06-16 11:53:00
117,26,117,4,Berlin,38.8,12,2025-06-16 12:10:00,2025-06-16 12:22:00
118,26,118,5,Stuttgart,14.8,7,2025-06-16 13:00:00,2025-06-16 13:07:00
119,26,119,6,Leipzig,15.7,12,2025-06-16 14:40:00,2025-06-16 14:52:00
120,27,120,1,Leipzig,16.7,10,2025-06-26 09:55:00,2025-06-26 10:05:00
121,27,121,2,Leipzig,20.0,6,2025-06-26 10:25:00,2025-06-26 10:31:00
122,27,122,3,München,12.4,16,2025-06-26 12:25:00,2025-06-26 12:41:00
123,27,123,4,Leipzig,46.6,34,2025-06-26 13:10:00,2025-06-26 13:44:00
124,27,124,5,Hamburg,29.6,12,2025-06-26 13:10:00,2025-06-26 13:22:00
125,28,125,1,Berlin,5.1,6,2025-06-03 09:25:00,2025-06-03 09:31:00
126,28,126,2,Berlin,34.8,26,2025-06-03 10:55:00,2025-06-03 11:21:00
127,28,127,3,Hamburg,27.5,30,2025-06-03 12:40:00,2025-06-03 13:10:00
128,28,128,4,Berlin,14.3,14,2025-06-03 11:40:00,2025-06-03 11:54:00
129,28,129,5,Köln,44.8,31,2025-06-03 13:45:00,2025-06-03 14:16:00
130,28,130,6,München,24.1,11,2025-06-03 14:40:00,2025-06-03 14:51:00
131,28,131,7,Stuttgart,16.9,14,2025-06-03 15:55:00,2025-06-03 16:09:00
132,29,132,1,München,13.7,16,2025-04-26 09:10:00,2025-04-26 09:26:00
133,29,133,2,Berlin,44.6,21,2025-04-26 10:25:00,2025-04-26 10:46:00
134,29,134,3,Leipzig,41.6,7,2025-04-26 11:40:00,2025-04-26 11:47:00
135,29,135,4,München,30.5,32,2025-04-26 12:55:00,2025-04-26 13:27:00
136,29,136,5,Stuttgart,20.3,22,2025-04-26 13:55:00,2025-04-26 14:17:00
137,29,137,6,Berlin,12.8,23,2025-04-26 15:10:00,2025-04-26 15:33:00
138,29,138,7,Frankfurt,47.1,25,2025-04-26 15:25:00,2025-04-26 15:50:00
139,30,139,1,Frankfurt,45.3,16,2025-05-01 08:55:00,2025-05-01 09:11:00
140,30,140,2,München,22.7,26,2025-05-01 10:15:00,2025-05-01 10:41:00
141,30,141,3,Köln,17.8,30,2025-05-01 12:25:00,2025-05-01 12:55:00
142,30,142,4,Berlin,28.1,18,2025-05-01 13:10:00,2025-05-01 13:28:00
143,31,143,1,München,44.5,8,2025-04-25 09:30:00,2025-04-25 09:38:00
144,31,144,2,Berlin,8.3,35,2025-04-25 10:45:00,2025-04-25 11:20:00
145,31,145,3,München,33.2,4,2025-04-25 11:25:00,2025-04-25 11:29:00
146,31,146,4,Frankfurt,23.4,18,2025-04-25 12:25:00,2025-04-25 12:43:00
147,31,147,5,Hamburg,25.8,14,2025-04-25 13:55:00,2025-04-25 14:09:00
148,31,148,6,Berlin,27.6,32,2025-04-25 13:40:00,2025-04-25 14:12:00
149,31,149,7,Hamburg,34.2,35,2025-04-25 15:10:00,2025-04-25 15:45:00
150,32,150,1,Stuttgart,17.4,25,2025-05-12 09:10:00,2025-05-12 09:35:00
151,32,151,2,Stuttgart,25.4,34,2025-05-12 10:55:00,2025-05-12 11:29:00
152,32,152,3,Hamburg,43.7,16,2025-05-12 12:10:00,2025-05-12 12:26:00
153,32,153,4,Berlin,29.0,12,2025-05-12 12:40:00,2025-05-12 12:52:00
154,33,154,1,Köln,13.0,5,2025-05-25 08:40:00,2025-05-25 08:45:00
155,33,155,2,Hamburg,34.5,33,2025-05-25 10:25:00,2025-05-25 10:58:00
156,33,156,3,Leipzig,36.1,4,2025-05-25 11:15:00,2025-05-25 11:19:00
157,34,157,1,München,28.9,6,2025-05-10 09:40:00,2025-05-10 09:46:00
158,34,158,2,Berlin,41.7,8,2025-05-10 10:25:00,2025-05-10 10:33:00
159,34,159,3,München,26.3,20,2025-05-10 11:10:00,2025-05-10 11:30:00
160,34,160,4,München,42.2,8,2025-05-10 12:25:00,2025-05-10 12:33:00
161,35,161,1,Frankfurt,43.6,19,2025-04-27 10:25:00,2025-04-27 10:44:00
162,35,162,2,Köln,21.5,17,2025-04-27 10:25:00,2025-04-27 10:42:00
163,35,163,3,München,26.2,8,2025-04-27 11:55:00,2025-04-27 12:03:00
164,35,164,4,Berlin,15.9,32,2025-04-27 12:25:00,2025-04-27 12:57:00
165,35,165,5,Stuttgart,20.6,35,2025-04-27 14:40:00,2025-04-27 15:15:00
166,35,166,6,Leipzig,4.6,7,2025-04-27 14:40:00,2025-04-27 14:47:00
167,36,167,1,Frankfurt,39.3,22,2025-04-20 09:15:00,2025-04-20 09:37:00
168,36,168,2,Frankfurt,21.8,30,2025-04-20 10:45:00,2025-04-20 11:15:00
169,36,169,3,Leipzig,32.0,11,2025-04-20 11:10:00,2025-04-20 11:21:00
170,36,170,4,Frankfurt,12.3,6,2025-04-20 12:40:00,2025-04-20 12:46:00
171,36,171,5,Hamburg,28.3,14,2025-04-20 13:40:00,2025-04-20 13:54:00
172,37,172,1,Leipzig,31.8,12,2025-04-30 09:30:00,2025-04-30 09:42:00
173,37,173,2,Stuttgart,9.3,19,2025-04-30 10:10:00,2025-04-30 10:29:00
174,37,174,3,Leipzig,39.4,15,2025-04-30 11:25:00,2025-04-30 11:40:00
175,38,175,1,Frankfurt,12.5,14,2025-04-18 09:55:00,2025-04-18 10:09:00
176,38,176,2,Hamburg,4.9,9,2025-04-18 10:40:00,2025-04-18 10:49:00
177,38,177,3,Köln,17.2,30,2025-04-18 11:15:00,2025-04-18 11:45:00
178,38,178,4,Stuttgart,28.9,22,2025-04-18 11:40:00,2025-04-18 12:02:00
179,38,179,5,München,28.3,34,2025-04-18 13:45:00,2025-04-18 14:19:00
180,38,180,6,Berlin,14.3,20,2025-04-18 14:10:00,2025-04-18 14:30:00
181,38,181,7,Leipzig,6.9,24,2025-04-18 14:40:00,2025-04-18 15:04:00
182,39,182,1,Köln,19.0,14,2025-04-10 09:55:00,2025-04-10 10:09:00
183,39,183,2,Hamburg,46.5,16,2025-04-10 10:25:00,2025-04-10 10:41:00
184,39,184,3,Berlin,13.8,10,2025-04-10 11:15:00,2025-04-10 11:25:00
185,39,185,4,Frankfurt,17.7,7,2025-04-10 12:40:00,2025-04-10 12:47:00
186,39,186,5,Köln,9.6,33,2025-04-10 14:10:00,2025-04-10 14:43:00
187,39,187,6,Frankfurt,10.3,6,2025-04-10 14:55:00,2025-04-10 15:01:00
188,39,188,7,Stuttgart,6.0,29,2025-04-10 15:55:00,2025-04-10 16:24:00
189,40,189,1,Leipzig,8.5,7,2025-06-04 09:55:00,2025-06-04 10:02:00
190,40,190,2,Stuttgart,29.0,13,2025-06-04 11:10:00,2025-06-04 11:23:00
191,40,191,3,München,8.4,27,2025-06-04 11:45:00,2025-06-04 12:12:00
192,40,192,4,München,38.6,21,2025-06-04 12:45:00,2025-06-04 13:06:00
193,41,193,1,Frankfurt,8.2,5,2025-06-05 09:40:00,2025-06-05 09:45:00
194,41,194,2,Hamburg,8.3,19,2025-06-05 10:40:00,2025-06-05 10:59:00
195,41,195,3,Köln,39.2,27,2025-06-05 10:55:00,2025-06-05 11:22:00
196,41,196,4,Leipzig,32.8,13,2025-06-05 12:25:00,2025-06-05 12:38:00
197,41,197,5,Berlin,14.4,27,2025-06-05 13:25:00,2025-06-05 13:52:00
198,41,198,6,Köln,40.2,5,2025-06-05 14:25:00,2025-06-05 14:30:00
199,41,199,7,Berlin,9.3,8,2025-06-05 15:30:00,2025-06-05 15:38:00
200,42,200,1,Leipzig,39.3,33,2025-06-08 09:10:00,2025-06-08 09:43:00
201,42,201,2,Frankfurt,16.2,14,2025-06-08 11:40:00,2025-06-08 11:54:00
202,42,202,3,Stuttgart,43.5,7,2025-06-08 11:25:00,2025-06-08 11:32:00
203,42,203,4,Stuttgart,45.8,27,2025-06-08 12:25:00,2025-06-08 12:52:00
204,42,204,5,Köln,39.0,33,2025-06-08 13:40:00,2025-06-08 14:13:00
205,43,205,1,Leipzig,16.7,7,2025-05-07 09:45:00,2025-05-07 09:52:00
206,43,206,2,Stuttgart,19.9,7,2025-05-07 10:15:00,2025-05-07 10:22:00
207,43,207,3,Hamburg,16.9,12,2025-05-07 11:55:00,2025-05-07 12:07:00
208,43,208,4,Hamburg,43.2,14,2025-05-07 12:25:00,2025-05-07 12:39:00
209,43,209,5,Berlin,30.3,17,2025-05-07 13:15:00,2025-05-07 13:32:00
210,44,210,1,Berlin,29.3,33,2025-04-13 09:25:00,2025-04-13 09:58:00
211,44,211,2,Stuttgart,36.9,28,2025-04-13 09:40:00,2025-04-13 10:08:00
212,44,212,3,Frankfurt,18.9,31,2025-04-13 11:15:00,2025-04-13 11:46:00
213,44,213,4,Köln,44.1,16,2025-04-13 12:40:00,2025-04-13 12:56:00
214,44,214,5,Köln,22.0,7,2025-04-13 13:40:00,2025-04-13 13:47:00
215,44,215,6,Berlin,25.9,25,2025-04-13 14:25:00,2025-04-13 14:50:00
216,44,216,7,München,16.0,18,2025-04-13 15:40:00,2025-04-13 15:58:00
217,45,217,1,München,9.8,7,2025-05-19 09:40:00,2025-05-19 09:47:00
218,45,218,2,Leipzig,36.6,7,2025-05-19 10:40:00,2025-05-19 10:47:00
219,45,219,3,München,47.6,19,2025-05-19 11:55:00,2025-05-19 12:14:00
220,45,220,4,Berlin,19.2,32,2025-05-19 12:25:00,2025-05-19 12:57:00
221,45,221,5,Köln,8.1,8,2025-05-19 13:40:00,2025-05-19 13:48:00
222,46,222,1,Stuttgart,43.2,26,2025-05-08 10:10:00,2025-05-08 10:36:00
223,46,223,2,Frankfurt,31.6,25,2025-05-08 10:40:00,2025-05-08 11:05:00
224,46,224,3,Stuttgart,42.8,17,2025-05-08 11:30:00,2025-05-08 11:47:00
225,47,225,1,Leipzig,6.1,32,2025-06-12 09:30:00,2025-06-12 10:02:00
226,47,226,2,Stuttgart,23.2,29,2025-06-12 09:55:00,2025-06-12 10:24:00
227,47,227,3,Frankfurt,25.6,20,2025-06-12 12:25:00,2025-06-12 12:45:00
228,47,228,4,Köln,11.7,11,2025-06-12 12:25:00,2025-06-12 12:36:00
229,48,229,1,Leipzig,22.0,15,2025-05-29 09:15:00,2025-05-29 09:30:00
230,48,230,2,Stuttgart,10.7,10,2025-05-29 10:10:00,2025-05-29 10:20:00
231,48,231,3,Berlin,40.5,21,2025-05-29 12:10:00,2025-05-29 12:31:00
232,49,232,1,Leipzig,13.5,15,2025-05-11 09:30:00,2025-05-11 09:45:00
233,49,233,2,Leipzig,28.1,8,2025-05-11 10:55:00,2025-05-11 11:03:00
234,49,234,3,Köln,17.9,31,2025-05-11 11:40:00,2025-05-11 12:11:00
235,49,235,4,Köln,33.8,23,2025-05-11 13:10:00,2025-05-11 13:33:00
236,49,236,5,Köln,8.9,12,2025-05-11 13:25:00,2025-05-11 13:37:00
237,49,237,6,Stuttgart,11.7,16,2025-05-11 14:55:00,2025-05-11 15:11:00
238,49,238,7,Berlin,31.4,27,2025-05-11 16:10:00,2025-05-11 16:37:00
239,50,239,1,München,7.6,30,2025-04-18 09:30:00,2025-04-18 10:00:00
240,50,240,2,Frankfurt,47.2,22,2025-04-18 10:00:00,2025-04-18 10:22:00
241,50,241,3,München,39.3,7,2025-04-18 11:55:00,2025-04-18 12:02:00
242,50,242,4,Leipzig,19.8,29,2025-04-18 12:10:00,2025-04-18 12:39:00
243,50,243,5,Frankfurt,15.2,33,2025-04-18 13:10:00,2025-04-18 13:43:00
244,50,244,6,Berlin,21.4,24,2025-04-18 14:40:00,2025-04-18 15:04:00
245,50,245,7,Leipzig,41.4,35,2025-04-18 15:40:00,2025-04-18 16:15:00
246,51,246,1,Frankfurt,15.8,15,2025-04-06 09:25:00,2025-04-06 09:40:00
247,51,247,2,Leipzig,7.4,34,2025-04-06 09:55:00,2025-04-06 10:29:00
248,51,248,3,Köln,44.9,13,2025-04-06 12:40:00,2025-04-06 12:53:00
249,51,249,4,Leipzig,11.8,23,2025-04-06 12:25:00,2025-04-06 12:48:00
250,51,250,5,Hamburg,9.3,23,2025-04-06 13:40:00,2025-04-06 14:03:00
251,51,251,6,Stuttgart,25.0,21,2025-04-06 14:00:00,2025-04-06 14:21:00
252,52,252,1,Leipzig,39.5,35,2025-06-25 09:55:00,2025-06-25 10:30:00
253,52,253,2,Berlin,33.0,9,2025-06-25 10:40:00,2025-06-25 10:49:00
254,52,254,3,Köln,45.4,27,2025-06-25 11:25:00,2025-06-25 11:52:00
255,52,255,4,München,39.6,25,2025-06-25 12:10:00,2025-06-25 12:35:00
256,53,256,1,Berlin,9.8,35,2025-05-04 08:55:00,2025-05-04 09:30:00
257,53,257,2,Frankfurt,13.3,7,2025-05-04 11:40:00,2025-05-04 11:47:00
258,53,258,3,Berlin,37.4,19,2025-05-04 11:40:00,2025-05-04 11:59:00
259,53,259,4,Stuttgart,21.1,15,2025-05-04 12:10:00,2025-05-04 12:25:00
260,53,260,5,Frankfurt,16.3,25,2025-05-04 14:10:00,2025-05-04 14:35:00
261,54,261,1,Leipzig,30.4,25,2025-04-05 09:25:00,2025-04-05 09:50:00
262,54,262,2,Hamburg,42.7,24,2025-04-05 10:55:00,2025-04-05 11:19:00
263,54,263,3,Berlin,36.5,21,2025-04-05 12:40:00,2025-04-05 13:01:00
264,54,264,4,Köln,10.7,13,2025-04-05 12:40:00,2025-04-05 12:53:00
265,55,265,1,Köln,30.5,26,2025-05-31 09:15:00,2025-05-31 09:41:00
266,55,266,2,Hamburg,38.5,23,2025-05-31 11:10:00,2025-05-31 11:33:00
267,55,267,3,Hamburg,26.9,19,2025-05-31 11:15:00,2025-05-31 11:34:00
268,55,268,4,Stuttgart,4.9,10,2025-05-31 11:55:00,2025-05-31 12:05:00
269,56,269,1,Leipzig,42.7,32,2025-05-08 10:25:00,2025-05-08 10:57:00
270,56,270,2,München,32.4,7,2025-05-08 10:25:00,2025-05-08 10:32:00
271,56,271,3,Frankfurt,41.9,18,2025-05-08 11:10:00,2025-05-08 11:28:00
272,56,272,4,Köln,24.4,18,2025-05-08 12:25:00,2025-05-08 12:43:00
273,56,273,5,Hamburg,23.9,18,2025-05-08 13:25:00,2025-05-08 13:43:00
274,57,274,1,Leipzig,22.1,24,2025-04-15 08:55:00,2025-04-15 09:19:00
275,57,275,2,Leipzig,34.2,32,2025-04-15 10:10:00,2025-04-15 10:42:00
276,57,276,3,Hamburg,4.2,13,2025-04-15 10:40:00,2025-04-15 10:53:00
277,57,277,4,Frankfurt,35.8,6,2025-04-15 12:55:00,2025-04-15 13:01:00
278,57,278,5,Berlin,15.4,5,2025-04-15 13:25:00,2025-04-15 13:30:00
279,57,279,6,Hamburg,14.7,26,2025-04-15 14:30:00,2025-04-15 14:56:00
280,58,280,1,Frankfurt,39.5,23,2025-06-27 09:10:00,2025-06-27 09:33:00
281,58,281,2,München,7.0,25,2025-06-27 10:10:00,2025-06-27 10:35:00
282,58,282,3,Frankfurt,36.1,10,2025-06-27 11:10:00,2025-06-27 11:20:00
283,58,283,4,Berlin,39.6,19,2025-06-27 12:55:00,2025-06-27 13:14:00
284,58,284,5,Köln,47.3,11,2025-06-27 14:40:00,2025-06-27 14:51:00
285,58,285,6,Frankfurt,38.1,27,2025-06-27 13:55:00,2025-06-27 14:22:00
286,59,286,1,Köln,36.4,10,2025-05-20 08:55:00,2025-05-20 09:05:00
287,59,287,2,Hamburg,6.3,30,2025-05-20 11:10:00,2025-05-20 11:40:00
288,59,288,3,München,13.7,9,2025-05-20 10:40:00,2025-05-20 10:49:00
289,59,289,4,Frankfurt,23.3,20,2025-05-20 12:40:00,2025-05-20 13:00:00
290,59,290,5,Berlin,40.6,34,2025-05-20 13:25:00,2025-05-20 13:59:00
291,59,291,6,Stuttgart,6.4,6,2025-05-20 14:25:00,2025-05-20 14:31:00
292,59,292,7,München,45.0,25,2025-05-20 14:55:00,2025-05-20 15:20:00
293,60,293,1,München,33.1,25,2025-04-22 08:55:00,2025-04-22 09:20:00
294,60,294,2,Berlin,28.8,27,2025-04-22 11:10:00,2025-04-22 11:37:00
295,60,295,3,Frankfurt,27.0,13,2025-04-22 11:30:00,2025-04-22 11:43:00
296,60,296,4,Frankfurt,36.8,13,2025-04-22 12:25:00,2025-04-22 12:38:00
297,60,297,5,Frankfurt,38.7,18,2025-04-22 13:25:00,2025-04-22 13:43:00
298,60,298,6,München,45.8,6,2025-04-22 14:25:00,2025-04-22 14:31:00
299,60,299,7,Leipzig,19.6,11,2025-04-22 16:25:00,2025-04-22 16:36:00
300,61,300,1,Frankfurt,45.3,28,2025-04-07 09:25:00,2025-04-07 09:53:00
301,61,301,2,Hamburg,33.6,30,2025-04-07 10:55:00,2025-04-07 11:25:00
302,61,302,3,Köln,40.9,32,2025-04-07 10:40:00,2025-04-07 11:12:00
303,61,303,4,Köln,41.6,34,2025-04-07 12:10:00,2025-04-07 12:44:00
304,61,304,5,Stuttgart,28.9,35,2025-04-07 13:55:00,2025-04-07 14:30:00
305,61,305,6,Berlin,24.2,13,2025-04-07 14:30:00,2025-04-07 14:43:00
306,61,306,7,Frankfurt,9.3,8,2025-04-07 15:40:00,2025-04-07 15:48:00
307,62,307,1,Frankfurt,11.9,34,2025-04-18 10:40:00,2025-04-18 11:14:00
