stop_nr,tour_nr,send_nr,lfd,ort,etappe_km,standzeit_min,ankunft,abfahrt
50,12,50,4,Berlin,20.1,13,2025-04-12 11:25:00,2025-04-12 11:38:00
51,13,51,1,Köln,48.9,19,2025-01-19 08:05:00,2025-01-19 08:24:00
52,13,52,2,Frankfurt,44.1,6,2025-01-19 10:40:00,2025-01-19 10:46:00
53,13,53,3,Köln,43.2,27,2025-01-19 10:40:00,2025-01-19 11:07:00
54,13,54,4,München,41.7,26,2025-01-19 10:45:00,2025-01-19 11:11:00
55,13,55,5,Leipzig,42.8,30,2025-01-19 14:10:00,2025-01-19 14:40:00
56,14,56,1,Köln,17.7,8,2025-03-18 09:20:00,2025-03-18 09:28:00
57,14,57,2,Berlin,22.0,16,2025-03-18 09:28:00,2025-03-18 09:44:00
58,14,58,3,Hamburg,27.3,9,2025-03-18 10:25:00,2025-03-18 10:34:00
59,14,59,4,Stuttgart,42.7,14,2025-03-18 12:30:00,2025-03-18 12:44:00
60,15,60,1,Berlin,50.9,13,2025-01-27 08:10:00,2025-01-27 08:23:00
61,15,61,2,Hamburg,24.7,7,2025-01-27 09:45:00,2025-01-27 09:52:00
62,16,62,1,Leipzig,53.6,5,2025-03-30 08:50:00,2025-03-30 08:55:00
63,16,63,2,Stuttgart,39.8,23,2025-03-30 09:10:00,2025-03-30 09:33:00
64,17,64,1,Berlin,9.6,8,2025-01-31 07:55:00,2025-01-31 08:03:00
65,17,65,2,Stuttgart,6.9,40,2025-01-31 08:45:00,2025-01-31 09:25:00
66,17,66,3,Köln,42.9,39,2025-01-31 09:55:00,2025-01-31 10:34:00
67,18,67,1,Berlin,54.3,40,2025-03-25 08:58:00,2025-03-25 09:38:00
68,18,68,2,Hamburg,18.8,32,2025-03-25 09:25:00,2025-03-25 09:57:00
69,18,69,3,Berlin,25.0,32,2025-03-25 12:10:00,2025-03-25 12:42:00
70,18,70,4,Frankfurt,13.9,28,2025-03-25 11:15:00,2025-03-25 11:43:00
71,19,71,1,Köln,45.8,21,2025-04-22 10:10:00,2025-04-22 10:31:00
72,19,72,2,Stuttgart,3.7,35,2025-04-22 10:20:00,2025-04-22 10:55:00
73,19,73,3,Hamburg,8.2,7,2025-04-22 10:58:00,2025-04-22 11:05:00
74,19,74,4,Berlin,28.4,17,2025-04-22 11:25:00,2025-04-22 11:42:00
75,19,75,5,Hamburg,11.8,38,2025-04-22 12:38:00,2025-04-22 13:16:00
76,19,76,6,Berlin,33.7,12,2025-04-22 13:28:00,2025-04-22 13:40:00
77,20,77,1,Köln,23.9,19,2025-03-21 08:50:00,2025-03-21 09:09:00
78,20,78,2,Leipzig,20.6,31,2025-03-21 09:10:00,2025-03-21 09:41:00
79,20,79,3,Stuttgart,34.9,12,2025-03-21 10:38:00,2025-03-21 10:50:00
80,20,80,4,Frankfurt,27.2,26,2025-03-21 13:10:00,2025-03-21 13:36:00
81,20,81,5,Frankfurt,53.2,23,2025-03-21 11:45:00,2025-03-21 12:08:00
82,20,82,6,Leipzig,42.4,5,2025-03-21 13:05:00,2025-03-21 13:10:00
83,21,83,1,Stuttgart,15.4,36,2025-03-09 08:05:00,2025-03-09 08:41:00
84,21,84,2,Köln,29.0,23,2025-03-09 09:05:00,2025-03-09 09:28:00
85,22,85,1,Hamburg,11.4,29,2025-03-25 08:25:00,2025-03-25 08:54:00
86,22,86,2,Köln,23.9,20,2025-03-25 09:28:00,2025-03-25 09:48:00
87,22,87,3,München,30.7,32,2025-03-25 11:30:00,2025-03-25 12:02:00
88,22,88,4,Hamburg,12.1,19,2025-03-25 12:50:00,2025-03-25 13:09:00
89,23,89,1,Köln,46.2,39,2025-03-15 10:10:00,2025-03-15 10:49:00
90,23,90,2,Frankfurt,24.1,22,2025-03-15 10:40:00,2025-03-15 11:02:00
91,23,91,3,Berlin,7.4,17,2025-03-15 10:10:00,2025-03-15 10:27:00
92,23,92,4,Hamburg,40.7,25,2025-03-15 11:05:00,2025-03-15 11:30:00
93,23,93,5,Frankfurt,8.8,8,2025-03-15 12:05:00,2025-03-15 12:13:00
94,24,94,1,Berlin,14.5,33,2025-03-18 08:28:00,2025-03-18 09:01:00
95,24,95,2,Hamburg,32.2,23,2025-03-18 10:20:00,2025-03-18 10:43:00
96,25,96,1,Stuttgart,47.3,12,2025-01-16 08:45:00,2025-01-16 08:57:00
97,25,97,2,München,13.5,21,2025-01-16 09:45:00,2025-01-16 10:06:00
98,25,98,3,Berlin,10.8,24,2025-01-16 09:55:00,2025-01-16 10:19:00
99,25,99,4,Köln,7.8,11,2025-01-16 10:45:00,2025-01-16 10:56:00
100,25,100,5,Köln,46.0,6,2025-01-16 12:45:00,2025-01-16 12:51:00
101,26,101,1,München,51.5,26,2025-01-23 08:25:00,2025-01-23 08:51:00
102,26,102,2,München,19.9,24,2025-01-23 10:50:00,2025-01-23 11:14:00
103,26,103,3,Berlin,18.0,9,2025-01-23 10:00:00,2025-01-23 10:09:00
104,27,104,1,Hamburg,24.3,33,2025-03-12 09:00:00,2025-03-12 09:33:00
105,27,105,2,Berlin,22.3,6,2025-03-12 09:58:00,2025-03-12 10:04:00
106,27,106,3,Leipzig,42.8,8,2025-03-12 10:45:00,2025-03-12 10:53:00
107,28,107,1,Hamburg,7.5,28,2025-02-02 08:40:00,2025-02-02 09:08:00
108,28,108,2,Hamburg,28.3,10,2025-02-02 09:05:00,2025-02-02 09:15:00
109,28,109,3,Frankfurt,46.3,6,2025-02-02 10:10:00,2025-02-02 10:16:00
110,28,110,4,Frankfurt,39.2,8,2025-02-02 11:38:00,2025-02-02 11:46:00
111,28,111,5,Stuttgart,34.7,25,2025-02-02 13:20:00,2025-02-02 13:45:00
112,29,112,1,Stuttgart,51.5,3,2025-03-19 08:58:00,2025-03-19 09:01:00
113,29,113,2,Köln,44.0,38,2025-03-19 10:30:00,2025-03-19 11:08:00
114,29,114,3,Berlin,16.5,11,2025-03-19 10:10:00,2025-03-19 10:21:00
115,30,115,1,Berlin,29.8,20,2025-01-18 08:00:00,2025-01-18 08:20:00
116,30,116,2,Frankfurt,30.5,35,2025-01-18 09:50:00,2025-01-18 10:25:00
117,31,117,1,München,48.4,34,2025-03-29 08:05:00,2025-03-29 08:39:00
118,31,118,2,Stuttgart,13.3,13,2025-03-29 09:25:00,2025-03-29 09:38:00
119,31,119,3,Köln,15.8,20,2025-03-29 11:30:00,2025-03-29 11:50:00
120,31,120,4,Stuttgart,48.4,10,2025-03-29 11:40:00,2025-03-29 11:50:00
121,31,121,5,Hamburg,54.7,10,2025-03-29 12:05:00,2025-03-29 12:15:00
122,31,122,6,Köln,37.9,34,2025-03-29 13:15:00,2025-03-29 13:49:00
123,32,123,1,Hamburg,23.9,31,2025-04-05 07:45:00,2025-04-05 08:16:00
124,32,124,2,Berlin,24.2,14,2025-04-05 09:50:00,2025-04-05 10:04:00
125,32,125,3,Berlin,11.5,28,2025-04-05 10:10:00,2025-04-05 10:38:00
126,32,126,4,Leipzig,15.4,31,2025-04-05 10:45:00,2025-04-05 11:16:00
127,33,127,1,Berlin,16.9,24,2025-03-19 09:50:00,2025-03-19 10:14:00
128,33,128,2,Berlin,28.3,18,2025-03-19 10:20:00,2025-03-19 10:38:00
129,33,129,3,Berlin,11.5,37,2025-03-19 10:18:00,2025-03-19 10:55:00
130,33,130,4,Leipzig,35.2,17,2025-03-19 10:45:00,2025-03-19 11:02:00
131,34,131,1,Frankfurt,11.9,39,2025-02-24 08:25:00,2025-02-24 09:04:00
132,34,132,2,Köln,19.2,39,2025-02-24 10:40:00,2025-02-24 11:19:00
133,34,133,3,Leipzig,53.4,8,2025-02-24 11:30:00,2025-02-24 11:38:00
134,34,134,4,Hamburg,15.7,40,2025-02-24 11:50:00,2025-02-24 12:30:00
135,34,135,5,Köln,7.0,3,2025-02-24 12:28:00,2025-02-24 12:31:00
136,34,136,6,Hamburg,50.7,20,2025-02-24 13:05:00,2025-02-24 13:25:00
137,35,137,1,Köln,18.6,40,2025-02-12 08:45:00,2025-02-12 09:25:00
138,35,138,2,München,29.6,17,2025-02-12 09:05:00,2025-02-12 09:22:00
139,35,139,3,Leipzig,34.4,40,2025-02-12 10:15:00,2025-02-12 10:55:00
140,35,140,4,Stuttgart,18.2,11,2025-02-12 11:58:00,2025-02-12 12:09:00
141,35,141,5,München,4.5,23,2025-02-12 13:00:00,2025-02-12 13:23:00
142,35,142,6,Frankfurt,30.5,29,2025-02-12 13:05:00,2025-02-12 13:34:00
143,36,143,1,Berlin,28.7,16,2025-03-02 08:15:00,2025-03-02 08:31:00
144,36,144,2,Stuttgart,3.6,31,2025-03-02 09:18:00,2025-03-02 09:49:00
145,36,145,3,Frankfurt,6.6,22,2025-03-02 11:00:00,2025-03-02 11:22:00
146,36,146,4,München,12.3,9,2025-03-02 13:10:00,2025-03-02 13:19:00
147,36,147,5,Hamburg,17.1,19,2025-03-02 13:30:00,2025-03-02 13:49:00
148,37,148,1,München,23.2,12,2025-04-13 08:18:00,2025-04-13 08:30:00
149,37,149,2,Frankfurt,7.3,21,2025-04-13 09:00:00,2025-04-13 09:21:00
150,38,150,1,Hamburg,54.6,4,2025-01-17 08:25:00,2025-01-17 08:29:00
151,38,151,2,Leipzig,25.6,18,2025-01-17 10:30:00,2025-01-17 10:48:00
152,38,152,3,München,43.8,18,2025-01-17 11:20:00,2025-01-17 11:38:00
153,38,153,4,Hamburg,40.2,21,2025-01-17 13:10:00,2025-01-17 13:31:00
154,39,154,1,Frankfurt,12.3,40,2025-04-22 08:25:00,2025-04-22 09:05:00
155,39,155,2,Frankfurt,17.9,14,2025-04-22 09:25:00,2025-04-22 09:39:00
156,39,156,3,München,29.8,10,2025-04-22 10:05:00,2025-04-22 10:15:00
157,40,157,1,Stuttgart,47.3,14,2025-03-21 08:50:00,2025-03-21 09:04:00
158,40,158,2,Köln,9.7,29,2025-03-21 09:10:00,2025-03-21 09:39:00
159,40,159,3,Hamburg,35.5,36,2025-03-21 10:18:00,2025-03-21 10:54:00
160,40,160,4,München,24.2,25,2025-03-21 11:00:00,2025-03-21 11:25:00
161,40,161,5,Stuttgart,37.2,40,2025-03-21 12:10:00,2025-03-21 12:50:00
162,41,162,1,Hamburg,33.6,36,2025-02-01 08:58:00,2025-02-01 09:34:00
163,41,163,2,München,13.6,15,2025-02-01 10:00:00,2025-02-01 10:15:00
164,41,164,3,Berlin,28.6,20,2025-02-01 10:25:00,2025-02-01 10:45:00
165,41,165,4,München,30.3,24,2025-02-01 10:55:00,2025-02-01 11:19:00
166,41,166,5,Leipzig,20.7,6,2025-02-01 12:28:00,2025-02-01 12:34:00
167,41,167,6,Stuttgart,54.5,3,2025-02-01 14:30:00,2025-02-01 14:33:00
168,42,168,1,Köln,14.4,15,2025-04-05 07:55:00,2025-04-05 08:10:00
169,42,169,2,München,44.1,6,2025-04-05 10:30:00,2025-04-05 10:36:00
170,42,170,3,Hamburg,32.7,39,2025-04-05 10:45:00,2025-04-05 11:24:00
171,42,171,4,Stuttgart,33.9,10,2025-04-05 11:50:00,2025-04-05 12:00:00
172,42,172,5,Berlin,27.3,32,2025-04-05 12:28:00,2025-04-05 13:00:00
173,42,173,6,München,38.4,32,2025-04-05 13:15:00,2025-04-05 13:47:00
174,43,174,1,Hamburg,53.7,33,2025-03-18 09:40:00,2025-03-18 10:13:00
175,43,175,2,München,37.8,12,2025-03-18 09:18:00,2025-03-18 09:30:00
176,43,176,3,Berlin,44.2,27,2025-03-18 10:00:00,2025-03-18 10:27:00
177,43,177,4,Stuttgart,44.5,36,2025-03-18 11:25:00,2025-03-18 12:01:00
178,43,178,5,Leipzig,29.5,34,2025-03-18 12:25:00,2025-03-18 12:59:00
179,43,179,6,Frankfurt,26.5,37,2025-03-18 13:20:00,2025-03-18 13:57:00
180,44,180,1,Hamburg,22.2,38,2025-01-21 08:10:00,2025-01-21 08:48:00
181,44,181,2,Köln,20.5,3,2025-01-21 09:00:00,2025-01-21 09:03:00
182,45,182,1,Frankfurt,19.9,12,2025-04-09 08:58:00,2025-04-09 09:10:00
183,45,183,2,Stuttgart,28.6,26,2025-04-09 08:55:00,2025-04-09 09:21:00
184,46,184,1,Berlin,14.8,19,2025-04-01 08:58:00,2025-04-01 09:17:00
185,46,185,2,Stuttgart,37.4,18,2025-04-01 09:18:00,2025-04-01 09:36:00
186,46,186,3,Berlin,27.5,33,2025-04-01 10:50:00,2025-04-01 11:23:00
187,46,187,4,Stuttgart,25.8,27,2025-04-01 11:18:00,2025-04-01 11:45:00
188,46,188,5,Berlin,18.1,16,2025-04-01 12:25:00,2025-04-01 12:41:00
189,46,189,6,Köln,19.0,7,2025-04-01 13:28:00,2025-04-01 13:35:00
190,47,190,1,Berlin,42.1,6,2025-03-25 08:05:00,2025-03-25 08:11:00
191,47,191,2,Leipzig,18.8,26,2025-03-25 08:55:00,2025-03-25 09:21:00
192,47,192,3,Berlin,49.7,9,2025-03-25 10:40:00,2025-03-25 10:49:00
193,47,193,4,München,31.8,39,2025-03-25 12:30:00,2025-03-25 13:09:00
194,48,194,1,Köln,55.0,30,2025-03-09 07:55:00,2025-03-09 08:25:00
195,48,195,2,Hamburg,34.7,3,2025-03-09 09:40:00,2025-03-09 09:43:00
196,48,196,3,Frankfurt,45.4,12,2025-03-09 11:40:00,2025-03-09 11:52:00
197,48,197,4,Hamburg,16.2,40,2025-03-09 11:25:00,2025-03-09 12:05:00
198,48,198,5,Frankfurt,4.4,40,2025-03-09 12:15:00,2025-03-09 12:55:00
199,48,199,6,München,25.9,7,2025-03-09 14:20:00,2025-03-09 14:27:00
200,49,200,1,Stuttgart,7.7,24,2025-02-04 08:05:00,2025-02-04 08:29:00
201,49,201,2,Berlin,24.0,19,2025-02-04 09:38:00,2025-02-04 09:57:00
202,49,202,3,Köln,7.7,37,2025-02-04 10:00:00,2025-02-04 10:37:00
203,49,203,4,Hamburg,53.9,24,2025-02-04 12:50:00,2025-02-04 13:14:00
204,49,204,5,Berlin,50.2,9,2025-02-04 12:40:00,2025-02-04 12:49:00
205,49,205,6,München,20.9,8,2025-02-04 13:05:00,2025-02-04 13:13:00
206,50,206,1,Berlin,50.1,22,2025-02-01 08:05:00,2025-02-01 08:27:00
207,50,207,2,Köln,19.6,16,2025-02-01 10:00:00,2025-02-01 10:16:00
208,50,208,3,München,8.9,24,2025-02-01 10:10:00,2025-02-01 10:34:00
209,50,209,4,Stuttgart,14.4,38,2025-02-01 10:55:00,2025-02-01 11:33:00
210,50,210,5,Hamburg,23.6,20,2025-02-01 12:05:00,2025-02-01 12:25:00
211,50,211,6,Leipzig,39.4,37,2025-02-01 13:45:00,2025-02-01 14:22:00
212,51,212,1,Berlin,29.2,16,2025-04-02 08:40:00,2025-04-02 08:56:00
213,51,213,2,Leipzig,18.8,34,2025-04-02 09:18:00,2025-04-02 09:52:00
214,52,214,1,München,6.4,16,2025-03-07 08:40:00,2025-03-07 08:56:00
215,52,215,2,München,35.7,6,2025-03-07 08:55:00,2025-03-07 09:01:00
216,52,216,3,München,43.3,4,2025-03-07 10:25:00,2025-03-07 10:29:00
217,52,217,4,Leipzig,15.9,39,2025-03-07 12:00:00,2025-03-07 12:39:00
218,53,218,1,Köln,5.8,19,2025-01-23 09:40:00,2025-01-23 09:59:00
219,53,219,2,Leipzig,21.9,22,2025-01-23 10:30:00,2025-01-23 10:52:00
220,53,220,3,Köln,34.3,5,2025-01-23 11:30:00,2025-01-23 11:35:00
221,53,221,4,Leipzig,12.5,34,2025-01-23 11:25:00,2025-01-23 11:59:00
222,53,222,5,Leipzig,49.2,8,2025-01-23 13:50:00,2025-01-23 13:58:00
223,53,223,6,Frankfurt,38.8,20,2025-01-23 15:10:00,2025-01-23 15:30:00
224,54,224,1,Köln,43.8,25,2025-03-17 07:45:00,2025-03-17 08:10:00
225,54,225,2,München,5.4,14,2025-03-17 10:20:00,2025-03-17 10:34:00
226,54,226,3,Hamburg,49.5,19,2025-03-17 10:50:00,2025-03-17 11:09:00
227,54,227,4,München,27.8,24,2025-03-17 13:10:00,2025-03-17 13:34:00
228,54,228,5,Stuttgart,38.4,34,2025-03-17 12:28:00,2025-03-17 13:02:00
229,55,229,1,Leipzig,39.6,28,2025-04-18 08:28:00,2025-04-18 08:56:00
230,55,230,2,Leipzig,32.9,19,2025-04-18 09:45:00,2025-04-18 10:04:00
231,55,231,3,München,21.2,31,2025-04-18 11:20:00,2025-04-18 11:51:00
232,55,232,4,Frankfurt,21.1,16,2025-04-18 11:38:00,2025-04-18 11:54:00
233,56,233,1,Frankfurt,16.5,4,2025-04-06 08:25:00,2025-04-06 08:29:00
234,56,234,2,Berlin,12.7,21,2025-04-06 10:20:00,2025-04-06 10:41:00
235,57,235,1,Stuttgart,19.9,29,2025-02-08 08:25:00,2025-02-08 08:54:00
236,57,236,2,Frankfurt,21.6,3,2025-02-08 09:18:00,2025-02-08 09:21:00
237,57,237,3,Hamburg,38.0,35,2025-02-08 10:25:00,2025-02-08 11:00:00
238,57,238,4,Leipzig,8.5,22,2025-02-08 11:00:00,2025-02-08 11:22:00
239,57,239,5,Leipzig,12.6,9,2025-02-08 12:58:00,2025-02-08 13:07:00
240,58,240,1,Frankfurt,18.4,12,2025-05-06 08:45:00,2025-05-06 08:57:00
241,58,241,2,Hamburg,20.7,25,2025-05-06 10:20:00,2025-05-06 10:45:00
242,58,242,3,München,16.6,4,2025-05-06 09:45:00,2025-05-06 09:49:00
243,58,243,4,München,43.9,28,2025-05-06 11:05:00,2025-05-06 11:33:00
244,58,244,5,Stuttgart,35.5,12,2025-05-06 12:05:00,2025-05-06 12:17:00
245,59,245,1,Berlin,50.4,6,2025-01-16 08:28:00,2025-01-16 08:34:00
246,59,246,2,Berlin,21.2,35,2025-01-16 10:20:00,2025-01-16 10:55:00
247,60,247,1,Frankfurt,31.0,20,2025-02-15 09:20:00,2025-02-15 09:40:00
248,60,248,2,München,52.3,39,2025-02-15 08:45:00,2025-02-15 09:24:00
249,60,249,3,Leipzig,42.2,32,2025-02-15 10:40:00,2025-02-15 11:12:00
250,60,250,4,Leipzig,48.7,14,2025-02-15 11:25:00,2025-02-15 11:39:00
251,61,251,1,Stuttgart,43.7,27,2025-03-10 08:25:00,2025-03-10 08:52:00
252,61,252,2,Köln,54.8,12,2025-03-10 09:20:00,2025-03-10 09:32:00
253,61,253,3,Hamburg,24.2,9,2025-03-10 11:00:00,2025-03-10 11:09:00
254,62,254,1,Berlin,23.0,18,2025-01-24 08:45:00,2025-01-24 09:03:00
255,62,255,2,Leipzig,51.7,29,2025-01-24 09:10:00,2025-01-24 09:39:00
256,62,256,3,Berlin,32.2,9,2025-01-24 10:45:00,2025-01-24 10:54:00
257,62,257,4,Leipzig,5.6,8,2025-01-24 12:20:00,2025-01-24 12:28:00
258,63,258,1,München,31.6,39,2025-02-17 08:58:00,2025-02-17 09:37:00
259,63,259,2,Leipzig,14.5,16,2025-02-17 09:38:00,2025-02-17 09:54:00
260,64,260,1,Leipzig,39.9,36,2025-03-22 09:20:00,2025-03-22 09:56:00
261,64,261,2,Köln,8.5,24,2025-03-22 09:00:00,2025-03-22 09:24:00
262,64,262,3,Leipzig,7.7,24,2025-03-22 11:40:00,2025-03-22 12:04:00
263,64,263,4,Hamburg,15.3,40,2025-03-22 11:05:00,2025-03-22 11:45:00
264,64,264,5,Hamburg,41.3,10,2025-03-22 13:40:00,2025-03-22 13:50:00
265,65,265,1,Berlin,23.1,25,2025-04-14 08:58:00,2025-04-14 09:23:00
266,65,266,2,Leipzig,45.2,8,2025-04-14 09:05:00,2025-04-14 09:13:00
267,65,267,3,Hamburg,39.2,28,2025-04-14 09:55:00,2025-04-14 10:23:00
268,66,268,1,Berlin,6.9,37,2025-05-06 08:00:00,2025-05-06 08:37:00
269,66,269,2,Frankfurt,30.1,14,2025-05-06 09:05:00,2025-05-06 09:19:00
270,66,270,3,Köln,10.9,33,2025-05-06 10:05:00,2025-05-06 10:38:00
271,67,271,1,Stuttgart,37.9,30,2025-05-07 08:05:00,2025-05-07 08:35:00
272,67,272,2,Stuttgart,19.2,21,2025-05-07 09:25:00,2025-05-07 09:46:00
273,67,273,3,Leipzig,31.5,18,2025-05-07 11:50:00,2025-05-07 12:08:00
274,68,274,1,Berlin,48.7,21,2025-04-03 07:55:00,2025-04-03 08:16:00
275,68,275,2,Hamburg,53.8,26,2025-04-03 09:25:00,2025-04-03 09:51:00
276,69,276,1,Berlin,45.1,33,2025-04-30 08:20:00,2025-04-30 08:53:00
277,69,277,2,Hamburg,41.8,4,2025-04-30 09:20:00,2025-04-30 09:24:00
278,69,278,3,Stuttgart,3.2,33,2025-04-30 11:50:00,2025-04-30 12:23:00
279,69,279,4,Hamburg,32.0,36,2025-04-30 11:58:00,2025-04-30 12:34:00
280,70,280,1,München,21.6,18,2025-04-26 09:20:00,2025-04-26 09:38:00
281,70,281,2,Stuttgart,42.8,9,2025-04-26 11:10:00,2025-04-26 11:19:00
282,70,282,3,Berlin,42.4,40,2025-04-26 11:30:00,2025-04-26 12:10:00
283,70,283,4,Stuttgart,43.4,35,2025-04-26 11:25:00,2025-04-26 12:00:00
284,71,284,1,Berlin,6.9,17,2025-01-27 08:50:00,2025-01-27 09:07:00
285,71,285,2,Hamburg,44.8,29,2025-01-27 09:15:00,2025-01-27 09:44:00
286,71,286,3,Hamburg,53.8,28,2025-01-27 10:58:00,2025-01-27 11:26:00
287,71,287,4,Stuttgart,53.9,3,2025-01-27 11:25:00,2025-01-27 11:28:00
288,71,288,5,München,19.2,11,2025-01-27 13:20:00,2025-01-27 13:31:00
289,72,289,1,München,30.4,16,2025-01-31 08:25:00,2025-01-31 08:41:00
290,72,290,2,Leipzig,20.4,13,2025-01-31 09:10:00,2025-01-31 09:23:00
291,73,291,1,Stuttgart,11.1,35,2025-01-27 07:45:00,2025-01-27 08:20:00
292,73,292,2,Stuttgart,17.2,40,2025-01-27 08:45:00,2025-01-27 09:25:00
293,73,293,3,Köln,18.7,29,2025-01-27 10:05:00,2025-01-27 10:34:00
294,74,294,1,Hamburg,10.1,6,2025-03-13 08:28:00,2025-03-13 08:34:00
295,74,295,2,Leipzig,32.5,39,2025-03-13 08:45:00,2025-03-13 09:24:00
296,74,296,3,Köln,10.2,7,2025-03-13 10:50:00,2025-03-13 10:57:00
297,74,297,4,Leipzig,20.5,35,2025-03-13 11:05:00,2025-03-13 11:40:00
298,74,298,5,Hamburg,28.7,4,2025-03-13 13:50:00,2025-03-13 13:54:00
299,74,299,6,Hamburg,21.6,10,2025-03-13 13:25:00,2025-03-13 13:35:00
300,75,300,1,Leipzig,16.1,39,2025-01-25 10:10:00,2025-01-25 10:49:00
301,75,301,2,München,33.0,40,2025-01-25 09:15:00,2025-01-25 09:55:00
302,75,302,3,Frankfurt,10.1,22,2025-01-25 10:50:00,2025-01-25 11:12:00
303,75,303,4,Leipzig,22.5,24,2025-01-25 10:45:00,2025-01-25 11:09:00
304,76,304,1,Frankfurt,36.1,7,2025-05-02 09:20:00,2025-05-02 09:27:00
305,76,305,2,Stuttgart,20.2,31,2025-05-02 09:25:00,2025-05-02 09:56:00
306,76,306,3,Frankfurt,20.9,11,2025-05-02 10:20:00,2025-05-02 10:31:00
307,76,307,4,Hamburg,41.9,28,2025-05-02 11:58:00,2025-05-02 12:26:00
