scan_id,send_nr,stop_nr,scan_ts,evt,ort_txt
39,16,16,2025-02-20 09:45:00,zustellung,Berlin
40,17,17,2025-02-20 10:52:00,uebernahme,Leipzig
41,17,17,2025-02-20 10:20:00,scan_hub,Berlin
42,18,18,2025-02-20 07:42:00,uebernahme,Berlin
43,18,18,2025-02-20 07:53:00,scan_hub,Stuttgart
44,18,18,2025-02-20 07:51:00,zustellung,Hamburg
45,19,19,2025-02-20 08:57:00,uebernahme,Hamburg
46,19,19,2025-02-20 09:00:00,scan_hub,Stuttgart
47,19,19,2025-02-20 08:40:00,zustellung,Köln
48,20,20,2025-02-20 10:10:00,uebernahme,Köln
49,20,20,2025-02-20 10:15:00,scan_hub,Köln
50,20,20,2025-02-20 10:22:00,zustellung,Hamburg
51,21,21,2025-02-20 10:44:00,uebernahme,Leipzig
52,21,21,2025-02-20 10:32:00,scan_hub,Frankfurt
53,21,21,2025-02-20 10:31:00,zustellung,München
54,22,22,2025-02-20 12:00:00,uebernahme,Leipzig
55,22,22,2025-02-20 11:32:00,scan_hub,Stuttgart
56,22,22,2025-02-20 11:53:00,zustellung,Leipzig
57,23,23,2025-02-05 07:22:00,uebernahme,Leipzig
58,23,23,2025-02-05 07:30:00,scan_hub,Stuttgart
59,23,23,2025-02-05 07:22:00,zustellung,München
60,24,24,2025-02-05 09:58:00,uebernahme,Köln
61,24,24,2025-02-05 10:09:00,scan_hub,Berlin
62,24,24,2025-02-05 10:21:00,zustellung,Berlin
63,25,25,2025-02-05 11:06:00,uebernahme,Hamburg
64,25,25,2025-02-05 11:12:00,scan_hub,Hamburg
65,25,25,2025-02-05 10:59:00,zustellung,Frankfurt
66,26,26,2025-02-05 12:14:00,uebernahme,Köln
67,26,26,2025-02-05 11:45:00,scan_hub,Hamburg
68,26,26,2025-02-05 12:10:00,zustellung,Hamburg
69,27,27,2025-02-05 12:43:00,uebernahme,Hamburg
70,27,27,2025-02-05 12:08:00,scan_hub,Frankfurt
71,27,27,2025-02-05 12:52:00,zustellung,Frankfurt
72,28,28,2025-05-05 07:45:00,uebernahme,Leipzig
73,28,28,2025-05-05 07:21:00,scan_hub,Hamburg
74,28,28,2025-05-05 07:56:00,zustellung,Frankfurt
75,29,29,2025-05-05 08:18:00,uebernahme,Berlin
76,29,29,2025-05-05 08:25:00,scan_hub,Frankfurt
77,30,30,2025-05-05 09:42:00,uebernahme,Hamburg
78,30,30,2025-05-05 09:58:00,scan_hub,Leipzig
79,30,30,2025-05-05 10:10:00,zustellung,München
80,31,31,2025-05-05 11:42:00,uebernahme,Stuttgart
81,31,31,2025-05-05 11:29:00,scan_hub,Leipzig
82,32,32,2025-05-05 13:36:00,uebernahme,Hamburg
83,32,32,2025-05-05 13:26:00,scan_hub,Frankfurt
84,32,32,2025-05-05 13:23:00,zustellung,Hamburg
85,33,33,2025-02-15 09:03:00,uebernahme,Hamburg
86,33,33,2025-02-15 09:50:00,scan_hub,Frankfurt
87,33,33,2025-02-15 09:29:00,zustellung,Köln
88,34,34,2025-02-15 08:32:00,uebernahme,Leipzig
89,34,34,2025-02-15 09:01:00,scan_hub,Hamburg
90,34,34,2025-02-15 08:56:00,zustellung,Frankfurt
91,35,35,2025-02-15 11:29:00,uebernahme,Stuttgart
92,35,35,2025-02-15 10:46:00,scan_hub,Köln
93,35,35,2025-02-15 10:56:00,zustellung,Hamburg
94,36,36,2025-02-15 10:23:00,uebernahme,Leipzig
95,36,36,2025-02-15 11:01:00,scan_hub,München
96,37,37,2025-03-07 08:21:00,uebernahme,Hamburg
97,37,37,2025-03-07 08:35:00,scan_hub,Stuttgart
98,38,38,2025-03-07 09:19:00,uebernahme,Stuttgart
99,38,38,2025-03-07 08:48:00,scan_hub,Berlin
100,38,38,2025-03-07 09:03:00,zustellung,Berlin
101,39,39,2025-03-07 10:33:00,uebernahme,Hamburg
102,39,39,2025-03-07 11:05:00,scan_hub,Stuttgart
103,40,40,2025-03-07 11:29:00,uebernahme,Berlin
104,40,40,2025-03-07 11:20:00,scan_hub,Berlin
105,40,40,2025-03-07 11:04:00,zustellung,Frankfurt
106,41,41,2025-03-07 12:56:00,uebernahme,Leipzig
107,41,41,2025-03-07 12:31:00,scan_hub,Leipzig
108,42,42,2025-02-22 08:02:00,uebernahme,Hamburg
109,42,42,2025-02-22 07:18:00,scan_hub,Frankfurt
110,42,42,2025-02-22 07:51:00,zustellung,München
111,43,43,2025-02-22 08:29:00,uebernahme,Hamburg
112,43,43,2025-02-22 09:05:00,scan_hub,Berlin
113,44,44,2025-02-22 09:47:00,uebernahme,Köln
114,44,44,2025-02-22 09:52:00,scan_hub,Berlin
115,45,45,2025-02-22 11:04:00,uebernahme,Frankfurt
116,45,45,2025-02-22 10:49:00,scan_hub,Leipzig
117,46,46,2025-02-22 13:14:00,uebernahme,Köln
118,46,46,2025-02-22 13:18:00,scan_hub,Berlin
119,46,46,2025-02-22 13:40:00,zustellung,Leipzig
120,47,47,2025-04-12 08:09:00,uebernahme,Köln
121,47,47,2025-04-12 07:42:00,scan_hub,Stuttgart
122,47,47,2025-04-12 07:50:00,zustellung,Berlin
123,48,48,2025-04-12 08:33:00,uebernahme,München
124,48,48,2025-04-12 08:54:00,scan_hub,Stuttgart
125,49,49,2025-04-12 10:38:00,uebernahme,Köln
126,49,49,2025-04-12 09:55:00,scan_hub,Köln
127,50,50,2025-04-12 11:00:00,uebernahme,Leipzig
128,50,50,2025-04-12 11:06:00,scan_hub,Berlin
129,50,50,2025-04-12 10:52:00,zustellung,Köln
130,51,51,2025-01-19 08:03:00,uebernahme,Stuttgart
131,51,51,2025-01-19 07:46:00,scan_hub,Köln
132,51,51,2025-01-19 08:01:00,zustellung,Hamburg
133,52,52,2025-01-19 10:29:00,uebernahme,Leipzig
134,52,52,2025-01-19 10:07:00,scan_hub,Köln
135,52,52,2025-01-19 09:50:00,zustellung,Berlin
136,53,53,2025-01-19 10:36:00,uebernahme,Köln
137,53,53,2025-01-19 10:06:00,scan_hub,Leipzig
138,53,53,2025-01-19 10:04:00,zustellung,München
139,54,54,2025-01-19 10:25:00,uebernahme,Hamburg
140,54,54,2025-01-19 10:05:00,scan_hub,Leipzig
141,55,55,2025-01-19 13:56:00,uebernahme,Leipzig
142,55,55,2025-01-19 13:35:00,scan_hub,Berlin
143,56,56,2025-03-18 08:40:00,uebernahme,München
144,56,56,2025-03-18 08:44:00,scan_hub,Hamburg
145,57,57,2025-03-18 08:44:00,uebernahme,Frankfurt
146,57,57,2025-03-18 09:23:00,scan_hub,Frankfurt
147,58,58,2025-03-18 09:50:00,uebernahme,München
148,58,58,2025-03-18 10:15:00,scan_hub,Stuttgart
149,58,58,2025-03-18 09:35:00,zustellung,Berlin
150,59,59,2025-03-18 12:22:00,uebernahme,Berlin
151,59,59,2025-03-18 12:27:00,scan_hub,Frankfurt
152,59,59,2025-03-18 12:25:00,zustellung,Köln
153,60,60,2025-01-27 07:59:00,uebernahme,Berlin
154,60,60,2025-01-27 07:21:00,scan_hub,München
155,61,61,2025-01-27 09:45:00,uebernahme,Leipzig
156,61,61,2025-01-27 09:00:00,scan_hub,Stuttgart
157,61,61,2025-01-27 09:08:00,zustellung,Stuttgart
158,62,62,2025-03-30 08:39:00,uebernahme,Frankfurt
159,62,62,2025-03-30 08:45:00,scan_hub,Stuttgart
160,63,63,2025-03-30 08:55:00,uebernahme,München
161,63,63,2025-03-30 08:21:00,scan_hub,Stuttgart
162,63,63,2025-03-30 08:43:00,zustellung,München
163,64,64,2025-01-31 07:17:00,uebernahme,Leipzig
164,64,64,2025-01-31 07:11:00,scan_hub,Frankfurt
165,65,65,2025-01-31 08:05:00,uebernahme,Frankfurt
166,65,65,2025-01-31 08:39:00,scan_hub,Frankfurt
167,65,65,2025-01-31 08:21:00,zustellung,München
168,66,66,2025-01-31 09:10:00,uebernahme,Leipzig
169,66,66,2025-01-31 09:49:00,scan_hub,Berlin
170,66,66,2025-01-31 09:37:00,zustellung,München
171,67,67,2025-03-25 08:29:00,uebernahme,Stuttgart
172,67,67,2025-03-25 08:58:00,scan_hub,Stuttgart
173,68,68,2025-03-25 08:53:00,uebernahme,Leipzig
174,68,68,2025-03-25 09:24:00,scan_hub,Hamburg
175,69,69,2025-03-25 11:38:00,uebernahme,Hamburg
176,69,69,2025-03-25 11:23:00,scan_hub,Frankfurt
177,69,69,2025-03-25 11:55:00,zustellung,Stuttgart
178,70,70,2025-03-25 11:07:00,uebernahme,Stuttgart
179,70,70,2025-03-25 10:34:00,scan_hub,Hamburg
180,70,70,2025-03-25 10:25:00,zustellung,Frankfurt
181,71,71,2025-04-22 09:24:00,uebernahme,Frankfurt
182,71,71,2025-04-22 09:38:00,scan_hub,Stuttgart
183,71,71,2025-04-22 09:54:00,zustellung,Köln
184,72,72,2025-04-22 09:31:00,uebernahme,München
185,72,72,2025-04-22 10:17:00,scan_hub,Stuttgart
186,72,72,2025-04-22 10:11:00,zustellung,Hamburg
187,73,73,2025-04-22 10:40:00,uebernahme,Köln
188,73,73,2025-04-22 10:27:00,scan_hub,Stuttgart
189,73,73,2025-04-22 10:21:00,zustellung,Frankfurt
190,74,74,2025-04-22 10:43:00,uebernahme,Hamburg
191,74,74,2025-04-22 11:25:00,scan_hub,Berlin
192,74,74,2025-04-22 11:11:00,zustellung,Stuttgart
193,75,75,2025-04-22 12:04:00,uebernahme,Frankfurt
194,75,75,2025-04-22 12:37:00,scan_hub,Stuttgart
195,75,75,2025-04-22 12:14:00,zustellung,Frankfurt
196,76,76,2025-04-22 12:53:00,uebernahme,Stuttgart
197,76,76,2025-04-22 13:27:00,scan_hub,Leipzig
198,76,76,2025-04-22 13:21:00,zustellung,Stuttgart
199,77,77,2025-03-21 08:15:00,uebernahme,Leipzig
200,77,77,2025-03-21 08:45:00,scan_hub,Leipzig
201,77,77,2025-03-21 08:19:00,zustellung,Leipzig
202,78,78,2025-03-21 08:31:00,uebernahme,Berlin
203,78,78,2025-03-21 08:35:00,scan_hub,Hamburg
204,78,78,2025-03-21 08:57:00,zustellung,Stuttgart
205,79,79,2025-03-21 10:05:00,uebernahme,Leipzig
206,79,79,2025-03-21 09:52:00,scan_hub,Frankfurt
207,79,79,2025-03-21 09:59:00,zustellung,Hamburg
208,80,80,2025-03-21 13:00:00,uebernahme,München
209,80,80,2025-03-21 12:47:00,scan_hub,Berlin
210,80,80,2025-03-21 12:55:00,zustellung,Berlin
211,81,81,2025-03-21 10:56:00,uebernahme,Leipzig
212,81,81,2025-03-21 11:06:00,scan_hub,Leipzig
213,81,81,2025-03-21 11:39:00,zustellung,Berlin
214,82,82,2025-03-21 12:27:00,uebernahme,Hamburg
215,82,82,2025-03-21 12:29:00,scan_hub,Frankfurt
216,82,82,2025-03-21 12:22:00,zustellung,Frankfurt
217,83,83,2025-03-09 07:47:00,uebernahme,Stuttgart
218,83,83,2025-03-09 07:33:00,scan_hub,Leipzig
219,83,83,2025-03-09 07:53:00,zustellung,Frankfurt
220,84,84,2025-03-09 08:18:00,uebernahme,Berlin
221,84,84,2025-03-09 08:48:00,scan_hub,Köln
222,85,85,2025-03-25 08:13:00,uebernahme,Leipzig
223,85,85,2025-03-25 07:57:00,scan_hub,Hamburg
224,85,85,2025-03-25 08:14:00,zustellung,Hamburg
225,86,86,2025-03-25 08:48:00,uebernahme,Stuttgart
226,86,86,2025-03-25 09:25:00,scan_hub,Berlin
227,86,86,2025-03-25 08:57:00,zustellung,Leipzig
228,87,87,2025-03-25 10:57:00,uebernahme,Köln
229,87,87,2025-03-25 10:55:00,scan_hub,Hamburg
230,88,88,2025-03-25 12:40:00,uebernahme,Stuttgart
231,88,88,2025-03-25 12:31:00,scan_hub,München
232,88,88,2025-03-25 12:17:00,zustellung,Leipzig
233,89,89,2025-03-15 09:56:00,uebernahme,Köln
234,89,89,2025-03-15 09:35:00,scan_hub,Leipzig
235,90,90,2025-03-15 10:40:00,uebernahme,München
236,90,90,2025-03-15 09:59:00,scan_hub,Frankfurt
237,91,91,2025-03-15 09:20:00,uebernahme,Stuttgart
238,91,91,2025-03-15 10:10:00,scan_hub,Berlin
239,91,91,2025-03-15 09:58:00,zustellung,Stuttgart
240,92,92,2025-03-15 10:15:00,uebernahme,Hamburg
241,92,92,2025-03-15 10:28:00,scan_hub,München
242,92,92,2025-03-15 10:27:00,zustellung,Frankfurt
243,93,93,2025-03-15 11:49:00,uebernahme,Hamburg
244,93,93,2025-03-15 12:00:00,scan_hub,Köln
245,94,94,2025-03-18 08:21:00,uebernahme,Frankfurt
246,94,94,2025-03-18 07:46:00,scan_hub,München
247,94,94,2025-03-18 08:01:00,zustellung,Berlin
248,95,95,2025-03-18 09:52:00,uebernahme,Stuttgart
249,95,95,2025-03-18 09:57:00,scan_hub,Leipzig
250,95,95,2025-03-18 09:37:00,zustellung,Hamburg
251,96,96,2025-01-16 08:08:00,uebernahme,Leipzig
252,96,96,2025-01-16 08:27:00,scan_hub,Leipzig
253,97,97,2025-01-16 08:59:00,uebernahme,Stuttgart
254,97,97,2025-01-16 09:38:00,scan_hub,Stuttgart
255,97,97,2025-01-16 09:28:00,zustellung,Frankfurt
256,98,98,2025-01-16 09:32:00,uebernahme,Leipzig
257,98,98,2025-01-16 09:24:00,scan_hub,Frankfurt
258,99,99,2025-01-16 10:37:00,uebernahme,Stuttgart
259,99,99,2025-01-16 10:15:00,scan_hub,Köln
260,100,100,2025-01-16 12:36:00,uebernahme,Hamburg
261,100,100,2025-01-16 12:05:00,scan_hub,Hamburg
262,100,100,2025-01-16 12:34:00,zustellung,Frankfurt
263,101,101,2025-01-23 08:22:00,uebernahme,Berlin
264,101,101,2025-01-23 08:22:00,scan_hub,Frankfurt
265,101,101,2025-01-23 08:14:00,zustellung,Stuttgart
266,102,102,2025-01-23 10:35:00,uebernahme,Köln
267,102,102,2025-01-23 10:40:00,scan_hub,Hamburg
268,102,102,2025-01-23 10:10:00,zustellung,Köln
269,103,103,2025-01-23 09:11:00,uebernahme,Berlin
270,103,103,2025-01-23 09:54:00,scan_hub,Frankfurt
271,104,104,2025-03-12 08:48:00,uebernahme,Stuttgart
272,104,104,2025-03-12 08:46:00,scan_hub,Leipzig
273,104,104,2025-03-12 08:46:00,zustellung,Frankfurt
274,105,105,2025-03-12 09:26:00,uebernahme,Leipzig
275,105,105,2025-03-12 09:29:00,scan_hub,Stuttgart
276,105,105,2025-03-12 09:39:00,zustellung,Berlin
277,106,106,2025-03-12 10:16:00,uebernahme,Stuttgart
278,106,106,2025-03-12 10:42:00,scan_hub,Frankfurt
279,107,107,2025-02-02 08:30:00,uebernahme,Frankfurt
280,107,107,2025-02-02 08:39:00,scan_hub,München
281,107,107,2025-02-02 07:59:00,zustellung,Frankfurt
282,108,108,2025-02-02 08:25:00,uebernahme,München
283,108,108,2025-02-02 08:42:00,scan_hub,Frankfurt
284,109,109,2025-02-02 09:52:00,uebernahme,Leipzig
285,109,109,2025-02-02 10:07:00,scan_hub,Stuttgart
286,109,109,2025-02-02 09:21:00,zustellung,Leipzig
287,110,110,2025-02-02 11:36:00,uebernahme,Stuttgart
288,110,110,2025-02-02 11:03:00,scan_hub,Berlin
289,110,110,2025-02-02 11:15:00,zustellung,Köln
290,111,111,2025-02-02 12:45:00,uebernahme,Leipzig
291,111,111,2025-02-02 12:42:00,scan_hub,München
292,111,111,2025-02-02 13:15:00,zustellung,Frankfurt
293,112,112,2025-03-19 08:38:00,uebernahme,Leipzig
294,112,112,2025-03-19 08:58:00,scan_hub,Frankfurt
295,112,112,2025-03-19 08:23:00,zustellung,Frankfurt
296,113,113,2025-03-19 09:47:00,uebernahme,Köln
297,113,113,2025-03-19 10:28:00,scan_hub,Stuttgart
298,113,113,2025-03-19 09:51:00,zustellung,München
299,114,114,2025-03-19 09:56:00,uebernahme,Leipzig
300,114,114,2025-03-19 10:06:00,scan_hub,Frankfurt
301,114,114,2025-03-19 10:04:00,zustellung,Stuttgart
302,115,115,2025-01-18 07:27:00,uebernahme,München
303,115,115,2025-01-18 07:55:00,scan_hub,Köln
304,116,116,2025-01-18 09:30:00,uebernahme,Frankfurt
305,116,116,2025-01-18 09:48:00,scan_hub,Leipzig
306,116,116,2025-01-18 09:14:00,zustellung,Hamburg
307,117,117,2025-03-29 07:51:00,uebernahme,Köln
308,117,117,2025-03-29 07:35:00,scan_hub,Leipzig
309,118,118,2025-03-29 09:11:00,uebernahme,München
310,118,118,2025-03-29 09:04:00,scan_hub,München
311,118,118,2025-03-29 08:45:00,zustellung,Frankfurt
312,119,119,2025-03-29 11:09:00,uebernahme,Frankfurt
313,119,119,2025-03-29 11:05:00,scan_hub,Hamburg
314,120,120,2025-03-29 11:38:00,uebernahme,Köln
315,120,120,2025-03-29 11:09:00,scan_hub,Frankfurt
316,120,120,2025-03-29 11:29:00,zustellung,Leipzig
317,121,121,2025-03-29 11:15:00,uebernahme,Berlin
318,121,121,2025-03-29 12:03:00,scan_hub,Stuttgart
319,122,122,2025-03-29 12:40:00,uebernahme,Stuttgart
320,122,122,2025-03-29 12:34:00,scan_hub,Berlin
321,123,123,2025-04-05 06:59:00,uebernahme,Leipzig
322,123,123,2025-04-05 07:45:00,scan_hub,Köln
323,123,123,2025-04-05 07:23:00,zustellung,Frankfurt
324,124,124,2025-04-05 09:15:00,uebernahme,Frankfurt
325,124,124,2025-04-05 09:38:00,scan_hub,München
326,125,125,2025-04-05 09:59:00,uebernahme,Leipzig
327,125,125,2025-04-05 10:02:00,scan_hub,Stuttgart
328,126,126,2025-04-05 10:45:00,uebernahme,Leipzig
329,126,126,2025-04-05 10:35:00,scan_hub,Hamburg
330,126,126,2025-04-05 10:45:00,zustellung,Leipzig
331,127,127,2025-03-19 09:34:00,uebernahme,Hamburg
332,127,127,2025-03-19 09:42:00,scan_hub,Stuttgart
333,128,128,2025-03-19 09:37:00,uebernahme,Berlin
334,128,128,2025-03-19 09:34:00,scan_hub,Berlin
335,128,128,2025-03-19 09:59:00,zustellung,Stuttgart
336,129,129,2025-03-19 10:00:00,uebernahme,Berlin
337,129,129,2025-03-19 09:44:00,scan_hub,Frankfurt
338,130,130,2025-03-19 10:38:00,uebernahme,München
339,130,130,2025-03-19 10:16:00,scan_hub,Hamburg
340,131,131,2025-02-24 08:14:00,uebernahme,Leipzig
341,131,131,2025-02-24 08:16:00,scan_hub,Frankfurt
342,131,131,2025-02-24 08:15:00,zustellung,Berlin
343,132,132,2025-02-24 09:59:00,uebernahme,Frankfurt
344,132,132,2025-02-24 09:50:00,scan_hub,Köln
345,132,132,2025-02-24 10:13:00,zustellung,Leipzig
346,133,133,2025-02-24 10:40:00,uebernahme,Stuttgart
347,133,133,2025-02-24 11:18:00,scan_hub,Leipzig
348,134,134,2025-02-24 11:03:00,uebernahme,Stuttgart
349,134,134,2025-02-24 11:14:00,scan_hub,Berlin
350,135,135,2025-02-24 11:43:00,uebernahme,Köln
351,135,135,2025-02-24 11:52:00,scan_hub,Frankfurt
352,135,135,2025-02-24 12:04:00,zustellung,Köln
353,136,136,2025-02-24 12:43:00,uebernahme,Frankfurt
354,136,136,2025-02-24 12:56:00,scan_hub,Berlin
355,137,137,2025-02-12 08:03:00,uebernahme,Frankfurt
356,137,137,2025-02-12 08:29:00,scan_hub,Köln
357,138,138,2025-02-12 09:02:00,uebernahme,Stuttgart
358,138,138,2025-02-12 08:47:00,scan_hub,Köln
359,138,138,2025-02-12 08:37:00,zustellung,Stuttgart
360,139,139,2025-02-12 09:51:00,uebernahme,Leipzig
361,139,139,2025-02-12 09:34:00,scan_hub,München
362,140,140,2025-02-12 11:38:00,uebernahme,Frankfurt
363,140,140,2025-02-12 11:40:00,scan_hub,Leipzig
364,141,141,2025-02-12 12:22:00,uebernahme,Köln
365,141,141,2025-02-12 12:10:00,scan_hub,Stuttgart
366,142,142,2025-02-12 12:32:00,uebernahme,Berlin
367,142,142,2025-02-12 12:39:00,scan_hub,Berlin
368,142,142,2025-02-12 13:00:00,zustellung,Stuttgart
369,143,143,2025-03-02 07:37:00,uebernahme,Stuttgart
370,143,143,2025-03-02 08:02:00,scan_hub,München
371,144,144,2025-03-02 09:05:00,uebernahme,Berlin
372,144,144,2025-03-02 09:02:00,scan_hub,Frankfurt
373,144,144,2025-03-02 08:51:00,zustellung,Stuttgart
374,145,145,2025-03-02 10:14:00,uebernahme,Berlin
375,145,145,2025-03-02 10:49:00,scan_hub,München
376,146,146,2025-03-02 12:48:00,uebernahme,Stuttgart
377,146,146,2025-03-02 12:45:00,scan_hub,Stuttgart
378,147,147,2025-03-02 13:05:00,uebernahme,Berlin
379,147,147,2025-03-02 13:28:00,scan_hub,Berlin
380,148,148,2025-04-13 08:16:00,uebernahme,Hamburg
381,148,148,2025-04-13 08:03:00,scan_hub,München
382,149,149,2025-04-13 08:35:00,uebernahme,München
383,149,149,2025-04-13 08:38:00,scan_hub,Frankfurt
384,149,149,2025-04-13 08:17:00,zustellung,Stuttgart
385,150,150,2025-01-17 08:03:00,uebernahme,Stuttgart
386,150,150,2025-01-17 08:09:00,scan_hub,Berlin
387,150,150,2025-01-17 07:58:00,zustellung,Hamburg
388,151,151,2025-01-17 09:59:00,uebernahme,München
389,151,151,2025-01-17 10:12:00,scan_hub,Stuttgart
390,152,152,2025-01-17 11:13:00,uebernahme,Stuttgart
391,152,152,2025-01-17 10:43:00,scan_hub,Frankfurt
392,153,153,2025-01-17 12:32:00,uebernahme,Leipzig
393,153,153,2025-01-17 12:26:00,scan_hub,Berlin
394,153,153,2025-01-17 12:44:00,zustellung,Stuttgart
395,154,154,2025-04-22 08:19:00,uebernahme,Berlin
396,154,154,2025-04-22 08:12:00,scan_hub,Leipzig
397,154,154,2025-04-22 07:52:00,zustellung,Hamburg
398,155,155,2025-04-22 09:17:00,uebernahme,Frankfurt
399,155,155,2025-04-22 08:52:00,scan_hub,Berlin
400,155,155,2025-04-22 09:09:00,zustellung,Stuttgart
401,156,156,2025-04-22 09:46:00,uebernahme,Leipzig
402,156,156,2025-04-22 09:19:00,scan_hub,Stuttgart
403,157,157,2025-03-21 08:26:00,uebernahme,Stuttgart
404,157,157,2025-03-21 08:44:00,scan_hub,München
405,157,157,2025-03-21 08:41:00,zustellung,Stuttgart
406,158,158,2025-03-21 09:00:00,uebernahme,Leipzig
407,158,158,2025-03-21 08:42:00,scan_hub,Hamburg
408,159,159,2025-03-21 10:11:00,uebernahme,Frankfurt
409,159,159,2025-03-21 09:42:00,scan_hub,Berlin
410,159,159,2025-03-21 09:49:00,zustellung,Frankfurt
411,160,160,2025-03-21 10:24:00,uebernahme,Leipzig
412,160,160,2025-03-21 10:38:00,scan_hub,München
413,160,160,2025-03-21 10:57:00,zustellung,Stuttgart
414,161,161,2025-03-21 12:05:00,uebernahme,Hamburg
415,161,161,2025-03-21 11:30:00,scan_hub,Leipzig
416,161,161,2025-03-21 12:04:00,zustellung,Frankfurt
417,162,162,2025-02-01 08:42:00,uebernahme,Leipzig
418,162,162,2025-02-01 08:51:00,scan_hub,München
419,162,162,2025-02-01 08:09:00,zustellung,Berlin
420,163,163,2025-02-01 09:24:00,uebernahme,Frankfurt
421,163,163,2025-02-01 09:43:00,scan_hub,Leipzig
422,163,163,2025-02-01 09:26:00,zustellung,Stuttgart
423,164,164,2025-02-01 09:50:00,uebernahme,Köln
424,164,164,2025-02-01 09:58:00,scan_hub,München
425,164,164,2025-02-01 10:19:00,zustellung,Köln
426,165,165,2025-02-01 10:30:00,uebernahme,Stuttgart
427,165,165,2025-02-01 10:31:00,scan_hub,München
428,166,166,2025-02-01 12:19:00,uebernahme,Köln
429,166,166,2025-02-01 11:54:00,scan_hub,Frankfurt
430,166,166,2025-02-01 12:04:00,zustellung,München
431,167,167,2025-02-01 14:23:00,uebernahme,Frankfurt
432,167,167,2025-02-01 14:18:00,scan_hub,Frankfurt
433,168,168,2025-04-05 07:45:00,uebernahme,Frankfurt
434,168,168,2025-04-05 07:52:00,scan_hub,Leipzig
435,169,169,2025-04-05 10:02:00,uebernahme,Stuttgart
436,169,169,2025-04-05 10:30:00,scan_hub,Leipzig
437,169,169,2025-04-05 10:16:00,zustellung,München
438,170,170,2025-04-05 10:29:00,uebernahme,München
439,170,170,2025-04-05 10:05:00,scan_hub,Köln
440,170,170,2025-04-05 10:01:00,zustellung,Berlin
441,171,171,2025-04-05 11:26:00,uebernahme,Stuttgart
442,171,171,2025-04-05 11:06:00,scan_hub,Berlin
443,172,172,2025-04-05 11:52:00,uebernahme,Berlin
444,172,172,2025-04-05 12:16:00,scan_hub,Leipzig
445,173,173,2025-04-05 12:54:00,uebernahme,Berlin
446,173,173,2025-04-05 13:02:00,scan_hub,Hamburg
447,173,173,2025-04-05 12:47:00,zustellung,Hamburg
448,174,174,2025-03-18 08:53:00,uebernahme,Berlin
449,174,174,2025-03-18 09:13:00,scan_hub,Berlin
450,175,175,2025-03-18 08:56:00,uebernahme,Hamburg
451,175,175,2025-03-18 09:00:00,scan_hub,Stuttgart
452,176,176,2025-03-18 09:57:00,uebernahme,Stuttgart
453,176,176,2025-03-18 09:54:00,scan_hub,Köln
454,176,176,2025-03-18 09:23:00,zustellung,Stuttgart
455,177,177,2025-03-18 11:06:00,uebernahme,Hamburg
456,177,177,2025-03-18 11:25:00,scan_hub,Stuttgart
457,178,178,2025-03-18 11:35:00,uebernahme,Frankfurt
458,178,178,2025-03-18 11:50:00,scan_hub,München
459,179,179,2025-03-18 13:04:00,uebernahme,Hamburg
