send_nr,tour_nr,nl_id,empf,soll_ts,ist_ts,versp_min,gew_kg,stat_txt
56,14,10,Empf 56,2025-03-18 08:40:00,2025-03-18 09:20:00,40,485.2,fehl
57,14,10,Empf 57,2025-03-18 09:10:00,2025-03-18 09:28:00,18,255.5,zugestellt
58,14,10,Empf 58,2025-03-18 10:40:00,2025-03-18 10:25:00,-15,299.6,zugestellt
59,14,10,Empf 59,2025-03-18 11:00:00,2025-03-18 12:30:00,90,420.2,fehl
60,15,3,Empf 60,2025-01-27 08:10:00,2025-01-27 08:10:00,0,472.7,zugestellt
61,15,3,Empf 61,2025-01-27 09:40:00,2025-01-27 09:45:00,5,79.6,zugestellt
62,16,4,Empf 62,2025-03-30 08:10:00,2025-03-30 08:50:00,40,32.1,verspätet
63,16,4,Empf 63,2025-03-30 09:10:00,2025-03-30 09:10:00,0,110.6,zugestellt
64,17,5,Empf 64,2025-01-31 08:10:00,2025-01-31 07:55:00,-15,428.5,zugestellt
65,17,5,Empf 65,2025-01-31 09:00:00,2025-01-31 08:45:00,-15,253.3,zugestellt
66,17,5,Empf 66,2025-01-31 10:10:00,2025-01-31 09:55:00,-15,444.3,zugestellt
67,18,10,Empf 67,2025-03-25 08:40:00,2025-03-25 08:58:00,18,370.1,zugestellt
68,18,10,Empf 68,2025-03-25 09:20:00,,,324.5,unterwegs
69,18,10,Empf 69,2025-03-25 10:40:00,2025-03-25 12:10:00,90,167.3,unterwegs
70,18,10,Empf 70,2025-03-25 11:10:00,2025-03-25 11:15:00,5,50.9,zugestellt
71,19,9,Empf 71,2025-04-22 08:40:00,2025-04-22 10:10:00,90,168.9,unterwegs
72,19,9,Empf 72,2025-04-22 09:40:00,2025-04-22 10:20:00,40,418.0,verspätet
73,19,9,Empf 73,2025-04-22 10:40:00,2025-04-22 10:58:00,18,201.9,zugestellt
74,19,9,Empf 74,2025-04-22 11:20:00,,,178.2,verspätet
75,19,9,Empf 75,2025-04-22 12:20:00,2025-04-22 12:38:00,18,273.7,zugestellt
76,19,9,Empf 76,2025-04-22 13:10:00,2025-04-22 13:28:00,18,172.3,zugestellt
77,20,3,Empf 77,2025-03-21 08:10:00,2025-03-21 08:50:00,40,28.8,unterwegs
78,20,3,Empf 78,2025-03-21 09:10:00,2025-03-21 09:10:00,0,293.9,zugestellt
79,20,3,Empf 79,2025-03-21 10:20:00,2025-03-21 10:38:00,18,184.4,zugestellt
80,20,3,Empf 80,2025-03-21 11:40:00,2025-03-21 13:10:00,90,144.6,unterwegs
81,20,3,Empf 81,2025-03-21 12:00:00,2025-03-21 11:45:00,-15,26.6,zugestellt
82,20,3,Empf 82,2025-03-21 13:00:00,2025-03-21 13:05:00,5,452.6,zugestellt
83,21,9,Empf 83,2025-03-09 08:00:00,2025-03-09 08:05:00,5,251.4,zugestellt
84,21,9,Empf 84,2025-03-09 09:20:00,2025-03-09 09:05:00,-15,218.4,zugestellt
85,22,4,Empf 85,2025-03-25 08:20:00,2025-03-25 08:25:00,5,351.6,zugestellt
86,22,4,Empf 86,2025-03-25 09:10:00,,,399.8,verspätet
87,22,4,Empf 87,2025-03-25 10:00:00,2025-03-25 11:30:00,90,367.8,verspätet
88,22,4,Empf 88,2025-03-25 11:20:00,2025-03-25 12:50:00,90,498.3,unterwegs
89,23,6,Empf 89,2025-03-15 08:40:00,2025-03-15 10:10:00,90,411.7,verspätet
90,23,6,Empf 90,2025-03-15 09:10:00,2025-03-15 10:40:00,90,128.7,fehl
91,23,6,Empf 91,2025-03-15 10:10:00,2025-03-15 10:10:00,0,465.2,zugestellt
92,23,6,Empf 92,2025-03-15 11:00:00,2025-03-15 11:05:00,5,137.2,zugestellt
93,23,6,Empf 93,2025-03-15 12:00:00,2025-03-15 12:05:00,5,69.8,zugestellt
94,24,7,Empf 94,2025-03-18 08:10:00,2025-03-18 08:28:00,18,128.7,zugestellt
95,24,7,Empf 95,2025-03-18 09:40:00,2025-03-18 10:20:00,40,287.5,unterwegs
96,25,8,Empf 96,2025-01-16 08:40:00,2025-01-16 08:45:00,5,225.0,zugestellt
97,25,8,Empf 97,2025-01-16 09:40:00,2025-01-16 09:45:00,5,74.8,zugestellt
98,25,8,Empf 98,2025-01-16 10:10:00,2025-01-16 09:55:00,-15,167.7,zugestellt
99,25,8,Empf 99,2025-01-16 11:00:00,,,79.5,unterwegs
100,25,8,Empf 100,2025-01-16 12:40:00,2025-01-16 12:45:00,5,426.3,zugestellt
101,26,4,Empf 101,2025-01-23 08:40:00,2025-01-23 08:25:00,-15,84.0,zugestellt
102,26,4,Empf 102,2025-01-23 09:20:00,,,418.0,verspätet
103,26,4,Empf 103,2025-01-23 10:00:00,2025-01-23 10:00:00,0,18.9,zugestellt
104,27,4,Empf 104,2025-03-12 08:20:00,2025-03-12 09:00:00,40,307.4,fehl
105,27,4,Empf 105,2025-03-12 09:40:00,2025-03-12 09:58:00,18,183.9,zugestellt
106,27,4,Empf 106,2025-03-12 10:40:00,2025-03-12 10:45:00,5,93.5,zugestellt
107,28,4,Empf 107,2025-02-02 08:40:00,2025-02-02 08:40:00,0,10.4,zugestellt
108,28,4,Empf 108,2025-02-02 09:00:00,2025-02-02 09:05:00,5,432.8,zugestellt
109,28,4,Empf 109,2025-02-02 10:10:00,,,288.2,verspätet
110,28,4,Empf 110,2025-02-02 11:20:00,2025-02-02 11:38:00,18,92.7,zugestellt
111,28,4,Empf 111,2025-02-02 12:40:00,2025-02-02 13:20:00,40,364.9,unterwegs
112,29,10,Empf 112,2025-03-19 08:40:00,2025-03-19 08:58:00,18,426.6,zugestellt
113,29,10,Empf 113,2025-03-19 09:00:00,2025-03-19 10:30:00,90,430.4,unterwegs
114,29,10,Empf 114,2025-03-19 10:10:00,2025-03-19 10:10:00,0,264.3,zugestellt
115,30,3,Empf 115,2025-01-18 08:00:00,2025-01-18 08:00:00,0,238.2,zugestellt
116,30,3,Empf 116,2025-01-18 09:10:00,2025-01-18 09:50:00,40,397.4,fehl
117,31,5,Empf 117,2025-03-29 08:00:00,2025-03-29 08:05:00,5,359.6,zugestellt
118,31,5,Empf 118,2025-03-29 09:20:00,2025-03-29 09:25:00,5,61.9,zugestellt
119,31,5,Empf 119,2025-03-29 10:00:00,2025-03-29 11:30:00,90,229.6,verspätet
120,31,5,Empf 120,2025-03-29 11:40:00,2025-03-29 11:40:00,0,16.0,zugestellt
121,31,5,Empf 121,2025-03-29 12:00:00,2025-03-29 12:05:00,5,287.7,zugestellt
122,31,5,Empf 122,2025-03-29 13:10:00,2025-03-29 13:15:00,5,76.8,zugestellt
123,32,4,Empf 123,2025-04-05 08:00:00,2025-04-05 07:45:00,-15,303.0,zugestellt
124,32,4,Empf 124,2025-04-05 09:10:00,,,257.9,unterwegs
125,32,4,Empf 125,2025-04-05 10:10:00,2025-04-05 10:10:00,0,434.1,zugestellt
126,32,4,Empf 126,2025-04-05 11:00:00,2025-04-05 10:45:00,-15,386.9,zugestellt
127,33,2,Empf 127,2025-03-19 08:20:00,2025-03-19 09:50:00,90,169.9,verspätet
128,33,2,Empf 128,2025-03-19 09:40:00,2025-03-19 10:20:00,40,163.5,unterwegs
129,33,2,Empf 129,2025-03-19 10:00:00,2025-03-19 10:18:00,18,247.3,zugestellt
130,33,2,Empf 130,2025-03-19 11:00:00,2025-03-19 10:45:00,-15,362.6,zugestellt
131,34,5,Empf 131,2025-02-24 08:40:00,2025-02-24 08:25:00,-15,185.9,zugestellt
132,34,5,Empf 132,2025-02-24 09:10:00,2025-02-24 10:40:00,90,197.8,unterwegs
133,34,5,Empf 133,2025-02-24 10:00:00,2025-02-24 11:30:00,90,91.8,unterwegs
134,34,5,Empf 134,2025-02-24 11:10:00,2025-02-24 11:50:00,40,436.6,fehl
135,34,5,Empf 135,2025-02-24 12:10:00,2025-02-24 12:28:00,18,112.7,zugestellt
136,34,5,Empf 136,2025-02-24 13:20:00,,,309.8,verspätet
137,35,8,Empf 137,2025-02-12 08:40:00,2025-02-12 08:45:00,5,249.5,zugestellt
138,35,8,Empf 138,2025-02-12 09:20:00,2025-02-12 09:05:00,-15,444.6,zugestellt
139,35,8,Empf 139,2025-02-12 10:10:00,,,211.7,verspätet
140,35,8,Empf 140,2025-02-12 11:40:00,,,208.6,verspätet
141,35,8,Empf 141,2025-02-12 12:20:00,2025-02-12 13:00:00,40,86.8,unterwegs
142,35,8,Empf 142,2025-02-12 13:20:00,2025-02-12 13:05:00,-15,67.5,zugestellt
143,36,5,Empf 143,2025-03-02 08:10:00,2025-03-02 08:15:00,5,85.1,zugestellt
144,36,5,Empf 144,2025-03-02 09:00:00,2025-03-02 09:18:00,18,481.4,zugestellt
145,36,5,Empf 145,2025-03-02 10:20:00,2025-03-02 11:00:00,40,316.3,unterwegs
146,36,5,Empf 146,2025-03-02 11:40:00,2025-03-02 13:10:00,90,169.1,unterwegs
147,36,5,Empf 147,2025-03-02 12:00:00,2025-03-02 13:30:00,90,120.9,fehl
148,37,3,Empf 148,2025-04-13 08:00:00,,,272.3,unterwegs
149,37,3,Empf 149,2025-04-13 09:00:00,2025-04-13 09:00:00,0,451.6,zugestellt
150,38,8,Empf 150,2025-01-17 08:40:00,2025-01-17 08:25:00,-15,112.2,zugestellt
151,38,8,Empf 151,2025-01-17 09:00:00,2025-01-17 10:30:00,90,317.9,fehl
152,38,8,Empf 152,2025-01-17 10:40:00,2025-01-17 11:20:00,40,450.1,verspätet
153,38,8,Empf 153,2025-01-17 11:40:00,2025-01-17 13:10:00,90,246.7,verspätet
154,39,3,Empf 154,2025-04-22 08:40:00,2025-04-22 08:25:00,-15,112.4,zugestellt
155,39,3,Empf 155,2025-04-22 09:20:00,2025-04-22 09:25:00,5,306.2,zugestellt
156,39,3,Empf 156,2025-04-22 10:20:00,2025-04-22 10:05:00,-15,150.4,zugestellt
157,40,8,Empf 157,2025-03-21 08:10:00,2025-03-21 08:50:00,40,420.2,verspätet
158,40,8,Empf 158,2025-03-21 09:10:00,2025-03-21 09:10:00,0,85.5,zugestellt
159,40,8,Empf 159,2025-03-21 10:00:00,2025-03-21 10:18:00,18,62.3,zugestellt
160,40,8,Empf 160,2025-03-21 11:00:00,2025-03-21 11:00:00,0,49.4,zugestellt
161,40,8,Empf 161,2025-03-21 12:10:00,2025-03-21 12:10:00,0,321.6,zugestellt
162,41,8,Empf 162,2025-02-01 08:40:00,2025-02-01 08:58:00,18,395.5,zugestellt
163,41,8,Empf 163,2025-02-01 09:20:00,2025-02-01 10:00:00,40,317.1,unterwegs
164,41,8,Empf 164,2025-02-01 10:40:00,2025-02-01 10:25:00,-15,362.5,zugestellt
165,41,8,Empf 165,2025-02-01 11:10:00,2025-02-01 10:55:00,-15,452.5,zugestellt
166,41,8,Empf 166,2025-02-01 12:10:00,2025-02-01 12:28:00,18,15.3,zugestellt
167,41,8,Empf 167,2025-02-01 13:00:00,2025-02-01 14:30:00,90,19.4,unterwegs
168,42,9,Empf 168,2025-04-05 08:10:00,2025-04-05 07:55:00,-15,498.8,zugestellt
169,42,9,Empf 169,2025-04-05 09:00:00,2025-04-05 10:30:00,90,206.1,unterwegs
170,42,9,Empf 170,2025-04-05 10:40:00,2025-04-05 10:45:00,5,344.8,zugestellt
171,42,9,Empf 171,2025-04-05 11:10:00,2025-04-05 11:50:00,40,276.3,verspätet
172,42,9,Empf 172,2025-04-05 12:10:00,2025-04-05 12:28:00,18,301.0,zugestellt
173,42,9,Empf 173,2025-04-05 13:10:00,,,187.5,unterwegs
174,43,5,Empf 174,2025-03-18 08:10:00,2025-03-18 09:40:00,90,44.9,verspätet
175,43,5,Empf 175,2025-03-18 09:00:00,2025-03-18 09:18:00,18,371.1,zugestellt
176,43,5,Empf 176,2025-03-18 10:00:00,2025-03-18 10:00:00,0,95.4,zugestellt
177,43,5,Empf 177,2025-03-18 11:20:00,2025-03-18 11:25:00,5,257.1,zugestellt
178,43,5,Empf 178,2025-03-18 12:40:00,2025-03-18 12:25:00,-15,340.6,zugestellt
179,43,5,Empf 179,2025-03-18 13:20:00,2025-03-18 13:20:00,0,263.1,zugestellt
180,44,5,Empf 180,2025-01-21 08:10:00,2025-01-21 08:10:00,0,284.3,zugestellt
181,44,5,Empf 181,2025-01-21 09:00:00,2025-01-21 09:00:00,0,387.6,zugestellt
182,45,1,Empf 182,2025-04-09 08:40:00,,,236.2,unterwegs
183,45,1,Empf 183,2025-04-09 09:10:00,2025-04-09 08:55:00,-15,387.0,zugestellt
184,46,6,Empf 184,2025-04-01 08:40:00,2025-04-01 08:58:00,18,372.5,zugestellt
185,46,6,Empf 185,2025-04-01 09:00:00,2025-04-01 09:18:00,18,87.4,zugestellt
186,46,6,Empf 186,2025-04-01 10:10:00,2025-04-01 10:50:00,40,399.8,unterwegs
187,46,6,Empf 187,2025-04-01 11:00:00,2025-04-01 11:18:00,18,200.6,zugestellt
188,46,6,Empf 188,2025-04-01 12:20:00,2025-04-01 12:25:00,5,115.5,zugestellt
189,46,6,Empf 189,2025-04-01 13:10:00,,,140.5,fehl
190,47,6,Empf 190,2025-03-25 08:20:00,2025-03-25 08:05:00,-15,111.2,zugestellt
191,47,6,Empf 191,2025-03-25 09:10:00,2025-03-25 08:55:00,-15,442.8,zugestellt
192,47,6,Empf 192,2025-03-25 10:00:00,2025-03-25 10:40:00,40,340.3,fehl
193,47,6,Empf 193,2025-03-25 11:00:00,,,428.9,verspätet
194,48,8,Empf 194,2025-03-09 08:10:00,2025-03-09 07:55:00,-15,212.2,zugestellt
195,48,8,Empf 195,2025-03-09 09:00:00,2025-03-09 09:40:00,40,365.7,unterwegs
196,48,8,Empf 196,2025-03-09 10:10:00,2025-03-09 11:40:00,90,138.1,unterwegs
197,48,8,Empf 197,2025-03-09 11:40:00,2025-03-09 11:25:00,-15,257.9,zugestellt
198,48,8,Empf 198,2025-03-09 12:10:00,2025-03-09 12:15:00,5,22.7,zugestellt
199,48,8,Empf 199,2025-03-09 13:40:00,2025-03-09 14:20:00,40,325.6,verspätet
200,49,5,Empf 200,2025-02-04 08:20:00,2025-02-04 08:05:00,-15,32.6,zugestellt
201,49,5,Empf 201,2025-02-04 09:20:00,2025-02-04 09:38:00,18,149.9,zugestellt
202,49,5,Empf 202,2025-02-04 10:00:00,2025-02-04 10:00:00,0,72.4,zugestellt
203,49,5,Empf 203,2025-02-04 11:20:00,2025-02-04 12:50:00,90,417.5,verspätet
204,49,5,Empf 204,2025-02-04 12:00:00,2025-02-04 12:40:00,40,232.5,verspätet
205,49,5,Empf 205,2025-02-04 13:00:00,2025-02-04 13:05:00,5,417.1,zugestellt
206,50,5,Empf 206,2025-02-01 08:00:00,2025-02-01 08:05:00,5,397.5,zugestellt
207,50,5,Empf 207,2025-02-01 09:20:00,2025-02-01 10:00:00,40,172.7,unterwegs
208,50,5,Empf 208,2025-02-01 10:10:00,2025-02-01 10:10:00,0,386.4,zugestellt
209,50,5,Empf 209,2025-02-01 11:10:00,2025-02-01 10:55:00,-15,460.6,zugestellt
210,50,5,Empf 210,2025-02-01 12:00:00,2025-02-01 12:05:00,5,363.6,zugestellt
211,50,5,Empf 211,2025-02-01 13:40:00,,,247.0,fehl
212,51,2,Empf 212,2025-04-02 08:00:00,2025-04-02 08:40:00,40,105.7,verspätet
213,51,2,Empf 213,2025-04-02 09:00:00,2025-04-02 09:18:00,18,27.8,zugestellt
214,52,5,Empf 214,2025-03-07 08:00:00,2025-03-07 08:40:00,40,272.8,unterwegs
215,52,5,Empf 215,2025-03-07 09:10:00,2025-03-07 08:55:00,-15,41.4,zugestellt
216,52,5,Empf 216,2025-03-07 10:40:00,,,383.5,unterwegs
217,52,5,Empf 217,2025-03-07 11:20:00,2025-03-07 12:00:00,40,175.5,verspätet
218,53,8,Empf 218,2025-01-23 08:10:00,2025-01-23 09:40:00,90,259.4,fehl
219,53,8,Empf 219,2025-01-23 09:00:00,2025-01-23 10:30:00,90,358.2,unterwegs
220,53,8,Empf 220,2025-01-23 10:00:00,2025-01-23 11:30:00,90,396.5,unterwegs
221,53,8,Empf 221,2025-01-23 11:40:00,2025-01-23 11:25:00,-15,25.5,zugestellt
222,53,8,Empf 222,2025-01-23 12:20:00,2025-01-23 13:50:00,90,189.8,unterwegs
223,53,8,Empf 223,2025-01-23 13:40:00,,,88.9,fehl
224,54,1,Empf 224,2025-03-17 08:00:00,,,364.3,unterwegs
225,54,1,Empf 225,2025-03-17 09:40:00,2025-03-17 10:20:00,40,21.6,verspätet
226,54,1,Empf 226,2025-03-17 10:10:00,2025-03-17 10:50:00,40,319.2,fehl
227,54,1,Empf 227,2025-03-17 11:40:00,2025-03-17 13:10:00,90,142.3,fehl
228,54,1,Empf 228,2025-03-17 12:10:00,2025-03-17 12:28:00,18,449.2,zugestellt
229,55,5,Empf 229,2025-04-18 08:10:00,,,175.6,fehl
230,55,5,Empf 230,2025-04-18 09:40:00,,,46.6,unterwegs
231,55,5,Empf 231,2025-04-18 10:40:00,2025-04-18 11:20:00,40,324.3,fehl
232,55,5,Empf 232,2025-04-18 11:20:00,2025-04-18 11:38:00,18,119.3,zugestellt
233,56,9,Empf 233,2025-04-06 08:20:00,2025-04-06 08:25:00,5,324.9,zugestellt
234,56,9,Empf 234,2025-04-06 09:40:00,2025-04-06 10:20:00,40,297.5,unterwegs
235,57,6,Empf 235,2025-02-08 08:40:00,2025-02-08 08:25:00,-15,388.3,zugestellt
236,57,6,Empf 236,2025-02-08 09:00:00,2025-02-08 09:18:00,18,138.4,zugestellt
237,57,6,Empf 237,2025-02-08 10:40:00,,,113.5,verspätet
238,57,6,Empf 238,2025-02-08 11:00:00,2025-02-08 11:00:00,0,285.2,zugestellt
239,57,6,Empf 239,2025-02-08 12:40:00,2025-02-08 12:58:00,18,312.9,zugestellt
240,58,6,Empf 240,2025-05-06 08:40:00,2025-05-06 08:45:00,5,149.3,zugestellt
241,58,6,Empf 241,2025-05-06 09:40:00,2025-05-06 10:20:00,40,16.5,unterwegs
242,58,6,Empf 242,2025-05-06 10:00:00,2025-05-06 09:45:00,-15,113.5,zugestellt
243,58,6,Empf 243,2025-05-06 11:20:00,2025-05-06 11:05:00,-15,489.1,zugestellt
244,58,6,Empf 244,2025-05-06 12:00:00,,,400.1,verspätet
245,59,5,Empf 245,2025-01-16 08:10:00,2025-01-16 08:28:00,18,84.7,zugestellt
246,59,5,Empf 246,2025-01-16 09:40:00,2025-01-16 10:20:00,40,368.1,fehl
247,60,6,Empf 247,2025-02-15 08:40:00,2025-02-15 09:20:00,40,232.3,unterwegs
248,60,6,Empf 248,2025-02-15 09:00:00,2025-02-15 08:45:00,-15,308.9,zugestellt
249,60,6,Empf 249,2025-02-15 10:40:00,2025-02-15 10:40:00,0,328.5,zugestellt
250,60,6,Empf 250,2025-02-15 11:20:00,2025-02-15 11:25:00,5,55.2,zugestellt
251,61,2,Empf 251,2025-03-10 08:20:00,2025-03-10 08:25:00,5,246.6,zugestellt
252,61,2,Empf 252,2025-03-10 09:20:00,2025-03-10 09:20:00,0,52.5,zugestellt
253,61,2,Empf 253,2025-03-10 10:20:00,2025-03-10 11:00:00,40,124.4,fehl
254,62,4,Empf 254,2025-01-24 08:40:00,2025-01-24 08:45:00,5,220.6,zugestellt
255,62,4,Empf 255,2025-01-24 09:10:00,2025-01-24 09:10:00,0,255.7,zugestellt
256,62,4,Empf 256,2025-01-24 10:40:00,2025-01-24 10:45:00,5,459.0,zugestellt
257,62,4,Empf 257,2025-01-24 11:40:00,2025-01-24 12:20:00,40,88.7,verspätet
258,63,1,Empf 258,2025-02-17 08:40:00,2025-02-17 08:58:00,18,31.0,zugestellt
259,63,1,Empf 259,2025-02-17 09:20:00,2025-02-17 09:38:00,18,184.6,zugestellt
260,64,3,Empf 260,2025-03-22 08:40:00,2025-03-22 09:20:00,40,22.1,fehl
261,64,3,Empf 261,2025-03-22 09:00:00,2025-03-22 09:00:00,0,190.8,zugestellt
262,64,3,Empf 262,2025-03-22 10:10:00,2025-03-22 11:40:00,90,422.7,fehl
263,64,3,Empf 263,2025-03-22 11:20:00,2025-03-22 11:05:00,-15,328.9,zugestellt
264,64,3,Empf 264,2025-03-22 12:10:00,2025-03-22 13:40:00,90,197.7,verspätet
265,65,3,Empf 265,2025-04-14 08:40:00,2025-04-14 08:58:00,18,95.6,zugestellt
266,65,3,Empf 266,2025-04-14 09:00:00,,,15.5,fehl
267,65,3,Empf 267,2025-04-14 10:10:00,2025-04-14 09:55:00,-15,454.0,zugestellt
268,66,4,Empf 268,2025-05-06 08:00:00,2025-05-06 08:00:00,0,288.9,zugestellt
269,66,4,Empf 269,2025-05-06 09:20:00,2025-05-06 09:05:00,-15,407.8,zugestellt
270,66,4,Empf 270,2025-05-06 10:00:00,2025-05-06 10:05:00,5,422.0,zugestellt
271,67,2,Empf 271,2025-05-07 08:20:00,2025-05-07 08:05:00,-15,290.4,zugestellt
272,67,2,Empf 272,2025-05-07 09:20:00,2025-05-07 09:25:00,5,189.9,zugestellt
273,67,2,Empf 273,2025-05-07 10:20:00,2025-05-07 11:50:00,90,426.1,fehl
274,68,10,Empf 274,2025-04-03 08:10:00,2025-04-03 07:55:00,-15,364.0,zugestellt
275,68,10,Empf 275,2025-04-03 09:40:00,2025-04-03 09:25:00,-15,16.6,zugestellt
276,69,8,Empf 276,2025-04-30 08:20:00,2025-04-30 08:20:00,0,298.5,zugestellt
277,69,8,Empf 277,2025-04-30 09:20:00,2025-04-30 09:20:00,0,472.6,zugestellt
278,69,8,Empf 278,2025-04-30 10:20:00,2025-04-30 11:50:00,90,489.9,verspätet
279,69,8,Empf 279,2025-04-30 11:40:00,2025-04-30 11:58:00,18,434.0,zugestellt
280,70,3,Empf 280,2025-04-26 08:40:00,2025-04-26 09:20:00,40,491.7,verspätet
281,70,3,Empf 281,2025-04-26 09:40:00,2025-04-26 11:10:00,90,42.2,unterwegs
282,70,3,Empf 282,2025-04-26 10:00:00,2025-04-26 11:30:00,90,26.7,fehl
283,70,3,Empf 283,2025-04-26 11:20:00,2025-04-26 11:25:00,5,127.9,zugestellt
284,71,3,Empf 284,2025-01-27 08:10:00,2025-01-27 08:50:00,40,146.6,unterwegs
285,71,3,Empf 285,2025-01-27 09:10:00,,,281.3,fehl
286,71,3,Empf 286,2025-01-27 10:40:00,2025-01-27 10:58:00,18,59.3,zugestellt
287,71,3,Empf 287,2025-01-27 11:40:00,2025-01-27 11:25:00,-15,165.2,zugestellt
