invoice_id,order_id,invoice_date,due_date,net_amount,tax_amount,gross_amount,paid_amount,remaining_amount,status
27,27,2025-10-29,2025-11-28,8432.62,1602.2,10034.82,10034.82,0.0,paid
28,28,2025-04-14,2025-05-14,8222.37,1562.25,9784.62,9784.62,0.0,paid
29,29,2025-06-02,2025-07-02,2639.58,501.52,3141.1,3141.1,0.0,paid
30,30,2025-12-14,2026-01-13,2338.27,444.27,2782.54,1391.27,1391.27,open
31,31,2025-02-06,2025-03-08,10224.82,1942.72,12167.54,6083.77,6083.77,open
32,32,2025-11-05,2025-12-05,14015.99,2663.04,16679.03,16679.03,0.0,paid
33,33,2025-11-17,2025-12-17,7890.32,1499.16,9389.48,9389.48,0.0,paid
34,34,2025-07-14,2025-08-13,8878.64,1686.94,10565.58,10565.58,0.0,paid
35,35,2025-05-23,2025-06-22,2401.2,456.23,2857.43,2857.43,0.0,paid
36,36,2025-06-07,2025-07-07,7389.49,1404.0,8793.49,0.0,8793.49,open
37,37,2025-01-08,2025-02-07,8625.76,1638.89,10264.65,10264.65,0.0,paid
38,38,2026-01-29,2026-02-28,3658.64,695.14,4353.78,4353.78,0.0,paid
39,39,2025-05-10,2025-06-09,4005.77,761.1,4766.87,4766.87,0.0,paid
40,40,2025-12-07,2026-01-06,1728.4,328.4,2056.8,0.0,2056.8,open
41,41,2025-08-11,2025-09-10,4342.75,825.12,5167.87,5167.87,0.0,paid
42,42,2025-09-04,2025-10-04,3352.4,636.96,3989.36,3989.36,0.0,paid
43,43,2025-08-16,2025-09-15,1455.8,276.6,1732.4,866.2,866.2,open
44,44,2025-09-11,2025-10-11,6820.51,1295.9,8116.41,8116.41,0.0,paid
45,45,2025-05-20,2025-06-19,10735.22,2039.69,12774.91,6387.45,6387.46,open
46,46,2025-03-17,2025-04-16,3254.38,618.33,3872.71,0.0,3872.71,open
47,47,2025-11-03,2025-12-03,3152.88,599.05,3751.93,3751.93,0.0,paid
48,48,2025-07-11,2025-08-10,8944.18,1699.39,10643.57,0.0,10643.57,open
49,49,2025-01-20,2025-02-19,19574.42,3719.14,23293.56,0.0,23293.56,open
50,50,2025-03-03,2025-04-02,4908.54,932.62,5841.16,5841.16,0.0,paid
51,51,2025-02-04,2025-03-06,2024.49,384.65,2409.14,2409.14,0.0,paid
52,52,2025-03-07,2025-04-06,16000.75,3040.14,19040.89,19040.89,0.0,paid
53,53,2025-07-28,2025-08-27,672.8,127.83,800.63,800.63,0.0,paid
54,54,2026-01-24,2026-02-23,6756.42,1283.72,8040.14,8040.14,0.0,paid
55,55,2025-09-15,2025-10-15,1764.36,335.23,2099.59,2099.59,0.0,paid
56,56,2025-07-08,2025-08-07,931.19,176.93,1108.12,1108.12,0.0,paid
57,57,2025-05-27,2025-06-26,2442.96,464.16,2907.12,0.0,2907.12,open
58,58,2025-01-19,2025-02-18,6227.75,1183.27,7411.02,0.0,7411.02,open
59,59,2025-05-19,2025-06-18,16415.16,3118.88,19534.04,19534.04,0.0,paid
60,60,2025-03-24,2025-04-23,640.9,121.77,762.67,762.67,0.0,paid
61,61,2025-05-20,2025-06-19,2516.04,478.05,2994.09,2994.09,0.0,paid
62,62,2025-03-21,2025-04-20,1482.48,281.67,1764.15,1764.15,0.0,paid
63,63,2025-12-07,2026-01-06,950.04,180.51,1130.55,1130.55,0.0,paid
64,64,2025-09-06,2025-10-06,10782.78,2048.73,12831.51,12831.51,0.0,paid
65,65,2025-06-30,2025-07-30,1740.0,330.6,2070.6,2070.6,0.0,paid
66,66,2025-10-05,2025-11-04,8779.75,1668.15,10447.9,0.0,10447.9,open
67,67,2025-06-08,2025-07-08,12286.72,2334.48,14621.2,14621.2,0.0,paid
68,68,2025-01-30,2025-03-01,7799.26,1481.86,9281.12,0.0,9281.12,open
69,69,2025-03-17,2025-04-16,7493.89,1423.84,8917.73,4458.86,4458.87,open
70,70,2025-09-05,2025-10-05,6861.4,1303.67,8165.07,8165.07,0.0,paid
71,71,2025-07-05,2025-08-04,5116.18,972.07,6088.25,6088.25,0.0,paid
72,72,2025-09-22,2025-10-22,15969.14,3034.14,19003.28,19003.28,0.0,paid
73,73,2025-04-30,2025-05-30,3216.68,611.17,3827.85,1913.92,1913.93,open
74,74,2025-01-24,2025-02-23,7785.92,1479.32,9265.24,9265.24,0.0,paid
75,75,2025-05-14,2025-06-13,732.54,139.18,871.72,0.0,871.72,open
76,76,2025-07-18,2025-08-17,13443.24,2554.22,15997.46,15997.46,0.0,paid
77,77,2025-08-13,2025-09-12,3366.9,639.71,4006.61,4006.61,0.0,paid
78,78,2025-10-14,2025-11-13,5704.01,1083.76,6787.77,6787.77,0.0,paid
79,79,2026-01-16,2026-02-15,1552.95,295.06,1848.01,1848.01,0.0,paid
80,80,2025-03-02,2025-04-01,9952.22,1890.92,11843.14,0.0,11843.14,open
81,81,2025-06-23,2025-07-23,12900.36,2451.07,15351.43,7675.72,7675.71,open
82,82,2025-07-21,2025-08-20,5508.55,1046.62,6555.17,0.0,6555.17,open
83,83,2025-01-31,2025-03-02,14994.16,2848.89,17843.05,0.0,17843.05,open
84,84,2025-11-08,2025-12-08,4066.38,772.61,4838.99,2419.49,2419.5,open
85,85,2025-04-21,2025-05-21,2032.32,386.14,2418.46,1209.23,1209.23,open
86,86,2025-04-22,2025-05-22,111.36,21.16,132.52,132.52,0.0,paid
87,87,2025-06-07,2025-07-07,836.94,159.02,995.96,995.96,0.0,paid
88,88,2025-08-22,2025-09-21,9590.01,1822.1,11412.11,11412.11,0.0,paid
89,89,2025-12-27,2026-01-26,1762.04,334.79,2096.83,1048.41,1048.42,open
90,90,2026-02-02,2026-03-04,9824.62,1866.68,11691.3,11691.3,0.0,paid
91,91,2025-08-05,2025-09-04,10027.33,1905.19,11932.52,11932.52,0.0,paid
92,92,2025-02-27,2025-03-29,9105.42,1730.03,10835.45,10835.45,0.0,paid
93,93,2026-02-03,2026-03-05,8355.77,1587.6,9943.37,9943.37,0.0,paid
94,94,2025-01-28,2025-02-27,1914.87,363.83,2278.7,2278.7,0.0,paid
95,95,2025-08-30,2025-09-29,6141.33,1166.85,7308.18,3654.09,3654.09,open
96,96,2025-07-14,2025-08-13,15546.32,2953.8,18500.12,18500.12,0.0,paid
97,97,2025-01-15,2025-02-14,9612.05,1826.29,11438.34,11438.34,0.0,paid
98,98,2025-12-04,2026-01-03,2531.7,481.02,3012.72,3012.72,0.0,paid
99,99,2025-09-23,2025-10-23,2257.07,428.84,2685.91,1342.95,1342.96,open
100,100,2025-12-03,2026-01-02,8781.2,1668.43,10449.63,10449.63,0.0,paid
101,101,2025-05-24,2025-06-23,1505.1,285.97,1791.07,1791.07,0.0,paid
102,102,2025-07-22,2025-08-21,1303.55,247.67,1551.22,1551.22,0.0,paid
103,103,2025-08-24,2025-09-23,5215.65,990.97,6206.62,6206.62,0.0,paid
104,104,2025-06-10,2025-07-10,2516.04,478.05,2994.09,2994.09,0.0,paid
105,105,2025-10-07,2025-11-06,7879.01,1497.01,9376.02,9376.02,0.0,paid
106,106,2025-03-15,2025-04-14,2639.0,501.41,3140.41,3140.41,0.0,paid
107,107,2026-01-14,2026-02-13,8383.32,1592.83,9976.15,9976.15,0.0,paid
108,108,2026-02-02,2026-03-04,5278.58,1002.93,6281.51,3140.76,3140.75,open
109,109,2025-12-02,2026-01-01,1920.67,364.93,2285.6,2285.6,0.0,paid
110,110,2025-12-25,2026-01-24,8047.79,1529.08,9576.87,9576.87,0.0,paid
111,111,2025-12-27,2026-01-26,732.54,139.18,871.72,871.72,0.0,paid
112,112,2026-01-20,2026-02-19,5270.75,1001.44,6272.19,6272.19,0.0,paid
113,113,2026-01-09,2026-02-08,7516.51,1428.14,8944.65,8944.65,0.0,paid
114,114,2026-01-02,2026-02-01,5108.06,970.53,6078.59,6078.59,0.0,paid
115,115,2025-05-30,2025-06-29,16946.44,3219.82,20166.26,20166.26,0.0,paid
116,116,2025-11-10,2025-12-10,10154.64,1929.38,12084.02,6042.01,6042.01,open
117,117,2025-06-25,2025-07-25,10588.77,2011.87,12600.64,12600.64,0.0,paid
118,118,2025-05-21,2025-06-20,6134.37,1165.53,7299.9,3649.95,3649.95,open
119,119,2025-05-26,2025-06-25,6411.9,1218.26,7630.16,3815.08,3815.08,open
120,120,2025-05-19,2025-06-18,9843.47,1870.26,11713.73,11713.73,0.0,paid
121,121,2025-10-17,2025-11-16,4995.54,949.15,5944.69,5944.69,0.0,paid
122,122,2025-08-05,2025-09-04,12413.74,2358.61,14772.35,14772.35,0.0,paid
123,123,2025-03-31,2025-04-30,738.92,140.39,879.31,879.31,0.0,paid
124,124,2025-04-05,2025-05-05,14438.81,2743.37,17182.18,0.0,17182.18,open
125,125,2025-06-16,2025-07-16,5898.6,1120.73,7019.33,7019.33,0.0,paid
126,126,2025-01-22,2025-02-21,12035.58,2286.76,14322.34,14322.34,0.0,paid
127,127,2025-03-29,2025-04-28,6735.54,1279.75,8015.29,8015.29,0.0,paid
128,128,2025-03-15,2025-04-14,4060.0,771.4,4831.4,0.0,4831.4,open
129,129,2025-07-29,2025-08-28,741.24,140.84,882.08,882.08,0.0,paid
130,130,2025-02-01,2025-03-03,1398.96,265.8,1664.76,1664.76,0.0,paid
131,131,2025-10-13,2025-11-12,5106.03,970.15,6076.18,6076.18,0.0,paid
132,132,2025-11-07,2025-12-07,7375.57,1401.36,8776.93,8776.93,0.0,paid
133,133,2025-01-12,2025-02-11,7864.22,1494.2,9358.42,4679.21,4679.21,open
134,134,2025-11-08,2025-12-08,8128.41,1544.4,9672.81,4836.4,4836.41,open
135,135,2025-04-26,2025-05-26,3851.2,731.73,4582.93,4582.93,0.0,paid
136,136,2025-08-02,2025-09-01,11723.25,2227.42,13950.67,0.0,13950.67,open
137,137,2025-03-10,2025-04-09,1531.78,291.04,1822.82,1822.82,0.0,paid
138,138,2025-06-20,2025-07-20,15074.49,2864.15,17938.64,17938.64,0.0,paid
139,139,2025-12-11,2026-01-10,4157.15,789.86,4947.01,4947.01,0.0,paid
140,140,2025-12-22,2026-01-21,16685.73,3170.29,19856.02,19856.02,0.0,paid
141,141,2025-05-31,2025-06-30,2644.8,502.51,3147.31,3147.31,0.0,paid
142,142,2025-05-16,2025-06-15,17727.7,3368.26,21095.96,21095.96,0.0,paid
143,143,2025-02-27,2025-03-29,1536.71,291.97,1828.68,1828.68,0.0,paid
144,144,2026-02-01,2026-03-03,3749.12,712.33,4461.45,4461.45,0.0,paid
145,145,2025-07-28,2025-08-27,2963.51,563.07,3526.58,3526.58,0.0,paid
146,146,2025-08-23,2025-09-22,5782.89,1098.75,6881.64,6881.64,0.0,paid
147,147,2025-03-18,2025-04-17,2038.12,387.24,2425.36,1212.68,1212.68,open
148,148,2026-02-01,2026-03-03,11917.84,2264.39,14182.23,14182.23,0.0,paid
149,149,2025-09-22,2025-10-22,7110.51,1351.0,8461.51,0.0,8461.51,open
150,150,2025-05-24,2025-06-23,3639.5,691.5,4331.0,4331.0,0.0,paid
151,151,2025-11-29,2025-12-29,8200.04,1558.01,9758.05,4879.02,4879.03,open
152,152,2026-01-29,2026-02-28,9819.4,1865.69,11685.09,11685.09,0.0,paid
153,153,2026-01-21,2026-02-20,9231.57,1754.0,10985.57,10985.57,0.0,paid
154,154,2025-08-11,2025-09-10,6667.68,1266.86,7934.54,7934.54,0.0,paid
155,155,2025-08-17,2025-09-16,12456.37,2366.71,14823.08,14823.08,0.0,paid
156,156,2025-10-16,2025-11-15,4747.3,901.99,5649.29,2824.64,2824.65,open
157,157,2025-02-08,2025-03-10,1556.14,295.67,1851.81,1851.81,0.0,paid
158,158,2025-11-20,2025-12-20,12053.27,2290.12,14343.39,0.0,14343.39,open
159,159,2025-07-05,2025-08-04,3188.84,605.88,3794.72,3794.72,0.0,paid
160,160,2025-11-09,2025-12-09,2429.04,461.52,2890.56,1445.28,1445.28,open
161,161,2026-01-03,2026-02-02,2212.99,420.47,2633.46,2633.46,0.0,paid
162,162,2025-03-21,2025-04-20,2472.54,469.78,2942.32,1471.16,1471.16,open
163,163,2025-05-25,2025-06-24,2160.5,410.5,2571.0,2571.0,0.0,paid
164,164,2025-10-20,2025-11-19,3306.0,628.14,3934.14,1967.07,1967.07,open
165,165,2025-03-02,2025-04-01,2615.8,497.0,3112.8,1556.4,1556.4,open
166,166,2025-08-17,2025-09-16,2392.5,454.57,2847.07,2847.07,0.0,paid
167,167,2025-01-29,2025-02-28,5210.43,989.98,6200.41,6200.41,0.0,paid
168,168,2025-11-13,2025-12-13,3502.62,665.5,4168.12,4168.12,0.0,paid
169,169,2025-10-01,2025-10-31,7499.11,1424.83,8923.94,0.0,8923.94,open
170,170,2025-04-26,2025-05-26,7164.74,1361.3,8526.04,8526.04,0.0,paid
171,171,2025-08-16,2025-09-15,9831.0,1867.89,11698.89,11698.89,0.0,paid
172,172,2025-08-15,2025-09-14,10917.63,2074.35,12991.98,6495.99,6495.99,open
173,173,2025-09-16,2025-10-16,8588.64,1631.84,10220.48,5110.24,5110.24,open
174,174,2026-01-01,2026-01-31,13504.14,2565.79,16069.93,0.0,16069.93,open
175,175,2025-05-16,2025-06-15,13142.22,2497.02,15639.24,15639.24,0.0,paid
176,176,2025-12-28,2026-01-27,1779.15,338.04,2117.19,2117.19,0.0,paid
177,177,2025-11-19,2025-12-19,5653.84,1074.23,6728.07,6728.07,0.0,paid
178,178,2025-08-06,2025-09-05,4678.86,888.98,5567.84,5567.84,0.0,paid
179,179,2025-05-31,2025-06-30,4027.52,765.23,4792.75,4792.75,0.0,paid
180,180,2025-03-25,2025-04-24,5078.48,964.91,6043.39,0.0,6043.39,open
181,181,2025-12-17,2026-01-16,12031.52,2285.99,14317.51,7158.76,7158.75,open
182,182,2025-10-17,2025-11-16,14045.28,2668.6,16713.88,16713.88,0.0,paid
183,183,2025-03-22,2025-04-21,9744.87,1851.53,11596.4,11596.4,0.0,paid
184,184,2025-06-14,2025-07-14,10512.5,1997.38,12509.88,12509.88,0.0,paid
185,185,2025-12-27,2026-01-26,3958.5,752.12,4710.62,4710.62,0.0,paid
186,186,2025-11-21,2025-12-21,5788.98,1099.91,6888.89,6888.89,0.0,paid
187,187,2025-01-25,2025-02-24,7738.36,1470.29,9208.65,0.0,9208.65,open
188,188,2025-09-16,2025-10-16,8559.06,1626.22,10185.28,10185.28,0.0,paid
189,189,2025-05-02,2025-06-01,9369.61,1780.23,11149.84,0.0,11149.84,open
190,190,2025-07-29,2025-08-28,2909.28,552.76,3462.04,0.0,3462.04,open
191,191,2025-12-09,2026-01-08,2332.47,443.17,2775.64,2775.64,0.0,paid
192,192,2025-06-24,2025-07-24,13843.15,2630.2,16473.35,8236.67,8236.68,open
193,193,2025-07-28,2025-08-27,6709.73,1274.85,7984.58,7984.58,0.0,paid
194,194,2025-04-28,2025-05-28,9000.15,1710.03,10710.18,10710.18,0.0,paid
195,195,2025-06-28,2025-07-28,3071.1,583.51,3654.61,3654.61,0.0,paid
196,196,2025-04-23,2025-05-23,7343.67,1395.3,8738.97,8738.97,0.0,paid
197,197,2025-03-08,2025-04-07,7932.95,1507.26,9440.21,9440.21,0.0,paid
198,198,2025-08-22,2025-09-21,481.4,91.47,572.87,572.87,0.0,paid
199,199,2025-04-27,2025-05-27,8963.32,1703.03,10666.35,10666.35,0.0,paid
200,200,2025-08-05,2025-09-04,15304.46,2907.85,18212.31,18212.31,0.0,paid
201,201,2025-10-16,2025-11-15,2324.93,441.74,2766.67,0.0,2766.67,open
202,202,2025-07-08,2025-08-07,12110.98,2301.09,14412.07,7206.03,7206.04,open
203,203,2025-12-11,2026-01-10,9034.95,1716.64,10751.59,10751.59,0.0,paid
204,204,2025-10-12,2025-11-11,4795.44,911.13,5706.57,2853.28,2853.29,open
205,205,2025-06-13,2025-07-13,5365.58,1019.46,6385.04,0.0,6385.04,open
206,206,2025-03-12,2025-04-11,4891.14,929.32,5820.46,2910.23,2910.23,open
207,207,2025-04-20,2025-05-20,545.2,103.59,648.79,0.0,648.79,open
208,208,2026-01-30,2026-03-01,9612.34,1826.34,11438.68,11438.68,0.0,paid
209,209,2025-04-09,2025-05-09,1196.25,227.29,1423.54,711.77,711.77,open
210,210,2025-08-27,2025-09-26,498.22,94.66,592.88,592.88,0.0,paid
211,211,2025-06-18,2025-07-18,9375.12,1781.27,11156.39,5578.19,5578.2,open
212,212,2025-02-01,2025-03-03,7690.8,1461.25,9152.05,9152.05,0.0,paid
213,213,2025-02-22,2025-03-24,8244.12,1566.38,9810.5,0.0,9810.5,open
214,214,2025-06-06,2025-07-06,7841.89,1489.96,9331.85,9331.85,0.0,paid
215,215,2025-01-17,2025-02-16,966.28,183.59,1149.87,1149.87,0.0,paid
216,216,2025-11-20,2025-12-20,6229.2,1183.55,7412.75,3706.38,3706.37,open
217,217,2026-01-27,2026-02-26,3419.1,649.63,4068.73,0.0,4068.73,open
218,218,2025-07-14,2025-08-13,3910.07,742.91,4652.98,4652.98,0.0,paid
219,219,2026-01-17,2026-02-16,11407.15,2167.36,13574.51,13574.51,0.0,paid
220,220,2025-04-25,2025-05-25,2599.56,493.92,3093.48,3093.48,0.0,paid
221,221,2025-05-17,2025-06-16,8753.94,1663.25,10417.19,0.0,10417.19,open
222,222,2025-12-23,2026-01-22,5201.15,988.22,6189.37,6189.37,0.0,paid
223,223,2025-10-17,2025-11-16,5529.72,1050.65,6580.37,3290.18,3290.19,open
224,224,2025-07-10,2025-08-09,516.78,98.19,614.97,614.97,0.0,paid
225,225,2025-06-14,2025-07-14,6705.09,1273.97,7979.06,7979.06,0.0,paid
226,226,2026-01-24,2026-02-23,4482.53,851.68,5334.21,2667.11,2667.1,open
227,227,2025-05-29,2025-06-28,6772.95,1286.86,8059.81,8059.81,0.0,paid
228,228,2025-07-31,2025-08-30,19054.16,3620.29,22674.45,22674.45,0.0,paid
229,229,2025-06-16,2025-07-16,11961.92,2272.76,14234.68,7117.34,7117.34,open
230,230,2025-09-12,2025-10-12,14246.25,2706.79,16953.04,16953.04,0.0,paid
231,231,2025-05-17,2025-06-16,8076.21,1534.48,9610.69,9610.69,0.0,paid
232,232,2025-05-26,2025-06-25,838.68,159.35,998.03,998.03,0.0,paid
233,233,2025-08-17,2025-09-16,8857.76,1682.97,10540.73,10540.73,0.0,paid
234,234,2025-12-08,2026-01-07,2032.32,386.14,2418.46,0.0,2418.46,open
235,235,2025-10-29,2025-11-28,2164.27,411.21,2575.48,1287.74,1287.74,open
236,236,2025-08-22,2025-09-21,9745.16,1851.58,11596.74,5798.37,5798.37,open
237,237,2025-02-04,2025-03-06,1287.6,244.64,1532.24,1532.24,0.0,paid
238,238,2026-01-18,2026-02-17,5802.9,1102.55,6905.45,6905.45,0.0,paid
239,239,2025-05-08,2025-06-07,5241.75,995.93,6237.68,6237.68,0.0,paid
240,240,2025-05-01,2025-05-31,6366.37,1209.61,7575.98,7575.98,0.0,paid
241,241,2025-06-24,2025-07-24,5881.78,1117.54,6999.32,3499.66,3499.66,open
242,242,2025-10-25,2025-11-24,6728.29,1278.38,8006.67,8006.67,0.0,paid
243,243,2025-09-03,2025-10-03,312.62,59.4,372.02,372.02,0.0,paid
244,244,2026-01-19,2026-02-18,9523.02,1809.37,11332.39,11332.39,0.0,paid
245,245,2025-10-23,2025-11-22,3603.25,684.62,4287.87,2143.93,2143.94,open
246,246,2025-04-22,2025-05-22,3358.78,638.17,3996.95,1998.47,1998.48,open
247,247,2025-10-18,2025-11-17,1764.36,335.23,2099.59,2099.59,0.0,paid
248,248,2025-06-02,2025-07-02,2431.94,462.07,2894.01,2894.01,0.0,paid
249,249,2026-02-01,2026-03-03,4033.61,766.39,4800.0,2400.0,2400.0,open
250,250,2025-09-03,2025-10-03,6500.64,1235.12,7735.76,7735.76,0.0,paid
