order_id,customer_id,seller_id,order_date,status,currency,po_number,net_amount
34,44,9,2025-07-12,shipped,EUR,PO-00034,8878.64
35,45,10,2025-05-21,invoiced,EUR,PO-00035,2401.2
36,5,6,2025-06-05,invoiced,EUR,PO-00036,7389.49
37,8,9,2025-01-06,open,EUR,PO-00037,8625.76
38,61,2,2026-01-27,shipped,EUR,PO-00038,3658.64
39,34,11,2025-05-08,invoiced,EUR,PO-00039,4005.77
40,65,6,2025-12-05,invoiced,EUR,PO-00040,1728.4
41,12,1,2025-08-09,confirmed,EUR,PO-00041,4342.75
42,52,5,2025-09-02,invoiced,EUR,PO-00042,3352.4
43,80,9,2025-08-14,open,EUR,PO-00043,1455.8
44,12,1,2025-09-09,confirmed,EUR,PO-00044,6820.51
45,12,1,2025-05-18,invoiced,EUR,PO-00045,10735.22
46,20,9,2025-03-15,invoiced,EUR,PO-00046,3254.38
47,5,6,2025-11-01,invoiced,EUR,PO-00047,3152.88
48,78,7,2025-07-09,confirmed,EUR,PO-00048,8944.18
49,3,4,2025-01-18,shipped,EUR,PO-00049,19574.42
50,3,4,2025-03-01,confirmed,EUR,PO-00050,4908.54
51,35,12,2025-02-02,invoiced,EUR,PO-00051,2024.49
52,68,9,2025-03-05,shipped,EUR,PO-00052,16000.75
53,30,7,2025-07-26,shipped,EUR,PO-00053,672.8
54,28,5,2026-01-22,shipped,EUR,PO-00054,6756.42
55,15,4,2025-09-13,shipped,EUR,PO-00055,1764.36
56,35,12,2025-07-06,confirmed,EUR,PO-00056,931.19
57,79,8,2025-05-25,invoiced,EUR,PO-00057,2442.96
58,44,9,2025-01-17,invoiced,EUR,PO-00058,6227.75
59,16,5,2025-05-17,confirmed,EUR,PO-00059,16415.16
60,6,7,2025-03-22,invoiced,EUR,PO-00060,640.9
61,69,10,2025-05-18,confirmed,EUR,PO-00061,2516.04
62,35,12,2025-03-19,open,EUR,PO-00062,1482.48
63,24,1,2025-12-05,confirmed,EUR,PO-00063,950.04
64,7,8,2025-09-04,open,EUR,PO-00064,10782.78
65,14,3,2025-06-28,shipped,EUR,PO-00065,1740.0
66,39,4,2025-10-03,open,EUR,PO-00066,8779.75
67,64,5,2025-06-06,confirmed,EUR,PO-00067,12286.72
68,7,8,2025-01-28,shipped,EUR,PO-00068,7799.26
69,24,1,2025-03-15,confirmed,EUR,PO-00069,7493.89
70,65,6,2025-09-03,invoiced,EUR,PO-00070,6861.4
71,47,12,2025-07-03,invoiced,EUR,PO-00071,5116.18
72,17,6,2025-09-20,shipped,EUR,PO-00072,15969.14
73,42,7,2025-04-28,open,EUR,PO-00073,3216.68
74,59,12,2025-01-22,shipped,EUR,PO-00074,7785.92
75,68,9,2025-05-12,confirmed,EUR,PO-00075,732.54
76,37,2,2025-07-16,open,EUR,PO-00076,13443.24
77,36,1,2025-08-11,confirmed,EUR,PO-00077,3366.9
78,14,3,2025-10-12,confirmed,EUR,PO-00078,5704.01
79,51,4,2026-01-14,confirmed,EUR,PO-00079,1552.95
80,31,8,2025-02-28,open,EUR,PO-00080,9952.22
81,3,4,2025-06-21,invoiced,EUR,PO-00081,12900.36
82,11,12,2025-07-19,shipped,EUR,PO-00082,5508.55
83,37,2,2025-01-29,open,EUR,PO-00083,14994.16
84,51,4,2025-11-06,confirmed,EUR,PO-00084,4066.38
85,20,9,2025-04-19,open,EUR,PO-00085,2032.32
86,47,12,2025-04-20,confirmed,EUR,PO-00086,111.36
87,53,6,2025-06-05,confirmed,EUR,PO-00087,836.94
88,74,3,2025-08-20,shipped,EUR,PO-00088,9590.01
89,70,11,2025-12-25,open,EUR,PO-00089,1762.04
90,42,7,2026-01-31,confirmed,EUR,PO-00090,9824.62
91,44,9,2025-08-03,open,EUR,PO-00091,10027.33
92,15,4,2025-02-25,open,EUR,PO-00092,9105.42
93,63,4,2026-02-01,confirmed,EUR,PO-00093,8355.77
94,10,11,2025-01-26,shipped,EUR,PO-00094,1914.87
95,23,12,2025-08-28,shipped,EUR,PO-00095,6141.33
96,9,10,2025-07-12,shipped,EUR,PO-00096,15546.32
97,1,2,2025-01-13,open,EUR,PO-00097,9612.05
98,19,8,2025-12-02,confirmed,EUR,PO-00098,2531.7
99,14,3,2025-09-21,invoiced,EUR,PO-00099,2257.07
100,45,10,2025-12-01,invoiced,EUR,PO-00100,8781.2
101,73,2,2025-05-22,invoiced,EUR,PO-00101,1505.1
102,57,10,2025-07-20,invoiced,EUR,PO-00102,1303.55
103,43,8,2025-08-22,invoiced,EUR,PO-00103,5215.65
104,18,7,2025-06-08,shipped,EUR,PO-00104,2516.04
105,17,6,2025-10-05,open,EUR,PO-00105,7879.01
106,42,7,2025-03-13,open,EUR,PO-00106,2639.0
107,65,6,2026-01-12,invoiced,EUR,PO-00107,8383.32
108,2,3,2026-01-31,shipped,EUR,PO-00108,5278.58
109,7,8,2025-11-30,shipped,EUR,PO-00109,1920.67
110,72,1,2025-12-23,confirmed,EUR,PO-00110,8047.79
111,1,2,2025-12-25,open,EUR,PO-00111,732.54
112,50,3,2026-01-18,invoiced,EUR,PO-00112,5270.75
113,55,8,2026-01-07,open,EUR,PO-00113,7516.51
114,32,9,2025-12-31,confirmed,EUR,PO-00114,5108.06
115,73,2,2025-05-28,shipped,EUR,PO-00115,16946.44
116,80,9,2025-11-08,shipped,EUR,PO-00116,10154.64
117,15,4,2025-06-23,open,EUR,PO-00117,10588.77
118,45,10,2025-05-19,shipped,EUR,PO-00118,6134.37
119,78,7,2025-05-24,invoiced,EUR,PO-00119,6411.9
120,47,12,2025-05-17,invoiced,EUR,PO-00120,9843.47
121,73,2,2025-10-15,shipped,EUR,PO-00121,4995.54
122,35,12,2025-08-03,confirmed,EUR,PO-00122,12413.74
123,68,9,2025-03-29,confirmed,EUR,PO-00123,738.92
124,28,5,2025-04-03,open,EUR,PO-00124,14438.81
125,67,8,2025-06-14,confirmed,EUR,PO-00125,5898.6
126,1,2,2025-01-20,confirmed,EUR,PO-00126,12035.58
127,73,2,2025-03-27,shipped,EUR,PO-00127,6735.54
128,57,10,2025-03-13,open,EUR,PO-00128,4060.0
129,10,11,2025-07-27,confirmed,EUR,PO-00129,741.24
130,36,1,2025-01-30,invoiced,EUR,PO-00130,1398.96
131,72,1,2025-10-11,invoiced,EUR,PO-00131,5106.03
132,73,2,2025-11-05,confirmed,EUR,PO-00132,7375.57
133,69,10,2025-01-10,confirmed,EUR,PO-00133,7864.22
134,55,8,2025-11-06,shipped,EUR,PO-00134,8128.41
135,23,12,2025-04-24,open,EUR,PO-00135,3851.2
136,25,2,2025-07-31,shipped,EUR,PO-00136,11723.25
137,34,11,2025-03-08,confirmed,EUR,PO-00137,1531.78
138,5,6,2025-06-18,shipped,EUR,PO-00138,15074.49
139,9,10,2025-12-09,invoiced,EUR,PO-00139,4157.15
140,61,2,2025-12-20,invoiced,EUR,PO-00140,16685.73
141,9,10,2025-05-29,shipped,EUR,PO-00141,2644.8
142,10,11,2025-05-14,confirmed,EUR,PO-00142,17727.7
143,17,6,2025-02-25,shipped,EUR,PO-00143,1536.71
144,64,5,2026-01-30,confirmed,EUR,PO-00144,3749.12
145,32,9,2025-07-26,confirmed,EUR,PO-00145,2963.51
146,7,8,2025-08-21,confirmed,EUR,PO-00146,5782.89
147,7,8,2025-03-16,invoiced,EUR,PO-00147,2038.12
148,32,9,2026-01-30,open,EUR,PO-00148,11917.84
149,56,9,2025-09-20,shipped,EUR,PO-00149,7110.51
150,52,5,2025-05-22,shipped,EUR,PO-00150,3639.5
151,17,6,2025-11-27,open,EUR,PO-00151,8200.04
152,38,3,2026-01-27,open,EUR,PO-00152,9819.4
153,61,2,2026-01-19,confirmed,EUR,PO-00153,9231.57
154,5,6,2025-08-09,invoiced,EUR,PO-00154,6667.68
155,39,4,2025-08-15,invoiced,EUR,PO-00155,12456.37
156,2,3,2025-10-14,shipped,EUR,PO-00156,4747.3
157,75,4,2025-02-06,confirmed,EUR,PO-00157,1556.14
158,20,9,2025-11-18,invoiced,EUR,PO-00158,12053.27
159,17,6,2025-07-03,confirmed,EUR,PO-00159,3188.84
160,63,4,2025-11-07,confirmed,EUR,PO-00160,2429.04
161,61,2,2026-01-01,invoiced,EUR,PO-00161,2212.99
162,19,8,2025-03-19,confirmed,EUR,PO-00162,2472.54
163,60,1,2025-05-23,invoiced,EUR,PO-00163,2160.5
164,7,8,2025-10-18,confirmed,EUR,PO-00164,3306.0
165,26,3,2025-02-28,confirmed,EUR,PO-00165,2615.8
166,43,8,2025-08-15,shipped,EUR,PO-00166,2392.5
167,42,7,2025-01-27,open,EUR,PO-00167,5210.43
168,4,5,2025-11-11,open,EUR,PO-00168,3502.62
169,14,3,2025-09-29,invoiced,EUR,PO-00169,7499.11
170,22,11,2025-04-24,invoiced,EUR,PO-00170,7164.74
171,33,10,2025-08-14,shipped,EUR,PO-00171,9831.0
172,6,7,2025-08-13,open,EUR,PO-00172,10917.63
173,16,5,2025-09-14,confirmed,EUR,PO-00173,8588.64
174,12,1,2025-12-30,invoiced,EUR,PO-00174,13504.14
175,49,2,2025-05-14,confirmed,EUR,PO-00175,13142.22
176,33,10,2025-12-26,confirmed,EUR,PO-00176,1779.15
177,65,6,2025-11-17,confirmed,EUR,PO-00177,5653.84
178,62,3,2025-08-04,confirmed,EUR,PO-00178,4678.86
179,68,9,2025-05-29,open,EUR,PO-00179,4027.52
180,8,9,2025-03-23,shipped,EUR,PO-00180,5078.48
181,52,5,2025-12-15,invoiced,EUR,PO-00181,12031.52
182,27,4,2025-10-15,shipped,EUR,PO-00182,14045.28
183,62,3,2025-03-20,invoiced,EUR,PO-00183,9744.87
184,73,2,2025-06-12,shipped,EUR,PO-00184,10512.5
185,29,6,2025-12-25,shipped,EUR,PO-00185,3958.5
186,62,3,2025-11-19,confirmed,EUR,PO-00186,5788.98
187,31,8,2025-01-23,invoiced,EUR,PO-00187,7738.36
188,16,5,2025-09-14,confirmed,EUR,PO-00188,8559.06
189,51,4,2025-04-30,open,EUR,PO-00189,9369.61
190,2,3,2025-07-27,shipped,EUR,PO-00190,2909.28
191,54,7,2025-12-07,open,EUR,PO-00191,2332.47
192,14,3,2025-06-22,shipped,EUR,PO-00192,13843.15
193,51,4,2025-07-26,open,EUR,PO-00193,6709.73
194,14,3,2025-04-26,confirmed,EUR,PO-00194,9000.15
195,57,10,2025-06-26,shipped,EUR,PO-00195,3071.1
196,66,7,2025-04-21,invoiced,EUR,PO-00196,7343.67
197,31,8,2025-03-06,confirmed,EUR,PO-00197,7932.95
198,37,2,2025-08-20,invoiced,EUR,PO-00198,481.4
199,62,3,2025-04-25,invoiced,EUR,PO-00199,8963.32
200,31,8,2025-08-03,shipped,EUR,PO-00200,15304.46
201,57,10,2025-10-14,open,EUR,PO-00201,2324.93
202,60,1,2025-07-06,shipped,EUR,PO-00202,12110.98
203,25,2,2025-12-09,confirmed,EUR,PO-00203,9034.95
204,32,9,2025-10-10,confirmed,EUR,PO-00204,4795.44
205,55,8,2025-06-11,open,EUR,PO-00205,5365.58
206,66,7,2025-03-10,invoiced,EUR,PO-00206,4891.14
207,11,12,2025-04-18,open,EUR,PO-00207,545.2
208,8,9,2026-01-28,shipped,EUR,PO-00208,9612.34
209,31,8,2025-04-07,open,EUR,PO-00209,1196.25
210,58,11,2025-08-25,shipped,EUR,PO-00210,498.22
211,80,9,2025-06-16,open,EUR,PO-00211,9375.12
212,26,3,2025-01-30,open,EUR,PO-00212,7690.8
213,45,10,2025-02-20,open,EUR,PO-00213,8244.12
214,69,10,2025-06-04,open,EUR,PO-00214,7841.89
215,20,9,2025-01-15,shipped,EUR,PO-00215,966.28
216,70,11,2025-11-18,open,EUR,PO-00216,6229.2
217,43,8,2026-01-25,open,EUR,PO-00217,3419.1
218,24,1,2025-07-12,confirmed,EUR,PO-00218,3910.07
219,77,6,2026-01-15,open,EUR,PO-00219,11407.15
220,40,5,2025-04-23,shipped,EUR,PO-00220,2599.56
221,62,3,2025-05-15,shipped,EUR,PO-00221,8753.94
222,38,3,2025-12-21,open,EUR,PO-00222,5201.15
223,34,11,2025-10-15,confirmed,EUR,PO-00223,5529.72
224,21,10,2025-07-08,open,EUR,PO-00224,516.78
225,31,8,2025-06-12,confirmed,EUR,PO-00225,6705.09
226,6,7,2026-01-22,open,EUR,PO-00226,4482.53
227,7,8,2025-05-27,confirmed,EUR,PO-00227,6772.95
228,77,6,2025-07-29,open,EUR,PO-00228,19054.16
229,32,9,2025-06-14,shipped,EUR,PO-00229,11961.92
230,39,4,2025-09-10,open,EUR,PO-00230,14246.25
231,55,8,2025-05-15,confirmed,EUR,PO-00231,8076.21
232,21,10,2025-05-24,shipped,EUR,PO-00232,838.68
233,16,5,2025-08-15,shipped,EUR,PO-00233,8857.76
234,6,7,2025-12-06,invoiced,EUR,PO-00234,2032.32
235,73,2,2025-10-27,shipped,EUR,PO-00235,2164.27
236,29,6,2025-08-20,shipped,EUR,PO-00236,9745.16
237,32,9,2025-02-02,shipped,EUR,PO-00237,1287.6
238,68,9,2026-01-16,open,EUR,PO-00238,5802.9
239,42,7,2025-05-06,open,EUR,PO-00239,5241.75
240,17,6,2025-04-29,open,EUR,PO-00240,6366.37
241,33,10,2025-06-22,open,EUR,PO-00241,5881.78
242,55,8,2025-10-23,confirmed,EUR,PO-00242,6728.29
243,13,2,2025-09-01,open,EUR,PO-00243,312.62
244,27,4,2026-01-17,shipped,EUR,PO-00244,9523.02
245,51,4,2025-10-21,invoiced,EUR,PO-00245,3603.25
246,55,8,2025-04-20,shipped,EUR,PO-00246,3358.78
247,22,11,2025-10-16,invoiced,EUR,PO-00247,1764.36
248,79,8,2025-05-31,open,EUR,PO-00248,2431.94
249,41,6,2026-01-30,open,EUR,PO-00249,4033.61
250,31,8,2025-09-01,open,EUR,PO-00250,6500.64
