wt_id,pa_nr,masch_id,snr,nettogew_g,ausschuss_g,bruttogew_g,zyklus_s,iO
73,11,7,11-7,352.8,1.5,354.3,99,true
74,11,7,11-8,269.1,10.3,279.4,99,true
75,11,7,11-9,498.0,9.9,507.9,187,true
76,11,7,11-10,420.0,8.5,428.5,87,true
77,12,5,12-1,448.8,8.4,457.2,143,true
78,12,5,12-2,375.3,2.8,378.1,132,true
79,12,5,12-3,203.3,1.7,205.0,123,true
80,12,5,12-4,448.3,8.9,457.2,103,true
81,12,5,12-5,490.6,4.0,494.6,87,true
82,14,2,14-1,219.5,3.1,222.6,78,true
83,14,2,14-2,305.6,5.9,311.5,60,true
84,14,2,14-3,230.2,6.9,237.1,182,true
85,14,2,14-4,418.2,1.9,420.1,92,true
86,14,2,14-5,118.8,7.2,126.0,95,true
87,15,8,15-1,243.3,11.1,254.4,200,true
88,15,8,15-2,327.6,5.6,333.2,143,true
89,15,8,15-3,483.7,11.3,495.0,159,true
90,15,8,15-4,91.0,1.8,92.8,180,true
91,15,8,15-5,519.1,8.5,527.6,77,true
92,15,8,15-6,248.4,4.9,253.3,155,true
93,16,2,16-1,469.3,4.6,473.9,64,true
94,16,2,16-2,248.0,6.7,254.7,155,false
95,16,2,16-3,506.5,5.8,512.3,153,true
96,16,2,16-4,167.1,0.6,167.7,163,true
97,16,2,16-5,439.3,0.3,439.6,145,true
98,16,2,16-6,455.6,2.0,457.6,175,true
99,16,2,16-7,134.8,7.5,142.3,169,false
100,16,2,16-8,219.2,4.0,223.2,195,true
101,16,2,16-9,90.2,7.6,97.8,195,true
102,17,14,17-1,455.8,2.7,458.5,153,true
103,17,14,17-2,98.2,0.1,98.3,154,true
104,17,14,17-3,336.0,6.8,342.8,44,true
105,17,14,17-4,411.8,5.3,417.1,151,true
106,17,14,17-5,489.8,4.9,494.7,125,true
107,17,14,17-6,501.6,3.6,505.2,156,true
108,17,14,17-7,196.0,10.6,206.6,144,true
109,18,12,18-1,348.4,1.5,349.9,69,true
110,18,12,18-2,108.6,6.8,115.4,56,false
111,18,12,18-3,486.6,5.3,491.9,167,true
112,18,12,18-4,119.4,5.3,124.7,104,true
113,18,12,18-5,293.3,10.9,304.2,124,true
114,18,12,18-6,507.7,6.9,514.6,63,true
115,18,12,18-7,175.7,8.8,184.5,101,true
116,18,12,18-8,431.4,4.4,435.8,184,true
117,19,11,19-1,129.6,5.2,134.8,150,true
118,19,11,19-2,252.3,8.9,261.2,159,true
119,19,11,19-3,506.5,9.6,516.1,89,false
120,19,11,19-4,205.8,4.1,209.9,53,true
121,19,11,19-5,375.1,6.6,381.7,81,false
122,19,11,19-6,285.0,9.2,294.2,117,true
123,19,11,19-7,314.3,11.9,326.2,152,true
124,19,11,19-8,129.0,10.7,139.7,155,true
125,19,11,19-9,424.5,0.9,425.4,72,true
126,20,10,20-1,384.5,7.0,391.5,71,true
127,20,10,20-2,516.4,4.3,520.7,40,true
128,20,10,20-3,283.0,6.9,289.9,50,true
129,20,10,20-4,266.9,7.4,274.3,67,true
130,20,10,20-5,465.4,6.7,472.1,173,true
131,20,10,20-6,491.0,5.6,496.6,94,true
132,20,10,20-7,399.5,10.5,410.0,121,true
133,20,10,20-8,239.7,11.1,250.8,44,true
134,20,10,20-9,297.7,2.1,299.8,101,true
135,21,12,21-1,99.2,9.1,108.3,107,false
136,21,12,21-2,210.3,7.2,217.5,183,true
137,21,12,21-3,222.1,5.6,227.7,51,true
138,21,12,21-4,223.5,1.5,225.0,132,true
139,22,16,22-1,114.8,6.7,121.5,130,true
140,22,16,22-2,214.5,5.7,220.2,75,true
141,22,16,22-3,177.3,9.8,187.1,122,true
142,22,16,22-4,461.3,5.0,466.3,50,true
143,22,16,22-5,288.4,6.8,295.2,42,true
144,22,16,22-6,113.5,11.6,125.1,152,true
145,22,16,22-7,362.0,11.7,373.7,39,true
146,22,16,22-8,167.2,6.8,174.0,84,true
147,22,16,22-9,337.6,10.8,348.4,124,true
148,23,2,23-1,380.6,10.5,391.1,138,true
149,23,2,23-2,357.8,7.0,364.8,157,true
150,24,1,24-1,329.3,2.2,331.5,199,true
151,24,1,24-2,426.7,3.0,429.7,121,false
152,24,1,24-3,462.9,8.2,471.1,121,true
153,24,1,24-4,230.1,7.7,237.8,53,true
154,24,1,24-5,266.0,5.6,271.6,140,true
155,24,1,24-6,100.8,5.0,105.8,183,true
156,24,1,24-7,234.4,3.0,237.4,70,true
157,24,1,24-8,114.5,1.8,116.3,177,true
158,25,7,25-1,209.6,9.5,219.1,82,true
159,25,7,25-2,184.5,3.7,188.2,46,false
160,25,7,25-3,499.7,4.5,504.2,111,true
161,25,7,25-4,247.7,11.5,259.2,89,true
162,25,7,25-5,317.5,7.3,324.8,200,true
163,25,7,25-6,290.0,2.7,292.7,181,true
164,25,7,25-7,297.8,7.1,304.9,69,true
165,25,7,25-8,173.7,9.7,183.4,177,true
166,25,7,25-9,123.4,10.5,133.9,51,true
167,25,7,25-10,200.2,8.7,208.9,154,true
168,26,16,26-1,233.1,9.4,242.5,190,true
169,26,16,26-2,280.9,0.3,281.2,83,true
170,26,16,26-3,473.9,6.3,480.2,52,true
171,26,16,26-4,480.7,6.9,487.6,128,false
172,26,16,26-5,173.1,3.2,176.3,38,true
173,26,16,26-6,289.7,5.6,295.3,163,true
174,26,16,26-7,398.8,9.9,408.7,110,true
175,26,16,26-8,461.7,8.7,470.4,64,true
176,27,4,27-1,173.8,3.2,177.0,100,true
177,27,4,27-2,167.2,3.1,170.3,53,true
178,27,4,27-3,346.8,7.5,354.3,199,true
179,28,11,28-1,222.4,5.2,227.6,79,true
180,28,11,28-2,159.4,1.3,160.7,99,true
181,28,11,28-3,364.8,1.5,366.3,131,true
182,30,11,30-1,184.3,3.9,188.2,52,true
183,30,11,30-2,231.4,10.4,241.8,150,true
184,30,11,30-3,281.0,3.3,284.3,38,true
185,30,11,30-4,211.3,0.9,212.2,101,true
186,30,11,30-5,394.4,0.4,394.8,134,true
187,30,11,30-6,276.4,1.7,278.1,161,true
188,30,11,30-7,200.9,9.2,210.1,115,true
189,31,1,31-1,167.9,1.4,169.3,195,true
190,31,1,31-2,140.1,9.2,149.3,137,true
191,31,1,31-3,342.9,4.6,347.5,76,true
192,31,1,31-4,200.5,8.0,208.5,134,true
193,31,1,31-5,151.1,9.4,160.5,162,true
194,31,1,31-6,107.4,9.8,117.2,174,true
195,31,1,31-7,515.7,6.6,522.3,85,true
196,31,1,31-8,474.2,9.1,483.3,134,true
197,32,5,32-1,122.3,8.4,130.7,91,true
198,32,5,32-2,207.1,9.1,216.2,45,true
199,32,5,32-3,268.4,4.7,273.1,195,true
200,32,5,32-4,483.6,3.2,486.8,193,true
201,32,5,32-5,151.8,11.4,163.2,39,true
202,32,5,32-6,389.9,9.4,399.3,131,true
203,32,5,32-7,375.0,0.2,375.2,138,true
204,32,5,32-8,351.6,2.5,354.1,149,true
205,33,7,33-1,234.8,6.2,241.0,115,true
206,33,7,33-2,298.4,11.4,309.8,134,true
207,33,7,33-3,295.8,8.9,304.7,55,true
208,33,7,33-4,130.7,6.9,137.6,78,true
209,33,7,33-5,363.4,3.3,366.7,166,true
210,33,7,33-6,101.4,2.7,104.1,92,true
211,33,7,33-7,295.3,5.3,300.6,45,false
212,34,15,34-1,396.8,1.0,397.8,184,true
213,34,15,34-2,389.7,9.3,399.0,113,false
214,34,15,34-3,152.5,7.2,159.7,194,true
215,34,15,34-4,263.5,10.7,274.2,174,true
216,34,15,34-5,449.0,7.1,456.1,179,true
217,34,15,34-6,413.0,7.9,420.9,103,true
218,34,15,34-7,110.4,2.8,113.2,155,false
219,34,15,34-8,283.6,2.0,285.6,190,true
220,35,3,35-1,378.4,0.7,379.1,112,true
221,35,3,35-2,96.3,1.2,97.5,174,true
222,35,3,35-3,166.6,5.4,172.0,189,true
223,35,3,35-4,234.8,4.8,239.6,177,true
224,35,3,35-5,481.5,5.9,487.4,161,true
225,35,3,35-6,265.0,6.2,271.2,145,true
226,35,3,35-7,287.7,7.3,295.0,145,true
227,35,3,35-8,244.2,7.9,252.1,154,true
228,35,3,35-9,164.8,9.2,174.0,106,true
229,36,16,36-1,200.6,3.5,204.1,131,true
230,36,16,36-2,350.5,10.1,360.6,117,true
231,36,16,36-3,144.3,9.2,153.5,80,true
232,36,16,36-4,495.6,2.0,497.6,85,true
233,36,16,36-5,420.8,4.6,425.4,77,true
234,37,7,37-1,216.2,3.8,220.0,70,true
235,37,7,37-2,248.5,9.4,257.9,180,true
236,37,7,37-3,337.7,9.3,347.0,147,true
237,37,7,37-4,273.4,7.5,280.9,107,true
238,38,12,38-1,423.4,1.7,425.1,58,true
239,39,15,39-1,371.9,6.9,378.8,198,true
240,39,15,39-2,304.7,6.9,311.6,196,true
241,39,15,39-3,324.9,3.5,328.4,76,true
242,39,15,39-4,311.1,6.7,317.8,103,true
243,39,15,39-5,190.5,0.6,191.1,111,true
244,39,15,39-6,119.3,2.1,121.4,98,true
245,39,15,39-7,505.8,5.3,511.1,78,true
246,39,15,39-8,213.7,9.2,222.9,81,true
247,39,15,39-9,375.2,0.9,376.1,109,true
248,40,13,40-1,407.7,10.7,418.4,56,true
249,40,13,40-2,320.7,8.9,329.6,176,true
250,40,13,40-3,421.5,0.8,422.3,115,true
251,40,13,40-4,328.5,0.2,328.7,117,true
252,40,13,40-5,498.9,8.1,507.0,45,true
253,40,13,40-6,104.1,1.8,105.9,158,true
254,40,13,40-7,206.8,11.3,218.1,76,true
255,40,13,40-8,243.8,2.1,245.9,83,true
256,40,13,40-9,500.3,6.9,507.2,168,false
257,40,13,40-10,99.3,10.0,109.3,164,true
258,41,13,41-1,244.2,11.7,255.9,138,true
259,41,13,41-2,343.6,4.7,348.3,185,true
260,41,13,41-3,179.2,5.9,185.1,149,true
261,41,13,41-4,234.0,6.8,240.8,132,true
262,42,12,42-1,449.3,5.2,454.5,108,true
263,42,12,42-2,479.7,10.7,490.4,153,false
264,42,12,42-3,134.3,9.5,143.8,187,false
265,42,12,42-4,127.7,3.8,131.5,62,true
266,42,12,42-5,508.3,8.7,517.0,69,true
267,42,12,42-6,144.1,2.0,146.1,132,false
268,42,12,42-7,163.8,9.1,172.9,116,true
269,42,12,42-8,246.9,4.8,251.7,163,true
270,42,12,42-9,130.3,3.1,133.4,41,false
271,42,12,42-10,182.6,6.8,189.4,149,true
272,43,4,43-1,133.9,10.5,144.4,95,true
273,43,4,43-2,285.8,8.5,294.3,117,true
274,43,4,43-3,262.5,7.0,269.5,181,true
275,43,4,43-4,174.9,6.6,181.5,184,true
276,43,4,43-5,476.5,3.2,479.7,159,true
277,44,15,44-1,141.8,2.1,143.9,104,true
278,44,15,44-2,274.9,10.8,285.7,153,true
279,44,15,44-3,96.4,9.4,105.8,99,true
280,45,12,45-1,94.3,3.0,97.3,185,true
281,45,12,45-2,506.1,5.5,511.6,140,true
282,45,12,45-3,294.2,2.2,296.4,59,true
283,45,12,45-4,124.5,4.8,129.3,122,true
284,45,12,45-5,167.3,0.7,168.0,96,true
285,45,12,45-6,518.3,5.4,523.7,49,true
286,45,12,45-7,174.1,2.1,176.2,51,true
287,46,9,46-1,178.0,0.3,178.3,67,true
288,46,9,46-2,206.2,4.5,210.7,190,true
289,46,9,46-3,442.5,11.2,453.7,108,true
290,46,9,46-4,236.5,7.3,243.8,196,true
291,46,9,46-5,127.6,1.2,128.8,137,true
292,46,9,46-6,129.2,5.5,134.7,89,true
293,46,9,46-7,134.4,5.1,139.5,98,true
294,46,9,46-8,115.5,11.7,127.2,155,true
295,46,9,46-9,431.9,3.4,435.3,95,true
296,47,9,47-1,346.3,10.7,357.0,176,true
297,47,9,47-2,435.0,2.9,437.9,139,true
298,47,9,47-3,453.0,5.6,458.6,155,true
299,48,3,48-1,299.8,5.2,305.0,109,true
300,48,3,48-2,486.6,11.5,498.1,92,true
301,48,3,48-3,387.5,10.0,397.5,96,true
302,49,14,49-1,272.2,6.3,278.5,199,true
303,49,14,49-2,182.1,6.8,188.9,91,true
304,49,14,49-3,192.0,5.8,197.8,83,false
305,50,6,50-1,365.1,2.5,367.6,111,true
306,50,6,50-2,306.9,11.8,318.7,102,true
307,50,6,50-3,188.2,5.7,193.9,64,true
308,50,6,50-4,129.0,0.1,129.1,139,true
309,51,10,51-1,265.8,5.3,271.1,168,true
310,51,10,51-2,330.1,6.4,336.5,142,true
311,51,10,51-3,295.2,4.2,299.4,137,true
312,52,16,52-1,411.0,6.8,417.8,78,true
313,52,16,52-2,307.4,5.1,312.5,36,false
314,52,16,52-3,399.1,2.9,402.0,130,true
315,52,16,52-4,502.8,11.0,513.8,87,false
316,52,16,52-5,491.7,0.9,492.6,46,true
317,52,16,52-6,196.0,7.3,203.3,118,false
318,52,16,52-7,453.9,1.7,455.6,182,true
319,52,16,52-8,431.2,0.1,431.3,157,false
320,53,5,53-1,209.7,0.0,209.7,120,true
321,53,5,53-2,438.7,5.0,443.7,89,true
322,53,5,53-3,363.8,11.7,375.5,190,true
323,54,16,54-1,234.6,9.4,244.0,114,true
324,54,16,54-2,480.8,1.2,482.0,181,true
325,54,16,54-3,476.1,4.1,480.2,187,true
326,54,16,54-4,435.6,10.9,446.5,139,true
327,54,16,54-5,344.9,0.7,345.6,55,true
328,54,16,54-6,417.7,10.2,427.9,52,true
329,54,16,54-7,245.8,11.8,257.6,164,true
330,54,16,54-8,408.9,9.1,418.0,118,true
331,54,16,54-9,178.2,8.8,187.0,89,true
332,55,2,55-1,165.0,7.7,172.7,73,true
333,55,2,55-2,467.1,6.8,473.9,138,true
334,55,2,55-3,125.5,7.7,133.2,171,true
335,55,2,55-4,508.8,0.2,509.0,199,true
336,55,2,55-5,505.1,6.3,511.4,35,true
337,56,10,56-1,279.4,6.7,286.1,200,false
338,56,10,56-2,420.5,4.1,424.6,100,true
339,56,10,56-3,129.6,6.4,136.0,51,true
340,57,16,57-1,295.9,1.5,297.4,63,true
341,57,16,57-2,100.5,8.7,109.2,104,true
342,57,16,57-3,249.3,3.3,252.6,186,true
343,57,16,57-4,336.1,1.7,337.8,149,true
344,58,13,58-1,414.6,9.1,423.7,197,true
345,58,13,58-2,462.3,7.9,470.2,157,true
346,58,13,58-3,335.7,9.6,345.3,171,true
347,58,13,58-4,446.1,8.0,454.1,190,true
348,58,13,58-5,156.3,7.5,163.8,106,true
349,58,13,58-6,335.4,4.8,340.2,66,false
350,58,13,58-7,130.5,2.8,133.3,129,true
351,58,13,58-8,270.5,4.7,275.2,155,true
352,58,13,58-9,370.4,3.8,374.2,188,true
353,58,13,58-10,115.0,0.5,115.5,139,true
354,60,6,60-1,517.3,4.5,521.8,117,true
355,60,6,60-2,506.3,10.9,517.2,81,true
356,60,6,60-3,299.2,9.8,309.0,101,true
357,60,6,60-4,470.8,7.1,477.9,165,true
358,60,6,60-5,435.8,5.3,441.1,63,true
359,61,2,61-1,451.8,3.3,455.1,169,true
360,61,2,61-2,220.2,6.5,226.7,192,true
361,61,2,61-3,443.7,5.4,449.1,139,true
362,61,2,61-4,132.9,8.8,141.7,76,true
363,62,12,62-1,336.9,10.8,347.7,200,true
364,62,12,62-2,517.1,6.3,523.4,101,true
365,63,9,63-1,301.4,9.2,310.6,199,true
366,63,9,63-2,452.5,2.9,455.4,104,true
367,64,1,64-1,177.6,4.1,181.7,190,false
368,64,1,64-2,128.9,3.4,132.3,193,true
369,64,1,64-3,346.5,2.2,348.7,162,true
370,64,1,64-4,495.7,5.8,501.5,110,true
371,64,1,64-5,307.6,6.9,314.5,71,true
372,65,2,65-1,389.8,10.3,400.1,44,true
373,65,2,65-2,259.1,7.2,266.3,105,true
374,65,2,65-3,406.6,7.0,413.6,92,true
375,65,2,65-4,185.9,7.8,193.7,104,false
376,66,11,66-1,266.2,5.8,272.0,36,true
377,66,11,66-2,120.9,0.2,121.1,72,true
378,66,11,66-3,347.9,4.9,352.8,64,true
379,66,11,66-4,332.5,2.7,335.2,170,true
380,66,11,66-5,201.7,3.3,205.0,167,true
381,66,11,66-6,127.9,11.3,139.2,133,true
382,66,11,66-7,244.7,5.3,250.0,180,true
383,66,11,66-8,387.9,9.7,397.6,124,true
384,66,11,66-9,282.5,10.0,292.5,119,true
385,66,11,66-10,316.3,11.3,327.6,140,true
386,68,2,68-1,420.2,4.3,424.5,121,true
387,68,2,68-2,247.2,11.4,258.6,96,true
388,68,2,68-3,131.1,0.1,131.2,135,true
389,68,2,68-4,273.3,4.1,277.4,111,true
390,68,2,68-5,170.1,8.7,178.8,122,true
391,68,2,68-6,166.6,1.7,168.3,67,true
392,68,2,68-7,164.4,5.6,170.0,197,true
393,68,2,68-8,472.4,0.7,473.1,130,true
394,68,2,68-9,118.8,0.9,119.7,173,true
395,69,1,69-1,100.7,3.7,104.4,80,true
396,69,1,69-2,357.9,2.5,360.4,195,true
397,69,1,69-3,138.6,6.3,144.9,37,true
398,69,1,69-4,390.7,9.1,399.8,119,true
399,70,5,70-1,499.9,6.6,506.5,54,false
400,70,5,70-2,436.6,9.6,446.2,161,true
401,70,5,70-3,156.4,7.5,163.9,116,true
402,70,5,70-4,209.6,7.7,217.3,57,true
403,70,5,70-5,120.6,3.8,124.4,58,true
404,70,5,70-6,364.4,10.1,374.5,134,true
405,70,5,70-7,147.0,5.4,152.4,126,false
406,70,5,70-8,358.2,7.3,365.5,137,true
407,70,5,70-9,107.7,8.9,116.6,83,true
408,71,6,71-1,458.2,9.3,467.5,165,true
409,71,6,71-2,442.3,11.1,453.4,44,true
410,71,6,71-3,401.8,2.5,404.3,47,true
411,71,6,71-4,347.6,11.5,359.1,36,true
412,71,6,71-5,114.1,5.3,119.4,158,true
413,71,6,71-6,512.9,12.0,524.9,159,true
414,71,6,71-7,356.5,9.5,366.0,53,true
415,71,6,71-8,147.1,3.1,150.2,56,true
416,71,6,71-9,239.6,4.4,244.0,107,true
417,72,3,72-1,186.2,9.9,196.1,97,true
418,72,3,72-2,322.5,7.8,330.3,186,true
419,72,3,72-3,216.6,2.5,219.1,197,true
420,72,3,72-4,411.7,9.6,421.3,60,true
421,72,3,72-5,516.6,1.7,518.3,158,true
422,72,3,72-6,455.2,1.5,456.7,73,true
423,72,3,72-7,439.6,3.0,442.6,83,true
424,73,1,73-1,180.9,11.7,192.6,142,true
425,73,1,73-2,344.1,11.2,355.3,127,true
426,73,1,73-3,126.7,2.7,129.4,162,true
427,73,1,73-4,107.8,9.1,116.9,183,true
428,73,1,73-5,324.8,8.1,332.9,59,true
429,73,1,73-6,413.4,5.1,418.5,76,true
430,73,1,73-7,108.1,8.2,116.3,125,true
431,73,1,73-8,137.8,9.3,147.1,73,true
432,73,1,73-9,171.9,8.4,180.3,180,true
433,74,15,74-1,263.1,6.1,269.2,153,true
434,74,15,74-2,310.2,0.4,310.6,55,true
435,74,15,74-3,288.4,10.9,299.3,100,true
436,74,15,74-4,457.8,9.2,467.0,179,true
437,74,15,74-5,478.7,10.1,488.8,39,true
438,74,15,74-6,263.5,11.4,274.9,122,true
439,74,15,74-7,475.3,10.2,485.5,122,true
440,75,12,75-1,247.6,10.1,257.7,130,true
441,75,12,75-2,480.3,11.5,491.8,71,true
442,75,12,75-3,422.5,3.6,426.1,198,true
443,75,12,75-4,359.7,3.7,363.4,182,true
444,75,12,75-5,335.0,2.4,337.4,43,true
445,75,12,75-6,455.8,8.8,464.6,189,true
446,76,16,76-1,138.4,3.7,142.1,41,true
447,76,16,76-2,442.8,2.2,445.0,161,true
448,76,16,76-3,212.3,4.4,216.7,120,true
449,76,16,76-4,240.5,5.9,246.4,178,true
450,76,16,76-5,405.7,7.9,413.6,155,true
451,76,16,76-6,464.9,3.7,468.6,141,true
452,76,16,76-7,348.8,3.0,351.8,132,true
453,77,10,77-1,362.2,10.0,372.2,182,true
454,77,10,77-2,512.0,4.2,516.2,97,true
455,77,10,77-3,399.8,6.1,405.9,54,true
456,77,10,77-4,105.2,3.3,108.5,60,true
457,77,10,77-5,285.6,2.8,288.4,56,true
458,77,10,77-6,196.3,5.8,202.1,83,true
459,77,10,77-7,260.2,4.4,264.6,87,true
460,79,7,79-1,441.0,1.9,442.9,152,true
461,79,7,79-2,221.2,8.2,229.4,198,true
462,79,7,79-3,192.4,5.4,197.8,187,true
463,79,7,79-4,220.9,11.1,232.0,140,true
464,79,7,79-5,395.0,1.6,396.6,138,true
465,79,7,79-6,269.0,10.6,279.6,51,true
466,79,7,79-7,263.3,10.8,274.1,136,true
467,79,7,79-8,176.6,4.9,181.5,78,true
468,80,7,80-1,401.4,0.2,401.6,50,true
469,80,7,80-2,444.0,2.7,446.7,113,false
470,80,7,80-3,212.3,10.4,222.7,115,true
471,80,7,80-4,167.5,3.2,170.7,79,true
472,80,7,80-5,512.8,0.5,513.3,168,true
473,80,7,80-6,383.9,6.3,390.2,136,true
474,80,7,80-7,337.7,2.6,340.3,183,true
475,80,7,80-8,273.4,8.4,281.8,118,true
476,80,7,80-9,309.7,3.4,313.1,37,false
477,81,12,81-1,253.4,1.1,254.5,163,true
478,81,12,81-2,384.2,1.7,385.9,127,true
479,81,12,81-3,224.4,5.4,229.8,97,true
480,82,16,82-1,93.7,11.5,105.2,69,true
481,82,16,82-2,386.3,11.7,398.0,62,true
482,82,16,82-3,472.1,0.2,472.3,119,true
483,83,1,83-1,379.7,4.8,384.5,60,true
484,83,1,83-2,399.2,5.9,405.1,119,true
485,83,1,83-3,337.6,2.5,340.1,79,true
486,84,16,84-1,172.2,1.3,173.5,96,true
487,84,16,84-2,145.8,8.6,154.4,191,true
488,84,16,84-3,293.6,2.7,296.3,78,true
489,84,16,84-4,190.3,4.3,194.6,123,true
490,84,16,84-5,199.3,1.2,200.5,199,false
491,84,16,84-6,225.9,5.3,231.2,125,true
492,84,16,84-7,182.2,2.0,184.2,182,true
493,86,15,86-1,487.5,8.6,496.1,63,true
494,86,15,86-2,466.3,4.6,470.9,197,false
495,86,15,86-3,213.0,11.8,224.8,163,true
496,86,15,86-4,270.8,6.1,276.9,148,true
497,86,15,86-5,158.8,2.1,160.9,63,true
498,87,2,87-1,367.9,7.6,375.5,176,true
499,87,2,87-2,200.0,0.7,200.7,115,true
500,87,2,87-3,254.3,4.4,258.7,59,true
501,87,2,87-4,332.6,0.8,333.4,68,true
502,87,2,87-5,207.5,7.1,214.6,193,false
503,87,2,87-6,439.4,10.8,450.2,126,true
504,87,2,87-7,493.6,7.7,501.3,158,true
505,87,2,87-8,177.3,2.9,180.2,77,true
506,87,2,87-9,330.7,5.1,335.8,178,true
507,87,2,87-10,512.2,6.6,518.8,42,true
508,88,1,88-1,427.5,8.3,435.8,133,true
509,89,11,89-1,304.5,9.0,313.5,146,true
510,89,11,89-2,197.2,1.2,198.4,84,true
511,89,11,89-3,253.3,6.5,259.8,148,false
512,89,11,89-4,109.9,2.4,112.3,77,true
513,89,11,89-5,409.2,3.1,412.3,178,true
514,89,11,89-6,186.0,10.0,196.0,85,true
515,89,11,89-7,134.2,2.2,136.4,71,true
516,90,12,90-1,470.6,1.5,472.1,71,true
517,90,12,90-2,232.6,11.9,244.5,177,true
518,90,12,90-3,394.7,6.0,400.7,37,true
519,90,12,90-4,233.1,7.6,240.7,94,true
520,91,9,91-1,163.1,5.0,168.1,166,false
521,91,9,91-2,311.8,8.0,319.8,116,false
522,91,9,91-3,263.5,11.0,274.5,155,true
523,91,9,91-4,393.3,11.7,405.0,35,true
524,91,9,91-5,514.3,11.1,525.4,129,true
525,91,9,91-6,409.7,11.2,420.9,194,true
526,92,10,92-1,505.2,11.7,516.9,142,true
527,92,10,92-2,453.6,2.2,455.8,59,true
528,92,10,92-3,476.3,1.7,478.0,157,true
529,92,10,92-4,457.4,8.9,466.3,133,false
530,92,10,92-5,332.2,10.4,342.6,134,true
531,93,4,93-1,336.2,6.1,342.3,197,true
532,93,4,93-2,290.2,5.5,295.7,192,false
533,93,4,93-3,291.9,5.6,297.5,96,true
534,94,10,94-1,365.3,5.2,370.5,174,true
