mess_id,masch_id,ts,temp_c,vib_rms,leist_kw,energie_kwh
57,9,2025-02-01 05:36:00,50.7,8.03,7.92,1.584
58,10,2025-02-01 05:36:00,88.1,6.78,12.38,2.476
59,11,2025-02-01 05:36:00,71.7,4.92,23.63,4.726
60,12,2025-02-01 05:36:00,67.0,2.56,8.18,1.636
61,13,2025-02-01 05:36:00,60.2,1.17,24.46,4.892
62,14,2025-02-01 05:36:00,79.3,2.75,12.29,2.458
63,15,2025-02-01 05:36:00,81.8,1.82,29.41,5.882
64,16,2025-02-01 05:36:00,37.1,5.12,24.01,4.802
65,1,2025-02-01 05:48:00,50.1,4.6,8.77,1.754
66,2,2025-02-01 05:48:00,84.7,5.15,7.47,1.494
67,3,2025-02-01 05:48:00,92.1,1.14,7.92,1.584
68,4,2025-02-01 05:48:00,82.8,6.11,11.01,2.202
69,5,2025-02-01 05:48:00,43.7,0.79,7.66,1.532
70,6,2025-02-01 05:48:00,82.3,2.18,9.21,1.842
71,7,2025-02-01 05:48:00,74.5,1.08,8.4,1.68
72,8,2025-02-01 05:48:00,93.3,0.92,9.76,1.952
73,9,2025-02-01 05:48:00,37.9,0.79,18.84,3.768
74,10,2025-02-01 05:48:00,52.5,7.97,24.14,4.828
75,11,2025-02-01 05:48:00,81.5,4.39,17.32,3.464
76,12,2025-02-01 05:48:00,59.6,6.76,20.02,4.004
77,13,2025-02-01 05:48:00,44.2,6.14,12.48,2.496
78,14,2025-02-01 05:48:00,68.2,2.33,10.5,2.1
79,15,2025-02-01 05:48:00,64.6,3.41,27.38,5.476
80,16,2025-02-01 05:48:00,79.7,7.6,23.61,4.722
81,1,2025-02-01 06:00:00,74.5,5.73,10.22,2.044
82,2,2025-02-01 06:00:00,76.8,3.77,8.47,1.694
83,3,2025-02-01 06:00:00,38.0,3.37,8.35,1.67
84,4,2025-02-01 06:00:00,75.9,6.61,13.63,2.726
85,5,2025-02-01 06:00:00,89.8,2.91,11.3,2.26
86,6,2025-02-01 06:00:00,38.7,2.22,14.33,2.866
87,7,2025-02-01 06:00:00,70.5,7.37,7.81,1.562
88,8,2025-02-01 06:00:00,90.3,6.85,9.35,1.87
89,9,2025-02-01 06:00:00,53.4,8.01,15.21,3.042
90,10,2025-02-01 06:00:00,40.3,7.95,10.07,2.014
91,11,2025-02-01 06:00:00,85.5,4.34,23.99,4.798
92,12,2025-02-01 06:00:00,58.1,0.52,9.6,1.92
93,13,2025-02-01 06:00:00,47.6,2.41,16.41,3.282
94,14,2025-02-01 06:00:00,53.5,1.18,18.69,3.738
95,15,2025-02-01 06:00:00,66.4,0.69,21.2,4.24
96,16,2025-02-01 06:00:00,81.1,3.26,11.65,2.33
97,1,2025-02-01 06:12:00,61.2,5.71,6.15,1.23
98,2,2025-02-01 06:12:00,80.0,7.6,8.53,1.706
99,3,2025-02-01 06:12:00,79.8,3.27,11.9,2.38
100,4,2025-02-01 06:12:00,64.6,0.23,13.76,2.752
101,5,2025-02-01 06:12:00,60.2,1.96,14.18,2.836
102,6,2025-02-01 06:12:00,65.7,0.83,11.42,2.284
103,7,2025-02-01 06:12:00,48.3,5.88,11.35,2.27
104,8,2025-02-01 06:12:00,60.2,6.77,20.78,4.156
105,9,2025-02-01 06:12:00,69.3,1.05,20.08,4.016
106,10,2025-02-01 06:12:00,37.3,5.71,7.55,1.51
107,11,2025-02-01 06:12:00,41.6,3.25,14.5,2.9
108,12,2025-02-01 06:12:00,85.9,0.58,24.68,4.936
109,13,2025-02-01 06:12:00,55.6,7.86,12.38,2.476
110,14,2025-02-01 06:12:00,49.1,2.01,20.34,4.068
111,15,2025-02-01 06:12:00,77.7,7.01,30.41,6.082
112,16,2025-02-01 06:12:00,49.4,5.85,25.11,5.022
113,1,2025-02-01 06:24:00,58.7,1.61,4.64,0.928
114,2,2025-02-01 06:24:00,47.5,5.62,5.03,1.006
115,3,2025-02-01 06:24:00,59.0,6.07,6.6,1.32
116,4,2025-02-01 06:24:00,71.0,1.79,14.07,2.814
117,5,2025-02-01 06:24:00,50.8,1.22,15.11,3.022
118,6,2025-02-01 06:24:00,95.5,4.53,8.84,1.768
119,7,2025-02-01 06:24:00,58.8,6.27,13.11,2.622
120,8,2025-02-01 06:24:00,81.2,6.76,21.02,4.204
121,9,2025-02-01 06:24:00,73.9,1.9,15.23,3.046
122,10,2025-02-01 06:24:00,94.9,7.48,11.64,2.328
123,11,2025-02-01 06:24:00,40.9,4.13,14.69,2.938
124,12,2025-02-01 06:24:00,77.1,5.45,14.65,2.93
125,13,2025-02-01 06:24:00,65.6,0.5,9.29,1.858
126,14,2025-02-01 06:24:00,94.4,7.16,23.68,4.736
127,15,2025-02-01 06:24:00,97.3,5.17,30.6,6.12
128,16,2025-02-01 06:24:00,96.1,1.05,27.34,5.468
129,1,2025-02-01 06:36:00,92.8,7.5,3.4,0.68
130,2,2025-02-01 06:36:00,64.2,7.94,3.84,0.768
131,3,2025-02-01 06:36:00,55.1,3.31,11.49,2.298
132,4,2025-02-01 06:36:00,53.5,2.78,12.91,2.582
133,5,2025-02-01 06:36:00,43.2,7.18,15.28,3.056
134,6,2025-02-01 06:36:00,59.6,2.28,6.92,1.384
135,7,2025-02-01 06:36:00,94.2,0.77,13.27,2.654
136,8,2025-02-01 06:36:00,81.1,3.98,21.12,4.224
137,9,2025-02-01 06:36:00,78.2,0.88,16.99,3.398
138,10,2025-02-01 06:36:00,59.1,4.26,17.56,3.512
139,11,2025-02-01 06:36:00,58.2,5.16,22.2,4.44
140,12,2025-02-01 06:36:00,58.6,2.16,18.6,3.72
141,13,2025-02-01 06:36:00,61.3,1.17,20.28,4.056
142,14,2025-02-01 06:36:00,57.5,5.04,20.39,4.078
143,15,2025-02-01 06:36:00,69.6,0.77,21.22,4.244
144,16,2025-02-01 06:36:00,96.8,5.06,19.11,3.822
145,1,2025-02-01 06:48:00,34.5,5.86,6.67,1.334
146,2,2025-02-01 06:48:00,66.0,1.81,9.37,1.874
147,3,2025-02-01 06:48:00,72.6,1.35,5.04,1.008
148,4,2025-02-01 06:48:00,41.8,0.73,10.26,2.052
149,5,2025-02-01 06:48:00,69.9,6.76,5.06,1.012
150,6,2025-02-01 06:48:00,66.0,0.75,18.38,3.676
151,7,2025-02-01 06:48:00,97.8,0.47,18.71,3.742
152,8,2025-02-01 06:48:00,66.4,6.14,14.03,2.806
153,9,2025-02-01 06:48:00,42.9,7.34,14.13,2.826
154,10,2025-02-01 06:48:00,96.4,1.34,10.39,2.078
155,11,2025-02-01 06:48:00,47.4,2.01,18.48,3.696
156,12,2025-02-01 06:48:00,93.5,6.15,24.62,4.924
157,13,2025-02-01 06:48:00,88.4,6.25,17.47,3.494
158,14,2025-02-01 06:48:00,91.9,7.44,21.93,4.386
159,15,2025-02-01 06:48:00,43.1,1.17,25.32,5.064
160,16,2025-02-01 06:48:00,73.1,5.54,31.93,6.386
161,1,2025-02-01 07:00:00,43.6,4.36,11.22,2.244
162,2,2025-02-01 07:00:00,89.0,4.59,4.58,0.916
163,3,2025-02-01 07:00:00,49.7,4.55,6.51,1.302
164,4,2025-02-01 07:00:00,86.0,5.28,9.65,1.93
165,5,2025-02-01 07:00:00,65.0,2.96,12.43,2.486
166,6,2025-02-01 07:00:00,86.5,3.57,11.46,2.292
167,7,2025-02-01 07:00:00,73.2,3.87,18.54,3.708
168,8,2025-02-01 07:00:00,42.4,3.51,15.46,3.092
169,9,2025-02-01 07:00:00,42.9,7.03,16.95,3.39
170,10,2025-02-01 07:00:00,37.0,6.3,9.86,1.972
171,11,2025-02-01 07:00:00,39.9,5.51,13.96,2.792
172,12,2025-02-01 07:00:00,52.1,1.64,23.69,4.738
173,13,2025-02-01 07:00:00,67.5,3.4,19.98,3.996
174,14,2025-02-01 07:00:00,58.5,6.19,21.15,4.23
175,15,2025-02-01 07:00:00,53.8,2.35,23.31,4.662
176,16,2025-02-01 07:00:00,78.6,3.01,29.9,5.98
177,1,2025-02-01 07:12:00,72.3,3.73,7.53,1.506
178,2,2025-02-01 07:12:00,93.0,3.2,11.68,2.336
179,3,2025-02-01 07:12:00,69.8,6.54,5.37,1.074
180,4,2025-02-01 07:12:00,97.6,6.56,13.19,2.638
181,5,2025-02-01 07:12:00,96.4,6.55,15.86,3.172
182,6,2025-02-01 07:12:00,63.2,7.89,13.57,2.714
183,7,2025-02-01 07:12:00,36.1,1.31,14.45,2.89
184,8,2025-02-01 07:12:00,50.5,3.31,16.55,3.31
185,9,2025-02-01 07:12:00,71.5,3.73,10.9,2.18
186,10,2025-02-01 07:12:00,89.0,3.99,16.33,3.266
187,11,2025-02-01 07:12:00,86.0,4.91,23.2,4.64
188,12,2025-02-01 07:12:00,67.2,0.3,24.52,4.904
189,13,2025-02-01 07:12:00,80.2,6.09,15.48,3.096
190,14,2025-02-01 07:12:00,45.1,5.17,22.59,4.518
191,15,2025-02-01 07:12:00,36.3,0.36,27.52,5.504
192,16,2025-02-01 07:12:00,82.3,2.8,21.19,4.238
193,1,2025-02-01 07:24:00,61.9,7.73,8.94,1.788
194,2,2025-02-01 07:24:00,53.7,4.02,8.81,1.762
195,3,2025-02-01 07:24:00,87.9,6.9,8.06,1.612
196,4,2025-02-01 07:24:00,55.0,5.49,13.65,2.73
197,5,2025-02-01 07:24:00,39.5,3.76,14.31,2.862
198,6,2025-02-01 07:24:00,83.8,2.96,15.4,3.08
199,7,2025-02-01 07:24:00,52.2,0.88,18.74,3.748
200,8,2025-02-01 07:24:00,87.3,2.46,16.57,3.314
201,9,2025-02-01 07:24:00,34.8,2.95,12.62,2.524
202,10,2025-02-01 07:24:00,45.7,6.66,23.96,4.792
203,11,2025-02-01 07:24:00,39.1,3.55,8.26,1.652
204,12,2025-02-01 07:24:00,87.0,5.42,15.74,3.148
205,13,2025-02-01 07:24:00,96.3,7.28,23.15,4.63
206,14,2025-02-01 07:24:00,38.2,6.19,22.38,4.476
207,15,2025-02-01 07:24:00,80.1,1.47,15.25,3.05
208,16,2025-02-01 07:24:00,53.8,6.96,26.59,5.318
209,1,2025-02-01 07:36:00,77.1,1.03,6.46,1.292
210,2,2025-02-01 07:36:00,66.5,0.51,6.06,1.212
211,3,2025-02-01 07:36:00,51.3,5.09,4.87,0.974
212,4,2025-02-01 07:36:00,89.9,2.67,6.52,1.304
213,5,2025-02-01 07:36:00,54.5,5.3,13.62,2.724
214,6,2025-02-01 07:36:00,88.2,5.58,13.81,2.762
215,7,2025-02-01 07:36:00,56.4,2.28,14.91,2.982
216,8,2025-02-01 07:36:00,89.5,2.25,15.34,3.068
217,9,2025-02-01 07:36:00,40.5,4.84,11.52,2.304
218,10,2025-02-01 07:36:00,79.3,7.07,9.02,1.804
219,11,2025-02-01 07:36:00,40.4,2.56,14.41,2.882
220,12,2025-02-01 07:36:00,97.4,1.84,17.53,3.506
221,13,2025-02-01 07:36:00,88.6,5.23,23.4,4.68
222,14,2025-02-01 07:36:00,69.2,3.73,24.44,4.888
223,15,2025-02-01 07:36:00,68.2,2.45,20.13,4.026
224,16,2025-02-01 07:36:00,91.8,6.04,22.44,4.488
225,1,2025-02-01 07:48:00,87.5,2.11,5.53,1.106
226,2,2025-02-01 07:48:00,40.8,7.87,4.41,0.882
227,3,2025-02-01 07:48:00,72.8,0.67,11.04,2.208
228,4,2025-02-01 07:48:00,37.1,2.0,5.61,1.122
229,5,2025-02-01 07:48:00,85.3,7.73,16.16,3.232
230,6,2025-02-01 07:48:00,91.0,0.24,12.49,2.498
231,7,2025-02-01 07:48:00,36.8,6.01,11.75,2.35
232,8,2025-02-01 07:48:00,82.0,6.28,10.16,2.032
233,9,2025-02-01 07:48:00,60.9,6.42,19.01,3.802
234,10,2025-02-01 07:48:00,44.3,2.35,23.69,4.738
235,11,2025-02-01 07:48:00,36.3,4.44,11.79,2.358
236,12,2025-02-01 07:48:00,57.6,5.14,14.17,2.834
237,13,2025-02-01 07:48:00,35.9,3.25,20.56,4.112
238,14,2025-02-01 07:48:00,82.4,6.29,25.39,5.078
239,15,2025-02-01 07:48:00,75.5,6.56,10.62,2.124
240,16,2025-02-01 07:48:00,61.6,5.98,16.43,3.286
241,1,2025-02-01 08:00:00,76.8,6.87,5.49,1.098
242,2,2025-02-01 08:00:00,82.2,7.94,4.82,0.964
243,3,2025-02-01 08:00:00,70.5,1.07,6.27,1.254
244,4,2025-02-01 08:00:00,54.4,7.87,8.81,1.762
245,5,2025-02-01 08:00:00,73.1,0.37,8.48,1.696
246,6,2025-02-01 08:00:00,97.7,4.06,5.96,1.192
247,7,2025-02-01 08:00:00,81.4,1.19,17.47,3.494
248,8,2025-02-01 08:00:00,45.3,2.86,17.51,3.502
249,9,2025-02-01 08:00:00,57.8,7.33,10.48,2.096
250,10,2025-02-01 08:00:00,51.2,7.78,13.78,2.756
251,11,2025-02-01 08:00:00,93.8,7.14,9.34,1.868
252,12,2025-02-01 08:00:00,71.4,6.23,20.83,4.166
253,13,2025-02-01 08:00:00,89.2,1.98,27.52,5.504
254,14,2025-02-01 08:00:00,59.4,6.65,28.4,5.68
255,15,2025-02-01 08:00:00,62.2,7.76,20.06,4.012
256,16,2025-02-01 08:00:00,91.8,3.01,12.67,2.534
257,1,2025-02-01 08:12:00,55.7,3.6,6.94,1.388
258,2,2025-02-01 08:12:00,47.8,5.82,10.2,2.04
259,3,2025-02-01 08:12:00,52.5,3.27,12.59,2.518
260,4,2025-02-01 08:12:00,81.0,6.54,12.1,2.42
261,5,2025-02-01 08:12:00,58.3,7.44,10.74,2.148
262,6,2025-02-01 08:12:00,88.2,1.7,9.56,1.912
263,7,2025-02-01 08:12:00,79.4,6.55,16.35,3.27
264,8,2025-02-01 08:12:00,58.7,5.66,11.36,2.272
265,9,2025-02-01 08:12:00,65.8,5.92,7.04,1.408
266,10,2025-02-01 08:12:00,40.8,4.75,14.83,2.966
267,11,2025-02-01 08:12:00,54.9,3.23,24.21,4.842
268,12,2025-02-01 08:12:00,71.5,4.64,18.05,3.61
269,13,2025-02-01 08:12:00,88.6,6.57,12.45,2.49
270,14,2025-02-01 08:12:00,51.9,3.21,28.26,5.652
271,15,2025-02-01 08:12:00,38.8,0.67,9.11,1.822
272,16,2025-02-01 08:12:00,95.5,2.51,28.78,5.756
273,1,2025-02-01 08:24:00,68.9,4.75,10.36,2.072
274,2,2025-02-01 08:24:00,58.2,5.69,7.65,1.53
275,3,2025-02-01 08:24:00,43.6,6.44,8.11,1.622
276,4,2025-02-01 08:24:00,86.5,0.64,7.79,1.558
277,5,2025-02-01 08:24:00,92.6,5.92,16.59,3.318
278,6,2025-02-01 08:24:00,51.1,5.29,7.51,1.502
279,7,2025-02-01 08:24:00,44.5,4.01,10.98,2.196
280,8,2025-02-01 08:24:00,69.1,5.68,12.41,2.482
281,9,2025-02-01 08:24:00,42.9,2.0,15.91,3.182
282,10,2025-02-01 08:24:00,44.0,3.9,21.26,4.252
283,11,2025-02-01 08:24:00,92.8,4.44,22.78,4.556
284,12,2025-02-01 08:24:00,48.4,7.35,15.71,3.142
285,13,2025-02-01 08:24:00,69.8,7.98,16.01,3.202
286,14,2025-02-01 08:24:00,56.9,6.48,15.16,3.032
287,15,2025-02-01 08:24:00,86.4,6.07,30.21,6.042
288,16,2025-02-01 08:24:00,73.0,6.54,19.0,3.8
289,1,2025-02-01 08:36:00,39.2,5.54,11.59,2.318
290,2,2025-02-01 08:36:00,83.0,0.2,12.65,2.53
291,3,2025-02-01 08:36:00,76.5,5.9,13.77,2.754
292,4,2025-02-01 08:36:00,82.4,4.17,15.8,3.16
293,5,2025-02-01 08:36:00,58.5,3.77,14.3,2.86
294,6,2025-02-01 08:36:00,79.2,6.77,14.47,2.894
295,7,2025-02-01 08:36:00,62.2,7.2,16.18,3.236
296,8,2025-02-01 08:36:00,42.4,5.37,13.19,2.638
297,9,2025-02-01 08:36:00,95.9,4.32,17.48,3.496
298,10,2025-02-01 08:36:00,58.8,4.43,23.01,4.602
299,11,2025-02-01 08:36:00,88.7,0.41,11.68,2.336
300,12,2025-02-01 08:36:00,84.3,0.74,11.64,2.328
301,13,2025-02-01 08:36:00,82.8,7.46,9.41,1.882
302,14,2025-02-01 08:36:00,86.3,1.12,12.04,2.408
303,15,2025-02-01 08:36:00,42.9,6.17,9.15,1.83
304,16,2025-02-01 08:36:00,68.7,5.09,16.75,3.35
305,1,2025-02-01 08:48:00,61.2,7.18,4.45,0.89
306,2,2025-02-01 08:48:00,82.6,6.34,10.54,2.108
307,3,2025-02-01 08:48:00,76.0,1.9,11.87,2.374
308,4,2025-02-01 08:48:00,35.5,6.47,5.74,1.148
309,5,2025-02-01 08:48:00,82.0,7.57,7.05,1.41
310,6,2025-02-01 08:48:00,59.9,3.51,17.37,3.474
311,7,2025-02-01 08:48:00,97.2,0.9,13.39,2.678
312,8,2025-02-01 08:48:00,46.6,4.35,13.69,2.738
313,9,2025-02-01 08:48:00,42.2,6.21,16.77,3.354
314,10,2025-02-01 08:48:00,40.1,4.13,9.15,1.83
315,11,2025-02-01 08:48:00,45.5,1.21,14.56,2.912
316,12,2025-02-01 08:48:00,87.1,1.16,24.08,4.816
317,13,2025-02-01 08:48:00,56.2,0.33,19.08,3.816
318,14,2025-02-01 08:48:00,56.0,0.86,16.16,3.232
319,15,2025-02-01 08:48:00,79.5,3.28,11.08,2.216
320,16,2025-02-01 08:48:00,49.8,1.99,23.72,4.744
321,1,2025-02-01 09:00:00,53.6,4.9,4.44,0.888
322,2,2025-02-01 09:00:00,63.8,0.52,9.55,1.91
323,3,2025-02-01 09:00:00,68.8,5.82,10.85,2.17
324,4,2025-02-01 09:00:00,75.8,2.83,14.65,2.93
325,5,2025-02-01 09:00:00,94.9,0.54,12.0,2.4
326,6,2025-02-01 09:00:00,60.4,3.99,7.58,1.516
327,7,2025-02-01 09:00:00,84.7,1.39,8.94,1.788
328,8,2025-02-01 09:00:00,80.3,4.65,19.16,3.832
329,9,2025-02-01 09:00:00,38.6,4.73,19.08,3.816
330,10,2025-02-01 09:00:00,37.1,3.27,16.16,3.232
331,11,2025-02-01 09:00:00,70.0,6.96,19.76,3.952
332,12,2025-02-01 09:00:00,85.9,3.25,12.41,2.482
333,13,2025-02-01 09:00:00,51.3,5.55,27.51,5.502
334,14,2025-02-01 09:00:00,44.4,6.83,17.21,3.442
335,15,2025-02-01 09:00:00,37.9,2.61,21.27,4.254
336,16,2025-02-01 09:00:00,77.3,0.53,18.49,3.698
337,1,2025-02-01 09:12:00,90.9,7.8,10.76,2.152
338,2,2025-02-01 09:12:00,55.6,5.75,6.12,1.224
339,3,2025-02-01 09:12:00,62.9,0.7,7.76,1.552
340,4,2025-02-01 09:12:00,62.4,4.16,14.36,2.872
341,5,2025-02-01 09:12:00,58.4,5.26,8.91,1.782
342,6,2025-02-01 09:12:00,50.8,2.3,8.77,1.754
343,7,2025-02-01 09:12:00,40.6,2.68,10.85,2.17
344,8,2025-02-01 09:12:00,55.2,5.42,11.49,2.298
345,9,2025-02-01 09:12:00,44.6,4.19,20.26,4.052
346,10,2025-02-01 09:12:00,74.0,4.62,23.85,4.77
347,11,2025-02-01 09:12:00,51.7,1.0,21.79,4.358
348,12,2025-02-01 09:12:00,85.8,6.32,21.83,4.366
349,13,2025-02-01 09:12:00,88.9,5.24,16.18,3.236
350,14,2025-02-01 09:12:00,41.4,1.37,25.7,5.14
351,15,2025-02-01 09:12:00,46.1,2.79,14.65,2.93
352,16,2025-02-01 09:12:00,42.7,3.53,16.08,3.216
353,1,2025-02-01 09:24:00,69.0,6.45,3.56,0.712
354,2,2025-02-01 09:24:00,35.7,6.77,10.5,2.1
355,3,2025-02-01 09:24:00,54.6,3.23,6.36,1.272
356,4,2025-02-01 09:24:00,97.6,8.04,13.77,2.754
357,5,2025-02-01 09:24:00,57.5,5.67,16.81,3.362
358,6,2025-02-01 09:24:00,61.2,4.94,14.28,2.856
359,7,2025-02-01 09:24:00,36.9,6.42,19.74,3.948
360,8,2025-02-01 09:24:00,39.1,2.09,16.1,3.22
361,9,2025-02-01 09:24:00,96.5,2.9,11.41,2.282
362,10,2025-02-01 09:24:00,36.6,3.8,9.87,1.974
363,11,2025-02-01 09:24:00,96.2,6.35,7.77,1.554
364,12,2025-02-01 09:24:00,35.7,1.3,16.2,3.24
365,13,2025-02-01 09:24:00,38.5,0.39,9.04,1.808
366,14,2025-02-01 09:24:00,93.7,6.79,10.8,2.16
367,15,2025-02-01 09:24:00,96.6,0.97,23.55,4.71
368,16,2025-02-01 09:24:00,59.2,3.73,14.7,2.94
369,1,2025-02-01 09:36:00,70.2,7.95,6.39,1.278
370,2,2025-02-01 09:36:00,41.6,6.64,9.54,1.908
371,3,2025-02-01 09:36:00,93.5,7.69,12.13,2.426
372,4,2025-02-01 09:36:00,69.6,2.19,10.36,2.072
373,5,2025-02-01 09:36:00,90.0,4.3,8.94,1.788
374,6,2025-02-01 09:36:00,67.6,1.56,9.23,1.846
375,7,2025-02-01 09:36:00,61.4,2.78,12.04,2.408
376,8,2025-02-01 09:36:00,79.2,3.66,21.27,4.254
377,9,2025-02-01 09:36:00,60.6,7.23,18.25,3.65
378,10,2025-02-01 09:36:00,96.3,0.39,9.44,1.888
379,11,2025-02-01 09:36:00,72.2,6.34,22.51,4.502
380,12,2025-02-01 09:36:00,48.4,7.56,25.43,5.086
381,13,2025-02-01 09:36:00,71.5,5.13,21.09,4.218
382,14,2025-02-01 09:36:00,53.3,3.3,19.11,3.822
383,15,2025-02-01 09:36:00,35.1,3.99,16.02,3.204
384,16,2025-02-01 09:36:00,43.2,5.88,19.81,3.962
385,1,2025-02-01 09:48:00,90.7,5.7,11.45,2.29
386,2,2025-02-01 09:48:00,96.3,7.27,11.8,2.36
387,3,2025-02-01 09:48:00,89.5,4.04,8.81,1.762
388,4,2025-02-01 09:48:00,37.8,7.6,11.6,2.32
389,5,2025-02-01 09:48:00,61.9,3.59,14.66,2.932
390,6,2025-02-01 09:48:00,95.4,0.54,7.34,1.468
391,7,2025-02-01 09:48:00,84.2,5.84,8.44,1.688
392,8,2025-02-01 09:48:00,94.3,6.5,9.31,1.862
393,9,2025-02-01 09:48:00,42.8,2.74,22.71,4.542
394,10,2025-02-01 09:48:00,72.3,5.65,15.78,3.156
395,11,2025-02-01 09:48:00,40.6,2.32,18.27,3.654
396,12,2025-02-01 09:48:00,73.4,1.41,16.13,3.226
397,13,2025-02-01 09:48:00,38.5,3.18,23.79,4.758
398,14,2025-02-01 09:48:00,76.5,0.24,12.71,2.542
399,15,2025-02-01 09:48:00,84.6,0.44,24.77,4.954
400,16,2025-02-01 09:48:00,76.0,1.95,17.61,3.522
401,1,2025-02-01 10:00:00,44.0,7.64,8.25,1.65
402,2,2025-02-01 10:00:00,43.6,7.85,6.56,1.312
403,3,2025-02-01 10:00:00,57.3,3.12,14.51,2.902
404,4,2025-02-01 10:00:00,52.1,5.76,13.34,2.668
405,5,2025-02-01 10:00:00,66.4,6.4,16.84,3.368
406,6,2025-02-01 10:00:00,68.3,3.33,8.63,1.726
407,7,2025-02-01 10:00:00,96.3,6.08,9.25,1.85
408,8,2025-02-01 10:00:00,85.5,0.26,10.23,2.046
409,9,2025-02-01 10:00:00,37.5,0.6,19.78,3.956
410,10,2025-02-01 10:00:00,81.3,7.78,7.85,1.57
411,11,2025-02-01 10:00:00,97.3,2.51,9.69,1.938
412,12,2025-02-01 10:00:00,46.2,5.33,16.62,3.324
413,13,2025-02-01 10:00:00,43.9,4.73,12.78,2.556
414,14,2025-02-01 10:00:00,86.0,7.82,11.03,2.206
415,15,2025-02-01 10:00:00,90.6,4.83,10.99,2.198
416,16,2025-02-01 10:00:00,75.5,4.96,31.27,6.254
417,1,2025-02-01 10:12:00,50.0,5.11,6.25,1.25
418,2,2025-02-01 10:12:00,65.2,5.08,4.41,0.882
419,3,2025-02-01 10:12:00,86.9,3.73,10.09,2.018
420,4,2025-02-01 10:12:00,44.7,1.13,8.3,1.66
421,5,2025-02-01 10:12:00,35.0,2.33,13.3,2.66
422,6,2025-02-01 10:12:00,97.8,3.08,7.18,1.436
