pa_nr,masch_id,schicht_id,teil_nr,plan_stk,ist_stk,ausbeute_pct,start_dat,stat
36,16,36,T0036,5,5,100.0,2025-03-22,fertig
37,7,37,T0037,4,4,100.0,2025-03-12,abbruch
38,12,38,T0038,3,1,33.3,2025-02-07,läuft
39,15,39,T0039,9,9,100.0,2025-03-14,abbruch
40,13,40,T0040,10,10,100.0,2025-02-22,fertig
41,13,41,T0041,7,4,57.1,2025-03-24,läuft
42,12,42,T0042,10,10,100.0,2025-03-29,läuft
43,4,43,T0043,5,5,100.0,2025-02-07,abbruch
44,15,44,T0044,6,3,50.0,2025-04-10,fertig
45,12,45,T0045,7,7,100.0,2025-03-23,abbruch
46,9,46,T0046,9,9,100.0,2025-04-28,läuft
47,9,47,T0047,3,3,100.0,2025-04-04,fertig
48,3,48,T0048,3,3,100.0,2025-02-06,abbruch
49,14,1,T0049,3,3,100.0,2025-02-24,fertig
50,6,2,T0050,4,4,100.0,2025-03-12,läuft
51,10,3,T0051,4,3,75.0,2025-04-02,läuft
52,16,4,T0052,8,8,100.0,2025-04-17,fertig
53,5,5,T0053,3,3,100.0,2025-02-10,läuft
54,16,6,T0054,9,9,100.0,2025-04-25,läuft
55,2,7,T0055,5,5,100.0,2025-03-04,abbruch
56,10,8,T0056,3,3,100.0,2025-04-10,läuft
57,16,,T0057,4,4,100.0,2025-03-27,läuft
58,13,10,T0058,10,10,100.0,2025-03-22,abbruch
59,15,11,T0059,3,0,0.0,2025-04-27,fertig
60,6,12,T0060,5,5,100.0,2025-03-21,abbruch
61,2,13,T0061,4,4,100.0,2025-04-10,läuft
62,12,14,T0062,4,2,50.0,2025-02-15,fertig
63,9,15,T0063,7,2,28.6,2025-04-18,läuft
64,1,16,T0064,5,5,100.0,2025-04-17,abbruch
65,2,17,T0065,4,4,100.0,2025-04-12,abbruch
66,11,18,T0066,10,10,100.0,2025-02-06,abbruch
67,13,,T0067,6,0,0.0,2025-04-18,fertig
68,2,20,T0068,9,9,100.0,2025-04-15,abbruch
69,1,21,T0069,4,4,100.0,2025-03-01,abbruch
70,5,22,T0070,9,9,100.0,2025-03-21,abbruch
71,6,23,T0071,9,9,100.0,2025-03-12,abbruch
72,3,24,T0072,7,7,100.0,2025-03-17,fertig
73,1,25,T0073,9,9,100.0,2025-03-03,läuft
74,15,26,T0074,7,7,100.0,2025-03-01,läuft
75,12,27,T0075,6,6,100.0,2025-03-21,fertig
76,16,28,T0076,7,7,100.0,2025-04-14,abbruch
77,10,29,T0077,7,7,100.0,2025-02-16,läuft
78,10,30,T0078,8,0,0.0,2025-03-24,läuft
79,7,31,T0079,8,8,100.0,2025-02-09,fertig
80,7,32,T0080,9,9,100.0,2025-04-01,fertig
81,12,33,T0081,3,3,100.0,2025-03-08,fertig
82,16,34,T0082,3,3,100.0,2025-04-11,läuft
83,1,35,T0083,6,3,50.0,2025-04-05,abbruch
84,16,,T0084,8,7,87.5,2025-02-22,läuft
85,8,37,T0085,7,0,0.0,2025-03-24,abbruch
86,15,38,T0086,5,5,100.0,2025-03-15,abbruch
87,2,39,T0087,10,10,100.0,2025-03-10,abbruch
88,1,40,T0088,8,1,12.5,2025-03-02,fertig
89,11,41,T0089,7,7,100.0,2025-02-11,fertig
90,12,42,T0090,4,4,100.0,2025-02-15,fertig
91,9,43,T0091,6,6,100.0,2025-02-04,läuft
92,10,44,T0092,5,5,100.0,2025-04-29,fertig
93,4,45,T0093,3,3,100.0,2025-04-30,abbruch
94,10,46,T0094,7,7,100.0,2025-02-26,fertig
95,16,47,T0095,6,1,16.7,2025-04-11,läuft
96,6,48,T0096,10,10,100.0,2025-02-25,abbruch
97,15,1,T0097,7,7,100.0,2025-03-12,abbruch
98,2,2,T0098,4,4,100.0,2025-02-08,läuft
99,15,3,T0099,5,5,100.0,2025-04-13,fertig
100,3,4,T0100,3,3,100.0,2025-04-09,fertig
101,12,5,T0101,4,4,100.0,2025-04-24,abbruch
102,11,6,T0102,6,6,100.0,2025-04-10,läuft
103,8,7,T0103,7,2,28.6,2025-02-24,fertig
104,5,8,T0104,5,1,20.0,2025-04-22,läuft
105,12,,T0105,8,8,100.0,2025-04-22,läuft
106,1,10,T0106,10,10,100.0,2025-03-28,läuft
107,1,11,T0107,5,5,100.0,2025-02-19,läuft
108,8,12,T0108,4,4,100.0,2025-02-17,läuft
109,11,13,T0109,8,8,100.0,2025-02-16,fertig
110,2,14,T0110,3,3,100.0,2025-03-13,abbruch
111,16,15,T0111,4,4,100.0,2025-04-28,fertig
112,6,16,T0112,10,5,50.0,2025-03-08,fertig
113,4,17,T0113,8,3,37.5,2025-03-31,fertig
114,3,18,T0114,10,6,60.0,2025-02-13,läuft
115,5,19,T0115,9,9,100.0,2025-03-12,abbruch
116,15,20,T0116,6,6,100.0,2025-03-20,fertig
117,13,21,T0117,3,3,100.0,2025-04-29,läuft
118,8,22,T0118,8,8,100.0,2025-04-12,fertig
119,8,23,T0119,8,8,100.0,2025-02-10,fertig
120,7,24,T0120,7,7,100.0,2025-02-25,abbruch
121,16,,T0121,4,4,100.0,2025-04-16,fertig
122,12,26,T0122,9,9,100.0,2025-03-26,abbruch
123,6,27,T0123,6,6,100.0,2025-02-13,abbruch
124,15,28,T0124,8,1,12.5,2025-02-27,abbruch
125,12,29,T0125,8,7,87.5,2025-04-10,fertig
126,1,30,T0126,6,6,100.0,2025-02-16,läuft
127,4,31,T0127,5,5,100.0,2025-04-21,abbruch
128,13,32,T0128,3,3,100.0,2025-02-02,läuft
129,1,33,T0129,3,3,100.0,2025-02-21,abbruch
130,4,34,T0130,6,2,33.3,2025-04-01,fertig
131,13,35,T0131,3,3,100.0,2025-02-27,läuft
132,1,36,T0132,8,8,100.0,2025-03-25,abbruch
133,14,37,T0133,6,6,100.0,2025-04-02,fertig
134,11,38,T0134,7,7,100.0,2025-02-01,läuft
135,14,39,T0135,10,10,100.0,2025-02-16,läuft
136,6,40,T0136,3,3,100.0,2025-02-03,läuft
137,7,41,T0137,6,6,100.0,2025-04-27,fertig
138,14,42,T0138,7,7,100.0,2025-03-02,läuft
139,14,43,T0139,4,2,50.0,2025-02-27,fertig
140,6,44,T0140,10,10,100.0,2025-04-24,fertig
141,4,45,T0141,5,5,100.0,2025-03-20,abbruch
142,16,46,T0142,9,9,100.0,2025-04-12,fertig
143,2,47,T0143,8,8,100.0,2025-02-17,läuft
144,15,48,T0144,8,8,100.0,2025-02-18,fertig
145,4,1,T0145,6,6,100.0,2025-04-21,läuft
146,11,2,T0146,10,4,40.0,2025-03-14,fertig
147,6,3,T0147,5,5,100.0,2025-02-18,abbruch
148,9,4,T0148,9,9,100.0,2025-03-12,fertig
149,7,5,T0149,9,9,100.0,2025-02-15,läuft
150,7,6,T0150,7,1,14.3,2025-02-16,fertig
151,3,7,T0151,7,7,100.0,2025-02-08,abbruch
152,7,8,T0152,7,7,100.0,2025-02-25,fertig
153,9,9,T0153,6,6,100.0,2025-02-21,fertig
154,3,10,T0154,4,4,100.0,2025-03-13,läuft
155,12,11,T0155,8,8,100.0,2025-02-11,fertig
156,16,12,T0156,9,9,100.0,2025-03-04,fertig
157,16,13,T0157,8,8,100.0,2025-03-03,abbruch
158,6,14,T0158,6,6,100.0,2025-03-30,abbruch
159,9,15,T0159,5,5,100.0,2025-04-22,läuft
160,7,16,T0160,7,7,100.0,2025-03-03,abbruch
161,13,17,T0161,4,4,100.0,2025-04-20,fertig
162,5,18,T0162,10,3,30.0,2025-02-04,abbruch
163,6,19,T0163,4,4,100.0,2025-02-05,fertig
164,3,20,T0164,9,5,55.6,2025-04-25,fertig
165,15,21,T0165,3,3,100.0,2025-03-19,fertig
166,4,22,T0166,4,4,100.0,2025-04-16,fertig
167,8,23,T0167,10,10,100.0,2025-04-29,abbruch
168,1,24,T0168,10,10,100.0,2025-04-28,abbruch
169,10,25,T0169,10,10,100.0,2025-03-16,abbruch
170,12,26,T0170,10,10,100.0,2025-02-04,fertig
171,2,27,T0171,6,4,66.7,2025-03-17,fertig
172,13,28,T0172,7,7,100.0,2025-04-06,läuft
173,9,29,T0173,9,9,100.0,2025-02-12,fertig
174,15,30,T0174,6,6,100.0,2025-02-26,läuft
175,12,31,T0175,4,4,100.0,2025-02-25,läuft
176,12,32,T0176,5,5,100.0,2025-04-25,läuft
177,10,33,T0177,8,8,100.0,2025-03-23,läuft
178,3,34,T0178,10,10,100.0,2025-04-09,abbruch
179,16,35,T0179,10,10,100.0,2025-02-16,fertig
180,14,36,T0180,10,10,100.0,2025-02-17,abbruch
181,11,37,T0181,5,5,100.0,2025-04-26,läuft
182,5,38,T0182,4,4,100.0,2025-02-02,läuft
183,2,39,T0183,10,10,100.0,2025-03-22,abbruch
184,16,40,T0184,10,10,100.0,2025-02-09,läuft
185,10,41,T0185,7,7,100.0,2025-04-06,fertig
186,5,42,T0186,3,3,100.0,2025-03-01,läuft
187,13,43,T0187,7,4,57.1,2025-02-05,abbruch
188,7,44,T0188,10,10,100.0,2025-02-08,abbruch
189,13,45,T0189,8,8,100.0,2025-04-25,läuft
190,15,46,T0190,4,4,100.0,2025-02-13,läuft
191,9,47,T0191,3,3,100.0,2025-02-24,läuft
192,3,48,T0192,5,5,100.0,2025-04-27,fertig
193,2,1,T0193,7,6,85.7,2025-02-01,läuft
194,11,2,T0194,8,8,100.0,2025-04-08,fertig
195,10,,T0195,3,3,100.0,2025-03-25,fertig
196,13,4,T0196,5,5,100.0,2025-03-10,fertig
197,9,5,T0197,3,3,100.0,2025-03-01,fertig
198,8,6,T0198,3,3,100.0,2025-02-20,abbruch
199,1,7,T0199,6,6,100.0,2025-02-21,abbruch
200,3,8,T0200,5,5,100.0,2025-02-15,fertig
201,16,9,T0201,6,6,100.0,2025-03-20,abbruch
202,5,10,T0202,4,4,100.0,2025-04-27,fertig
203,16,11,T0203,4,4,100.0,2025-04-03,abbruch
204,5,12,T0204,8,8,100.0,2025-03-31,läuft
205,5,13,T0205,9,4,44.4,2025-03-07,fertig
206,10,14,T0206,8,8,100.0,2025-03-27,läuft
207,16,15,T0207,7,7,100.0,2025-04-28,läuft
208,1,16,T0208,4,2,50.0,2025-03-25,abbruch
209,6,17,T0209,9,9,100.0,2025-04-12,abbruch
210,14,18,T0210,9,9,100.0,2025-04-25,läuft
211,13,19,T0211,5,5,100.0,2025-03-30,fertig
212,11,20,T0212,10,10,100.0,2025-02-09,abbruch
213,10,21,T0213,8,8,100.0,2025-02-28,läuft
214,13,22,T0214,5,2,40.0,2025-04-11,abbruch
215,15,23,T0215,7,7,100.0,2025-03-21,fertig
216,10,24,T0216,10,10,100.0,2025-04-20,abbruch
217,4,25,T0217,4,0,0.0,2025-03-12,läuft
218,15,26,T0218,10,10,100.0,2025-04-24,abbruch
219,1,27,T0219,5,5,100.0,2025-04-05,fertig
220,11,,T0220,10,10,100.0,2025-04-07,abbruch
221,1,29,T0221,5,5,100.0,2025-03-20,fertig
222,16,30,T0222,9,9,100.0,2025-03-13,läuft
223,11,31,T0223,4,4,100.0,2025-04-21,fertig
224,3,32,T0224,5,5,100.0,2025-03-30,fertig
225,2,33,T0225,5,2,40.0,2025-02-03,abbruch
226,5,34,T0226,5,2,40.0,2025-02-27,abbruch
227,7,35,T0227,7,7,100.0,2025-04-30,abbruch
228,3,36,T0228,7,7,100.0,2025-05-02,abbruch
229,9,37,T0229,8,8,100.0,2025-02-17,abbruch
230,7,38,T0230,5,5,100.0,2025-03-19,fertig
231,12,39,T0231,10,10,100.0,2025-02-26,läuft
232,1,40,T0232,6,6,100.0,2025-04-12,fertig
233,2,41,T0233,6,4,66.7,2025-03-29,läuft
234,7,42,T0234,7,7,100.0,2025-04-15,abbruch
235,2,43,T0235,5,5,100.0,2025-04-04,abbruch
236,11,44,T0236,5,5,100.0,2025-03-24,abbruch
237,16,45,T0237,6,6,100.0,2025-04-30,fertig
238,14,46,T0238,8,8,100.0,2025-02-08,fertig
239,7,47,T0239,4,4,100.0,2025-04-02,abbruch
240,13,48,T0240,8,8,100.0,2025-03-27,abbruch
241,14,1,T0241,8,8,100.0,2025-03-06,läuft
242,13,2,T0242,10,10,100.0,2025-02-13,fertig
243,4,,T0243,7,7,100.0,2025-04-14,läuft
244,15,4,T0244,8,8,100.0,2025-04-01,abbruch
245,5,,T0245,8,5,62.5,2025-02-12,abbruch
246,8,6,T0246,6,6,100.0,2025-02-03,läuft
247,6,7,T0247,5,5,100.0,2025-02-14,fertig
248,15,8,T0248,5,3,60.0,2025-03-18,abbruch
249,5,9,T0249,7,7,100.0,2025-03-12,läuft
250,12,10,T0250,9,9,100.0,2025-03-22,läuft
251,9,11,T0251,5,0,0.0,2025-02-17,läuft
252,12,12,T0252,3,2,66.7,2025-04-05,fertig
253,10,13,T0253,9,9,100.0,2025-03-27,fertig
254,10,14,T0254,3,3,100.0,2025-03-03,fertig
255,6,15,T0255,10,10,100.0,2025-02-10,läuft
256,7,16,T0256,9,9,100.0,2025-02-22,fertig
257,13,17,T0257,9,9,100.0,2025-04-13,läuft
258,10,18,T0258,10,4,40.0,2025-04-11,läuft
259,7,19,T0259,5,5,100.0,2025-03-05,abbruch
260,16,,T0260,4,4,100.0,2025-03-13,läuft
261,11,21,T0261,4,4,100.0,2025-03-23,abbruch
262,15,22,T0262,5,5,100.0,2025-03-05,läuft
263,11,23,T0263,7,7,100.0,2025-02-03,abbruch
264,3,24,T0264,6,4,66.7,2025-02-24,fertig
265,3,25,T0265,4,0,0.0,2025-02-13,abbruch
266,5,26,T0266,8,8,100.0,2025-03-04,läuft
267,15,27,T0267,4,2,50.0,2025-03-11,fertig
268,15,28,T0268,5,3,60.0,2025-04-08,läuft
269,13,29,T0269,7,7,100.0,2025-04-16,fertig
270,5,30,T0270,7,7,100.0,2025-04-09,fertig
271,11,31,T0271,3,3,100.0,2025-04-26,abbruch
272,6,32,T0272,8,8,100.0,2025-04-10,fertig
273,13,33,T0273,10,10,100.0,2025-02-05,läuft
274,12,34,T0274,7,1,14.3,2025-04-29,abbruch
275,7,35,T0275,7,5,71.4,2025-02-18,abbruch
276,15,36,T0276,9,9,100.0,2025-02-27,fertig
277,7,37,T0277,5,5,100.0,2025-02-28,abbruch
278,14,38,T0278,9,9,100.0,2025-02-21,fertig
279,5,39,T0279,7,1,14.3,2025-04-11,abbruch
280,8,,T0280,9,9,100.0,2025-03-29,abbruch
