wart_id,masch_id,am,art,dauer_min,kosten
137,9,2026-01-16,Reparatur,56,1859.3
138,10,2026-01-19,Reparatur,42,2756.7
139,11,2026-01-22,Reparatur,356,657.53
140,12,2026-01-25,Inspektion,349,435.0
141,13,2026-01-28,Schmierung,148,71.46
142,14,2026-01-31,Inspektion,27,1266.99
143,15,2026-02-03,Reparatur,238,2522.88
144,16,2026-02-06,Schmierung,135,2195.92
145,1,2026-02-09,Reparatur,182,1433.89
146,2,2026-02-12,Schmierung,181,599.3
147,3,2026-02-15,Schmierung,70,1497.4
148,4,2026-02-18,Schmierung,93,1229.66
149,5,2026-02-21,Schmierung,241,568.59
150,6,2026-02-24,Schmierung,360,1876.51
151,7,2026-02-27,Inspektion,397,1596.46
152,8,2026-03-02,Inspektion,131,379.66
153,9,2026-03-05,Schmierung,280,1067.44
154,10,2026-03-08,Schmierung,342,958.28
155,11,2026-03-11,Schmierung,152,985.2
156,12,2026-03-14,Schmierung,169,2138.95
157,13,2026-03-17,Inspektion,396,126.69
158,14,2026-03-20,Schmierung,88,2894.36
159,15,2026-03-23,Inspektion,347,1169.52
160,16,2026-03-26,Schmierung,321,1578.3
161,1,2026-03-29,Inspektion,110,1770.21
162,2,2026-04-01,Inspektion,216,2998.04
163,3,2026-04-04,Schmierung,50,2119.42
164,4,2026-04-07,Inspektion,393,1063.88
165,5,2026-04-10,Reparatur,230,1594.0
166,6,2026-04-13,Inspektion,165,185.74
167,7,2026-04-16,Inspektion,142,1337.66
168,8,2026-04-19,Inspektion,275,1814.97
169,9,2026-04-22,Schmierung,271,1191.89
170,10,2026-04-25,Reparatur,247,166.64
171,11,2026-04-28,Schmierung,214,1753.95
172,12,2026-05-01,Inspektion,88,3004.45
173,13,2026-05-04,Reparatur,317,2241.55
174,14,2026-05-07,Inspektion,308,735.19
175,15,2026-05-10,Inspektion,244,216.63
176,16,2026-05-13,Reparatur,356,349.92
177,1,2026-05-16,Inspektion,38,1561.02
178,2,2026-05-19,Reparatur,91,498.83
179,3,2026-05-22,Schmierung,108,2424.53
180,4,2026-05-25,Reparatur,163,548.96
181,5,2026-05-28,Reparatur,310,2285.95
182,6,2026-05-31,Inspektion,100,2568.49
183,7,2026-06-03,Reparatur,33,3088.87
184,8,2026-06-06,Reparatur,94,72.85
185,9,2026-06-09,Schmierung,390,2554.61
186,10,2026-06-12,Inspektion,392,2855.96
187,11,2026-06-15,Schmierung,87,103.37
188,12,2026-06-18,Schmierung,68,2972.82
189,13,2026-06-21,Schmierung,23,1549.23
190,14,2026-06-24,Inspektion,65,524.42
191,15,2026-06-27,Schmierung,180,2260.1
192,16,2026-06-30,Schmierung,351,306.13
193,1,2026-07-03,Schmierung,309,862.9
194,2,2026-07-06,Reparatur,24,2777.69
195,3,2026-07-09,Reparatur,95,2946.38
196,4,2026-07-12,Schmierung,106,727.3
197,5,2026-07-15,Inspektion,121,1584.77
198,6,2026-07-18,Schmierung,389,186.8
199,7,2026-07-21,Schmierung,308,1105.74
200,8,2026-07-24,Inspektion,175,2574.2
