stoer_id,masch_id,aufgetreten,code,prio,dauer_min,behoben_kz
66,8,2025-02-06 17:00:00,E12,k,285,true
67,1,2025-02-06 19:00:00,E01,k,143,true
68,6,2025-02-06 21:00:00,E01,h,28,true
69,9,2025-02-06 23:00:00,E01,k,230,true
70,4,2025-02-07 01:00:00,E12,h,31,true
71,7,2025-02-07 03:00:00,E90,k,284,true
72,3,2025-02-07 05:00:00,E90,k,298,true
73,12,2025-02-07 07:00:00,??,n,177,true
74,7,2025-02-07 09:00:00,E90,n,148,true
75,14,2025-02-07 11:00:00,??,n,288,true
76,3,2025-02-07 13:00:00,E44,n,36,false
77,16,2025-02-07 15:00:00,E12,n,287,true
78,6,2025-02-07 17:00:00,E20,n,222,true
79,9,2025-02-07 19:00:00,E44,k,264,true
80,8,2025-02-07 21:00:00,E12,h,79,true
81,10,2025-02-07 23:00:00,E44,k,286,true
82,16,2025-02-08 01:00:00,E01,h,262,true
83,10,2025-02-08 03:00:00,E20,n,193,true
84,12,2025-02-08 05:00:00,E20,k,190,false
85,2,2025-02-08 07:00:00,E90,n,83,true
86,1,2025-02-08 09:00:00,E44,h,42,true
87,16,2025-02-08 11:00:00,E20,k,58,true
88,15,2025-02-08 13:00:00,E01,k,268,true
89,3,2025-02-08 15:00:00,E20,h,51,true
90,3,2025-02-08 17:00:00,E12,n,66,false
91,13,2025-02-08 19:00:00,E44,n,56,true
92,3,2025-02-08 21:00:00,E44,k,149,false
93,11,2025-02-08 23:00:00,E01,h,58,false
94,10,2025-02-09 01:00:00,E01,k,282,false
95,14,2025-02-09 03:00:00,E20,h,182,true
96,10,2025-02-09 05:00:00,E01,h,266,true
97,12,2025-02-09 07:00:00,E44,k,97,true
98,2,2025-02-09 09:00:00,E20,n,294,true
99,11,2025-02-09 11:00:00,??,k,163,true
100,4,2025-02-09 13:00:00,E20,k,200,true
101,14,2025-02-09 15:00:00,E20,n,71,true
102,8,2025-02-09 17:00:00,??,n,32,true
103,3,2025-02-09 19:00:00,E44,n,197,true
104,6,2025-02-09 21:00:00,??,k,18,true
105,4,2025-02-09 23:00:00,E01,h,116,false
106,1,2025-02-10 01:00:00,E20,k,298,true
107,4,2025-02-10 03:00:00,E20,n,182,true
108,14,2025-02-10 05:00:00,E01,h,83,true
109,11,2025-02-10 07:00:00,E90,n,262,true
110,2,2025-02-10 09:00:00,E90,k,55,true
111,4,2025-02-10 11:00:00,E20,n,180,true
112,11,2025-02-10 13:00:00,??,n,286,true
113,11,2025-02-10 15:00:00,E20,k,5,true
114,3,2025-02-10 17:00:00,E90,h,28,true
115,8,2025-02-10 19:00:00,E01,k,125,true
116,7,2025-02-10 21:00:00,E20,k,92,true
117,10,2025-02-10 23:00:00,??,k,166,true
118,8,2025-02-11 01:00:00,??,n,145,false
119,1,2025-02-11 03:00:00,??,k,270,true
120,14,2025-02-11 05:00:00,E20,k,34,false
121,13,2025-02-11 07:00:00,E90,n,147,true
122,6,2025-02-11 09:00:00,E44,n,249,false
123,2,2025-02-11 11:00:00,E12,k,278,true
124,14,2025-02-11 13:00:00,E44,h,231,true
125,16,2025-02-11 15:00:00,E12,h,260,true
126,3,2025-02-11 17:00:00,E44,k,53,false
127,6,2025-02-11 19:00:00,E44,k,104,true
128,10,2025-02-11 21:00:00,??,n,171,true
129,13,2025-02-11 23:00:00,E20,h,73,true
130,9,2025-02-12 01:00:00,E12,n,94,true
131,3,2025-02-12 03:00:00,E01,n,40,false
132,12,2025-02-12 05:00:00,E01,n,108,true
133,11,2025-02-12 07:00:00,E20,n,162,true
134,3,2025-02-12 09:00:00,E12,k,126,true
135,9,2025-02-12 11:00:00,??,k,34,true
136,3,2025-02-12 13:00:00,E01,h,140,true
137,5,2025-02-12 15:00:00,E20,n,51,true
138,3,2025-02-12 17:00:00,E44,n,6,true
139,5,2025-02-12 19:00:00,E44,k,253,true
140,8,2025-02-12 21:00:00,E01,n,35,true
141,7,2025-02-12 23:00:00,E12,h,188,true
142,4,2025-02-13 01:00:00,E01,h,79,true
143,12,2025-02-13 03:00:00,E44,h,214,true
144,14,2025-02-13 05:00:00,E01,h,5,true
145,16,2025-02-13 07:00:00,E90,h,138,true
146,4,2025-02-13 09:00:00,E01,k,126,true
147,11,2025-02-13 11:00:00,E90,h,206,true
148,1,2025-02-13 13:00:00,E12,h,288,true
149,1,2025-02-13 15:00:00,E12,h,99,false
150,8,2025-02-13 17:00:00,E20,h,72,true
151,9,2025-02-13 19:00:00,E44,n,106,true
152,10,2025-02-13 21:00:00,E20,n,176,true
153,13,2025-02-13 23:00:00,E20,h,174,true
154,15,2025-02-14 01:00:00,E20,k,133,true
155,2,2025-02-14 03:00:00,E90,k,81,true
156,7,2025-02-14 05:00:00,E12,h,250,true
157,13,2025-02-14 07:00:00,??,k,262,true
158,5,2025-02-14 09:00:00,E01,n,122,true
159,11,2025-02-14 11:00:00,E44,k,52,true
160,13,2025-02-14 13:00:00,E12,n,104,true
161,5,2025-02-14 15:00:00,E12,k,201,true
162,1,2025-02-14 17:00:00,E90,h,18,false
163,11,2025-02-14 19:00:00,E01,h,27,true
164,14,2025-02-14 21:00:00,E90,n,252,true
165,6,2025-02-14 23:00:00,??,n,213,false
166,16,2025-02-15 01:00:00,E12,h,9,false
167,6,2025-02-15 03:00:00,E44,k,20,true
168,9,2025-02-15 05:00:00,??,h,210,true
169,14,2025-02-15 07:00:00,??,h,214,true
170,7,2025-02-15 09:00:00,E12,n,71,true
171,16,2025-02-15 11:00:00,??,k,271,true
172,16,2025-02-15 13:00:00,E90,k,254,false
173,11,2025-02-15 15:00:00,E12,n,71,true
174,6,2025-02-15 17:00:00,E20,k,58,true
175,11,2025-02-15 19:00:00,E12,h,201,true
176,16,2025-02-15 21:00:00,E90,n,86,true
177,2,2025-02-15 23:00:00,E20,k,37,true
178,12,2025-02-16 01:00:00,E01,n,179,true
179,16,2025-02-16 03:00:00,E20,h,284,true
180,13,2025-02-16 05:00:00,E20,h,219,true
181,7,2025-02-16 07:00:00,E44,n,91,true
182,3,2025-02-16 09:00:00,E90,k,38,false
183,1,2025-02-16 11:00:00,E20,k,228,false
184,14,2025-02-16 13:00:00,??,h,296,true
185,6,2025-02-16 15:00:00,E01,h,211,true
186,4,2025-02-16 17:00:00,E44,h,66,true
187,5,2025-02-16 19:00:00,E90,n,192,true
188,8,2025-02-16 21:00:00,E12,n,104,true
189,10,2025-02-16 23:00:00,E20,n,63,true
190,16,2025-02-17 01:00:00,E90,k,286,true
191,6,2025-02-17 03:00:00,E20,h,132,true
192,7,2025-02-17 05:00:00,E12,n,142,true
193,11,2025-02-17 07:00:00,??,n,67,false
194,11,2025-02-17 09:00:00,E20,n,131,true
195,3,2025-02-17 11:00:00,??,n,186,true
196,5,2025-02-17 13:00:00,E44,k,30,true
197,4,2025-02-17 15:00:00,E90,n,136,true
198,9,2025-02-17 17:00:00,E12,k,137,true
199,11,2025-02-17 19:00:00,E12,k,270,true
200,14,2025-02-17 21:00:00,??,k,265,true
201,7,2025-02-17 23:00:00,E01,k,206,true
202,3,2025-02-18 01:00:00,??,n,217,true
203,6,2025-02-18 03:00:00,E12,n,264,true
204,11,2025-02-18 05:00:00,E12,k,174,true
205,6,2025-02-18 07:00:00,E01,h,37,true
206,16,2025-02-18 09:00:00,E44,n,147,true
207,10,2025-02-18 11:00:00,E44,n,221,true
208,2,2025-02-18 13:00:00,E12,h,282,true
209,13,2025-02-18 15:00:00,E44,k,137,true
210,7,2025-02-18 17:00:00,E20,k,147,true
211,15,2025-02-18 19:00:00,??,h,19,true
212,2,2025-02-18 21:00:00,E12,n,78,false
213,7,2025-02-18 23:00:00,E44,k,174,true
214,2,2025-02-19 01:00:00,E20,h,190,false
215,4,2025-02-19 03:00:00,E01,n,123,true
216,2,2025-02-19 05:00:00,E44,h,105,true
217,5,2025-02-19 07:00:00,??,h,60,true
218,8,2025-02-19 09:00:00,E20,h,197,true
219,9,2025-02-19 11:00:00,E12,n,72,false
220,13,2025-02-19 13:00:00,??,h,168,true
221,11,2025-02-19 15:00:00,E20,h,276,true
222,2,2025-02-19 17:00:00,E44,h,242,true
223,9,2025-02-19 19:00:00,E90,h,139,true
224,13,2025-02-19 21:00:00,E20,h,168,true
225,14,2025-02-19 23:00:00,??,k,231,true
226,14,2025-02-20 01:00:00,E44,n,5,true
227,5,2025-02-20 03:00:00,E20,n,22,true
228,15,2025-02-20 05:00:00,E01,n,147,true
229,5,2025-02-20 07:00:00,E12,k,152,true
230,14,2025-02-20 09:00:00,E12,h,103,true
231,14,2025-02-20 11:00:00,E12,n,273,true
232,3,2025-02-20 13:00:00,??,h,91,true
233,8,2025-02-20 15:00:00,E12,k,185,true
234,13,2025-02-20 17:00:00,E01,k,176,true
235,8,2025-02-20 19:00:00,E20,k,258,true
236,8,2025-02-20 21:00:00,E90,h,124,true
237,7,2025-02-20 23:00:00,??,n,17,true
238,7,2025-02-21 01:00:00,E90,n,296,true
239,11,2025-02-21 03:00:00,E90,k,225,true
240,8,2025-02-21 05:00:00,??,n,156,true
241,5,2025-02-21 07:00:00,??,h,293,true
242,11,2025-02-21 09:00:00,E20,h,16,true
243,8,2025-02-21 11:00:00,??,h,260,true
244,9,2025-02-21 13:00:00,E20,n,47,true
245,2,2025-02-21 15:00:00,E20,h,162,false
246,4,2025-02-21 17:00:00,E01,h,6,true
247,1,2025-02-21 19:00:00,??,k,112,true
248,14,2025-02-21 21:00:00,E44,n,92,true
249,3,2025-02-21 23:00:00,E12,h,208,true
250,15,2025-02-22 01:00:00,??,n,34,true
251,5,2025-02-22 03:00:00,E20,n,196,true
252,7,2025-02-22 05:00:00,E01,n,170,true
253,8,2025-02-22 07:00:00,E90,h,11,true
254,6,2025-02-22 09:00:00,E12,h,275,true
255,2,2025-02-22 11:00:00,E20,k,169,true
256,16,2025-02-22 13:00:00,??,n,235,true
257,2,2025-02-22 15:00:00,E12,n,293,true
258,16,2025-02-22 17:00:00,E90,n,130,true
259,4,2025-02-22 19:00:00,E44,h,15,true
260,10,2025-02-22 21:00:00,E90,n,256,true
261,2,2025-02-22 23:00:00,E44,h,246,false
262,7,2025-02-23 01:00:00,E20,h,5,false
263,14,2025-02-23 03:00:00,E01,h,45,false
264,10,2025-02-23 05:00:00,E90,h,152,false
265,1,2025-02-23 07:00:00,E90,h,233,true
266,2,2025-02-23 09:00:00,E12,k,265,true
267,10,2025-02-23 11:00:00,E12,n,82,false
268,10,2025-02-23 13:00:00,??,k,181,false
269,14,2025-02-23 15:00:00,E20,k,233,true
270,2,2025-02-23 17:00:00,E20,h,237,false
271,11,2025-02-23 19:00:00,E01,n,92,true
272,1,2025-02-23 21:00:00,??,h,192,true
273,5,2025-02-23 23:00:00,E44,h,223,true
274,8,2025-02-24 01:00:00,E20,k,196,true
275,2,2025-02-24 03:00:00,E44,n,230,true
276,8,2025-02-24 05:00:00,E12,k,273,true
277,7,2025-02-24 07:00:00,E90,k,17,true
278,12,2025-02-24 09:00:00,E44,k,3,true
279,5,2025-02-24 11:00:00,E44,n,67,true
280,5,2025-02-24 13:00:00,E44,h,275,true
281,3,2025-02-24 15:00:00,??,h,188,false
282,6,2025-02-24 17:00:00,??,h,191,false
283,1,2025-02-24 19:00:00,E20,k,283,true
284,8,2025-02-24 21:00:00,??,k,62,true
285,14,2025-02-24 23:00:00,E44,h,56,true
286,5,2025-02-25 01:00:00,??,n,206,true
287,12,2025-02-25 03:00:00,E01,k,174,true
288,11,2025-02-25 05:00:00,E44,h,21,true
289,13,2025-02-25 07:00:00,E01,h,174,true
290,15,2025-02-25 09:00:00,E20,h,37,true
291,11,2025-02-25 11:00:00,E44,n,41,true
292,14,2025-02-25 13:00:00,??,h,45,true
293,12,2025-02-25 15:00:00,E90,k,118,true
294,8,2025-02-25 17:00:00,E01,n,209,true
295,11,2025-02-25 19:00:00,E44,n,186,true
296,8,2025-02-25 21:00:00,??,h,168,true
297,10,2025-02-25 23:00:00,E01,n,143,true
298,13,2025-02-26 01:00:00,E44,h,226,true
299,16,2025-02-26 03:00:00,E90,n,151,true
300,6,2025-02-26 05:00:00,E90,h,132,true
301,3,2025-02-26 07:00:00,E90,n,208,false
302,10,2025-02-26 09:00:00,E01,h,244,true
303,16,2025-02-26 11:00:00,E44,h,223,true
304,15,2025-02-26 13:00:00,E12,n,190,true
305,8,2025-02-26 15:00:00,E20,k,157,true
306,11,2025-02-26 17:00:00,E20,k,193,false
307,6,2025-02-26 19:00:00,E20,k,99,true
308,7,2025-02-26 21:00:00,E12,n,191,false
309,5,2025-02-26 23:00:00,E20,h,213,true
310,13,2025-02-27 01:00:00,E90,h,194,true
311,12,2025-02-27 03:00:00,??,k,195,true
312,1,2025-02-27 05:00:00,E01,n,33,false
313,3,2025-02-27 07:00:00,E90,h,151,true
314,4,2025-02-27 09:00:00,E90,h,69,true
315,8,2025-02-27 11:00:00,E90,k,58,true
316,4,2025-02-27 13:00:00,??,n,39,false
317,7,2025-02-27 15:00:00,??,k,141,true
318,7,2025-02-27 17:00:00,E20,k,14,true
319,2,2025-02-27 19:00:00,E12,k,219,true
320,3,2025-02-27 21:00:00,??,h,99,false
321,15,2025-02-27 23:00:00,E01,h,68,true
322,15,2025-02-28 01:00:00,E12,h,103,true
323,1,2025-02-28 03:00:00,E01,h,13,true
324,10,2025-02-28 05:00:00,E90,n,252,false
325,13,2025-02-28 07:00:00,E01,n,231,true
326,4,2025-02-28 09:00:00,E90,k,157,true
327,2,2025-02-28 11:00:00,??,n,87,true
328,9,2025-02-28 13:00:00,E12,k,128,true
329,15,2025-02-28 15:00:00,E01,h,297,true
330,5,2025-02-28 17:00:00,E90,n,131,true
331,2,2025-02-28 19:00:00,E12,k,149,true
332,6,2025-02-28 21:00:00,E12,n,214,true
333,7,2025-02-28 23:00:00,E01,k,107,true
334,8,2025-03-01 01:00:00,E01,n,81,true
335,11,2025-03-01 03:00:00,E12,k,252,true
336,3,2025-03-01 05:00:00,E90,n,15,true
337,14,2025-03-01 07:00:00,E90,h,47,false
338,7,2025-03-01 09:00:00,E90,k,293,false
339,6,2025-03-01 11:00:00,??,k,30,true
340,3,2025-03-01 13:00:00,E90,h,44,true
341,8,2025-03-01 15:00:00,E90,n,84,true
342,16,2025-03-01 17:00:00,??,k,42,true
343,2,2025-03-01 19:00:00,E90,n,182,true
344,2,2025-03-01 21:00:00,E44,n,157,true
345,16,2025-03-01 23:00:00,E01,k,152,true
346,8,2025-03-02 01:00:00,E90,h,214,true
347,15,2025-03-02 03:00:00,E90,n,220,true
348,15,2025-03-02 05:00:00,E20,k,188,true
349,7,2025-03-02 07:00:00,E01,k,262,false
350,1,2025-03-02 09:00:00,E90,n,69,true
351,8,2025-03-02 11:00:00,E12,n,3,true
352,1,2025-03-02 13:00:00,E01,n,150,true
353,6,2025-03-02 15:00:00,E20,k,247,true
354,16,2025-03-02 17:00:00,E01,k,168,true
355,1,2025-03-02 19:00:00,E12,h,57,true
356,6,2025-03-02 21:00:00,E44,k,235,true
357,6,2025-03-02 23:00:00,??,k,94,true
358,16,2025-03-03 01:00:00,E12,h,248,true
359,12,2025-03-03 03:00:00,E01,h,226,true
360,4,2025-03-03 05:00:00,E01,h,139,true
361,5,2025-03-03 07:00:00,E44,h,92,true
362,10,2025-03-03 09:00:00,E44,n,126,true
363,9,2025-03-03 11:00:00,E90,n,37,true
364,15,2025-03-03 13:00:00,E20,h,265,true
365,3,2025-03-03 15:00:00,E20,h,141,true
366,14,2025-03-03 17:00:00,E90,n,214,true
367,13,2025-03-03 19:00:00,??,n,122,true
368,13,2025-03-03 21:00:00,E20,h,274,true
369,12,2025-03-03 23:00:00,E90,k,281,true
370,14,2025-03-04 01:00:00,E12,n,138,true
371,8,2025-03-04 03:00:00,E90,n,257,true
372,16,2025-03-04 05:00:00,E44,n,190,true
373,8,2025-03-04 07:00:00,E20,k,214,true
374,11,2025-03-04 09:00:00,??,n,92,false
375,3,2025-03-04 11:00:00,E12,n,270,true
376,5,2025-03-04 13:00:00,E20,k,254,true
377,13,2025-03-04 15:00:00,E44,n,101,true
378,16,2025-03-04 17:00:00,E44,n,196,true
379,4,2025-03-04 19:00:00,E12,h,163,true
380,2,2025-03-04 21:00:00,E12,k,62,true
381,1,2025-03-04 23:00:00,??,n,284,true
382,13,2025-03-05 01:00:00,E01,n,169,true
383,16,2025-03-05 03:00:00,E20,h,50,true
384,15,2025-03-05 05:00:00,E44,k,179,false
385,10,2025-03-05 07:00:00,??,h,21,true
386,9,2025-03-05 09:00:00,E90,n,203,true
387,14,2025-03-05 11:00:00,E12,h,25,true
388,1,2025-03-05 13:00:00,E44,h,252,false
389,4,2025-03-05 15:00:00,??,h,170,true
390,7,2025-03-05 17:00:00,E90,h,263,true
391,11,2025-03-05 19:00:00,E20,n,102,true
392,4,2025-03-05 21:00:00,E44,n,62,true
393,1,2025-03-05 23:00:00,E12,k,297,true
394,2,2025-03-06 01:00:00,??,n,13,true
395,15,2025-03-06 03:00:00,E12,n,222,true
396,12,2025-03-06 05:00:00,E44,h,216,true
397,3,2025-03-06 07:00:00,E20,h,46,true
398,14,2025-03-06 09:00:00,E12,k,79,true
399,12,2025-03-06 11:00:00,E01,n,160,true
400,15,2025-03-06 13:00:00,E01,k,17,true
