workpiece_id,order_id,machine_id,serial,net_weight_g,scrap_g,gross_weight_g,cycle_seconds,ok
35,7,1,WP-0007-02,383.3,2.2,385.5,82,true
36,7,1,WP-0007-03,160.9,4.3,165.2,101,true
37,7,1,WP-0007-04,406.0,5.7,411.7,132,true
38,7,1,WP-0007-05,316.5,8.0,324.5,136,true
39,7,1,WP-0007-06,135.7,7.6,143.3,175,true
40,7,1,WP-0007-07,139.7,4.6,144.3,159,true
41,7,1,WP-0007-08,446.7,6.5,453.2,143,true
42,7,1,WP-0007-09,162.1,1.5,163.6,110,true
43,8,9,WP-0008-01,189.5,3.9,193.4,154,true
44,8,9,WP-0008-02,121.6,2.8,124.4,129,true
45,8,9,WP-0008-03,330.8,1.6,332.4,103,true
46,8,9,WP-0008-04,151.4,6.4,157.8,91,true
47,8,9,WP-0008-05,139.3,1.8,141.1,87,true
48,8,9,WP-0008-06,215.6,4.2,219.8,95,true
49,8,9,WP-0008-07,430.0,3.1,433.1,166,true
50,8,9,WP-0008-08,377.1,5.3,382.4,47,true
51,8,9,WP-0008-09,345.7,4.1,349.8,112,true
52,8,9,WP-0008-10,226.5,1.3,227.8,154,true
53,8,9,WP-0008-11,453.1,0.5,453.6,95,true
54,8,9,WP-0008-12,318.6,0.8,319.4,162,true
55,9,10,WP-0009-01,127.0,7.2,134.2,123,true
56,9,10,WP-0009-02,251.2,1.7,252.9,165,true
57,9,10,WP-0009-03,205.3,5.7,211.0,144,true
58,9,10,WP-0009-04,142.1,2.5,144.6,114,true
59,9,10,WP-0009-05,299.2,0.9,300.1,68,true
60,9,10,WP-0009-06,198.2,3.3,201.5,122,true
61,9,10,WP-0009-07,378.4,1.7,380.1,93,true
62,9,10,WP-0009-08,407.9,5.8,413.7,162,true
63,9,10,WP-0009-09,211.6,4.2,215.8,58,true
64,10,2,WP-0010-01,124.0,6.3,130.3,51,true
65,10,2,WP-0010-02,262.8,7.2,270.0,124,true
66,10,2,WP-0010-03,189.4,6.1,195.5,171,true
67,10,2,WP-0010-04,311.8,1.2,313.0,157,true
68,10,2,WP-0010-05,149.8,2.5,152.3,170,true
69,10,2,WP-0010-06,470.4,3.8,474.2,130,true
70,10,2,WP-0010-07,458.1,6.9,465.0,153,true
71,10,2,WP-0010-08,246.9,0.2,247.1,61,true
72,10,2,WP-0010-09,304.4,0.8,305.2,174,true
73,10,2,WP-0010-10,346.5,5.1,351.6,130,true
74,11,9,WP-0011-01,430.2,4.2,434.4,107,true
75,11,9,WP-0011-02,290.4,6.0,296.4,63,true
76,11,9,WP-0011-03,460.0,2.2,462.2,130,true
77,12,12,WP-0012-01,162.7,2.5,165.2,56,true
78,12,12,WP-0012-02,280.5,4.5,285.0,82,true
79,12,12,WP-0012-03,328.2,4.1,332.3,139,true
80,12,12,WP-0012-04,374.4,0.5,374.9,46,true
81,12,12,WP-0012-05,402.8,4.4,407.2,150,true
82,12,12,WP-0012-06,400.6,5.3,405.9,84,true
83,12,12,WP-0012-07,261.6,6.4,268.0,79,true
84,12,12,WP-0012-08,469.8,4.8,474.6,167,true
85,12,12,WP-0012-09,252.8,4.4,257.2,111,true
86,13,6,WP-0013-01,178.8,6.8,185.6,47,true
87,13,6,WP-0013-02,285.6,1.9,287.5,180,true
88,13,6,WP-0013-03,142.8,2.4,145.2,102,true
89,13,6,WP-0013-04,249.0,6.3,255.3,75,true
90,13,6,WP-0013-05,472.5,1.4,473.9,66,true
91,14,6,WP-0014-01,219.1,3.9,223.0,168,true
92,14,6,WP-0014-02,425.5,2.2,427.7,63,true
93,14,6,WP-0014-03,198.4,2.5,200.9,64,true
94,14,6,WP-0014-04,302.4,2.8,305.2,103,true
95,14,6,WP-0014-05,311.3,3.5,314.8,47,true
96,14,6,WP-0014-06,225.0,0.7,225.7,40,true
97,15,5,WP-0015-01,222.2,7.5,229.7,157,true
98,15,5,WP-0015-02,146.2,6.2,152.4,151,true
99,15,5,WP-0015-03,124.8,7.7,132.5,42,true
100,15,5,WP-0015-04,215.5,3.0,218.5,168,true
101,16,5,WP-0016-01,134.2,5.7,139.9,141,true
102,16,5,WP-0016-02,193.4,3.8,197.2,161,true
103,16,5,WP-0016-03,222.0,2.3,224.3,41,true
104,16,5,WP-0016-04,416.3,6.4,422.7,84,true
105,16,5,WP-0016-05,238.7,5.3,244.0,115,true
106,16,5,WP-0016-06,270.8,1.3,272.1,47,true
107,16,5,WP-0016-07,308.3,6.8,315.1,118,true
108,16,5,WP-0016-08,135.9,1.6,137.5,149,true
109,16,5,WP-0016-09,160.5,1.2,161.7,94,true
110,17,11,WP-0017-01,430.5,1.8,432.3,106,true
111,17,11,WP-0017-02,233.0,1.6,234.6,83,true
112,17,11,WP-0017-03,151.2,4.3,155.5,124,true
113,17,11,WP-0017-04,223.0,2.0,225.0,46,true
114,17,11,WP-0017-05,367.5,7.7,375.2,86,true
115,17,11,WP-0017-06,124.8,0.3,125.1,179,true
116,17,11,WP-0017-07,290.2,0.4,290.6,115,true
117,18,6,WP-0018-01,208.5,5.5,214.0,177,true
118,18,6,WP-0018-02,338.6,2.9,341.5,82,true
119,18,6,WP-0018-03,200.8,4.8,205.6,144,true
120,18,6,WP-0018-04,374.0,4.5,378.5,172,true
121,18,6,WP-0018-05,139.6,6.6,146.2,88,true
122,18,6,WP-0018-06,366.4,1.9,368.3,115,true
123,18,6,WP-0018-07,257.5,0.7,258.2,162,true
124,18,6,WP-0018-08,315.7,5.7,321.4,47,true
125,18,6,WP-0018-09,425.4,4.1,429.5,85,true
126,18,6,WP-0018-10,337.9,2.8,340.7,170,true
127,18,6,WP-0018-11,168.8,7.6,176.4,144,true
128,18,6,WP-0018-12,169.5,7.1,176.6,133,true
129,19,7,WP-0019-01,196.9,4.2,201.1,103,true
130,20,1,WP-0020-01,192.2,5.4,197.6,148,true
131,20,1,WP-0020-02,145.2,5.7,150.9,115,true
132,20,1,WP-0020-03,368.6,5.9,374.5,164,true
133,20,1,WP-0020-04,126.2,6.0,132.2,126,true
134,20,1,WP-0020-05,421.3,6.7,428.0,85,true
135,20,1,WP-0020-06,349.9,7.9,357.8,47,true
136,20,1,WP-0020-07,324.4,2.6,327.0,173,true
137,20,1,WP-0020-08,304.5,6.2,310.7,134,true
138,21,4,WP-0021-01,392.7,2.4,395.1,133,true
139,21,4,WP-0021-02,169.5,1.8,171.3,170,true
140,21,4,WP-0021-03,205.9,7.8,213.7,56,true
141,21,4,WP-0021-04,365.0,7.3,372.3,52,true
142,21,4,WP-0021-05,137.7,1.3,139.0,112,true
143,21,4,WP-0021-06,334.6,4.3,338.9,177,true
144,21,4,WP-0021-07,282.3,4.9,287.2,92,true
145,22,11,WP-0022-01,423.4,3.2,426.6,123,true
146,22,11,WP-0022-02,393.2,2.0,395.2,82,true
147,22,11,WP-0022-03,219.9,7.9,227.8,57,true
148,22,11,WP-0022-04,245.1,1.0,246.1,90,true
149,22,11,WP-0022-05,334.8,6.9,341.7,132,true
150,22,11,WP-0022-06,343.4,7.7,351.1,112,true
151,22,11,WP-0022-07,202.9,6.3,209.2,92,true
152,22,11,WP-0022-08,298.4,2.4,300.8,158,true
153,22,11,WP-0022-09,203.0,7.4,210.4,64,true
154,22,11,WP-0022-10,414.8,6.9,421.7,70,true
155,22,11,WP-0022-11,452.3,5.7,458.0,52,true
156,23,2,WP-0023-01,249.6,6.0,255.6,86,true
157,23,2,WP-0023-02,310.4,1.8,312.2,50,true
158,23,2,WP-0023-03,208.3,3.6,211.9,55,true
159,23,2,WP-0023-04,350.1,6.6,356.7,159,true
160,23,2,WP-0023-05,355.6,5.9,361.5,70,true
161,23,2,WP-0023-06,425.8,0.5,426.3,131,true
162,23,2,WP-0023-07,442.7,4.0,446.7,161,true
163,23,2,WP-0023-08,305.3,1.0,306.3,172,true
164,24,9,WP-0024-01,338.0,2.6,340.6,175,true
165,24,9,WP-0024-02,271.5,5.4,276.9,134,true
166,24,9,WP-0024-03,410.4,2.3,412.7,47,true
167,24,9,WP-0024-04,148.1,5.1,153.2,172,true
168,24,9,WP-0024-05,300.5,4.9,305.4,105,true
169,24,9,WP-0024-06,230.6,5.3,235.9,67,true
170,24,9,WP-0024-07,277.3,7.8,285.1,108,true
171,24,9,WP-0024-08,272.9,1.6,274.5,96,true
172,24,9,WP-0024-09,295.4,4.0,299.4,120,true
173,24,9,WP-0024-10,438.5,4.6,443.1,166,true
174,25,4,WP-0025-01,351.1,0.8,351.9,111,true
175,25,4,WP-0025-02,447.9,6.5,454.4,132,true
176,25,4,WP-0025-03,411.4,2.4,413.8,64,true
177,25,4,WP-0025-04,285.4,7.9,293.3,119,true
178,25,4,WP-0025-05,456.7,6.8,463.5,113,true
179,25,4,WP-0025-06,199.0,1.4,200.4,122,true
180,26,3,WP-0026-01,408.1,4.1,412.2,166,true
181,26,3,WP-0026-02,216.9,0.6,217.5,125,true
182,26,3,WP-0026-03,168.2,6.9,175.1,97,true
183,26,3,WP-0026-04,401.0,3.1,404.1,152,true
184,26,3,WP-0026-05,293.3,7.7,301.0,136,true
185,27,3,WP-0027-01,397.7,1.2,398.9,75,true
186,27,3,WP-0027-02,207.1,5.4,212.5,179,true
187,27,3,WP-0027-03,291.0,4.2,295.2,53,true
188,27,3,WP-0027-04,468.2,4.4,472.6,87,true
189,27,3,WP-0027-05,128.3,5.3,133.6,98,true
190,27,3,WP-0027-06,196.9,2.2,199.1,155,true
191,27,3,WP-0027-07,170.5,4.5,175.0,113,true
192,27,3,WP-0027-08,163.0,1.1,164.1,42,true
193,27,3,WP-0027-09,410.7,1.7,412.4,141,true
194,27,3,WP-0027-10,254.2,7.8,262.0,57,true
195,27,3,WP-0027-11,345.0,0.7,345.7,142,true
196,27,3,WP-0027-12,138.5,7.3,145.8,157,true
197,28,5,WP-0028-01,225.7,3.8,229.5,145,true
198,28,5,WP-0028-02,369.3,3.6,372.9,128,true
199,28,5,WP-0028-03,359.7,2.3,362.0,141,true
200,28,5,WP-0028-04,136.1,6.3,142.4,135,true
201,28,5,WP-0028-05,450.5,4.7,455.2,159,true
202,28,5,WP-0028-06,360.0,1.1,361.1,87,true
203,28,5,WP-0028-07,405.1,0.4,405.5,113,true
204,28,5,WP-0028-08,337.5,3.0,340.5,141,true
205,28,5,WP-0028-09,232.3,2.8,235.1,78,true
206,29,12,WP-0029-01,356.0,0.2,356.2,160,true
207,29,12,WP-0029-02,146.2,0.4,146.6,105,true
208,29,12,WP-0029-03,440.2,2.2,442.4,90,true
209,29,12,WP-0029-04,353.0,0.4,353.4,116,true
210,29,12,WP-0029-05,205.9,1.7,207.6,81,true
211,29,12,WP-0029-06,224.4,1.2,225.6,59,true
212,29,12,WP-0029-07,126.0,3.6,129.6,88,true
213,30,4,WP-0030-01,396.4,2.2,398.6,156,true
214,30,4,WP-0030-02,128.9,2.5,131.4,46,true
215,30,4,WP-0030-03,260.4,6.6,267.0,132,true
216,30,4,WP-0030-04,202.6,6.3,208.9,55,true
217,31,7,WP-0031-01,177.7,4.8,182.5,177,true
218,31,7,WP-0031-02,366.0,6.4,372.4,134,true
219,31,7,WP-0031-03,471.3,7.0,478.3,42,true
220,31,7,WP-0031-04,391.8,5.1,396.9,177,true
221,31,7,WP-0031-05,406.6,6.9,413.5,112,true
222,31,7,WP-0031-06,200.7,1.9,202.6,111,true
223,31,7,WP-0031-07,167.0,3.7,170.7,137,true
224,32,8,WP-0032-01,332.0,5.6,337.6,139,true
225,32,8,WP-0032-02,474.3,2.8,477.1,148,true
226,32,8,WP-0032-03,402.9,7.2,410.1,91,true
227,32,8,WP-0032-04,307.7,3.6,311.3,50,true
228,33,6,WP-0033-01,369.3,5.5,374.8,155,true
229,33,6,WP-0033-02,383.7,5.2,388.9,108,true
230,33,6,WP-0033-03,479.0,0.6,479.6,175,true
231,33,6,WP-0033-04,451.5,1.2,452.7,177,true
232,33,6,WP-0033-05,209.8,5.3,215.1,61,true
233,33,6,WP-0033-06,188.6,7.2,195.8,98,true
234,34,11,WP-0034-01,322.6,4.5,327.1,138,true
235,34,11,WP-0034-02,471.9,3.7,475.6,142,true
236,34,11,WP-0034-03,451.2,6.5,457.7,176,true
237,34,11,WP-0034-04,450.5,6.9,457.4,99,true
238,34,11,WP-0034-05,475.2,5.2,480.4,66,true
239,34,11,WP-0034-06,199.3,3.4,202.7,114,true
240,34,11,WP-0034-07,437.7,5.7,443.4,81,true
241,34,11,WP-0034-08,138.1,7.7,145.8,161,true
242,34,11,WP-0034-09,333.4,4.2,337.6,112,true
243,35,11,WP-0035-01,347.1,6.5,353.6,51,true
244,35,11,WP-0035-02,165.8,7.4,173.2,154,true
245,35,11,WP-0035-03,367.4,2.9,370.3,114,true
246,35,11,WP-0035-04,133.6,7.8,141.4,78,true
247,35,11,WP-0035-05,301.3,1.4,302.7,89,true
248,35,11,WP-0035-06,413.8,3.6,417.4,118,true
249,35,11,WP-0035-07,215.3,2.8,218.1,166,true
250,35,11,WP-0035-08,257.1,4.6,261.7,46,true
251,35,11,WP-0035-09,461.9,7.5,469.4,163,true
252,35,11,WP-0035-10,208.9,1.5,210.4,72,true
253,35,11,WP-0035-11,305.5,4.7,310.2,72,true
254,36,5,WP-0036-01,340.5,4.2,344.7,63,true
255,36,5,WP-0036-02,314.5,1.1,315.6,109,true
256,36,5,WP-0036-03,166.3,2.2,168.5,45,true
257,36,5,WP-0036-04,445.3,6.6,451.9,149,true
258,36,5,WP-0036-05,355.2,0.5,355.7,98,true
259,37,9,WP-0037-01,246.3,4.6,250.9,84,true
260,37,9,WP-0037-02,242.3,2.5,244.8,137,true
261,37,9,WP-0037-03,367.4,5.4,372.8,48,true
262,37,9,WP-0037-04,227.8,0.4,228.2,130,true
263,37,9,WP-0037-05,227.4,5.3,232.7,153,true
264,37,9,WP-0037-06,467.1,2.8,469.9,54,true
265,37,9,WP-0037-07,282.9,4.3,287.2,89,true
266,37,9,WP-0037-08,233.3,7.1,240.4,153,true
267,37,9,WP-0037-09,355.1,5.9,361.0,54,true
268,37,9,WP-0037-10,403.6,1.2,404.8,180,true
269,37,9,WP-0037-11,153.3,0.8,154.1,89,true
270,38,7,WP-0038-01,392.8,4.7,397.5,48,true
271,39,12,WP-0039-01,232.6,3.1,235.7,143,true
272,39,12,WP-0039-02,470.1,4.8,474.9,42,true
273,39,12,WP-0039-03,330.4,1.6,332.0,152,true
274,39,12,WP-0039-04,440.2,4.9,445.1,44,true
275,39,12,WP-0039-05,320.1,7.6,327.7,149,true
276,40,5,WP-0040-01,379.3,2.9,382.2,75,true
277,40,5,WP-0040-02,430.5,3.8,434.3,44,true
278,40,5,WP-0040-03,437.4,3.8,441.2,124,true
279,40,5,WP-0040-04,147.2,6.8,154.0,47,true
280,40,5,WP-0040-05,372.8,1.9,374.7,118,true
281,40,5,WP-0040-06,442.1,0.3,442.4,146,true
282,41,7,WP-0041-01,337.2,4.8,342.0,86,true
283,41,7,WP-0041-02,130.3,6.4,136.7,180,true
284,41,7,WP-0041-03,424.5,0.4,424.9,137,true
285,41,7,WP-0041-04,220.1,8.0,228.1,132,true
286,41,7,WP-0041-05,174.6,2.8,177.4,108,true
287,42,1,WP-0042-01,253.2,7.8,261.0,54,true
288,42,1,WP-0042-02,384.3,6.3,390.6,153,true
289,42,1,WP-0042-03,411.2,6.4,417.6,149,true
290,42,1,WP-0042-04,273.5,1.3,274.8,169,true
291,43,1,WP-0043-01,228.0,3.7,231.7,134,true
292,43,1,WP-0043-02,245.2,1.1,246.3,62,true
293,43,1,WP-0043-03,475.9,3.2,479.1,73,true
294,43,1,WP-0043-04,231.5,4.3,235.8,123,true
295,43,1,WP-0043-05,132.7,6.6,139.3,56,true
296,43,1,WP-0043-06,455.3,4.3,459.6,134,true
297,43,1,WP-0043-07,246.3,3.7,250.0,134,true
298,43,1,WP-0043-08,161.0,5.0,166.0,80,true
299,43,1,WP-0043-09,340.5,1.2,341.7,136,true
300,43,1,WP-0043-10,438.2,1.9,440.1,51,true
301,43,1,WP-0043-11,312.2,5.8,318.0,89,true
302,43,1,WP-0043-12,122.4,2.1,124.5,41,true
303,44,12,WP-0044-01,243.6,7.0,250.6,53,true
304,44,12,WP-0044-02,376.3,5.7,382.0,72,true
305,44,12,WP-0044-03,143.1,1.4,144.5,137,true
306,44,12,WP-0044-04,440.6,6.1,446.7,125,true
307,44,12,WP-0044-05,255.3,3.7,259.0,137,true
308,45,5,WP-0045-01,164.3,0.4,164.7,96,true
309,45,5,WP-0045-02,412.9,7.9,420.8,88,true
310,45,5,WP-0045-03,221.7,5.5,227.2,158,true
311,45,5,WP-0045-04,197.3,2.1,199.4,72,true
312,45,5,WP-0045-05,231.5,2.0,233.5,123,true
313,45,5,WP-0045-06,237.2,3.7,240.9,168,true
314,45,5,WP-0045-07,381.8,3.2,385.0,131,true
315,45,5,WP-0045-08,412.4,2.1,414.5,59,true
316,45,5,WP-0045-09,366.4,7.6,374.0,77,true
317,45,5,WP-0045-10,413.5,1.7,415.2,171,true
318,46,11,WP-0046-01,190.1,2.4,192.5,172,true
319,46,11,WP-0046-02,230.4,2.8,233.2,116,true
320,46,11,WP-0046-03,411.6,6.3,417.9,115,true
321,46,11,WP-0046-04,314.8,6.6,321.4,142,true
322,46,11,WP-0046-05,395.2,7.2,402.4,85,true
323,47,7,WP-0047-01,135.4,6.6,142.0,140,true
324,47,7,WP-0047-02,282.4,7.7,290.1,170,true
325,47,7,WP-0047-03,370.8,0.2,371.0,121,true
326,47,7,WP-0047-04,447.1,4.0,451.1,103,true
327,47,7,WP-0047-05,458.2,4.2,462.4,157,true
328,47,7,WP-0047-06,194.3,7.6,201.9,79,true
329,47,7,WP-0047-07,350.5,3.6,354.1,89,true
330,47,7,WP-0047-08,269.3,5.9,275.2,99,true
331,47,7,WP-0047-09,400.6,3.9,404.5,150,true
332,47,7,WP-0047-10,255.6,4.1,259.7,159,true
333,47,7,WP-0047-11,281.3,4.6,285.9,160,true
334,47,7,WP-0047-12,473.9,2.5,476.4,169,true
335,48,4,WP-0048-01,376.0,4.8,380.8,102,true
336,48,4,WP-0048-02,442.2,3.6,445.8,101,true
337,48,4,WP-0048-03,413.7,4.1,417.8,109,true
338,48,4,WP-0048-04,454.1,1.4,455.5,169,true
339,48,4,WP-0048-05,251.6,7.4,259.0,103,true
340,48,4,WP-0048-06,252.9,3.4,256.3,74,true
341,48,4,WP-0048-07,478.3,6.9,485.2,155,true
342,48,4,WP-0048-08,476.2,4.4,480.6,66,true
343,48,4,WP-0048-09,314.2,7.4,321.6,178,true
344,48,4,WP-0048-10,368.8,4.0,372.8,90,true
345,48,4,WP-0048-11,373.1,0.9,374.0,61,true
346,48,4,WP-0048-12,456.7,0.4,457.1,65,true
347,49,1,WP-0049-01,182.4,7.9,190.3,57,true
348,49,1,WP-0049-02,356.9,1.2,358.1,165,true
349,49,1,WP-0049-03,316.6,5.2,321.8,41,true
350,49,1,WP-0049-04,164.9,2.3,167.2,118,true
351,49,1,WP-0049-05,452.9,2.1,455.0,157,true
352,50,3,WP-0050-01,478.6,0.4,479.0,101,true
353,50,3,WP-0050-02,381.9,0.2,382.1,62,true
354,50,3,WP-0050-03,303.1,2.0,305.1,140,true
355,50,3,WP-0050-04,475.8,2.0,477.8,45,true
356,50,3,WP-0050-05,409.7,1.4,411.1,89,true
357,50,3,WP-0050-06,131.7,5.3,137.0,112,true
358,50,3,WP-0050-07,316.7,7.6,324.3,179,true
359,50,3,WP-0050-08,249.9,2.9,252.8,118,true
360,51,4,WP-0051-01,293.7,0.9,294.6,133,true
361,51,4,WP-0051-02,326.6,1.5,328.1,58,true
362,51,4,WP-0051-03,471.5,6.7,478.2,42,true
363,51,4,WP-0051-04,451.4,7.4,458.8,98,true
364,51,4,WP-0051-05,351.2,3.6,354.8,67,true
365,51,4,WP-0051-06,287.4,3.7,291.1,88,true
366,52,5,WP-0052-01,216.1,0.5,216.6,91,true
367,52,5,WP-0052-02,366.0,6.5,372.5,103,true
368,52,5,WP-0052-03,228.7,7.7,236.4,123,true
369,52,5,WP-0052-04,205.3,3.7,209.0,148,true
370,52,5,WP-0052-05,447.3,1.7,449.0,43,true
371,52,5,WP-0052-06,171.4,3.4,174.8,166,true
372,52,5,WP-0052-07,240.3,1.0,241.3,104,true
373,52,5,WP-0052-08,171.3,0.7,172.0,145,true
374,52,5,WP-0052-09,451.7,6.4,458.1,129,true
375,52,5,WP-0052-10,378.4,2.4,380.8,93,true
376,52,5,WP-0052-11,433.9,7.4,441.3,137,true
377,52,5,WP-0052-12,188.1,0.7,188.8,174,true
378,53,10,WP-0053-01,213.4,7.3,220.7,113,true
379,53,10,WP-0053-02,279.5,1.4,280.9,42,true
380,53,10,WP-0053-03,315.4,4.9,320.3,95,true
381,53,10,WP-0053-04,350.4,4.6,355.0,122,true
382,53,10,WP-0053-05,440.4,1.5,441.9,161,true
383,53,10,WP-0053-06,210.5,2.4,212.9,132,true
384,53,10,WP-0053-07,164.3,7.1,171.4,134,true
385,53,10,WP-0053-08,232.2,2.1,234.3,92,true
386,54,10,WP-0054-01,337.7,3.6,341.3,137,true
387,54,10,WP-0054-02,422.5,2.3,424.8,138,true
388,54,10,WP-0054-03,218.2,2.1,220.3,148,true
389,54,10,WP-0054-04,138.3,7.0,145.3,83,true
390,55,10,WP-0055-01,332.0,3.2,335.2,81,true
391,55,10,WP-0055-02,478.9,2.7,481.6,94,true
392,55,10,WP-0055-03,401.0,1.6,402.6,125,true
393,55,10,WP-0055-04,335.4,7.6,343.0,77,true
394,55,10,WP-0055-05,399.9,7.9,407.8,143,true
395,55,10,WP-0055-06,404.7,6.3,411.0,134,true
396,55,10,WP-0055-07,294.5,2.6,297.1,108,true
397,55,10,WP-0055-08,254.3,5.3,259.6,133,true
398,55,10,WP-0055-09,121.5,4.4,125.9,130,true
399,56,9,WP-0056-01,313.8,2.7,316.5,176,true
400,56,9,WP-0056-02,377.1,0.3,377.4,126,true
401,56,9,WP-0056-03,273.4,4.3,277.7,169,true
402,56,9,WP-0056-04,457.6,7.6,465.2,86,true
403,56,9,WP-0056-05,383.5,4.1,387.6,177,true
404,56,9,WP-0056-06,438.8,2.9,441.7,55,true
405,56,9,WP-0056-07,313.5,3.5,317.0,170,true
406,56,9,WP-0056-08,351.3,0.3,351.6,68,true
407,57,7,WP-0057-01,214.6,6.3,220.9,96,true
408,57,7,WP-0057-02,309.5,1.6,311.1,43,true
409,57,7,WP-0057-03,415.4,1.0,416.4,142,true
410,57,7,WP-0057-04,317.1,4.9,322.0,103,true
411,57,7,WP-0057-05,259.9,3.8,263.7,153,true
412,57,7,WP-0057-06,298.9,4.9,303.8,64,true
413,57,7,WP-0057-07,232.3,7.7,240.0,168,true
414,57,7,WP-0057-08,202.7,1.2,203.9,77,true
415,58,6,WP-0058-01,300.4,1.7,302.1,173,true
416,58,6,WP-0058-02,434.2,6.7,440.9,58,true
417,59,1,WP-0059-01,200.7,4.1,204.8,63,true
418,59,1,WP-0059-02,333.4,6.4,339.8,82,true
419,59,1,WP-0059-03,299.5,2.5,302.0,148,true
420,59,1,WP-0059-04,380.0,4.9,384.9,116,true
421,60,7,WP-0060-01,360.5,4.3,364.8,46,true
422,60,7,WP-0060-02,221.6,4.0,225.6,161,true
423,60,7,WP-0060-03,351.4,0.6,352.0,54,true
424,60,7,WP-0060-04,469.6,7.9,477.5,45,true
425,60,7,WP-0060-05,181.9,0.3,182.2,156,true
426,60,7,WP-0060-06,178.5,7.3,185.8,59,true
427,60,7,WP-0060-07,255.0,4.1,259.1,161,true
428,60,7,WP-0060-08,227.5,4.3,231.8,150,true
429,60,7,WP-0060-09,210.3,6.7,217.0,150,true
430,60,7,WP-0060-10,269.9,4.3,274.2,153,true
431,60,7,WP-0060-11,340.7,7.6,348.3,109,true
432,61,1,WP-0061-01,323.9,6.3,330.2,139,true
433,61,1,WP-0061-02,415.0,3.2,418.2,142,true
434,61,1,WP-0061-03,206.4,4.5,210.9,143,true
435,61,1,WP-0061-04,176.7,6.0,182.7,113,true
436,61,1,WP-0061-05,323.0,7.4,330.4,140,true
437,61,1,WP-0061-06,163.0,2.4,165.4,126,true
438,61,1,WP-0061-07,452.5,0.2,452.7,55,true
439,61,1,WP-0061-08,246.1,7.5,253.6,132,true
440,61,1,WP-0061-09,405.1,5.5,410.6,130,true
441,61,1,WP-0061-10,148.8,5.0,153.8,116,true
442,62,4,WP-0062-01,222.1,1.6,223.7,93,true
443,62,4,WP-0062-02,287.5,0.5,288.0,171,true
444,62,4,WP-0062-03,372.9,2.3,375.2,79,true
445,62,4,WP-0062-04,277.4,7.0,284.4,69,true
446,62,4,WP-0062-05,342.0,3.1,345.1,82,true
447,62,4,WP-0062-06,160.4,3.6,164.0,55,true
448,62,4,WP-0062-07,132.2,5.4,137.6,123,true
449,62,4,WP-0062-08,147.9,7.6,155.5,112,true
450,62,4,WP-0062-09,184.1,6.1,190.2,106,true
451,62,4,WP-0062-10,320.8,4.5,325.3,50,true
452,63,4,WP-0063-01,178.5,3.9,182.4,89,true
453,63,4,WP-0063-02,238.2,5.5,243.7,153,true
454,63,4,WP-0063-03,440.4,2.2,442.6,120,true
455,63,4,WP-0063-04,419.3,6.6,425.9,105,true
456,64,2,WP-0064-01,316.8,1.7,318.5,67,true
457,64,2,WP-0064-02,322.4,0.3,322.7,104,true
458,64,2,WP-0064-03,353.4,6.5,359.9,121,true
459,64,2,WP-0064-04,152.3,4.0,156.3,159,true
460,64,2,WP-0064-05,381.4,3.5,384.9,110,true
461,64,2,WP-0064-06,182.5,6.9,189.4,75,true
462,64,2,WP-0064-07,183.7,7.0,190.7,103,true
463,64,2,WP-0064-08,404.0,3.7,407.7,108,true
