maintenance_id,machine_id,performed_on,kind,duration_min,cost
74,2,2025-10-28,calibration,63,864.47
75,3,2025-11-01,calibration,37,2211.84
76,4,2025-11-05,calibration,272,2077.97
77,5,2025-11-09,inspection,63,1745.75
78,6,2025-11-13,calibration,287,1410.17
79,7,2025-11-17,repair,301,2233.33
80,8,2025-11-21,inspection,268,308.69
81,9,2025-11-25,inspection,144,1540.15
82,10,2025-11-29,calibration,63,608.19
83,11,2025-12-03,calibration,170,2393.17
84,12,2025-12-07,repair,275,747.65
85,1,2025-12-11,repair,109,1007.72
86,2,2025-12-15,lubrication,270,105.52
87,3,2025-12-19,repair,305,435.32
88,4,2025-12-23,lubrication,84,879.82
89,5,2025-12-27,calibration,154,1701.51
90,6,2025-12-31,inspection,54,2267.63
91,7,2026-01-04,calibration,313,1458.39
92,8,2026-01-08,inspection,85,2029.37
93,9,2026-01-12,lubrication,253,383.57
94,10,2026-01-16,repair,240,88.33
95,11,2026-01-20,repair,202,2252.4
96,12,2026-01-24,lubrication,194,1579.95
97,1,2026-01-28,lubrication,283,1464.6
98,2,2026-02-01,inspection,55,1951.3
99,3,2026-02-05,lubrication,274,1619.59
100,4,2026-02-09,inspection,39,1710.16
101,5,2026-02-13,repair,139,1862.4
102,6,2026-02-17,calibration,157,710.83
103,7,2026-02-21,lubrication,220,1016.97
104,8,2026-02-25,lubrication,249,698.42
105,9,2026-03-01,calibration,34,824.64
106,10,2026-03-05,calibration,273,379.65
107,11,2026-03-09,lubrication,257,520.57
108,12,2026-03-13,calibration,351,936.94
109,1,2026-03-17,inspection,76,344.16
110,2,2026-03-21,lubrication,355,2110.42
111,3,2026-03-25,lubrication,130,2186.5
112,4,2026-03-29,lubrication,177,747.0
113,5,2026-04-02,lubrication,132,1426.51
114,6,2026-04-06,calibration,159,2073.88
115,7,2026-04-10,lubrication,183,689.47
116,8,2026-04-14,repair,37,159.12
117,9,2026-04-18,repair,147,1170.6
118,10,2026-04-22,repair,322,2249.29
119,11,2026-04-26,repair,330,1467.55
120,12,2026-04-30,inspection,281,1567.59
121,1,2026-05-04,repair,119,1193.05
122,2,2026-05-08,inspection,236,940.05
123,3,2026-05-12,inspection,147,178.48
124,4,2026-05-16,calibration,118,2341.07
125,5,2026-05-20,inspection,53,844.22
126,6,2026-05-24,calibration,288,1117.87
127,7,2026-05-28,lubrication,254,2032.52
128,8,2026-06-01,repair,30,1642.38
129,9,2026-06-05,calibration,308,1047.06
130,10,2026-06-09,repair,195,2234.61
131,11,2026-06-13,lubrication,74,1044.22
132,12,2026-06-17,repair,185,1782.05
133,1,2026-06-21,inspection,39,1656.95
134,2,2026-06-25,repair,159,1984.37
135,3,2026-06-29,lubrication,192,178.71
136,4,2026-07-03,inspection,195,2263.9
137,5,2026-07-07,lubrication,258,2065.51
138,6,2026-07-11,lubrication,225,1370.57
139,7,2026-07-15,repair,154,917.52
140,8,2026-07-19,lubrication,103,630.43
141,9,2026-07-23,calibration,248,490.43
142,10,2026-07-27,repair,73,2159.33
143,11,2026-07-31,calibration,49,108.16
144,12,2026-08-04,repair,79,346.44
145,1,2026-08-08,calibration,140,356.9
146,2,2026-08-12,inspection,343,1296.36
147,3,2026-08-16,calibration,251,1168.76
148,4,2026-08-20,lubrication,360,1647.0
149,5,2026-08-24,repair,359,1927.02
150,6,2026-08-28,lubrication,260,591.22
