reading_id,machine_id,recorded_at,temperature_c,vibration_rms,power_kw,energy_kwh
57,9,2025-03-01 07:00:00,57.1,2.17,18.94,4.735
58,10,2025-03-01 07:00:00,53.4,3.51,19.97,4.992
59,11,2025-03-01 07:00:00,60.4,1.2,20.09,5.022
60,12,2025-03-01 07:00:00,39.9,0.71,26.51,6.628
61,1,2025-03-01 07:15:00,66.9,1.48,8.53,2.132
62,2,2025-03-01 07:15:00,48.6,1.31,9.95,2.487
63,3,2025-03-01 07:15:00,47.2,5.94,10.25,2.562
64,4,2025-03-01 07:15:00,58.5,4.46,7.48,1.87
65,5,2025-03-01 07:15:00,44.2,6.29,7.86,1.965
66,6,2025-03-01 07:15:00,81.7,3.89,11.94,2.985
67,7,2025-03-01 07:15:00,45.1,5.79,12.38,3.095
68,8,2025-03-01 07:15:00,60.9,1.12,19.42,4.855
69,9,2025-03-01 07:15:00,80.7,1.56,11.41,2.853
70,10,2025-03-01 07:15:00,61.0,5.23,10.05,2.513
71,11,2025-03-01 07:15:00,76.4,0.77,15.46,3.865
72,12,2025-03-01 07:15:00,68.8,1.7,14.71,3.678
73,1,2025-03-01 07:30:00,64.1,2.35,7.8,1.95
74,2,2025-03-01 07:30:00,74.6,4.69,7.37,1.843
75,3,2025-03-01 07:30:00,47.6,3.5,11.8,2.95
76,4,2025-03-01 07:30:00,53.1,4.48,6.4,1.6
77,5,2025-03-01 07:30:00,66.5,5.3,9.63,2.408
78,6,2025-03-01 07:30:00,60.8,2.2,9.16,2.29
79,7,2025-03-01 07:30:00,39.7,4.64,15.31,3.828
80,8,2025-03-01 07:30:00,77.4,3.19,19.74,4.935
81,9,2025-03-01 07:30:00,83.4,3.05,21.09,5.272
82,10,2025-03-01 07:30:00,78.2,2.59,22.07,5.518
83,11,2025-03-01 07:30:00,60.0,0.8,22.93,5.732
84,12,2025-03-01 07:30:00,68.1,3.2,15.71,3.928
85,1,2025-03-01 07:45:00,43.7,5.46,4.61,1.153
86,2,2025-03-01 07:45:00,80.7,1.04,4.54,1.135
87,3,2025-03-01 07:45:00,55.8,2.47,9.46,2.365
88,4,2025-03-01 07:45:00,48.8,2.27,11.3,2.825
89,5,2025-03-01 07:45:00,83.9,2.69,14.52,3.63
90,6,2025-03-01 07:45:00,71.5,4.69,8.49,2.123
91,7,2025-03-01 07:45:00,53.5,1.48,7.85,1.962
92,8,2025-03-01 07:45:00,82.1,5.02,9.18,2.295
93,9,2025-03-01 07:45:00,54.4,4.36,21.98,5.495
94,10,2025-03-01 07:45:00,86.5,0.59,23.71,5.928
95,11,2025-03-01 07:45:00,70.7,1.84,15.97,3.993
96,12,2025-03-01 07:45:00,91.1,2.07,16.87,4.218
97,1,2025-03-01 08:00:00,38.5,2.44,8.5,2.125
98,2,2025-03-01 08:00:00,58.2,4.45,8.1,2.025
99,3,2025-03-01 08:00:00,44.5,3.68,11.59,2.897
100,4,2025-03-01 08:00:00,60.9,5.24,9.99,2.498
101,5,2025-03-01 08:00:00,46.6,1.42,7.76,1.94
102,6,2025-03-01 08:00:00,73.8,3.91,16.88,4.22
103,7,2025-03-01 08:00:00,88.1,5.57,18.72,4.68
104,8,2025-03-01 08:00:00,57.2,0.73,18.52,4.63
105,9,2025-03-01 08:00:00,68.4,0.55,20.18,5.045
106,10,2025-03-01 08:00:00,53.1,5.08,14.18,3.545
107,11,2025-03-01 08:00:00,42.8,1.86,9.62,2.405
108,12,2025-03-01 08:00:00,72.9,4.64,10.09,2.522
109,1,2025-03-01 08:15:00,40.1,2.57,3.5,0.875
110,2,2025-03-01 08:15:00,54.4,4.24,8.36,2.09
111,3,2025-03-01 08:15:00,40.0,4.1,6.44,1.61
112,4,2025-03-01 08:15:00,56.8,0.45,5.96,1.49
113,5,2025-03-01 08:15:00,90.9,6.26,8.98,2.245
114,6,2025-03-01 08:15:00,62.7,1.36,13.46,3.365
115,7,2025-03-01 08:15:00,80.5,4.49,18.37,4.593
116,8,2025-03-01 08:15:00,44.4,1.03,10.14,2.535
117,9,2025-03-01 08:15:00,64.5,1.3,13.6,3.4
118,10,2025-03-01 08:15:00,72.2,3.21,22.97,5.742
119,11,2025-03-01 08:15:00,68.3,1.06,17.01,4.253
120,12,2025-03-01 08:15:00,62.7,0.55,17.53,4.383
121,1,2025-03-01 08:30:00,51.7,0.8,8.76,2.19
122,2,2025-03-01 08:30:00,69.7,4.4,6.22,1.555
123,3,2025-03-01 08:30:00,45.1,1.77,9.44,2.36
124,4,2025-03-01 08:30:00,89.5,2.75,6.07,1.518
125,5,2025-03-01 08:30:00,56.8,6.37,6.69,1.673
126,6,2025-03-01 08:30:00,60.4,1.91,17.22,4.305
127,7,2025-03-01 08:30:00,77.9,3.09,10.14,2.535
128,8,2025-03-01 08:30:00,70.5,6.31,12.99,3.248
129,9,2025-03-01 08:30:00,54.9,2.61,11.89,2.973
130,10,2025-03-01 08:30:00,75.9,2.71,10.33,2.583
131,11,2025-03-01 08:30:00,70.3,3.79,21.11,5.277
132,12,2025-03-01 08:30:00,83.1,3.37,16.64,4.16
133,1,2025-03-01 08:45:00,79.9,2.85,9.07,2.268
134,2,2025-03-01 08:45:00,69.4,6.05,7.91,1.978
135,3,2025-03-01 08:45:00,85.0,3.89,6.92,1.73
136,4,2025-03-01 08:45:00,45.3,6.1,5.76,1.44
137,5,2025-03-01 08:45:00,62.9,4.04,9.42,2.355
138,6,2025-03-01 08:45:00,60.2,0.92,13.24,3.31
139,7,2025-03-01 08:45:00,39.1,3.03,7.92,1.98
140,8,2025-03-01 08:45:00,42.4,3.23,9.72,2.43
141,9,2025-03-01 08:45:00,91.9,4.77,18.95,4.737
142,10,2025-03-01 08:45:00,61.5,3.56,21.38,5.345
143,11,2025-03-01 08:45:00,80.8,3.87,11.73,2.933
144,12,2025-03-01 08:45:00,70.4,0.94,18.89,4.723
145,1,2025-03-01 09:00:00,48.4,5.17,7.43,1.857
146,2,2025-03-01 09:00:00,61.0,5.48,10.09,2.522
147,3,2025-03-01 09:00:00,40.4,5.41,10.32,2.58
148,4,2025-03-01 09:00:00,51.8,4.5,6.35,1.587
149,5,2025-03-01 09:00:00,89.2,5.56,10.92,2.73
150,6,2025-03-01 09:00:00,53.2,0.53,12.3,3.075
151,7,2025-03-01 09:00:00,48.9,3.26,14.69,3.672
152,8,2025-03-01 09:00:00,51.0,5.79,8.55,2.138
153,9,2025-03-01 09:00:00,91.0,5.73,20.4,5.1
154,10,2025-03-01 09:00:00,48.1,2.34,12.83,3.208
155,11,2025-03-01 09:00:00,44.7,1.61,14.8,3.7
156,12,2025-03-01 09:00:00,80.5,4.22,18.64,4.66
157,1,2025-03-01 09:15:00,41.6,6.03,7.63,1.907
158,2,2025-03-01 09:15:00,54.2,5.1,7.99,1.998
159,3,2025-03-01 09:15:00,79.6,0.43,5.94,1.485
160,4,2025-03-01 09:15:00,74.1,6.2,11.5,2.875
161,5,2025-03-01 09:15:00,46.0,2.52,6.5,1.625
162,6,2025-03-01 09:15:00,91.1,4.85,14.79,3.697
163,7,2025-03-01 09:15:00,44.1,4.8,18.41,4.603
164,8,2025-03-01 09:15:00,49.5,5.97,15.55,3.888
165,9,2025-03-01 09:15:00,61.1,3.71,13.6,3.4
166,10,2025-03-01 09:15:00,50.9,4.89,20.39,5.098
167,11,2025-03-01 09:15:00,39.2,4.38,21.15,5.287
168,12,2025-03-01 09:15:00,60.7,2.58,20.79,5.197
169,1,2025-03-01 09:30:00,51.3,4.29,4.27,1.067
170,2,2025-03-01 09:30:00,56.7,3.24,4.17,1.042
171,3,2025-03-01 09:30:00,65.5,6.23,9.76,2.44
172,4,2025-03-01 09:30:00,62.6,5.94,10.64,2.66
173,5,2025-03-01 09:30:00,51.6,4.87,10.67,2.667
174,6,2025-03-01 09:30:00,86.7,3.29,8.37,2.092
175,7,2025-03-01 09:30:00,75.9,5.72,7.41,1.853
176,8,2025-03-01 09:30:00,75.7,5.81,12.99,3.248
177,9,2025-03-01 09:30:00,90.2,2.44,9.69,2.422
178,10,2025-03-01 09:30:00,70.0,1.12,14.84,3.71
179,11,2025-03-01 09:30:00,87.4,4.68,15.29,3.822
180,12,2025-03-01 09:30:00,77.7,2.24,18.27,4.567
181,1,2025-03-01 09:45:00,63.4,5.48,4.46,1.115
182,2,2025-03-01 09:45:00,52.0,3.17,8.93,2.232
183,3,2025-03-01 09:45:00,48.5,6.28,11.72,2.93
184,4,2025-03-01 09:45:00,80.2,6.14,10.0,2.5
185,5,2025-03-01 09:45:00,44.2,5.18,7.38,1.845
186,6,2025-03-01 09:45:00,81.2,3.38,7.89,1.972
187,7,2025-03-01 09:45:00,84.9,5.88,17.57,4.393
188,8,2025-03-01 09:45:00,67.6,5.23,12.42,3.105
189,9,2025-03-01 09:45:00,91.1,5.77,21.22,5.305
190,10,2025-03-01 09:45:00,63.7,2.66,8.78,2.195
191,11,2025-03-01 09:45:00,72.5,5.99,16.09,4.022
192,12,2025-03-01 09:45:00,73.9,3.82,23.18,5.795
193,1,2025-03-01 10:00:00,55.4,2.16,3.82,0.955
194,2,2025-03-01 10:00:00,73.6,3.97,6.83,1.708
195,3,2025-03-01 10:00:00,90.3,0.76,11.7,2.925
196,4,2025-03-01 10:00:00,72.6,1.6,12.17,3.042
197,5,2025-03-01 10:00:00,47.7,1.6,8.62,2.155
198,6,2025-03-01 10:00:00,62.7,5.17,12.62,3.155
199,7,2025-03-01 10:00:00,52.2,1.9,9.75,2.438
200,8,2025-03-01 10:00:00,52.3,1.51,13.43,3.357
201,9,2025-03-01 10:00:00,83.6,5.2,14.7,3.675
202,10,2025-03-01 10:00:00,47.3,4.15,14.63,3.658
203,11,2025-03-01 10:00:00,68.0,3.29,21.08,5.27
204,12,2025-03-01 10:00:00,82.1,4.05,16.79,4.197
205,1,2025-03-01 10:15:00,63.1,3.21,6.42,1.605
206,2,2025-03-01 10:15:00,59.8,4.14,4.05,1.012
207,3,2025-03-01 10:15:00,56.2,4.06,9.62,2.405
208,4,2025-03-01 10:15:00,45.6,0.84,8.08,2.02
209,5,2025-03-01 10:15:00,54.9,2.11,10.93,2.732
210,6,2025-03-01 10:15:00,78.0,0.68,10.83,2.708
211,7,2025-03-01 10:15:00,72.3,1.49,10.25,2.562
212,8,2025-03-01 10:15:00,85.4,3.06,13.7,3.425
213,9,2025-03-01 10:15:00,61.6,4.23,22.11,5.527
214,10,2025-03-01 10:15:00,76.5,2.2,10.06,2.515
215,11,2025-03-01 10:15:00,55.5,2.23,19.13,4.782
216,12,2025-03-01 10:15:00,76.3,1.93,10.72,2.68
217,1,2025-03-01 10:30:00,38.3,6.19,3.57,0.892
218,2,2025-03-01 10:30:00,47.7,2.24,5.66,1.415
219,3,2025-03-01 10:30:00,82.5,6.12,11.57,2.893
220,4,2025-03-01 10:30:00,46.3,3.08,8.46,2.115
221,5,2025-03-01 10:30:00,91.4,3.47,14.42,3.605
222,6,2025-03-01 10:30:00,65.8,3.85,14.18,3.545
223,7,2025-03-01 10:30:00,51.8,5.81,12.08,3.02
224,8,2025-03-01 10:30:00,62.4,1.65,16.47,4.117
225,9,2025-03-01 10:30:00,87.8,3.02,8.5,2.125
226,10,2025-03-01 10:30:00,53.6,5.29,19.29,4.822
227,11,2025-03-01 10:30:00,73.4,3.91,11.25,2.812
228,12,2025-03-01 10:30:00,88.9,1.89,22.25,5.562
229,1,2025-03-01 10:45:00,66.2,5.4,4.95,1.238
230,2,2025-03-01 10:45:00,39.8,1.18,8.33,2.083
231,3,2025-03-01 10:45:00,79.6,3.53,5.5,1.375
232,4,2025-03-01 10:45:00,84.0,0.97,12.34,3.085
233,5,2025-03-01 10:45:00,44.0,1.05,8.45,2.112
234,6,2025-03-01 10:45:00,66.2,4.33,14.02,3.505
235,7,2025-03-01 10:45:00,80.8,5.32,10.23,2.558
236,8,2025-03-01 10:45:00,90.9,1.75,17.12,4.28
237,9,2025-03-01 10:45:00,39.9,3.52,12.53,3.132
238,10,2025-03-01 10:45:00,58.3,6.0,11.01,2.752
239,11,2025-03-01 10:45:00,91.0,0.54,13.99,3.498
240,12,2025-03-01 10:45:00,68.1,2.12,20.06,5.015
241,1,2025-03-01 11:00:00,88.7,1.9,7.76,1.94
242,2,2025-03-01 11:00:00,75.5,1.1,7.94,1.985
243,3,2025-03-01 11:00:00,59.8,6.12,7.85,1.962
244,4,2025-03-01 11:00:00,63.1,4.92,6.99,1.748
245,5,2025-03-01 11:00:00,65.8,0.6,15.19,3.797
246,6,2025-03-01 11:00:00,41.9,3.65,16.04,4.01
247,7,2025-03-01 11:00:00,89.1,2.44,14.71,3.678
248,8,2025-03-01 11:00:00,90.5,5.29,19.18,4.795
249,9,2025-03-01 11:00:00,58.6,2.12,12.79,3.197
250,10,2025-03-01 11:00:00,47.4,1.9,20.58,5.145
251,11,2025-03-01 11:00:00,58.8,3.86,24.79,6.197
252,12,2025-03-01 11:00:00,54.4,5.6,19.07,4.768
253,1,2025-03-01 11:15:00,79.1,1.68,5.16,1.29
254,2,2025-03-01 11:15:00,77.8,3.33,10.41,2.603
255,3,2025-03-01 11:15:00,66.6,3.97,8.52,2.13
256,4,2025-03-01 11:15:00,71.2,3.23,13.94,3.485
257,5,2025-03-01 11:15:00,83.8,5.01,11.98,2.995
258,6,2025-03-01 11:15:00,48.0,3.53,16.86,4.215
259,7,2025-03-01 11:15:00,56.9,5.4,13.59,3.397
260,8,2025-03-01 11:15:00,60.7,4.22,15.42,3.855
261,9,2025-03-01 11:15:00,79.4,6.32,19.97,4.992
262,10,2025-03-01 11:15:00,86.2,3.03,17.09,4.272
263,11,2025-03-01 11:15:00,87.0,5.29,13.13,3.283
264,12,2025-03-01 11:15:00,59.9,1.93,22.9,5.725
265,1,2025-03-01 11:30:00,68.3,1.73,4.7,1.175
266,2,2025-03-01 11:30:00,53.7,1.23,6.43,1.607
267,3,2025-03-01 11:30:00,89.1,5.97,9.21,2.303
268,4,2025-03-01 11:30:00,79.0,5.37,8.85,2.212
269,5,2025-03-01 11:30:00,58.4,5.13,10.95,2.737
270,6,2025-03-01 11:30:00,72.2,2.64,15.13,3.783
271,7,2025-03-01 11:30:00,76.8,0.56,18.86,4.715
272,8,2025-03-01 11:30:00,62.4,0.52,14.33,3.583
273,9,2025-03-01 11:30:00,83.2,4.24,8.56,2.14
274,10,2025-03-01 11:30:00,58.7,3.33,21.43,5.357
275,11,2025-03-01 11:30:00,44.0,1.23,9.82,2.455
276,12,2025-03-01 11:30:00,55.0,0.98,23.67,5.918
277,1,2025-03-01 11:45:00,57.4,4.22,7.42,1.855
278,2,2025-03-01 11:45:00,46.6,1.03,8.78,2.195
279,3,2025-03-01 11:45:00,78.7,4.76,8.95,2.237
280,4,2025-03-01 11:45:00,87.5,1.66,8.41,2.103
281,5,2025-03-01 11:45:00,41.3,4.56,7.83,1.958
282,6,2025-03-01 11:45:00,82.4,5.62,14.83,3.708
283,7,2025-03-01 11:45:00,90.9,4.4,14.66,3.665
284,8,2025-03-01 11:45:00,67.7,1.99,19.02,4.755
285,9,2025-03-01 11:45:00,91.5,3.98,14.56,3.64
286,10,2025-03-01 11:45:00,86.7,6.33,12.42,3.105
287,11,2025-03-01 11:45:00,86.7,4.79,13.9,3.475
288,12,2025-03-01 11:45:00,57.9,5.11,11.99,2.998
289,1,2025-03-01 12:00:00,88.7,0.77,5.3,1.325
290,2,2025-03-01 12:00:00,52.7,5.69,4.84,1.21
291,3,2025-03-01 12:00:00,71.3,4.29,6.98,1.745
292,4,2025-03-01 12:00:00,52.6,4.74,5.81,1.452
293,5,2025-03-01 12:00:00,80.9,4.61,9.42,2.355
294,6,2025-03-01 12:00:00,65.7,5.06,6.52,1.63
295,7,2025-03-01 12:00:00,43.8,2.26,9.11,2.277
296,8,2025-03-01 12:00:00,57.9,1.45,13.4,3.35
297,9,2025-03-01 12:00:00,78.6,3.2,10.84,2.71
298,10,2025-03-01 12:00:00,68.7,3.31,10.03,2.507
299,11,2025-03-01 12:00:00,65.7,4.14,16.92,4.23
300,12,2025-03-01 12:00:00,78.4,4.54,25.58,6.395
301,1,2025-03-01 12:15:00,54.7,5.0,8.59,2.147
302,2,2025-03-01 12:15:00,61.8,5.77,8.85,2.212
303,3,2025-03-01 12:15:00,65.5,0.43,8.64,2.16
304,4,2025-03-01 12:15:00,88.8,5.33,5.34,1.335
305,5,2025-03-01 12:15:00,78.8,3.56,14.45,3.612
306,6,2025-03-01 12:15:00,85.5,3.12,12.49,3.123
307,7,2025-03-01 12:15:00,73.8,2.03,17.74,4.435
308,8,2025-03-01 12:15:00,48.2,6.49,7.97,1.992
309,9,2025-03-01 12:15:00,83.6,4.57,13.18,3.295
310,10,2025-03-01 12:15:00,91.4,3.15,15.2,3.8
311,11,2025-03-01 12:15:00,65.5,6.23,13.7,3.425
312,12,2025-03-01 12:15:00,68.4,0.53,15.89,3.973
313,1,2025-03-01 12:30:00,56.4,0.62,6.26,1.565
314,2,2025-03-01 12:30:00,71.8,2.13,9.93,2.482
315,3,2025-03-01 12:30:00,62.0,2.47,11.95,2.987
316,4,2025-03-01 12:30:00,62.0,3.48,12.92,3.23
317,5,2025-03-01 12:30:00,58.5,4.71,8.81,2.203
318,6,2025-03-01 12:30:00,78.6,1.51,16.94,4.235
319,7,2025-03-01 12:30:00,56.3,1.29,11.43,2.857
320,8,2025-03-01 12:30:00,50.3,2.0,11.87,2.967
321,9,2025-03-01 12:30:00,47.8,4.33,15.56,3.89
322,10,2025-03-01 12:30:00,78.9,1.0,15.61,3.902
323,11,2025-03-01 12:30:00,38.8,0.67,10.41,2.603
324,12,2025-03-01 12:30:00,38.4,3.51,25.37,6.343
325,1,2025-03-01 12:45:00,76.2,5.08,6.79,1.698
326,2,2025-03-01 12:45:00,68.2,4.96,6.58,1.645
327,3,2025-03-01 12:45:00,65.3,6.24,11.19,2.797
328,4,2025-03-01 12:45:00,47.5,5.14,6.64,1.66
329,5,2025-03-01 12:45:00,73.8,4.65,9.87,2.467
330,6,2025-03-01 12:45:00,45.3,1.59,8.33,2.083
331,7,2025-03-01 12:45:00,60.1,4.95,12.45,3.112
332,8,2025-03-01 12:45:00,50.6,3.7,19.31,4.827
333,9,2025-03-01 12:45:00,56.4,3.89,17.5,4.375
334,10,2025-03-01 12:45:00,77.7,5.65,13.84,3.46
335,11,2025-03-01 12:45:00,86.9,4.18,12.48,3.12
336,12,2025-03-01 12:45:00,86.7,3.28,23.12,5.78
337,1,2025-03-01 13:00:00,64.4,3.94,4.26,1.065
338,2,2025-03-01 13:00:00,58.5,0.95,7.98,1.995
339,3,2025-03-01 13:00:00,48.6,5.99,9.6,2.4
340,4,2025-03-01 13:00:00,81.5,4.52,12.86,3.215
341,5,2025-03-01 13:00:00,91.1,5.07,12.52,3.13
342,6,2025-03-01 13:00:00,42.5,4.77,12.71,3.178
343,7,2025-03-01 13:00:00,49.8,1.6,11.51,2.877
344,8,2025-03-01 13:00:00,54.6,1.08,16.27,4.067
345,9,2025-03-01 13:00:00,68.3,2.29,15.4,3.85
346,10,2025-03-01 13:00:00,39.7,1.7,13.72,3.43
347,11,2025-03-01 13:00:00,74.5,1.1,15.41,3.853
348,12,2025-03-01 13:00:00,50.6,2.15,14.04,3.51
349,1,2025-03-01 13:15:00,46.2,1.75,3.59,0.897
350,2,2025-03-01 13:15:00,86.7,4.86,9.49,2.373
351,3,2025-03-01 13:15:00,61.3,5.5,7.27,1.817
352,4,2025-03-01 13:15:00,79.8,0.7,10.03,2.507
353,5,2025-03-01 13:15:00,77.4,1.45,6.07,1.518
354,6,2025-03-01 13:15:00,45.2,2.56,8.87,2.217
355,7,2025-03-01 13:15:00,63.4,1.81,16.18,4.045
356,8,2025-03-01 13:15:00,55.2,6.43,10.87,2.717
357,9,2025-03-01 13:15:00,83.8,1.85,9.91,2.478
358,10,2025-03-01 13:15:00,47.4,0.69,14.56,3.64
359,11,2025-03-01 13:15:00,65.6,3.49,14.27,3.567
360,12,2025-03-01 13:15:00,64.4,0.41,12.42,3.105
361,1,2025-03-01 13:30:00,50.2,2.58,7.58,1.895
362,2,2025-03-01 13:30:00,72.2,3.8,7.01,1.752
363,3,2025-03-01 13:30:00,52.2,3.87,11.32,2.83
364,4,2025-03-01 13:30:00,65.3,5.9,10.75,2.688
365,5,2025-03-01 13:30:00,57.6,2.59,6.81,1.702
366,6,2025-03-01 13:30:00,51.9,5.12,6.52,1.63
367,7,2025-03-01 13:30:00,70.7,4.28,11.23,2.808
368,8,2025-03-01 13:30:00,41.5,3.33,9.3,2.325
369,9,2025-03-01 13:30:00,55.8,1.35,15.75,3.938
370,10,2025-03-01 13:30:00,77.6,0.88,18.49,4.622
371,11,2025-03-01 13:30:00,75.6,5.47,19.51,4.878
372,12,2025-03-01 13:30:00,50.2,5.92,15.4,3.85
373,1,2025-03-01 13:45:00,90.7,4.91,8.49,2.123
374,2,2025-03-01 13:45:00,56.8,1.84,7.26,1.815
375,3,2025-03-01 13:45:00,77.7,3.22,5.9,1.475
376,4,2025-03-01 13:45:00,79.9,6.44,7.94,1.985
377,5,2025-03-01 13:45:00,88.8,5.11,14.09,3.522
378,6,2025-03-01 13:45:00,74.0,0.45,14.02,3.505
379,7,2025-03-01 13:45:00,59.1,3.08,15.69,3.922
380,8,2025-03-01 13:45:00,42.7,4.33,16.56,4.14
381,9,2025-03-01 13:45:00,50.8,1.23,21.79,5.447
382,10,2025-03-01 13:45:00,47.4,1.79,15.51,3.877
383,11,2025-03-01 13:45:00,53.0,6.45,18.09,4.522
384,12,2025-03-01 13:45:00,68.2,1.8,21.26,5.315
385,1,2025-03-01 14:00:00,83.8,3.53,4.31,1.077
386,2,2025-03-01 14:00:00,73.9,3.92,4.81,1.202
387,3,2025-03-01 14:00:00,46.5,3.38,10.63,2.658
388,4,2025-03-01 14:00:00,60.0,2.71,6.45,1.613
389,5,2025-03-01 14:00:00,74.6,1.08,8.75,2.188
390,6,2025-03-01 14:00:00,69.8,2.81,9.9,2.475
391,7,2025-03-01 14:00:00,54.0,1.97,15.07,3.768
392,8,2025-03-01 14:00:00,65.2,4.02,12.09,3.022
393,9,2025-03-01 14:00:00,68.6,3.24,14.0,3.5
394,10,2025-03-01 14:00:00,90.7,5.53,15.43,3.857
395,11,2025-03-01 14:00:00,50.2,5.71,10.98,2.745
396,12,2025-03-01 14:00:00,78.0,1.67,13.48,3.37
397,1,2025-03-01 14:15:00,86.9,1.25,6.35,1.587
398,2,2025-03-01 14:15:00,91.0,3.76,8.58,2.145
399,3,2025-03-01 14:15:00,42.8,4.25,4.76,1.19
400,4,2025-03-01 14:15:00,82.5,4.52,5.22,1.305
401,5,2025-03-01 14:15:00,65.8,5.0,11.88,2.97
402,6,2025-03-01 14:15:00,61.7,1.09,10.85,2.712
403,7,2025-03-01 14:15:00,77.6,1.11,13.8,3.45
404,8,2025-03-01 14:15:00,38.8,3.99,13.97,3.493
405,9,2025-03-01 14:15:00,59.3,6.27,9.45,2.362
406,10,2025-03-01 14:15:00,82.9,1.19,18.08,4.52
407,11,2025-03-01 14:15:00,50.9,1.44,10.36,2.59
408,12,2025-03-01 14:15:00,85.1,5.6,20.16,5.04
409,1,2025-03-01 14:30:00,39.2,5.25,3.81,0.953
410,2,2025-03-01 14:30:00,42.6,3.24,10.11,2.527
411,3,2025-03-01 14:30:00,49.7,2.96,10.2,2.55
412,4,2025-03-01 14:30:00,53.2,3.34,12.17,3.042
413,5,2025-03-01 14:30:00,43.1,3.05,12.49,3.123
414,6,2025-03-01 14:30:00,53.7,5.98,9.63,2.408
415,7,2025-03-01 14:30:00,64.3,0.73,18.9,4.725
416,8,2025-03-01 14:30:00,49.9,5.47,10.54,2.635
417,9,2025-03-01 14:30:00,69.3,2.48,11.0,2.75
418,10,2025-03-01 14:30:00,45.4,1.39,10.65,2.663
419,11,2025-03-01 14:30:00,90.6,5.28,22.89,5.723
420,12,2025-03-01 14:30:00,84.0,4.3,20.18,5.045
421,1,2025-03-01 14:45:00,39.1,4.03,5.24,1.31
