fault_id,machine_id,opened_at,code,severity,duration_min,resolved
71,3,2025-03-10 03:00:00,E01,low,76,true
72,6,2025-03-10 06:00:00,E01,high,74,true
73,11,2025-03-10 09:00:00,E44,medium,52,false
74,6,2025-03-10 12:00:00,E90,low,210,false
75,8,2025-03-10 15:00:00,E44,high,129,true
76,10,2025-03-10 18:00:00,E90,high,78,true
77,3,2025-03-10 21:00:00,E44,high,157,true
78,4,2025-03-11 00:00:00,E20,medium,217,true
79,12,2025-03-11 03:00:00,E44,high,100,true
80,8,2025-03-11 06:00:00,E20,low,6,false
81,3,2025-03-11 09:00:00,E90,low,138,true
82,12,2025-03-11 12:00:00,E12,high,153,false
83,6,2025-03-11 15:00:00,E90,low,56,true
84,8,2025-03-11 18:00:00,E44,medium,105,true
85,2,2025-03-11 21:00:00,E20,medium,76,true
86,1,2025-03-12 00:00:00,E44,high,209,true
87,11,2025-03-12 03:00:00,E12,low,145,true
88,9,2025-03-12 06:00:00,E20,high,72,true
89,3,2025-03-12 09:00:00,E90,medium,233,true
90,7,2025-03-12 12:00:00,E20,medium,206,true
91,7,2025-03-12 15:00:00,E01,medium,106,false
92,7,2025-03-12 18:00:00,E44,medium,202,true
93,12,2025-03-12 21:00:00,E12,high,203,true
94,4,2025-03-13 00:00:00,E90,medium,155,true
95,9,2025-03-13 03:00:00,E01,medium,53,true
96,1,2025-03-13 06:00:00,E90,medium,117,true
97,5,2025-03-13 09:00:00,E44,high,191,true
98,2,2025-03-13 12:00:00,E44,low,16,true
99,1,2025-03-13 15:00:00,E20,high,91,false
100,1,2025-03-13 18:00:00,E90,medium,226,true
101,6,2025-03-13 21:00:00,E44,medium,191,true
102,6,2025-03-14 00:00:00,E20,medium,134,true
103,11,2025-03-14 03:00:00,E44,low,194,true
104,10,2025-03-14 06:00:00,E20,low,93,true
105,4,2025-03-14 09:00:00,E12,high,182,true
106,12,2025-03-14 12:00:00,E20,low,76,true
107,6,2025-03-14 15:00:00,E01,low,117,true
108,8,2025-03-14 18:00:00,E12,medium,183,false
109,9,2025-03-14 21:00:00,E12,low,10,true
110,5,2025-03-15 00:00:00,E12,high,52,true
111,1,2025-03-15 03:00:00,E01,low,42,true
112,5,2025-03-15 06:00:00,E01,high,98,true
113,4,2025-03-15 09:00:00,E20,low,228,true
114,11,2025-03-15 12:00:00,E44,low,47,true
115,6,2025-03-15 15:00:00,E01,high,94,true
116,11,2025-03-15 18:00:00,E90,low,53,true
117,12,2025-03-15 21:00:00,E01,high,65,true
118,4,2025-03-16 00:00:00,E90,medium,45,false
119,7,2025-03-16 03:00:00,E44,low,138,false
120,5,2025-03-16 06:00:00,E44,medium,84,true
121,3,2025-03-16 09:00:00,E44,medium,174,true
122,2,2025-03-16 12:00:00,E01,medium,195,true
123,3,2025-03-16 15:00:00,E12,low,231,true
124,12,2025-03-16 18:00:00,E44,medium,12,true
125,11,2025-03-16 21:00:00,E20,low,78,true
126,10,2025-03-17 00:00:00,E20,high,7,true
127,3,2025-03-17 03:00:00,E12,low,37,true
128,12,2025-03-17 06:00:00,E12,medium,8,true
129,6,2025-03-17 09:00:00,E44,medium,72,true
130,5,2025-03-17 12:00:00,E12,low,173,true
131,1,2025-03-17 15:00:00,E01,high,205,true
132,8,2025-03-17 18:00:00,E20,medium,169,true
133,4,2025-03-17 21:00:00,E44,medium,161,false
134,10,2025-03-18 00:00:00,E44,medium,139,true
135,9,2025-03-18 03:00:00,E01,high,100,true
136,2,2025-03-18 06:00:00,E44,high,151,true
137,1,2025-03-18 09:00:00,E12,low,182,false
138,10,2025-03-18 12:00:00,E90,high,205,true
139,5,2025-03-18 15:00:00,E44,high,34,true
140,5,2025-03-18 18:00:00,E12,high,67,true
141,5,2025-03-18 21:00:00,E90,low,147,true
142,3,2025-03-19 00:00:00,E20,low,203,true
143,1,2025-03-19 03:00:00,E20,low,167,true
144,7,2025-03-19 06:00:00,E20,high,197,true
145,6,2025-03-19 09:00:00,E12,low,240,true
146,3,2025-03-19 12:00:00,E20,medium,209,true
147,5,2025-03-19 15:00:00,E01,medium,38,true
148,4,2025-03-19 18:00:00,E20,high,190,true
149,11,2025-03-19 21:00:00,E20,high,167,true
150,8,2025-03-20 00:00:00,E90,high,207,true
151,3,2025-03-20 03:00:00,E90,low,212,true
152,2,2025-03-20 06:00:00,E90,high,57,true
153,1,2025-03-20 09:00:00,E20,medium,203,true
154,1,2025-03-20 12:00:00,E20,high,106,false
155,4,2025-03-20 15:00:00,E12,low,13,true
156,3,2025-03-20 18:00:00,E20,medium,75,true
157,1,2025-03-20 21:00:00,E44,low,110,false
158,1,2025-03-21 00:00:00,E01,low,212,true
159,7,2025-03-21 03:00:00,E90,low,188,true
160,11,2025-03-21 06:00:00,E44,medium,155,true
161,2,2025-03-21 09:00:00,E44,high,198,true
162,9,2025-03-21 12:00:00,E01,low,131,true
163,12,2025-03-21 15:00:00,E90,high,163,true
164,5,2025-03-21 18:00:00,E90,medium,172,true
165,9,2025-03-21 21:00:00,E12,high,186,true
166,12,2025-03-22 00:00:00,E90,high,93,true
167,3,2025-03-22 03:00:00,E20,high,225,true
168,9,2025-03-22 06:00:00,E01,low,144,false
169,8,2025-03-22 09:00:00,E12,low,239,true
170,3,2025-03-22 12:00:00,E12,high,58,true
171,7,2025-03-22 15:00:00,E01,medium,233,true
172,6,2025-03-22 18:00:00,E12,high,223,false
173,1,2025-03-22 21:00:00,E90,medium,5,true
174,5,2025-03-23 00:00:00,E90,high,6,true
175,7,2025-03-23 03:00:00,E44,low,43,true
176,12,2025-03-23 06:00:00,E20,medium,238,true
177,9,2025-03-23 09:00:00,E20,high,231,true
178,5,2025-03-23 12:00:00,E20,low,120,true
179,11,2025-03-23 15:00:00,E12,medium,126,true
180,2,2025-03-23 18:00:00,E44,high,215,true
181,11,2025-03-23 21:00:00,E44,low,83,true
182,5,2025-03-24 00:00:00,E44,high,86,true
183,12,2025-03-24 03:00:00,E01,medium,87,true
184,2,2025-03-24 06:00:00,E20,high,107,true
185,8,2025-03-24 09:00:00,E12,medium,77,true
186,5,2025-03-24 12:00:00,E20,low,217,true
187,1,2025-03-24 15:00:00,E12,low,176,true
188,10,2025-03-24 18:00:00,E01,medium,52,true
189,3,2025-03-24 21:00:00,E01,high,64,true
190,9,2025-03-25 00:00:00,E20,medium,38,true
191,1,2025-03-25 03:00:00,E44,low,83,true
192,8,2025-03-25 06:00:00,E12,high,179,true
193,10,2025-03-25 09:00:00,E20,medium,57,false
194,9,2025-03-25 12:00:00,E20,high,28,true
195,8,2025-03-25 15:00:00,E01,medium,81,true
196,7,2025-03-25 18:00:00,E20,low,180,true
197,3,2025-03-25 21:00:00,E12,high,206,true
198,10,2025-03-26 00:00:00,E01,medium,35,true
199,4,2025-03-26 03:00:00,E12,low,48,true
200,12,2025-03-26 06:00:00,E44,medium,91,true
201,7,2025-03-26 09:00:00,E44,medium,160,true
202,11,2025-03-26 12:00:00,E20,high,203,true
203,6,2025-03-26 15:00:00,E90,high,49,true
204,12,2025-03-26 18:00:00,E12,medium,129,false
205,3,2025-03-26 21:00:00,E01,medium,216,true
206,9,2025-03-27 00:00:00,E12,medium,181,true
207,3,2025-03-27 03:00:00,E20,high,83,true
208,9,2025-03-27 06:00:00,E44,medium,93,true
209,11,2025-03-27 09:00:00,E20,high,217,true
210,1,2025-03-27 12:00:00,E20,medium,226,true
211,12,2025-03-27 15:00:00,E01,high,209,true
212,7,2025-03-27 18:00:00,E90,high,154,true
213,5,2025-03-27 21:00:00,E44,low,127,true
214,4,2025-03-28 00:00:00,E12,low,56,true
215,12,2025-03-28 03:00:00,E44,medium,104,true
216,10,2025-03-28 06:00:00,E44,medium,85,true
217,11,2025-03-28 09:00:00,E44,high,175,true
218,6,2025-03-28 12:00:00,E12,medium,179,true
219,11,2025-03-28 15:00:00,E12,high,203,true
220,8,2025-03-28 18:00:00,E01,low,182,true
221,8,2025-03-28 21:00:00,E01,medium,192,true
222,8,2025-03-29 00:00:00,E12,medium,204,true
223,1,2025-03-29 03:00:00,E12,high,47,true
224,9,2025-03-29 06:00:00,E20,high,73,true
225,4,2025-03-29 09:00:00,E90,low,128,true
226,7,2025-03-29 12:00:00,E01,medium,183,true
227,1,2025-03-29 15:00:00,E90,low,183,true
228,5,2025-03-29 18:00:00,E12,low,110,true
229,1,2025-03-29 21:00:00,E90,medium,137,true
230,5,2025-03-30 00:00:00,E44,low,21,true
231,5,2025-03-30 03:00:00,E90,medium,200,true
232,12,2025-03-30 06:00:00,E12,low,196,true
233,1,2025-03-30 09:00:00,E12,low,49,true
234,9,2025-03-30 12:00:00,E01,medium,49,true
235,1,2025-03-30 15:00:00,E12,high,10,true
236,8,2025-03-30 18:00:00,E44,medium,238,false
237,10,2025-03-30 21:00:00,E01,high,148,true
238,1,2025-03-31 00:00:00,E20,low,236,true
239,8,2025-03-31 03:00:00,E12,high,132,true
240,12,2025-03-31 06:00:00,E44,low,15,true
241,1,2025-03-31 09:00:00,E44,medium,61,true
242,9,2025-03-31 12:00:00,E90,high,178,true
243,9,2025-03-31 15:00:00,E20,medium,240,true
244,4,2025-03-31 18:00:00,E44,medium,118,true
245,3,2025-03-31 21:00:00,E44,high,160,true
246,11,2025-04-01 00:00:00,E20,high,42,true
247,2,2025-04-01 03:00:00,E01,high,192,true
248,3,2025-04-01 06:00:00,E44,low,198,true
249,6,2025-04-01 09:00:00,E90,high,196,true
250,12,2025-04-01 12:00:00,E90,low,65,true
