order_id,machine_id,shift_id,part_no,planned_qty,completed_qty,scrap_qty,started_on,status
91,7,11,P-1091,12,12,0,2025-03-11,done
92,8,12,P-1092,7,2,5,2025-03-15,running
93,1,13,P-1093,4,3,1,2025-03-05,running
94,11,14,P-1094,7,3,4,2025-04-20,running
95,1,15,P-1095,9,9,0,2025-04-12,done
96,9,16,P-1096,11,11,0,2025-04-12,done
97,3,17,P-1097,10,10,0,2025-04-12,done
98,7,18,P-1098,8,8,0,2025-03-04,done
99,5,19,P-1099,12,12,0,2025-04-22,done
100,9,20,P-1100,4,4,0,2025-04-03,done
101,7,21,P-1101,6,6,0,2025-05-10,done
102,3,22,P-1102,9,9,0,2025-05-10,done
103,8,23,P-1103,12,7,5,2025-03-28,running
104,10,24,P-1104,4,4,0,2025-03-04,done
105,6,25,P-1105,6,4,2,2025-05-10,running
106,1,26,P-1106,9,8,1,2025-03-26,running
107,10,27,P-1107,6,6,0,2025-05-06,done
108,6,28,P-1108,5,5,0,2025-05-10,done
109,5,29,P-1109,8,8,0,2025-05-02,done
110,5,30,P-1110,6,1,5,2025-04-16,running
111,4,31,P-1111,7,3,4,2025-03-06,running
112,9,32,P-1112,8,8,0,2025-04-02,done
113,5,33,P-1113,11,11,0,2025-03-13,done
114,3,34,P-1114,11,11,0,2025-03-18,done
115,12,35,P-1115,5,5,0,2025-04-12,done
116,9,36,P-1116,9,9,0,2025-03-08,done
117,12,37,P-1117,10,10,0,2025-03-21,done
118,8,38,P-1118,7,7,0,2025-03-23,done
119,3,39,P-1119,10,9,1,2025-03-10,running
120,2,40,P-1120,12,12,0,2025-03-03,done
121,4,1,P-1121,8,8,0,2025-03-06,done
122,10,2,P-1122,5,1,4,2025-05-06,running
123,7,3,P-1123,10,1,9,2025-05-07,running
124,8,4,P-1124,9,9,0,2025-04-14,done
125,6,5,P-1125,6,6,0,2025-04-28,done
126,9,6,P-1126,10,10,0,2025-05-05,done
127,11,7,P-1127,10,10,0,2025-04-05,done
128,7,8,P-1128,8,8,0,2025-05-05,done
129,12,9,P-1129,12,12,0,2025-05-06,done
130,11,10,P-1130,11,11,0,2025-04-12,done
131,1,11,P-1131,12,12,0,2025-03-16,done
132,10,12,P-1132,11,11,0,2025-03-14,done
133,7,13,P-1133,10,10,0,2025-04-24,done
134,2,14,P-1134,4,4,0,2025-03-20,done
135,4,15,P-1135,7,7,0,2025-04-30,done
136,6,16,P-1136,8,3,5,2025-05-03,running
137,4,17,P-1137,12,12,0,2025-04-30,done
138,8,18,P-1138,8,8,0,2025-05-04,done
139,4,19,P-1139,12,12,0,2025-03-04,done
140,4,20,P-1140,11,11,0,2025-04-04,done
141,2,21,P-1141,9,9,0,2025-03-08,done
142,3,22,P-1142,10,10,0,2025-04-23,done
143,3,23,P-1143,7,7,0,2025-03-19,done
144,2,24,P-1144,9,8,1,2025-03-04,running
145,12,25,P-1145,9,9,0,2025-04-12,done
146,5,26,P-1146,7,7,0,2025-03-12,done
147,10,27,P-1147,8,8,0,2025-04-03,done
148,5,28,P-1148,5,5,0,2025-04-09,done
149,2,29,P-1149,6,6,0,2025-03-12,done
150,2,30,P-1150,8,8,0,2025-03-17,done
151,4,31,P-1151,11,7,4,2025-03-31,running
152,1,32,P-1152,12,12,0,2025-03-02,done
153,2,33,P-1153,9,9,0,2025-05-03,done
154,9,34,P-1154,8,8,0,2025-03-27,done
155,12,35,P-1155,10,5,5,2025-04-05,running
156,3,36,P-1156,10,10,0,2025-04-03,done
157,8,37,P-1157,10,9,1,2025-03-17,running
158,10,38,P-1158,12,2,10,2025-04-01,running
159,12,39,P-1159,4,4,0,2025-04-10,done
160,10,40,P-1160,4,4,0,2025-03-12,done
161,4,1,P-1161,7,7,0,2025-03-08,done
162,11,2,P-1162,11,2,9,2025-04-06,running
163,5,3,P-1163,9,9,0,2025-04-06,done
164,9,4,P-1164,7,7,0,2025-04-13,done
165,1,5,P-1165,6,6,0,2025-05-01,done
166,7,6,P-1166,11,9,2,2025-03-08,running
167,10,7,P-1167,6,6,0,2025-03-03,done
168,8,8,P-1168,5,5,0,2025-04-14,done
169,1,9,P-1169,12,12,0,2025-03-02,done
170,2,10,P-1170,4,4,0,2025-03-07,done
171,8,11,P-1171,11,11,0,2025-03-04,done
172,3,12,P-1172,6,6,0,2025-03-12,done
173,8,13,P-1173,6,6,0,2025-03-06,done
174,2,14,P-1174,5,5,0,2025-04-07,done
175,7,15,P-1175,4,4,0,2025-04-15,done
176,11,16,P-1176,7,7,0,2025-05-06,done
177,5,17,P-1177,10,10,0,2025-05-03,done
178,8,18,P-1178,7,1,6,2025-04-12,running
179,10,19,P-1179,7,7,0,2025-05-02,done
180,1,20,P-1180,10,10,0,2025-03-03,done
181,2,21,P-1181,11,11,0,2025-04-18,done
182,10,22,P-1182,9,9,0,2025-03-16,done
183,2,23,P-1183,8,8,0,2025-05-06,done
184,8,24,P-1184,4,4,0,2025-04-14,done
185,7,25,P-1185,8,8,0,2025-04-17,done
186,4,26,P-1186,6,6,0,2025-04-23,done
187,11,27,P-1187,12,8,4,2025-04-07,running
188,5,28,P-1188,11,2,9,2025-03-07,running
189,11,29,P-1189,6,6,0,2025-05-01,done
190,1,30,P-1190,12,12,0,2025-03-22,done
191,5,31,P-1191,10,10,0,2025-04-28,done
192,3,32,P-1192,11,11,0,2025-04-09,done
193,7,33,P-1193,11,11,0,2025-05-10,done
194,1,34,P-1194,7,7,0,2025-04-15,done
195,7,35,P-1195,12,12,0,2025-05-08,done
196,2,36,P-1196,4,3,1,2025-04-14,running
197,10,37,P-1197,9,9,0,2025-03-10,done
198,2,38,P-1198,10,10,0,2025-03-17,done
199,8,39,P-1199,7,5,2,2025-04-09,running
200,7,40,P-1200,5,5,0,2025-04-09,done
