ret_id,pos_id,ret_dat,ret_menge,grund,erstattung,bearb_geb,netto_erst
70,986,2025-06-27,7,Reklamation,651.17,0.0,651.17
71,1000,2025-10-26,7,Reklamation,1545.64,0.0,1545.64
72,1019,2025-06-07,3,Überbestand,582.66,0.0,582.66
73,1023,2024-11-16,26,Reklamation,3574.58,0.0,3574.58
74,1026,2026-04-15,3,Falschlieferung,46.44,0.0,46.44
75,1044,2025-03-11,27,Falschlieferung,2300.72,0.0,2300.72
76,1054,2025-08-07,13,Falschlieferung,1906.16,12.5,1893.66
77,1084,2025-04-12,44,Reklamation,7281.65,0.0,7281.65
78,1087,2025-11-12,5,Überbestand,283.68,0.0,283.68
79,1103,2025-09-06,20,Reklamation,759.6,0.0,759.6
80,1155,2024-12-06,30,Falschlieferung,692.82,12.5,680.32
81,1218,2026-04-04,41,Überbestand,9483.67,0.0,9483.67
82,1253,2026-04-28,23,Überbestand,2203.51,0.0,2203.51
83,1277,2025-03-26,4,Überbestand,344.34,12.5,331.84
84,1316,2025-05-20,2,Überbestand,364.25,0.0,364.25
85,1320,2025-10-05,2,Überbestand,172.17,0.0,172.17
86,1323,2025-11-27,27,Überbestand,4699.62,0.0,4699.62
87,1340,2025-11-22,1,Falschlieferung,232.27,0.0,232.27
88,1352,2025-05-24,12,Falschlieferung,2292.3,12.5,2279.8
89,1363,2025-07-12,1,Falschlieferung,48.16,0.0,48.16
90,1380,2025-07-12,24,Falschlieferung,5562.65,0.0,5562.65
91,1390,2025-11-11,12,Falschlieferung,2779.49,0.0,2779.49
92,1403,2025-12-03,28,Überbestand,5438.16,0.0,5438.16
93,1410,2026-04-26,4,Überbestand,603.47,0.0,603.47
94,1481,2025-09-03,38,Überbestand,9486.05,12.5,9473.55
95,1497,2025-08-09,1,Falschlieferung,109.16,12.5,96.66
96,1539,2025-07-05,1,Reklamation,35.46,12.5,22.96
97,1580,2025-08-15,1,Überbestand,106.28,12.5,93.78
98,1586,2025-08-29,8,Falschlieferung,1173.02,0.0,1173.02
99,1616,2025-08-25,11,Überbestand,476.69,12.5,464.19
100,1617,2025-10-22,1,Überbestand,77.34,12.5,64.84
101,1621,2025-03-06,20,Falschlieferung,1546.74,12.5,1534.24
102,1643,2025-06-11,41,Überbestand,8408.4,0.0,8408.4
103,1655,2025-05-20,22,Überbestand,506.09,12.5,493.59
104,1658,2024-12-11,14,Falschlieferung,674.23,0.0,674.23
105,1688,2025-06-18,27,Falschlieferung,4851.01,0.0,4851.01
