auftr_nr,kd_nr,vk_id,auftr_dat,status_txt,waehrung,bst_nr,netto_betrag,fracht,notiz
163,,,2025-08-06,storno,EUR,,3279.67,29,
164,84,13,2025-12-15,offen,EUR,BST-164,4123.08,0,Rush
165,142,17,2025-09-23,storno,EUR,,22999.21,49,
166,94,5,2025-07-26,storno,EUR,BST-166,12143.41,49,
167,,13,2025-05-08,geliefert,CHF,BST-167,17519.63,89,
168,53,18,2025-11-07,storno,CHF,,11007.66,49,Rush
169,141,,2025-08-12,geliefert,EUR,BST-169,24261.02,29,
170,150,,2025-09-17,offen,EUR,BST-170,1518.3,89,
171,25,8,2025-07-07,fakturiert,EUR,BST-171,2898.43,89,
172,49,14,2025-08-12,bestätigt,EUR,BST-172,8358.27,0,
173,5,6,2025-03-08,bestätigt,CHF,BST-173,24652.31,89,
174,98,9,2025-06-04,bestätigt,EUR,,4226.04,89,
175,90,1,2025-05-05,storno,EUR,,4381.44,49,
176,97,8,2025-09-12,fakturiert,EUR,BST-176,410.02,29,
177,,3,2025-01-23,storno,CHF,BST-177,15935.85,89,
178,25,8,2025-01-30,bestätigt,EUR,BST-178,18748.64,0,
179,19,2,2025-07-14,geliefert,EUR,BST-179,15787.93,89,
180,35,18,2025-11-11,storno,EUR,BST-180,2971.24,89,
181,71,18,2025-10-30,geliefert,CHF,,32132.79,89,
182,110,3,2025-07-05,offen,EUR,BST-182,12694.98,89,
183,141,,2025-03-24,geliefert,EUR,BST-183,7024.24,49,Rush
184,137,12,2025-03-23,geliefert,EUR,BST-184,13068.19,0,
185,138,13,2025-05-31,storno,EUR,BST-185,6840.96,49,
186,134,9,2025-08-15,geliefert,EUR,BST-186,2349.37,89,
187,77,6,2025-10-29,storno,EUR,BST-187,21929.99,0,
188,77,6,2026-01-26,geliefert,CHF,BST-188,8550.76,89,
189,81,10,2025-09-14,offen,EUR,,3770.25,49,
190,19,2,2026-01-01,bestätigt,EUR,BST-190,5294.22,89,
191,62,9,2025-08-31,geliefert,EUR,BST-191,21302.95,29,
192,16,17,2024-11-08,geliefert,CHF,BST-192,5569.32,49,
193,130,5,2026-01-12,storno,EUR,BST-193,2453.66,89,
194,112,5,2025-08-09,fakturiert,EUR,BST-194,12654.53,89,
195,1,2,2026-02-26,geliefert,EUR,,6652.93,29,
196,131,6,2025-12-04,offen,EUR,BST-196,5848.95,89,
197,51,16,2024-11-18,offen,EUR,BST-197,4734.0,0,
198,35,18,2025-10-04,bestätigt,EUR,BST-198,4256.37,0,
199,12,13,2025-05-15,storno,EUR,,2663.46,89,
200,134,9,2025-11-22,bestätigt,EUR,BST-200,4449.96,29,
201,55,2,2025-04-03,storno,EUR,BST-201,22166.27,29,
202,44,9,2026-01-23,offen,EUR,,10620.8,49,
203,95,6,2025-05-25,bestätigt,EUR,BST-203,5588.21,0,
204,146,3,2025-03-08,storno,CHF,BST-204,1940.4,89,
205,52,17,2025-02-21,fakturiert,EUR,BST-205,13798.72,89,
206,109,2,2025-09-28,offen,EUR,BST-206,795.3,29,
207,122,15,2025-05-08,fakturiert,CHF,,5608.6,0,
208,56,3,2025-07-14,offen,EUR,BST-208,18370.1,89,
209,113,6,2025-07-24,bestätigt,EUR,BST-209,4979.41,29,
210,,10,2025-11-28,offen,EUR,BST-210,1303.36,0,
211,117,10,2025-06-01,geliefert,CHF,BST-211,6603.48,0,Rush
212,84,13,2025-02-08,storno,EUR,BST-212,20124.99,49,
213,77,6,2025-07-03,bestätigt,EUR,BST-213,2453.4,0,
214,38,3,2025-05-07,fakturiert,EUR,BST-214,3117.97,49,
215,51,16,2024-12-18,offen,CHF,BST-215,16379.45,29,
216,8,9,2026-02-22,bestätigt,EUR,BST-216,19743.02,49,
217,110,3,2025-05-28,offen,EUR,BST-217,1256.72,49,
218,101,12,2025-03-24,bestätigt,EUR,BST-218,4513.1,49,
219,107,18,2025-01-08,bestätigt,EUR,BST-219,5533.23,29,
220,19,2,2025-06-25,geliefert,EUR,BST-220,17424.84,0,
221,77,6,2025-09-21,offen,CHF,BST-221,16671.35,89,
222,95,6,2025-08-21,storno,EUR,BST-222,22242.19,29,
223,59,6,2024-12-31,offen,EUR,BST-223,2683.37,0,Rush
224,103,14,2025-08-06,geliefert,EUR,BST-224,10422.72,49,
225,,3,2026-02-24,offen,EUR,BST-225,1765.53,29,
226,2,3,2025-09-05,bestätigt,EUR,BST-226,2388.42,89,
227,26,9,2025-06-13,storno,CHF,BST-227,10189.93,49,
228,137,12,2025-09-05,geliefert,EUR,BST-228,3188.68,29,
229,12,13,2025-04-11,bestätigt,EUR,BST-229,5061.36,0,
230,32,15,2025-07-16,fakturiert,EUR,BST-230,11217.87,0,
231,37,2,2026-02-04,fakturiert,CHF,BST-231,1055.0,0,
232,58,5,2025-02-08,offen,CHF,BST-232,11690.32,0,
233,137,12,2025-03-28,storno,EUR,BST-233,10288.23,0,
234,149,6,2025-07-06,bestätigt,EUR,BST-234,9223.46,89,
235,112,5,2025-02-19,offen,EUR,,9013.1,49,
236,139,14,2025-04-17,storno,EUR,BST-236,1263.65,49,
237,88,17,2026-01-15,fakturiert,EUR,,4689.3,49,
238,96,7,2025-08-22,bestätigt,EUR,BST-238,15939.77,29,
239,62,9,2025-10-26,bestätigt,EUR,BST-239,24625.3,0,
240,23,6,2026-01-09,fakturiert,CHF,BST-240,481.52,29,
241,10,,2025-09-14,bestätigt,EUR,BST-241,14919.89,49,Rush
242,75,,2025-03-06,fakturiert,EUR,BST-242,6784.51,49,
243,52,17,2025-01-04,fakturiert,EUR,BST-243,6750.96,49,
244,124,17,2025-06-20,offen,CHF,BST-244,9853.35,0,
245,25,8,2026-02-07,storno,EUR,BST-245,5819.72,0,
246,81,10,2025-03-17,storno,EUR,BST-246,1290.0,29,
247,135,10,2025-10-28,geliefert,CHF,BST-247,4296.1,49,
248,27,10,2025-12-11,bestätigt,CHF,BST-248,13306.44,0,
249,134,9,2025-02-05,bestätigt,EUR,BST-249,1326.39,89,
250,148,5,2025-05-05,offen,CHF,BST-250,6950.32,0,
251,,10,2025-07-25,fakturiert,EUR,BST-251,11268.36,49,
252,31,14,2024-11-08,geliefert,EUR,BST-252,10784.54,89,
253,30,13,2025-03-01,bestätigt,CHF,BST-253,11243.84,89,
254,66,13,2026-01-15,fakturiert,EUR,BST-254,17558.09,49,
255,17,18,2025-04-27,fakturiert,CHF,BST-255,12517.28,29,
256,2,3,2025-06-20,bestätigt,EUR,BST-256,888.34,89,
257,62,9,2025-03-17,fakturiert,EUR,BST-257,5005.26,0,Rush
258,22,5,2025-03-06,offen,CHF,BST-258,1732.05,49,
259,100,11,2026-01-27,storno,EUR,BST-259,2589.6,89,
260,13,14,2026-02-17,fakturiert,CHF,BST-260,4569.77,29,
261,120,13,2025-09-12,fakturiert,EUR,BST-261,11889.48,49,
262,,,2025-06-10,fakturiert,EUR,BST-262,28943.21,29,
263,128,3,2026-01-17,storno,EUR,BST-263,4394.0,0,
264,107,18,2025-11-06,offen,EUR,BST-264,4731.37,49,
265,97,8,2024-12-22,bestätigt,CHF,BST-265,3723.05,29,
266,74,3,2024-11-09,geliefert,EUR,BST-266,10224.7,49,
267,22,5,2025-05-24,geliefert,EUR,BST-267,19559.65,49,Rush
268,23,6,2025-05-01,geliefert,EUR,,6759.45,49,Rush
269,135,10,2025-01-28,bestätigt,EUR,BST-269,22022.4,29,Rush
270,24,7,2025-05-16,geliefert,EUR,BST-270,13086.67,29,
271,34,17,2025-07-22,geliefert,EUR,,16192.92,89,
272,79,8,2025-11-10,geliefert,EUR,BST-272,12529.79,89,
273,128,3,2025-12-23,storno,EUR,BST-273,5258.04,49,Rush
274,144,1,2026-01-21,bestätigt,CHF,BST-274,25054.14,89,
275,35,18,2025-12-17,offen,EUR,BST-275,14417.93,49,Rush
276,96,7,2025-10-03,bestätigt,EUR,BST-276,9342.67,0,
277,8,9,2025-07-29,fakturiert,EUR,BST-277,10151.57,0,
278,125,18,2025-08-22,offen,EUR,,10201.76,49,
279,30,13,2025-12-13,offen,EUR,BST-279,2775.71,49,
280,12,13,2025-07-16,fakturiert,EUR,BST-280,16842.38,89,
281,9,10,2025-06-14,offen,EUR,BST-281,11761.41,89,
282,,14,2025-10-27,bestätigt,EUR,BST-282,15832.32,89,
283,146,3,2025-09-15,storno,EUR,BST-283,5221.8,89,
284,55,2,2025-10-13,geliefert,EUR,BST-284,7207.91,0,
285,129,4,2025-11-12,fakturiert,CHF,BST-285,15165.64,49,
286,10,,2025-07-01,geliefert,CHF,,21594.01,89,
287,83,12,2025-11-08,storno,CHF,BST-287,12065.76,89,Rush
288,47,12,2025-02-13,fakturiert,EUR,BST-288,17970.79,89,
289,133,8,2025-04-21,geliefert,CHF,BST-289,13497.58,0,
290,56,3,2025-05-30,offen,EUR,BST-290,9079.0,0,Rush
291,112,5,2025-12-22,fakturiert,EUR,BST-291,10743.63,0,Rush
292,4,5,2025-03-27,geliefert,EUR,BST-292,4825.16,49,
293,20,3,2025-03-30,bestätigt,EUR,,3661.47,29,Rush
294,40,5,2025-02-04,offen,EUR,BST-294,5472.7,0,
295,24,7,2025-03-12,offen,EUR,BST-295,8333.11,49,
296,8,9,2025-09-13,storno,CHF,BST-296,18560.52,0,
297,109,2,2025-11-20,fakturiert,EUR,BST-297,16898.24,29,Rush
298,29,12,2025-08-21,fakturiert,EUR,BST-298,2317.27,0,
299,40,5,2024-12-05,offen,EUR,,15976.57,29,
300,29,12,2025-10-20,fakturiert,EUR,BST-300,7004.12,89,
301,4,5,2025-01-07,bestätigt,CHF,BST-301,18657.78,0,
302,129,4,2025-03-11,geliefert,EUR,BST-302,6011.42,89,
303,118,11,2025-09-19,storno,EUR,,14921.13,0,
304,34,17,2025-07-05,offen,EUR,BST-304,1820.41,89,
305,99,10,2025-02-28,bestätigt,EUR,BST-305,21298.84,89,
306,118,11,2025-03-24,geliefert,CHF,,3824.32,49,
307,29,12,2025-03-03,fakturiert,CHF,BST-307,7272.97,29,
308,106,17,2025-06-24,offen,EUR,BST-308,10503.72,49,
309,56,3,2025-04-13,storno,EUR,BST-309,21712.03,89,Rush
310,144,1,2025-05-30,fakturiert,EUR,BST-310,13069.24,29,
311,32,15,2024-11-26,bestätigt,CHF,BST-311,9538.56,29,
312,115,8,2025-06-23,storno,EUR,BST-312,4381.44,29,
313,25,8,2025-09-22,fakturiert,EUR,BST-313,13873.64,49,
314,26,9,2025-10-20,fakturiert,CHF,BST-314,3333.16,49,
315,113,6,2025-07-25,offen,CHF,BST-315,7334.68,49,
316,57,,2025-03-25,offen,EUR,BST-316,12055.97,49,
317,130,5,2024-11-03,storno,EUR,BST-317,7628.65,49,
318,140,15,2025-09-02,storno,EUR,BST-318,4637.69,29,
319,54,1,2024-12-21,fakturiert,EUR,BST-319,17319.98,0,
320,4,5,2024-12-02,bestätigt,EUR,BST-320,253.2,89,
321,127,2,2025-06-17,offen,EUR,BST-321,8608.02,49,
322,82,11,2025-02-07,offen,EUR,,8652.15,29,Rush
323,2,3,2025-04-19,storno,EUR,BST-323,8470.86,89,
324,3,4,2026-01-22,offen,CHF,,13321.82,0,
325,69,16,2025-06-09,offen,EUR,BST-325,216.9,29,
326,94,5,2025-03-24,offen,EUR,BST-326,7360.2,89,
327,132,7,2025-07-02,fakturiert,EUR,BST-327,34.78,0,Rush
328,118,11,2024-11-17,storno,CHF,BST-328,3084.12,49,
329,89,18,2026-02-02,bestätigt,EUR,BST-329,22010.04,29,Rush
330,54,1,2024-12-08,bestätigt,EUR,,22960.38,89,
331,81,10,2024-12-24,offen,EUR,BST-331,10128.27,29,
332,135,10,2025-07-09,offen,EUR,BST-332,12934.98,0,
333,63,10,2025-02-27,fakturiert,EUR,BST-333,14999.37,89,
334,113,6,2024-11-08,offen,EUR,BST-334,8016.23,49,
335,116,9,2026-02-09,fakturiert,EUR,BST-335,431.18,89,
336,78,7,2025-04-22,fakturiert,EUR,BST-336,13014.53,29,
337,111,4,2025-09-19,geliefert,EUR,BST-337,7823.21,89,
338,98,9,2024-12-21,fakturiert,EUR,BST-338,10743.87,29,
339,128,3,2025-05-07,offen,EUR,BST-339,3776.59,89,
340,87,16,2025-01-10,fakturiert,CHF,BST-340,13966.56,0,
341,88,17,2025-02-01,offen,EUR,,12222.65,89,
342,4,5,2025-06-19,fakturiert,EUR,BST-342,16470.44,29,
343,135,10,2025-10-02,storno,EUR,BST-343,6102.45,49,
344,6,7,2025-06-25,fakturiert,EUR,BST-344,5291.42,49,Rush
345,141,,2025-06-23,offen,CHF,BST-345,9975.75,0,
346,94,5,2025-07-18,offen,EUR,BST-346,10547.32,29,
347,46,,2026-02-05,storno,EUR,,4635.54,0,
348,59,6,2026-02-18,bestätigt,CHF,BST-348,15243.25,29,
349,143,18,2025-05-18,fakturiert,EUR,BST-349,3836.22,29,
350,63,10,2024-11-28,fakturiert,EUR,BST-350,7731.97,89,
351,123,16,2025-03-23,fakturiert,EUR,BST-351,397.92,0,
352,140,15,2024-12-17,fakturiert,EUR,BST-352,3560.4,89,
353,140,15,2025-03-07,geliefert,CHF,BST-353,9207.42,49,
354,102,13,2024-12-05,storno,CHF,BST-354,8180.42,89,Rush
355,27,10,2025-01-15,offen,CHF,BST-355,6915.78,0,
356,31,14,2025-07-03,storno,CHF,BST-356,9046.22,0,Rush
357,46,,2025-12-27,bestätigt,EUR,BST-357,695.63,29,
358,15,16,2025-01-18,fakturiert,EUR,BST-358,12294.2,0,
359,28,11,2025-02-28,bestätigt,EUR,BST-359,19248.54,0,
360,35,18,2024-11-09,offen,EUR,BST-360,33117.8,0,
361,18,1,2025-07-07,fakturiert,EUR,,15503.95,29,
362,37,2,2025-07-22,offen,EUR,,17365.69,0,
363,81,10,2026-01-17,storno,EUR,BST-363,10283.31,49,
364,68,15,2025-02-26,storno,CHF,BST-364,7836.25,0,
365,98,9,2025-09-30,fakturiert,EUR,BST-365,18402.93,29,
366,58,5,2025-06-05,geliefert,EUR,,4487.42,0,
367,96,7,2025-11-15,geliefert,CHF,,10820.09,49,
368,113,6,2025-09-16,bestätigt,CHF,BST-368,18218.41,49,
369,74,3,2025-06-17,bestätigt,CHF,BST-369,2123.65,29,
370,10,,2025-01-16,fakturiert,EUR,,1173.41,29,
371,133,8,2025-03-29,geliefert,EUR,BST-371,8760.16,89,
372,66,13,2026-02-10,storno,EUR,BST-372,10847.27,29,
373,91,2,2025-06-09,geliefert,EUR,BST-373,16155.92,29,
374,107,18,2024-11-10,geliefert,EUR,BST-374,6109.92,29,
375,126,1,2026-02-06,offen,CHF,,26991.56,29,
376,3,4,2026-03-14,bestätigt,EUR,BST-376,1952.78,49,
377,61,8,2025-05-14,fakturiert,EUR,BST-377,8510.82,0,Rush
378,114,7,2025-03-11,geliefert,EUR,,11068.18,49,
379,1,2,2025-11-29,bestätigt,EUR,,21481.94,29,
380,93,,2025-10-14,geliefert,EUR,BST-380,3534.27,49,
381,40,5,2025-12-23,fakturiert,EUR,BST-381,1111.2,0,
382,144,1,2025-03-12,geliefert,EUR,BST-382,23196.86,89,
383,14,15,2025-09-23,fakturiert,EUR,BST-383,13199.38,0,
384,61,8,2025-06-28,geliefert,CHF,BST-384,6924.02,29,
385,71,18,2025-05-31,bestätigt,EUR,BST-385,23234.73,0,
386,134,9,2025-07-28,fakturiert,CHF,BST-386,26606.83,49,Rush
387,128,3,2026-01-25,geliefert,EUR,BST-387,5586.95,49,
388,70,17,2026-02-04,geliefert,EUR,BST-388,15384.3,29,
389,80,9,2024-12-11,fakturiert,EUR,BST-389,13278.45,89,Rush
390,144,1,2025-02-21,offen,CHF,BST-390,216.9,89,
391,83,12,2025-02-19,offen,EUR,,6528.48,0,
392,80,9,2025-04-02,storno,EUR,BST-392,16298.54,29,
393,3,4,2025-10-21,fakturiert,EUR,BST-393,774.0,0,
394,58,5,2025-04-28,storno,EUR,BST-394,3714.58,49,
395,119,12,2024-11-20,geliefert,EUR,,6454.94,49,
396,32,15,2025-05-16,storno,EUR,BST-396,4770.79,29,
397,,11,2025-05-19,storno,EUR,,22633.05,89,
398,34,17,2025-05-01,storno,EUR,BST-398,21834.22,89,
399,129,4,2024-12-18,fakturiert,CHF,,1643.69,49,
400,38,3,2024-11-17,storno,EUR,BST-400,5358.24,49,
401,138,13,2025-12-10,geliefert,EUR,BST-401,2199.95,89,
402,104,15,2026-01-20,bestätigt,EUR,BST-402,3853.17,49,Rush
403,27,10,2026-02-25,offen,EUR,BST-403,12004.27,29,
404,83,12,2025-06-12,offen,CHF,BST-404,4098.22,29,
405,113,6,2025-09-19,bestätigt,EUR,BST-405,14774.96,49,Rush
