item_id,order_id,product_id,quantity,unit_price,line_amount,warehouse
196,98,6,2,19.0,38.0,BER3
197,99,31,4,56.5,226.0,CGN1
198,100,30,4,55.0,220.0,HH1
199,101,1,1,11.5,11.5,CGN1
200,101,29,4,53.5,214.0,CGN1
201,102,27,3,50.5,151.5,CGN1
202,103,11,3,26.5,79.5,BER3
203,103,25,4,47.5,190.0,BER3
204,104,4,2,16.0,32.0,BER3
205,105,11,2,26.5,53.0,CGN1
206,105,37,2,65.5,131.0,CGN1
207,106,6,3,19.0,57.0,BER3
208,106,33,3,59.5,178.5,BER3
209,106,6,2,19.0,38.0,BER3
210,107,24,3,46.0,138.0,MUC2
211,107,8,4,22.0,88.0,MUC2
212,107,38,3,67.0,201.0,MUC2
213,108,35,1,62.5,62.5,CGN1
214,108,23,2,44.5,89.0,CGN1
215,108,20,4,40.0,160.0,CGN1
216,109,25,2,47.5,95.0,HH1
217,109,13,1,29.5,29.5,HH1
218,109,33,4,59.5,238.0,HH1
219,110,29,1,53.5,53.5,HH1
220,110,18,4,37.0,148.0,HH1
221,111,10,2,25.0,50.0,BER3
222,111,10,1,25.0,25.0,BER3
223,112,34,3,61.0,183.0,BER3
224,112,8,2,22.0,44.0,BER3
225,113,11,2,26.5,53.0,BER3
226,114,6,2,19.0,38.0,MUC2
227,115,36,2,64.0,128.0,CGN1
228,116,16,4,34.0,136.0,BER3
229,116,38,2,67.0,134.0,BER3
230,116,25,3,47.5,142.5,BER3
231,117,11,4,26.5,106.0,HH1
232,117,40,2,70.0,140.0,HH1
233,117,25,4,47.5,190.0,HH1
234,118,31,1,56.5,56.5,HH1
235,118,19,4,38.5,154.0,HH1
236,119,31,3,56.5,169.5,CGN1
237,119,39,2,68.5,137.0,CGN1
238,120,31,2,56.5,113.0,MUC2
239,121,24,1,46.0,46.0,MUC2
240,121,19,1,38.5,38.5,MUC2
241,122,18,4,37.0,148.0,BER3
242,123,14,2,31.0,62.0,BER3
243,123,35,3,62.5,187.5,BER3
244,124,38,4,67.0,268.0,HH1
245,124,36,4,64.0,256.0,HH1
246,124,8,2,22.0,44.0,HH1
247,125,18,4,37.0,148.0,BER3
248,126,21,4,41.5,166.0,MUC2
249,126,23,4,44.5,178.0,MUC2
250,126,37,3,65.5,196.5,MUC2
251,127,30,2,55.0,110.0,HH1
252,127,8,1,22.0,22.0,HH1
253,127,8,3,22.0,66.0,HH1
254,128,31,4,56.5,226.0,HH1
255,129,19,3,38.5,115.5,BER3
256,130,25,3,47.5,142.5,CGN1
257,130,21,4,41.5,166.0,CGN1
258,131,18,4,37.0,148.0,CGN1
259,132,14,4,31.0,124.0,BER3
260,133,35,4,62.5,250.0,CGN1
261,133,3,2,14.5,29.0,CGN1
262,134,27,2,50.5,101.0,HH1
263,134,38,3,67.0,201.0,HH1
264,134,18,1,37.0,37.0,HH1
265,135,28,2,52.0,104.0,BER3
266,135,24,1,46.0,46.0,BER3
267,136,39,1,68.5,68.5,BER3
268,136,37,2,65.5,131.0,BER3
269,137,35,2,62.5,125.0,BER3
270,138,12,3,28.0,84.0,MUC2
271,138,17,2,35.5,71.0,MUC2
272,138,3,2,14.5,29.0,MUC2
273,139,15,1,32.5,32.5,HH1
274,139,9,4,23.5,94.0,HH1
275,139,14,2,31.0,62.0,HH1
276,140,11,2,26.5,53.0,MUC2
277,141,38,4,67.0,268.0,MUC2
278,141,30,2,55.0,110.0,MUC2
279,142,30,2,55.0,110.0,BER3
280,142,7,4,20.5,82.0,BER3
281,143,23,2,44.5,89.0,BER3
282,144,2,2,13.0,26.0,BER3
283,145,30,1,55.0,55.0,BER3
284,146,11,3,26.5,79.5,BER3
285,146,13,3,29.5,88.5,BER3
286,146,9,3,23.5,70.5,BER3
287,147,24,2,46.0,92.0,MUC2
288,148,23,2,44.5,89.0,CGN1
289,149,25,2,47.5,95.0,MUC2
290,150,24,2,46.0,92.0,HH1
291,150,24,2,46.0,92.0,HH1
292,151,34,2,61.0,122.0,HH1
293,151,18,2,37.0,74.0,HH1
294,151,37,3,65.5,196.5,HH1
295,152,15,3,32.5,97.5,HH1
296,152,18,1,37.0,37.0,HH1
297,152,37,1,65.5,65.5,HH1
298,153,16,1,34.0,34.0,HH1
299,153,18,1,37.0,37.0,HH1
300,154,6,3,19.0,57.0,BER3
301,154,18,3,37.0,111.0,BER3
302,154,4,1,16.0,16.0,BER3
303,155,27,2,50.5,101.0,HH1
304,155,32,2,58.0,116.0,HH1
305,155,7,3,20.5,61.5,HH1
306,156,34,4,61.0,244.0,HH1
307,156,3,4,14.5,58.0,HH1
308,157,29,2,53.5,107.0,HH1
309,157,12,1,28.0,28.0,HH1
310,157,9,3,23.5,70.5,HH1
311,158,12,4,28.0,112.0,BER3
312,159,10,4,25.0,100.0,BER3
313,160,11,4,26.5,106.0,MUC2
314,160,22,3,43.0,129.0,MUC2
315,160,21,4,41.5,166.0,MUC2
316,161,21,3,41.5,124.5,CGN1
317,162,29,4,53.5,214.0,CGN1
318,162,6,1,19.0,19.0,CGN1
319,162,4,1,16.0,16.0,CGN1
320,163,33,1,59.5,59.5,HH1
321,163,10,4,25.0,100.0,HH1
322,163,38,3,67.0,201.0,HH1
323,164,17,3,35.5,106.5,HH1
324,164,3,3,14.5,43.5,HH1
325,165,12,3,28.0,84.0,MUC2
326,166,13,1,29.5,29.5,MUC2
327,166,4,3,16.0,48.0,MUC2
328,166,33,2,59.5,119.0,MUC2
329,167,26,3,49.0,147.0,BER3
330,167,35,4,62.5,250.0,BER3
331,168,11,4,26.5,106.0,CGN1
332,169,21,3,41.5,124.5,CGN1
333,169,38,2,67.0,134.0,CGN1
334,170,25,1,47.5,47.5,CGN1
335,170,21,3,41.5,124.5,CGN1
336,171,32,3,58.0,174.0,CGN1
337,171,29,3,53.5,160.5,CGN1
338,172,27,1,50.5,50.5,CGN1
339,172,29,3,53.5,160.5,CGN1
340,173,23,1,44.5,44.5,HH1
341,174,21,1,41.5,41.5,BER3
342,174,29,3,53.5,160.5,BER3
343,174,15,1,32.5,32.5,BER3
344,175,9,2,23.5,47.0,BER3
345,176,8,2,22.0,44.0,MUC2
346,176,17,1,35.5,35.5,MUC2
347,176,38,4,67.0,268.0,MUC2
348,177,27,1,50.5,50.5,CGN1
349,177,13,3,29.5,88.5,CGN1
350,178,8,3,22.0,66.0,HH1
351,178,13,4,29.5,118.0,HH1
352,178,7,3,20.5,61.5,HH1
353,179,32,1,58.0,58.0,CGN1
354,179,25,2,47.5,95.0,CGN1
355,180,25,4,47.5,190.0,CGN1
356,181,11,4,26.5,106.0,MUC2
357,181,10,4,25.0,100.0,MUC2
358,181,30,3,55.0,165.0,MUC2
359,182,20,1,40.0,40.0,HH1
360,182,11,3,26.5,79.5,HH1
361,183,8,2,22.0,44.0,HH1
362,183,9,3,23.5,70.5,HH1
363,183,12,2,28.0,56.0,HH1
364,184,1,3,11.5,34.5,CGN1
365,184,27,3,50.5,151.5,CGN1
366,184,4,2,16.0,32.0,CGN1
367,185,39,3,68.5,205.5,BER3
368,185,27,1,50.5,50.5,BER3
369,186,13,4,29.5,118.0,HH1
370,186,29,4,53.5,214.0,HH1
371,187,28,1,52.0,52.0,HH1
372,187,25,1,47.5,47.5,HH1
373,187,16,3,34.0,102.0,HH1
374,188,20,2,40.0,80.0,MUC2
375,188,35,3,62.5,187.5,MUC2
376,189,38,1,67.0,67.0,CGN1
377,190,5,4,17.5,70.0,HH1
378,191,7,1,20.5,20.5,BER3
379,191,24,4,46.0,184.0,BER3
380,191,38,3,67.0,201.0,BER3
381,192,28,4,52.0,208.0,HH1
382,192,7,3,20.5,61.5,HH1
383,193,18,2,37.0,74.0,MUC2
384,193,16,2,34.0,68.0,MUC2
385,193,40,1,70.0,70.0,MUC2
386,194,14,1,31.0,31.0,MUC2
387,195,19,4,38.5,154.0,CGN1
388,195,36,3,64.0,192.0,CGN1
389,196,4,2,16.0,32.0,CGN1
390,196,3,4,14.5,58.0,CGN1
391,196,10,2,25.0,50.0,CGN1
392,197,27,2,50.5,101.0,HH1
393,197,36,4,64.0,256.0,HH1
394,198,28,2,52.0,104.0,HH1
395,198,16,2,34.0,68.0,HH1
396,199,38,3,67.0,201.0,CGN1
397,199,24,3,46.0,138.0,CGN1
398,199,35,4,62.5,250.0,CGN1
399,200,3,3,14.5,43.5,HH1
400,200,16,3,34.0,102.0,HH1
