order_id,customer_id,order_date,shipped_date,status,channel,currency,payment_method,warehouse,net_amount
31,72,2025-08-09,2025-08-16,shipped,web,EUR,paypal,HH1,339.0
32,12,2025-01-15,2025-01-20,paid,edi,EUR,sepa,HH1,52.0
33,4,2025-07-02,2025-07-07,paid,web,EUR,sepa,BER3,161.5
34,6,2026-01-14,2026-01-19,open,store,EUR,sepa,MUC2,479.0
35,65,2025-04-06,2025-04-10,shipped,edi,EUR,sepa,HH1,321.0
36,34,2025-09-11,2025-09-16,open,edi,EUR,prepay,BER3,124.5
37,66,2025-12-28,2025-12-29,open,partner,EUR,card,BER3,374.0
38,45,2025-11-16,2025-11-23,shipped,web,EUR,sepa,CGN1,244.0
39,32,2025-10-12,2025-10-13,paid,phone,EUR,invoice,CGN1,201.0
40,58,2026-01-17,2026-01-22,paid,phone,EUR,prepay,CGN1,63.0
41,57,2025-09-14,2025-09-19,shipped,edi,EUR,card,HH1,76.0
42,68,2025-11-24,2025-11-30,open,store,EUR,prepay,CGN1,184.0
43,9,2026-01-23,2026-01-30,paid,partner,EUR,sepa,HH1,94.0
44,8,2025-07-22,2025-07-25,shipped,partner,EUR,invoice,MUC2,256.5
45,70,2025-08-16,2025-08-20,open,store,EUR,prepay,HH1,251.0
46,76,2025-09-24,2025-10-02,open,partner,EUR,sepa,BER3,148.0
47,15,2025-09-04,2025-09-05,paid,partner,EUR,card,CGN1,47.5
48,37,2025-01-06,2025-01-08,open,phone,EUR,invoice,BER3,285.5
49,73,2025-08-07,2025-08-09,paid,web,EUR,paypal,CGN1,122.0
50,13,2025-04-27,2025-05-04,paid,phone,EUR,sepa,CGN1,470.0
51,79,2025-08-03,2025-08-07,paid,store,EUR,card,BER3,192.5
52,77,2025-09-20,2025-09-21,shipped,partner,EUR,paypal,HH1,136.5
53,42,2025-03-29,2025-03-31,paid,web,EUR,paypal,BER3,174.5
54,1,2025-12-30,2026-01-06,shipped,edi,EUR,prepay,CGN1,328.5
55,74,2025-07-04,2025-07-10,shipped,phone,EUR,sepa,BER3,129.0
56,69,2026-01-27,2026-01-28,shipped,store,EUR,invoice,BER3,190.5
57,4,2025-10-18,2025-10-25,open,store,EUR,paypal,CGN1,26.5
58,65,2025-03-18,2025-03-20,open,phone,EUR,sepa,MUC2,247.0
59,34,2025-12-10,2025-12-11,paid,web,EUR,invoice,BER3,226.0
60,1,2025-06-02,2025-06-06,open,web,EUR,card,HH1,317.5
61,44,2025-11-07,2025-11-13,open,partner,EUR,invoice,BER3,183.0
62,64,2025-12-26,2025-12-31,paid,store,EUR,prepay,HH1,86.0
63,54,2025-01-18,2025-01-19,paid,store,EUR,sepa,CGN1,164.0
64,26,2025-04-11,2025-04-18,open,phone,EUR,invoice,BER3,240.5
65,30,2025-02-09,2025-02-12,shipped,phone,EUR,sepa,HH1,181.0
66,16,2025-07-13,2025-07-19,open,phone,EUR,sepa,HH1,160.0
67,31,2026-02-03,2026-02-11,open,web,EUR,sepa,BER3,34.5
68,25,2025-10-26,2025-10-31,shipped,edi,EUR,invoice,MUC2,142.5
69,66,2025-07-14,2025-07-18,paid,partner,EUR,paypal,BER3,148.5
70,56,2025-03-01,2025-03-07,paid,store,EUR,paypal,HH1,308.0
71,38,2025-01-18,2025-01-21,paid,store,EUR,sepa,BER3,138.0
72,71,2025-04-23,2025-04-29,open,edi,EUR,invoice,MUC2,178.5
73,4,2025-03-22,2025-03-28,open,web,EUR,invoice,BER3,220.0
74,13,2025-03-14,2025-03-17,shipped,web,EUR,invoice,CGN1,255.0
75,75,2025-10-01,2025-10-08,paid,phone,EUR,invoice,BER3,173.5
76,3,2025-10-23,2025-10-24,paid,web,EUR,prepay,HH1,93.5
77,31,2025-02-27,2025-03-02,open,partner,EUR,card,HH1,256.0
78,39,2025-09-23,2025-09-27,shipped,partner,EUR,prepay,CGN1,76.0
79,21,2025-11-18,2025-11-26,shipped,phone,EUR,paypal,MUC2,181.0
80,36,2025-11-19,2025-11-27,paid,web,EUR,invoice,BER3,228.0
81,59,2025-06-03,2025-06-11,paid,web,EUR,sepa,CGN1,55.0
82,70,2025-06-24,2025-06-30,paid,partner,EUR,prepay,MUC2,145.0
83,4,2025-04-12,2025-04-18,paid,web,EUR,paypal,MUC2,262.0
84,12,2025-04-20,2025-04-21,shipped,edi,EUR,card,HH1,68.5
85,57,2025-01-01,2025-01-06,paid,web,EUR,card,BER3,66.5
86,5,2025-08-14,2025-08-19,paid,partner,EUR,paypal,CGN1,181.0
87,19,2025-12-18,2025-12-20,shipped,edi,EUR,prepay,BER3,373.0
88,35,2025-03-08,2025-03-11,open,store,EUR,paypal,CGN1,237.0
89,66,2025-06-13,2025-06-21,open,partner,EUR,invoice,HH1,77.5
90,58,2025-07-31,2025-08-07,shipped,phone,EUR,sepa,HH1,230.0
91,32,2025-12-06,2025-12-13,shipped,partner,EUR,paypal,MUC2,530.0
92,42,2025-02-09,2025-02-15,open,phone,EUR,invoice,CGN1,302.0
93,70,2025-08-15,2025-08-19,paid,partner,EUR,paypal,HH1,218.0
94,41,2026-01-12,2026-01-17,paid,phone,EUR,sepa,BER3,400.5
95,1,2026-01-29,2026-01-30,paid,store,EUR,invoice,HH1,38.0
96,78,2025-12-03,2025-12-06,paid,partner,EUR,sepa,HH1,132.0
97,29,2025-05-17,2025-05-24,paid,web,EUR,invoice,CGN1,229.0
98,3,2025-02-22,2025-03-01,shipped,phone,EUR,paypal,BER3,67.5
99,80,2025-06-08,2025-06-11,paid,partner,EUR,paypal,CGN1,226.0
100,75,2026-01-19,2026-01-27,paid,store,EUR,prepay,HH1,220.0
101,41,2025-06-29,2025-06-30,shipped,store,EUR,invoice,CGN1,225.5
102,46,2025-05-10,2025-05-13,open,phone,EUR,sepa,CGN1,151.5
103,73,2025-05-11,2025-05-18,open,phone,EUR,invoice,BER3,269.5
104,23,2026-01-17,2026-01-19,shipped,web,EUR,sepa,BER3,32.0
105,43,2025-09-17,2025-09-25,shipped,partner,EUR,paypal,CGN1,184.0
106,43,2026-01-22,2026-01-28,open,web,EUR,prepay,BER3,273.5
107,34,2026-01-05,2026-01-09,shipped,store,EUR,invoice,MUC2,427.0
108,25,2025-06-11,2025-06-16,open,phone,EUR,paypal,CGN1,311.5
109,41,2025-05-31,2025-06-03,shipped,phone,EUR,card,HH1,362.5
110,8,2025-05-08,2025-05-09,paid,phone,EUR,prepay,HH1,201.5
111,41,2025-09-19,2025-09-27,open,edi,EUR,invoice,BER3,75.0
112,59,2025-03-13,2025-03-15,open,edi,EUR,invoice,BER3,227.0
113,7,2025-10-15,2025-10-16,open,edi,EUR,invoice,BER3,53.0
114,13,2025-04-28,2025-05-06,shipped,store,EUR,paypal,MUC2,38.0
115,45,2025-09-12,2025-09-19,paid,phone,EUR,invoice,CGN1,128.0
116,68,2025-04-21,2025-04-28,paid,partner,EUR,paypal,BER3,412.5
117,2,2025-12-31,2026-01-07,paid,phone,EUR,prepay,HH1,436.0
118,61,2025-06-11,2025-06-19,paid,partner,EUR,paypal,HH1,210.5
119,39,2025-03-02,2025-03-07,paid,web,EUR,prepay,CGN1,306.5
120,13,2025-03-23,2025-03-30,shipped,phone,EUR,sepa,MUC2,113.0
121,43,2026-01-29,2026-02-03,paid,partner,EUR,sepa,MUC2,84.5
122,73,2025-07-12,2025-07-20,open,phone,EUR,card,BER3,148.0
123,52,2025-05-20,2025-05-23,open,store,EUR,prepay,BER3,249.5
124,58,2025-07-01,2025-07-08,paid,store,EUR,paypal,HH1,568.0
125,67,2025-08-23,2025-08-26,open,partner,EUR,paypal,BER3,148.0
126,21,2025-08-29,2025-08-31,paid,partner,EUR,sepa,MUC2,540.5
127,26,2026-01-20,2026-01-25,open,store,EUR,paypal,HH1,198.0
128,30,2025-09-05,2025-09-13,open,edi,EUR,invoice,HH1,226.0
129,13,2025-02-15,2025-02-16,open,phone,EUR,invoice,BER3,115.5
130,12,2025-02-14,2025-02-18,shipped,web,EUR,invoice,CGN1,308.5
131,4,2025-07-02,2025-07-08,shipped,store,EUR,prepay,CGN1,148.0
132,22,2025-06-06,2025-06-11,shipped,partner,EUR,paypal,BER3,124.0
133,1,2025-12-18,2025-12-24,shipped,web,EUR,prepay,CGN1,279.0
134,38,2025-07-17,2025-07-25,paid,partner,EUR,card,HH1,339.0
135,40,2025-12-23,2025-12-24,open,edi,EUR,card,BER3,150.0
136,78,2025-11-07,2025-11-11,paid,edi,EUR,invoice,BER3,199.5
137,74,2025-12-05,2025-12-08,shipped,partner,EUR,paypal,BER3,125.0
138,35,2025-06-30,2025-07-07,open,partner,EUR,paypal,MUC2,184.0
139,3,2025-01-01,2025-01-05,paid,web,EUR,card,HH1,188.5
140,45,2025-08-13,2025-08-20,open,store,EUR,prepay,MUC2,53.0
141,6,2025-02-21,2025-02-26,paid,edi,EUR,prepay,MUC2,378.0
142,51,2025-06-18,2025-06-25,shipped,edi,EUR,card,BER3,192.0
143,41,2025-10-05,2025-10-13,open,phone,EUR,card,BER3,89.0
144,22,2025-05-06,2025-05-13,open,store,EUR,prepay,BER3,26.0
145,59,2025-12-25,2025-12-31,shipped,web,EUR,prepay,BER3,55.0
146,62,2025-01-21,2025-01-24,open,partner,EUR,paypal,BER3,238.5
147,45,2025-08-01,2025-08-08,open,web,EUR,paypal,MUC2,92.0
148,10,2025-11-14,2025-11-17,open,edi,EUR,paypal,CGN1,89.0
149,10,2025-06-20,2025-06-24,paid,edi,EUR,paypal,MUC2,95.0
150,47,2025-03-25,2025-04-02,paid,edi,EUR,card,HH1,184.0
151,11,2025-07-20,2025-07-25,shipped,web,EUR,prepay,HH1,392.5
152,30,2025-06-30,2025-07-03,paid,partner,EUR,card,HH1,200.0
153,65,2025-05-13,2025-05-16,shipped,store,EUR,prepay,HH1,71.0
154,76,2026-01-13,2026-01-15,shipped,store,EUR,prepay,BER3,184.0
155,79,2025-04-18,2025-04-24,paid,edi,EUR,paypal,HH1,278.5
156,75,2025-07-23,2025-07-24,open,phone,EUR,paypal,HH1,302.0
157,69,2025-06-29,2025-07-02,paid,web,EUR,card,HH1,205.5
158,37,2025-05-29,2025-05-30,shipped,partner,EUR,card,BER3,112.0
159,64,2025-11-07,2025-11-14,paid,web,EUR,sepa,BER3,100.0
160,25,2025-02-12,2025-02-17,shipped,web,EUR,prepay,MUC2,401.0
161,71,2025-03-15,2025-03-20,paid,web,EUR,sepa,CGN1,124.5
162,10,2026-01-13,2026-01-15,open,edi,EUR,invoice,CGN1,249.0
163,77,2025-11-27,2025-11-28,open,phone,EUR,paypal,HH1,360.5
164,36,2025-09-01,2025-09-09,shipped,partner,EUR,sepa,HH1,150.0
165,12,2025-06-22,2025-06-23,paid,store,EUR,card,MUC2,84.0
166,62,2025-10-01,2025-10-09,open,store,EUR,invoice,MUC2,196.5
167,5,2025-07-27,2025-08-01,paid,store,EUR,prepay,BER3,397.0
168,52,2025-11-27,2025-11-28,paid,store,EUR,prepay,CGN1,106.0
169,69,2025-02-27,2025-03-06,shipped,web,EUR,sepa,CGN1,258.5
170,59,2025-11-09,2025-11-12,open,partner,EUR,paypal,CGN1,172.0
171,39,2025-06-08,2025-06-15,paid,web,EUR,card,CGN1,334.5
172,76,2025-01-28,2025-01-30,open,phone,EUR,sepa,CGN1,211.0
173,67,2025-05-28,2025-05-30,shipped,store,EUR,sepa,HH1,44.5
174,17,2025-09-24,2025-09-28,paid,store,EUR,card,BER3,234.5
175,38,2025-02-18,2025-02-20,open,phone,EUR,sepa,BER3,47.0
176,45,2025-03-05,2025-03-13,open,partner,EUR,paypal,MUC2,347.5
177,34,2025-05-12,2025-05-17,shipped,store,EUR,sepa,CGN1,139.0
178,11,2025-08-12,2025-08-19,shipped,store,EUR,invoice,HH1,245.5
179,7,2026-01-04,2026-01-06,shipped,web,EUR,card,CGN1,153.0
180,37,2025-04-17,2025-04-24,open,edi,EUR,sepa,CGN1,190.0
181,35,2025-07-24,2025-07-30,paid,phone,EUR,card,MUC2,371.0
182,1,2025-01-02,2025-01-10,paid,phone,EUR,paypal,HH1,119.5
183,76,2025-03-07,2025-03-13,paid,edi,EUR,prepay,HH1,170.5
184,32,2025-11-30,2025-12-03,shipped,phone,EUR,prepay,CGN1,218.0
185,27,2025-09-04,2025-09-08,shipped,partner,EUR,sepa,BER3,256.0
186,50,2025-08-31,2025-09-01,paid,phone,EUR,prepay,HH1,332.0
187,23,2025-10-20,2025-10-23,paid,phone,EUR,paypal,HH1,201.5
188,9,2025-06-23,2025-06-30,open,edi,EUR,sepa,MUC2,267.5
189,45,2025-11-24,2025-11-28,open,partner,EUR,paypal,CGN1,67.0
190,75,2025-06-26,2025-07-02,paid,edi,EUR,sepa,HH1,70.0
191,2,2025-05-04,2025-05-08,open,store,EUR,sepa,BER3,405.5
192,65,2025-08-14,2025-08-20,shipped,phone,EUR,sepa,HH1,269.5
193,13,2025-03-06,2025-03-10,shipped,web,EUR,prepay,MUC2,212.0
194,41,2025-06-07,2025-06-13,paid,phone,EUR,paypal,MUC2,31.0
195,42,2025-12-31,2026-01-04,shipped,phone,EUR,card,CGN1,346.0
196,57,2025-06-18,2025-06-19,open,store,EUR,paypal,CGN1,140.0
197,77,2026-01-28,2026-02-01,shipped,partner,EUR,sepa,HH1,357.0
198,2,2025-01-29,2025-02-05,paid,store,EUR,prepay,HH1,172.0
199,52,2026-01-23,2026-01-27,paid,partner,EUR,sepa,CGN1,589.0
200,61,2025-12-19,2025-12-24,paid,partner,EUR,paypal,HH1,145.5
