subscription_id,company_id,plan_id,seats,mrr,arr,started_on,ended_on,status
143,56,4,20,9980.0,119760.0,2024-04-09,,active
144,10,3,8,1592.0,19104.0,2024-10-14,,trial
145,19,4,87,43413.0,520956.0,2024-07-01,,trial
146,44,2,5,395.0,4740.0,2024-03-14,,active
147,14,4,59,29441.0,353292.0,2024-09-03,,trial
148,56,1,3,87.0,1044.0,2024-08-05,,active
149,22,1,3,87.0,1044.0,2024-03-07,,trial
150,12,4,39,19461.0,233532.0,2024-07-15,2025-01-04,churned
151,10,1,2,58.0,696.0,2024-10-20,,active
152,52,1,2,58.0,696.0,2024-05-10,,active
153,47,3,4,796.0,9552.0,2024-01-07,,past_due
154,76,2,4,316.0,3792.0,2024-05-18,2024-08-26,churned
155,38,2,3,237.0,2844.0,2024-10-05,,active
156,7,1,1,29.0,348.0,2024-07-21,,trial
157,22,4,17,8483.0,101796.0,2024-10-29,,active
158,7,1,2,58.0,696.0,2024-06-22,2024-10-06,churned
159,25,4,33,16467.0,197604.0,2024-11-06,,past_due
160,20,1,3,87.0,1044.0,2024-06-25,,active
161,58,1,2,58.0,696.0,2024-11-08,,trial
162,58,1,1,29.0,348.0,2024-08-02,,past_due
163,10,3,8,1592.0,19104.0,2024-11-28,,past_due
164,64,1,2,58.0,696.0,2024-12-04,2025-03-01,churned
165,16,3,5,995.0,11940.0,2024-06-11,,active
166,4,2,1,79.0,948.0,2024-11-30,,trial
167,63,2,2,158.0,1896.0,2025-01-03,,active
168,10,1,1,29.0,348.0,2024-05-18,,trial
169,78,4,43,21457.0,257484.0,2024-05-15,,past_due
170,1,3,3,597.0,7164.0,2025-01-27,2025-09-11,churned
171,77,4,70,34930.0,419160.0,2024-09-16,,trial
172,32,4,33,16467.0,197604.0,2024-08-29,,active
173,65,1,1,29.0,348.0,2024-01-15,2024-03-27,churned
174,56,3,24,4776.0,57312.0,2024-08-15,,trial
175,78,4,48,23952.0,287424.0,2024-03-31,,trial
176,41,3,11,2189.0,26268.0,2024-08-03,,trial
177,77,4,95,47405.0,568860.0,2024-08-18,,active
178,52,2,10,790.0,9480.0,2024-05-05,,trial
179,77,3,14,2786.0,33432.0,2024-01-24,,active
180,5,4,95,47405.0,568860.0,2025-02-01,,trial
181,79,4,80,39920.0,479040.0,2024-10-15,,active
182,21,4,55,27445.0,329340.0,2024-11-17,,past_due
183,34,1,3,87.0,1044.0,2024-11-22,,trial
184,60,2,7,553.0,6636.0,2024-08-11,,active
185,10,2,2,158.0,1896.0,2024-05-01,,trial
186,72,2,5,395.0,4740.0,2024-06-17,2024-09-20,churned
187,54,2,3,237.0,2844.0,2024-02-04,,past_due
188,37,1,1,29.0,348.0,2024-09-25,,past_due
189,9,3,25,4975.0,59700.0,2024-05-03,,active
190,24,3,1,199.0,2388.0,2024-12-26,,trial
191,48,4,90,44910.0,538920.0,2024-12-16,,trial
192,79,2,8,632.0,7584.0,2024-02-25,,trial
193,74,2,10,790.0,9480.0,2024-06-19,,trial
194,6,2,4,316.0,3792.0,2024-07-16,,trial
195,49,3,1,199.0,2388.0,2024-06-12,,active
196,42,4,25,12475.0,149700.0,2024-10-27,,trial
197,26,2,9,711.0,8532.0,2024-05-31,,past_due
198,27,4,14,6986.0,83832.0,2024-10-14,,active
199,31,3,9,1791.0,21492.0,2024-02-19,,past_due
