rg_nr,abo_nr,firma_nr,rg_dat,netto_betrag,mwst_betrag,brutto,gezahlt,rest,stat_txt
51,23,120,2024-06-16,78.0,14.82,92.82,0.0,92.82,offen
52,23,120,2024-07-16,78.0,14.82,92.82,46.41,46.41,offen
53,23,120,2024-08-15,78.0,14.82,92.82,0.0,92.82,offen
54,23,120,2024-09-14,78.0,14.82,92.82,0.0,92.82,offen
55,24,115,2024-02-24,39.0,7.41,46.41,46.41,0.0,bezahlt
56,25,81,2024-03-08,7221.0,1371.99,8592.99,8592.99,0.0,bezahlt
57,25,81,2024-04-07,7221.0,1371.99,8592.99,8592.99,0.0,bezahlt
58,26,56,2024-02-12,39.0,7.41,46.41,46.41,0.0,bezahlt
59,26,56,2024-03-13,39.0,7.41,46.41,46.41,0.0,bezahlt
60,26,56,2024-04-12,39.0,7.41,46.41,46.41,0.0,bezahlt
61,26,56,2024-05-12,39.0,7.41,46.41,23.2,23.21,offen
62,27,37,2024-04-27,498.0,94.62,592.62,592.62,0.0,bezahlt
63,28,96,2024-04-12,2490.0,473.1,2963.1,2963.1,0.0,bezahlt
64,28,96,2024-05-12,2490.0,473.1,2963.1,2963.1,0.0,bezahlt
65,28,96,2024-06-11,2490.0,473.1,2963.1,2963.1,0.0,bezahlt
66,29,98,2024-10-04,39.0,7.41,46.41,23.2,23.21,offen
67,29,98,2024-11-03,39.0,7.41,46.41,46.41,0.0,bezahlt
68,29,98,2024-12-03,39.0,7.41,46.41,46.41,0.0,bezahlt
69,29,98,2025-01-02,39.0,7.41,46.41,46.41,0.0,bezahlt
70,30,34,2024-06-30,3735.0,709.65,4444.65,4444.65,0.0,bezahlt
71,31,48,2024-04-22,1598.0,303.62,1901.62,1901.62,0.0,bezahlt
72,31,48,2024-05-22,1598.0,303.62,1901.62,1901.62,0.0,bezahlt
73,31,48,2024-06-21,1598.0,303.62,1901.62,1901.62,0.0,bezahlt
74,32,58,2023-07-31,1494.0,283.86,1777.86,1777.86,0.0,bezahlt
75,32,58,2023-08-30,1494.0,283.86,1777.86,1777.86,0.0,bezahlt
76,33,55,2023-10-20,78.0,14.82,92.82,92.82,0.0,bezahlt
77,34,119,2023-09-12,39.0,7.41,46.41,46.41,0.0,bezahlt
78,35,105,2024-02-27,198.0,37.62,235.62,235.62,0.0,bezahlt
79,35,105,2024-03-28,198.0,37.62,235.62,235.62,0.0,bezahlt
80,35,105,2024-04-27,198.0,37.62,235.62,235.62,0.0,bezahlt
81,36,120,2023-08-28,198.0,37.62,235.62,235.62,0.0,bezahlt
82,37,102,2024-01-19,4233.0,804.27,5037.27,5037.27,0.0,bezahlt
83,37,102,2024-02-18,4233.0,804.27,5037.27,5037.27,0.0,bezahlt
84,37,102,2024-03-19,4233.0,804.27,5037.27,2518.64,2518.63,offen
85,38,59,2024-07-22,39.0,7.41,46.41,23.2,23.21,offen
86,38,59,2024-08-21,39.0,7.41,46.41,46.41,0.0,bezahlt
87,38,59,2024-09-20,39.0,7.41,46.41,0.0,46.41,offen
88,38,59,2024-10-20,39.0,7.41,46.41,46.41,0.0,bezahlt
89,39,49,2024-07-27,53533.0,10171.27,63704.27,0.0,63704.27,offen
90,39,49,2024-08-26,53533.0,10171.27,63704.27,63704.27,0.0,bezahlt
91,40,64,2023-08-13,396.0,75.24,471.24,471.24,0.0,bezahlt
92,40,64,2023-09-12,396.0,75.24,471.24,235.62,235.62,offen
93,40,64,2023-10-12,396.0,75.24,471.24,471.24,0.0,bezahlt
94,40,64,2023-11-11,396.0,75.24,471.24,471.24,0.0,bezahlt
95,41,94,2024-05-28,78.0,14.82,92.82,92.82,0.0,bezahlt
96,41,94,2024-06-27,78.0,14.82,92.82,92.82,0.0,bezahlt
97,42,75,2023-07-26,6474.0,1230.06,7704.06,7704.06,0.0,bezahlt
98,42,75,2023-08-25,6474.0,1230.06,7704.06,7704.06,0.0,bezahlt
99,42,75,2023-09-24,6474.0,1230.06,7704.06,7704.06,0.0,bezahlt
100,43,104,2024-07-09,2490.0,473.1,2963.1,2963.1,0.0,bezahlt
101,44,26,2024-05-13,47940.0,9108.6,57048.6,57048.6,0.0,bezahlt
102,45,20,2024-06-27,99.0,18.81,117.81,117.81,0.0,bezahlt
103,45,20,2024-07-27,99.0,18.81,117.81,117.81,0.0,bezahlt
104,45,20,2024-08-26,99.0,18.81,117.81,117.81,0.0,bezahlt
105,46,80,2023-10-21,96679.0,18369.01,115048.01,115048.01,0.0,bezahlt
106,46,80,2023-11-20,96679.0,18369.01,115048.01,115048.01,0.0,bezahlt
107,46,80,2023-12-20,96679.0,18369.01,115048.01,115048.01,0.0,bezahlt
108,46,80,2024-01-19,96679.0,18369.01,115048.01,57524.0,57524.01,offen
109,47,50,2023-12-04,747.0,141.93,888.93,888.93,0.0,bezahlt
110,47,50,2024-01-03,747.0,141.93,888.93,888.93,0.0,bezahlt
111,47,50,2024-02-02,747.0,141.93,888.93,888.93,0.0,bezahlt
112,47,50,2024-03-03,747.0,141.93,888.93,888.93,0.0,bezahlt
113,48,93,2023-09-15,105468.0,20038.92,125506.92,125506.92,0.0,bezahlt
114,48,93,2023-10-15,105468.0,20038.92,125506.92,62753.46,62753.46,offen
115,48,93,2023-11-14,105468.0,20038.92,125506.92,62753.46,62753.46,offen
116,49,98,2024-06-17,39.0,7.41,46.41,46.41,0.0,bezahlt
117,49,98,2024-07-17,39.0,7.41,46.41,0.0,46.41,offen
118,49,98,2024-08-16,39.0,7.41,46.41,46.41,0.0,bezahlt
119,49,98,2024-09-15,39.0,7.41,46.41,46.41,0.0,bezahlt
120,50,17,2024-01-07,78.0,14.82,92.82,92.82,0.0,bezahlt
121,50,17,2024-02-06,78.0,14.82,92.82,92.82,0.0,bezahlt
122,50,17,2024-03-07,78.0,14.82,92.82,46.41,46.41,offen
123,50,17,2024-04-06,78.0,14.82,92.82,92.82,0.0,bezahlt
124,51,69,2024-03-14,198.0,37.62,235.62,117.81,117.81,offen
125,51,69,2024-04-13,198.0,37.62,235.62,117.81,117.81,offen
126,51,69,2024-05-13,198.0,37.62,235.62,235.62,0.0,bezahlt
127,52,91,2024-08-08,71910.0,13662.9,85572.9,42786.45,42786.45,offen
128,53,81,2023-11-19,99.0,18.81,117.81,58.91,58.9,offen
129,54,32,2024-08-09,297.0,56.43,353.43,0.0,353.43,offen
130,54,32,2024-09-08,297.0,56.43,353.43,0.0,353.43,offen
131,55,106,2023-11-26,15181.0,2884.39,18065.39,18065.39,0.0,bezahlt
132,55,106,2023-12-26,15181.0,2884.39,18065.39,18065.39,0.0,bezahlt
133,55,106,2024-01-25,15181.0,2884.39,18065.39,18065.39,0.0,bezahlt
134,55,106,2024-02-24,15181.0,2884.39,18065.39,18065.39,0.0,bezahlt
135,56,63,2024-03-03,78.0,14.82,92.82,92.82,0.0,bezahlt
136,56,63,2024-04-02,78.0,14.82,92.82,92.82,0.0,bezahlt
137,57,17,2023-06-07,3735.0,709.65,4444.65,0.0,4444.65,offen
138,57,17,2023-07-07,3735.0,709.65,4444.65,2222.32,2222.33,offen
139,57,17,2023-08-06,3735.0,709.65,4444.65,4444.65,0.0,bezahlt
140,58,17,2024-04-04,799.0,151.81,950.81,950.81,0.0,bezahlt
141,58,17,2024-05-04,799.0,151.81,950.81,475.4,475.41,offen
142,58,17,2024-06-03,799.0,151.81,950.81,950.81,0.0,bezahlt
143,59,6,2023-08-31,396.0,75.24,471.24,471.24,0.0,bezahlt
144,59,6,2023-09-30,396.0,75.24,471.24,235.62,235.62,offen
145,59,6,2023-10-30,396.0,75.24,471.24,0.0,471.24,offen
146,60,23,2023-09-06,693.0,131.67,824.67,824.67,0.0,bezahlt
147,61,94,2024-05-28,44744.0,8501.36,53245.36,53245.36,0.0,bezahlt
148,61,94,2024-06-27,44744.0,8501.36,53245.36,53245.36,0.0,bezahlt
149,62,78,2024-03-03,6474.0,1230.06,7704.06,7704.06,0.0,bezahlt
150,62,78,2024-04-02,6474.0,1230.06,7704.06,0.0,7704.06,offen
151,62,78,2024-05-02,6474.0,1230.06,7704.06,3852.03,3852.03,offen
152,62,78,2024-06-01,6474.0,1230.06,7704.06,7704.06,0.0,bezahlt
153,63,50,2024-07-25,996.0,189.24,1185.24,592.62,592.62,offen
154,64,80,2024-06-16,78.0,14.82,92.82,92.82,0.0,bezahlt
155,64,80,2024-07-16,78.0,14.82,92.82,92.82,0.0,bezahlt
156,64,80,2024-08-15,78.0,14.82,92.82,92.82,0.0,bezahlt
157,64,80,2024-09-14,78.0,14.82,92.82,0.0,92.82,offen
158,65,27,2023-12-01,47141.0,8956.79,56097.79,56097.79,0.0,bezahlt
159,65,27,2023-12-31,47141.0,8956.79,56097.79,56097.79,0.0,bezahlt
160,65,27,2024-01-30,47141.0,8956.79,56097.79,28048.9,28048.89,offen
161,66,77,2023-06-09,98277.0,18672.63,116949.63,116949.63,0.0,bezahlt
162,66,77,2023-07-09,98277.0,18672.63,116949.63,0.0,116949.63,offen
163,66,77,2023-08-08,98277.0,18672.63,116949.63,116949.63,0.0,bezahlt
164,66,77,2023-09-07,98277.0,18672.63,116949.63,116949.63,0.0,bezahlt
165,67,82,2024-09-11,1494.0,283.86,1777.86,888.93,888.93,offen
166,67,82,2024-10-11,1494.0,283.86,1777.86,1777.86,0.0,bezahlt
167,68,72,2023-09-17,99.0,18.81,117.81,117.81,0.0,bezahlt
168,68,72,2023-10-17,99.0,18.81,117.81,117.81,0.0,bezahlt
169,69,64,2024-10-02,5593.0,1062.67,6655.67,6655.67,0.0,bezahlt
170,69,64,2024-11-01,5593.0,1062.67,6655.67,6655.67,0.0,bezahlt
171,70,100,2024-05-22,5976.0,1135.44,7111.44,7111.44,0.0,bezahlt
172,70,100,2024-06-21,5976.0,1135.44,7111.44,7111.44,0.0,bezahlt
173,71,108,2024-07-28,198.0,37.62,235.62,117.81,117.81,offen
174,72,8,2024-08-09,118252.0,22467.88,140719.88,140719.88,0.0,bezahlt
175,72,8,2024-09-08,118252.0,22467.88,140719.88,140719.88,0.0,bezahlt
176,73,100,2023-11-27,396.0,75.24,471.24,471.24,0.0,bezahlt
177,73,100,2023-12-27,396.0,75.24,471.24,0.0,471.24,offen
178,73,100,2024-01-26,396.0,75.24,471.24,471.24,0.0,bezahlt
179,73,100,2024-02-25,396.0,75.24,471.24,471.24,0.0,bezahlt
180,74,78,2024-10-09,198.0,37.62,235.62,235.62,0.0,bezahlt
181,74,78,2024-11-08,198.0,37.62,235.62,235.62,0.0,bezahlt
182,74,78,2024-12-08,198.0,37.62,235.62,235.62,0.0,bezahlt
183,74,78,2025-01-07,198.0,37.62,235.62,235.62,0.0,bezahlt
184,75,52,2023-09-25,297.0,56.43,353.43,353.43,0.0,bezahlt
185,75,52,2023-10-25,297.0,56.43,353.43,353.43,0.0,bezahlt
186,76,19,2024-01-10,792.0,150.48,942.48,942.48,0.0,bezahlt
187,76,19,2024-02-09,792.0,150.48,942.48,942.48,0.0,bezahlt
188,76,19,2024-03-10,792.0,150.48,942.48,0.0,942.48,offen
189,77,86,2024-08-26,78.0,14.82,92.82,92.82,0.0,bezahlt
190,77,86,2024-09-25,78.0,14.82,92.82,46.41,46.41,offen
191,78,35,2024-02-23,297.0,56.43,353.43,353.43,0.0,bezahlt
192,78,35,2024-03-24,297.0,56.43,353.43,353.43,0.0,bezahlt
193,79,104,2024-05-21,78.0,14.82,92.82,92.82,0.0,bezahlt
194,79,104,2024-06-20,78.0,14.82,92.82,46.41,46.41,offen
195,79,104,2024-07-20,78.0,14.82,92.82,92.82,0.0,bezahlt
196,79,104,2024-08-19,78.0,14.82,92.82,0.0,92.82,offen
197,80,59,2024-08-26,693.0,131.67,824.67,824.67,0.0,bezahlt
198,80,59,2024-09-25,693.0,131.67,824.67,824.67,0.0,bezahlt
199,80,59,2024-10-25,693.0,131.67,824.67,824.67,0.0,bezahlt
200,81,93,2024-01-27,792.0,150.48,942.48,942.48,0.0,bezahlt
201,82,18,2024-07-05,39.0,7.41,46.41,46.41,0.0,bezahlt
202,82,18,2024-08-04,39.0,7.41,46.41,46.41,0.0,bezahlt
203,82,18,2024-09-03,39.0,7.41,46.41,46.41,0.0,bezahlt
204,83,120,2024-06-28,2241.0,425.79,2666.79,2666.79,0.0,bezahlt
205,83,120,2024-07-28,2241.0,425.79,2666.79,2666.79,0.0,bezahlt
206,83,120,2024-08-27,2241.0,425.79,2666.79,2666.79,0.0,bezahlt
207,83,120,2024-09-26,2241.0,425.79,2666.79,2666.79,0.0,bezahlt
208,84,109,2024-04-08,5229.0,993.51,6222.51,0.0,6222.51,offen
209,84,109,2024-05-08,5229.0,993.51,6222.51,6222.51,0.0,bezahlt
210,84,109,2024-06-07,5229.0,993.51,6222.51,6222.51,0.0,bezahlt
211,85,68,2024-07-16,2490.0,473.1,2963.1,2963.1,0.0,bezahlt
212,85,68,2024-08-15,2490.0,473.1,2963.1,0.0,2963.1,offen
213,85,68,2024-09-14,2490.0,473.1,2963.1,2963.1,0.0,bezahlt
214,85,68,2024-10-14,2490.0,473.1,2963.1,2963.1,0.0,bezahlt
215,86,35,2024-04-30,78.0,14.82,92.82,92.82,0.0,bezahlt
216,86,35,2024-05-30,78.0,14.82,92.82,92.82,0.0,bezahlt
217,86,35,2024-06-29,78.0,14.82,92.82,0.0,92.82,offen
218,86,35,2024-07-29,78.0,14.82,92.82,92.82,0.0,bezahlt
219,87,53,2023-11-29,4482.0,851.58,5333.58,2666.79,2666.79,offen
220,87,53,2023-12-29,4482.0,851.58,5333.58,5333.58,0.0,bezahlt
221,88,99,2024-03-13,996.0,189.24,1185.24,0.0,1185.24,offen
222,88,99,2024-04-12,996.0,189.24,1185.24,1185.24,0.0,bezahlt
223,88,99,2024-05-12,996.0,189.24,1185.24,1185.24,0.0,bezahlt
224,89,83,2024-05-21,99.0,18.81,117.81,0.0,117.81,offen
225,89,83,2024-06-20,99.0,18.81,117.81,117.81,0.0,bezahlt
226,89,83,2024-07-20,99.0,18.81,117.81,117.81,0.0,bezahlt
227,90,94,2024-01-22,39.0,7.41,46.41,0.0,46.41,offen
228,91,2,2023-11-14,78.0,14.82,92.82,46.41,46.41,offen
229,91,2,2023-12-14,78.0,14.82,92.82,92.82,0.0,bezahlt
230,92,20,2024-04-29,39.0,7.41,46.41,46.41,0.0,bezahlt
231,92,20,2024-05-29,39.0,7.41,46.41,46.41,0.0,bezahlt
232,92,20,2024-06-28,39.0,7.41,46.41,46.41,0.0,bezahlt
233,92,20,2024-07-28,39.0,7.41,46.41,46.41,0.0,bezahlt
234,93,93,2023-08-02,78.0,14.82,92.82,92.82,0.0,bezahlt
235,93,93,2023-09-01,78.0,14.82,92.82,92.82,0.0,bezahlt
236,93,93,2023-10-01,78.0,14.82,92.82,92.82,0.0,bezahlt
237,93,93,2023-10-31,78.0,14.82,92.82,0.0,92.82,offen
238,94,97,2024-08-20,78302.0,14877.38,93179.38,0.0,93179.38,offen
239,95,116,2024-10-04,107865.0,20494.35,128359.35,128359.35,0.0,bezahlt
240,95,116,2024-11-03,107865.0,20494.35,128359.35,128359.35,0.0,bezahlt
241,96,41,2024-05-03,594.0,112.86,706.86,0.0,706.86,offen
242,97,105,2023-09-28,3735.0,709.65,4444.65,4444.65,0.0,bezahlt
243,97,105,2023-10-28,3735.0,709.65,4444.65,4444.65,0.0,bezahlt
244,98,100,2023-08-23,39.0,7.41,46.41,23.2,23.21,offen
245,98,100,2023-09-22,39.0,7.41,46.41,46.41,0.0,bezahlt
246,98,100,2023-10-22,39.0,7.41,46.41,23.2,23.21,offen
247,98,100,2023-11-21,39.0,7.41,46.41,46.41,0.0,bezahlt
248,99,53,2023-09-22,297.0,56.43,353.43,353.43,0.0,bezahlt
249,100,120,2024-06-13,52734.0,10019.46,62753.46,31376.73,31376.73,offen
250,100,120,2024-07-13,52734.0,10019.46,62753.46,62753.46,0.0,bezahlt
251,101,36,2024-07-02,792.0,150.48,942.48,942.48,0.0,bezahlt
252,101,36,2024-08-01,792.0,150.48,942.48,0.0,942.48,offen
253,101,36,2024-08-31,792.0,150.48,942.48,942.48,0.0,bezahlt
254,101,36,2024-09-30,792.0,150.48,942.48,942.48,0.0,bezahlt
255,102,55,2024-06-12,198.0,37.62,235.62,235.62,0.0,bezahlt
256,102,55,2024-07-12,198.0,37.62,235.62,235.62,0.0,bezahlt
257,102,55,2024-08-11,198.0,37.62,235.62,235.62,0.0,bezahlt
258,102,55,2024-09-10,198.0,37.62,235.62,235.62,0.0,bezahlt
259,103,63,2024-08-18,6225.0,1182.75,7407.75,7407.75,0.0,bezahlt
260,104,82,2024-07-24,24769.0,4706.11,29475.11,29475.11,0.0,bezahlt
261,104,82,2024-08-23,24769.0,4706.11,29475.11,29475.11,0.0,bezahlt
262,104,82,2024-09-22,24769.0,4706.11,29475.11,29475.11,0.0,bezahlt
263,104,82,2024-10-22,24769.0,4706.11,29475.11,29475.11,0.0,bezahlt
264,105,6,2023-06-17,5976.0,1135.44,7111.44,7111.44,0.0,bezahlt
265,105,6,2023-07-17,5976.0,1135.44,7111.44,7111.44,0.0,bezahlt
266,105,6,2023-08-16,5976.0,1135.44,7111.44,7111.44,0.0,bezahlt
267,105,6,2023-09-15,5976.0,1135.44,7111.44,7111.44,0.0,bezahlt
268,106,112,2023-11-25,67915.0,12903.85,80818.85,80818.85,0.0,bezahlt
269,106,112,2023-12-25,67915.0,12903.85,80818.85,80818.85,0.0,bezahlt
270,107,61,2023-10-12,1992.0,378.48,2370.48,1185.24,1185.24,offen
271,107,61,2023-11-11,1992.0,378.48,2370.48,2370.48,0.0,bezahlt
272,107,61,2023-12-11,1992.0,378.48,2370.48,2370.48,0.0,bezahlt
273,107,61,2024-01-10,1992.0,378.48,2370.48,2370.48,0.0,bezahlt
274,108,34,2024-08-21,8789.0,1669.91,10458.91,10458.91,0.0,bezahlt
275,109,2,2023-09-26,66317.0,12600.23,78917.23,78917.23,0.0,bezahlt
276,109,2,2023-10-26,66317.0,12600.23,78917.23,39458.61,39458.62,offen
277,109,2,2023-11-25,66317.0,12600.23,78917.23,78917.23,0.0,bezahlt
278,109,2,2023-12-25,66317.0,12600.23,78917.23,78917.23,0.0,bezahlt
279,110,32,2023-07-08,39.0,7.41,46.41,23.2,23.21,offen
280,110,32,2023-08-07,39.0,7.41,46.41,46.41,0.0,bezahlt
281,110,32,2023-09-06,39.0,7.41,46.41,46.41,0.0,bezahlt
282,111,14,2024-07-26,249.0,47.31,296.31,296.31,0.0,bezahlt
283,111,14,2024-08-25,249.0,47.31,296.31,296.31,0.0,bezahlt
284,111,14,2024-09-24,249.0,47.31,296.31,296.31,0.0,bezahlt
285,111,14,2024-10-24,249.0,47.31,296.31,296.31,0.0,bezahlt
286,112,19,2023-09-15,78.0,14.82,92.82,92.82,0.0,bezahlt
287,113,24,2023-06-08,39.0,7.41,46.41,46.41,0.0,bezahlt
288,114,87,2024-05-31,396.0,75.24,471.24,471.24,0.0,bezahlt
289,114,87,2024-06-30,396.0,75.24,471.24,471.24,0.0,bezahlt
290,114,87,2024-07-30,396.0,75.24,471.24,0.0,471.24,offen
291,115,10,2024-08-14,73508.0,13966.52,87474.52,87474.52,0.0,bezahlt
292,115,10,2024-09-13,73508.0,13966.52,87474.52,87474.52,0.0,bezahlt
293,115,10,2024-10-13,73508.0,13966.52,87474.52,87474.52,0.0,bezahlt
294,116,101,2023-07-27,113458.0,21557.02,135015.02,135015.02,0.0,bezahlt
295,116,101,2023-08-26,113458.0,21557.02,135015.02,135015.02,0.0,bezahlt
296,117,67,2023-09-18,6723.0,1277.37,8000.37,4000.18,4000.19,offen
297,117,67,2023-10-18,6723.0,1277.37,8000.37,8000.37,0.0,bezahlt
298,118,45,2024-05-27,39.0,7.41,46.41,0.0,46.41,offen
299,118,45,2024-06-26,39.0,7.41,46.41,46.41,0.0,bezahlt
300,118,45,2024-07-26,39.0,7.41,46.41,0.0,46.41,offen
301,119,82,2023-08-10,39.0,7.41,46.41,46.41,0.0,bezahlt
302,119,82,2023-09-09,39.0,7.41,46.41,46.41,0.0,bezahlt
303,119,82,2023-10-09,39.0,7.41,46.41,46.41,0.0,bezahlt
304,119,82,2023-11-08,39.0,7.41,46.41,46.41,0.0,bezahlt
305,120,57,2024-07-27,5976.0,1135.44,7111.44,7111.44,0.0,bezahlt
306,120,57,2024-08-26,5976.0,1135.44,7111.44,7111.44,0.0,bezahlt
307,120,57,2024-09-25,5976.0,1135.44,7111.44,7111.44,0.0,bezahlt
308,120,57,2024-10-25,5976.0,1135.44,7111.44,0.0,7111.44,offen
309,121,24,2023-06-22,39.0,7.41,46.41,46.41,0.0,bezahlt
310,122,29,2023-10-31,78.0,14.82,92.82,92.82,0.0,bezahlt
311,122,29,2023-11-30,78.0,14.82,92.82,92.82,0.0,bezahlt
312,122,29,2023-12-30,78.0,14.82,92.82,92.82,0.0,bezahlt
313,122,29,2024-01-29,78.0,14.82,92.82,92.82,0.0,bezahlt
314,123,68,2024-10-03,63121.0,11992.99,75113.99,75113.99,0.0,bezahlt
315,123,68,2024-11-02,63121.0,11992.99,75113.99,75113.99,0.0,bezahlt
316,123,68,2024-12-02,63121.0,11992.99,75113.99,75113.99,0.0,bezahlt
317,124,70,2023-10-16,198.0,37.62,235.62,235.62,0.0,bezahlt
318,124,70,2023-11-15,198.0,37.62,235.62,235.62,0.0,bezahlt
319,125,61,2024-06-02,249.0,47.31,296.31,148.16,148.15,offen
320,125,61,2024-07-02,249.0,47.31,296.31,296.31,0.0,bezahlt
321,125,61,2024-08-01,249.0,47.31,296.31,296.31,0.0,bezahlt
322,126,87,2023-09-20,792.0,150.48,942.48,942.48,0.0,bezahlt
323,126,87,2023-10-20,792.0,150.48,942.48,942.48,0.0,bezahlt
324,126,87,2023-11-19,792.0,150.48,942.48,942.48,0.0,bezahlt
325,126,87,2023-12-19,792.0,150.48,942.48,942.48,0.0,bezahlt
326,127,32,2024-07-27,495.0,94.05,589.05,294.52,294.53,offen
327,127,32,2024-08-26,495.0,94.05,589.05,589.05,0.0,bezahlt
328,128,54,2023-09-05,6225.0,1182.75,7407.75,7407.75,0.0,bezahlt
329,129,90,2024-03-21,99.0,18.81,117.81,58.91,58.9,offen
330,129,90,2024-04-20,99.0,18.81,117.81,58.91,58.9,offen
331,129,90,2024-05-20,99.0,18.81,117.81,117.81,0.0,bezahlt
332,130,54,2023-09-23,78.0,14.82,92.82,46.41,46.41,offen
333,130,54,2023-10-23,78.0,14.82,92.82,92.82,0.0,bezahlt
334,130,54,2023-11-22,78.0,14.82,92.82,92.82,0.0,bezahlt
335,131,14,2024-08-31,88689.0,16850.91,105539.91,105539.91,0.0,bezahlt
336,131,14,2024-09-30,88689.0,16850.91,105539.91,105539.91,0.0,bezahlt
337,132,98,2023-12-07,39.0,7.41,46.41,46.41,0.0,bezahlt
338,132,98,2024-01-06,39.0,7.41,46.41,46.41,0.0,bezahlt
339,132,98,2024-02-05,39.0,7.41,46.41,46.41,0.0,bezahlt
340,132,98,2024-03-06,39.0,7.41,46.41,46.41,0.0,bezahlt
341,133,9,2023-09-19,4233.0,804.27,5037.27,5037.27,0.0,bezahlt
342,133,9,2023-10-19,4233.0,804.27,5037.27,5037.27,0.0,bezahlt
343,133,9,2023-11-18,4233.0,804.27,5037.27,0.0,5037.27,offen
344,134,40,2023-12-13,594.0,112.86,706.86,706.86,0.0,bezahlt
345,135,42,2024-03-28,495.0,94.05,589.05,589.05,0.0,bezahlt
346,136,64,2023-11-09,39.0,7.41,46.41,23.2,23.21,offen
347,136,64,2023-12-09,39.0,7.41,46.41,46.41,0.0,bezahlt
348,137,15,2023-08-08,198.0,37.62,235.62,235.62,0.0,bezahlt
