firma_nr,firmenname,branche,land,ort,anlagedat
51,Südhandel SaaS 51,IT,CH,Köln,2022-11-01
52,Westlog SaaS 52,Fin,CH,Berlin,2022-11-04
53,Ostbau SaaS 53,IT,AT,Stuttgart,2022-11-07
54,Alpin SaaS 54,Handel,CH,Leipzig,2022-11-10
55,Hanse SaaS 55,Fin,AT,Frankfurt,2022-11-13
56,Rhein SaaS 56,IT,AT,Hamburg,2022-11-16
57,Main SaaS 57,Fin,AT,München,2022-11-19
58,Elbe SaaS 58,Fin,DE,Köln,2022-11-22
59,Donau SaaS 59,Handel,DE,Berlin,2022-11-25
60,Nordwerk SaaS 60,IT,CH,Stuttgart,2022-11-28
61,Südhandel SaaS 61,IT,CH,Leipzig,2022-12-01
62,Westlog SaaS 62,IT,AT,Frankfurt,2022-12-04
63,Ostbau SaaS 63,IT,AT,Hamburg,2022-12-07
64,Alpin SaaS 64,Fin,DE,München,2022-12-10
65,Hanse SaaS 65,IT,CH,Köln,2022-12-13
66,Rhein SaaS 66,Handel,CH,Berlin,2022-12-16
67,Main SaaS 67,Fin,AT,Stuttgart,2022-12-19
68,Elbe SaaS 68,IT,DE,Leipzig,2022-12-22
69,Donau SaaS 69,Medizin,CH,Frankfurt,2022-12-25
70,Nordwerk SaaS 70,Medizin,AT,Hamburg,2022-12-28
71,Südhandel SaaS 71,Handel,CH,München,2022-12-31
72,Westlog SaaS 72,Handel,DE,Köln,2023-01-03
73,Ostbau SaaS 73,Fin,AT,Berlin,2023-01-06
74,Alpin SaaS 74,Handel,DE,Stuttgart,2023-01-09
75,Hanse SaaS 75,Medizin,CH,Leipzig,2023-01-12
76,Rhein SaaS 76,Handel,AT,Frankfurt,2023-01-15
77,Main SaaS 77,Fin,AT,Hamburg,2023-01-18
78,Elbe SaaS 78,Medizin,DE,München,2023-01-21
79,Donau SaaS 79,Handel,CH,Köln,2023-01-24
80,Nordwerk SaaS 80,Medizin,CH,Berlin,2023-01-27
81,Südhandel SaaS 81,Fin,AT,Stuttgart,2023-01-30
82,Westlog SaaS 82,Fin,AT,Leipzig,2023-02-02
83,Ostbau SaaS 83,Fin,DE,Frankfurt,2023-02-05
84,Alpin SaaS 84,Medizin,CH,Hamburg,2023-02-08
85,Hanse SaaS 85,Handel,AT,München,2023-02-11
86,Rhein SaaS 86,Handel,AT,Köln,2023-02-14
87,Main SaaS 87,Handel,DE,Berlin,2023-02-17
88,Elbe SaaS 88,Fin,AT,Stuttgart,2023-02-20
89,Donau SaaS 89,Handel,AT,Leipzig,2023-02-23
90,Nordwerk SaaS 90,Fin,DE,Frankfurt,2023-02-26
91,Südhandel SaaS 91,IT,DE,Hamburg,2023-03-01
92,Westlog SaaS 92,Medizin,AT,München,2023-03-04
93,Ostbau SaaS 93,Medizin,DE,Köln,2023-03-07
94,Alpin SaaS 94,IT,CH,Berlin,2023-03-10
95,Hanse SaaS 95,Handel,CH,Stuttgart,2023-03-13
96,Rhein SaaS 96,Handel,DE,Leipzig,2023-03-16
97,Main SaaS 97,Medizin,DE,Frankfurt,2023-03-19
98,Elbe SaaS 98,Fin,DE,Hamburg,2023-03-22
99,Donau SaaS 99,Fin,AT,München,2023-03-25
100,Nordwerk SaaS 100,IT,DE,Köln,2023-03-28
101,Südhandel SaaS 101,Handel,AT,Berlin,2023-03-31
102,Westlog SaaS 102,IT,AT,Stuttgart,2023-04-03
103,Ostbau SaaS 103,Handel,AT,Leipzig,2023-04-06
104,Alpin SaaS 104,IT,DE,Frankfurt,2023-04-09
105,Hanse SaaS 105,IT,CH,Hamburg,2023-04-12
106,Rhein SaaS 106,Handel,DE,München,2023-04-15
107,Main SaaS 107,Medizin,DE,Köln,2023-04-18
108,Elbe SaaS 108,Fin,AT,Berlin,2023-04-21
109,Donau SaaS 109,Fin,CH,Stuttgart,2023-04-24
110,Nordwerk SaaS 110,Fin,AT,Leipzig,2023-04-27
111,Südhandel SaaS 111,Medizin,AT,Frankfurt,2023-04-30
112,Westlog SaaS 112,Handel,DE,Hamburg,2023-05-03
113,Ostbau SaaS 113,Fin,AT,München,2023-05-06
114,Alpin SaaS 114,IT,CH,Köln,2023-05-09
115,Hanse SaaS 115,Fin,AT,Berlin,2023-05-12
116,Rhein SaaS 116,Fin,AT,Stuttgart,2023-05-15
117,Main SaaS 117,Medizin,AT,Leipzig,2023-05-18
118,Elbe SaaS 118,Medizin,DE,Frankfurt,2023-05-21
119,Donau SaaS 119,IT,AT,Hamburg,2023-05-24
120,Nordwerk SaaS 120,Handel,CH,München,2023-05-27
