zahl_id,rg_nr,zahl_dat,betrag,weg
194,219,2023-12-03,2666.79,SEPA
195,220,2024-01-02,5333.58,ÜWZ
196,222,2024-04-16,1185.24,SEPA
197,223,2024-05-16,1185.24,ÜWZ
198,225,2024-06-24,117.81,ÜWZ
199,226,2024-07-24,117.81,KK
200,228,2023-11-18,46.41,KK
201,229,2023-12-18,92.82,SEPA
202,230,2024-05-03,46.41,ÜWZ
203,231,2024-06-02,46.41,SEPA
204,232,2024-07-02,46.41,SEPA
205,233,2024-08-01,46.41,KK
206,234,2023-08-06,92.82,ÜWZ
207,235,2023-09-05,92.82,SEPA
208,236,2023-10-05,92.82,SEPA
209,239,2024-10-08,128359.35,ÜWZ
210,240,2024-11-07,128359.35,KK
211,242,2023-10-02,4444.65,KK
212,243,2023-11-01,4444.65,KK
213,244,2023-08-27,23.2,KK
214,245,2023-09-26,46.41,KK
215,246,2023-10-26,23.2,KK
216,247,2023-11-25,46.41,ÜWZ
217,248,2023-09-26,353.43,ÜWZ
218,249,2024-06-17,31376.73,ÜWZ
219,250,2024-07-17,62753.46,ÜWZ
220,251,2024-07-06,942.48,SEPA
221,253,2024-09-04,942.48,SEPA
222,254,2024-10-04,942.48,SEPA
223,255,2024-06-16,235.62,SEPA
224,256,2024-07-16,235.62,SEPA
225,257,2024-08-15,235.62,SEPA
226,258,2024-09-14,235.62,KK
227,259,2024-08-22,7407.75,KK
228,260,2024-07-28,29475.11,SEPA
229,261,2024-08-27,29475.11,ÜWZ
230,262,2024-09-26,29475.11,SEPA
231,263,2024-10-26,29475.11,ÜWZ
232,264,2023-06-21,7111.44,ÜWZ
233,265,2023-07-21,7111.44,KK
234,266,2023-08-20,7111.44,KK
235,267,2023-09-19,7111.44,KK
236,268,2023-11-29,80818.85,SEPA
237,269,2023-12-29,80818.85,SEPA
238,270,2023-10-16,1185.24,SEPA
239,271,2023-11-15,2370.48,ÜWZ
240,272,2023-12-15,2370.48,ÜWZ
241,273,2024-01-14,2370.48,SEPA
242,274,2024-08-25,10458.91,KK
243,275,2023-09-30,78917.23,SEPA
244,276,2023-10-30,39458.61,ÜWZ
245,277,2023-11-29,78917.23,KK
246,278,2023-12-29,78917.23,KK
247,279,2023-07-12,23.2,KK
248,280,2023-08-11,46.41,SEPA
249,281,2023-09-10,46.41,ÜWZ
250,282,2024-07-30,296.31,SEPA
251,283,2024-08-29,296.31,SEPA
252,284,2024-09-28,296.31,SEPA
253,285,2024-10-28,296.31,SEPA
254,286,2023-09-19,92.82,ÜWZ
255,287,2023-06-12,46.41,ÜWZ
256,288,2024-06-04,471.24,SEPA
257,289,2024-07-04,471.24,SEPA
258,291,2024-08-18,87474.52,KK
259,292,2024-09-17,87474.52,ÜWZ
260,293,2024-10-17,87474.52,SEPA
261,294,2023-07-31,135015.02,ÜWZ
262,295,2023-08-30,135015.02,KK
263,296,2023-09-22,4000.18,ÜWZ
264,297,2023-10-22,8000.37,ÜWZ
265,299,2024-06-30,46.41,KK
266,301,2023-08-14,46.41,ÜWZ
267,302,2023-09-13,46.41,KK
268,303,2023-10-13,46.41,SEPA
269,304,2023-11-12,46.41,KK
270,305,2024-07-31,7111.44,SEPA
271,306,2024-08-30,7111.44,KK
272,307,2024-09-29,7111.44,ÜWZ
273,309,2023-06-26,46.41,SEPA
274,310,2023-11-04,92.82,KK
275,311,2023-12-04,92.82,SEPA
276,312,2024-01-03,92.82,ÜWZ
277,313,2024-02-02,92.82,SEPA
278,314,2024-10-07,75113.99,ÜWZ
279,315,2024-11-06,75113.99,SEPA
280,316,2024-12-06,75113.99,ÜWZ
281,317,2023-10-20,235.62,ÜWZ
282,318,2023-11-19,235.62,KK
283,319,2024-06-06,148.16,KK
284,320,2024-07-06,296.31,ÜWZ
285,321,2024-08-05,296.31,ÜWZ
286,322,2023-09-24,942.48,ÜWZ
287,323,2023-10-24,942.48,KK
288,324,2023-11-23,942.48,ÜWZ
289,325,2023-12-23,942.48,SEPA
290,326,2024-07-31,294.52,KK
291,327,2024-08-30,589.05,ÜWZ
292,328,2023-09-09,7407.75,ÜWZ
293,329,2024-03-25,58.91,SEPA
294,330,2024-04-24,58.91,SEPA
295,331,2024-05-24,117.81,KK
296,332,2023-09-27,46.41,SEPA
297,333,2023-10-27,92.82,SEPA
298,334,2023-11-26,92.82,ÜWZ
299,335,2024-09-04,105539.91,SEPA
300,336,2024-10-04,105539.91,KK
301,337,2023-12-11,46.41,SEPA
302,338,2024-01-10,46.41,KK
303,339,2024-02-09,46.41,SEPA
304,340,2024-03-10,46.41,ÜWZ
305,341,2023-09-23,5037.27,KK
306,342,2023-10-23,5037.27,SEPA
307,344,2023-12-17,706.86,KK
308,345,2024-04-01,589.05,SEPA
309,346,2023-11-13,23.2,ÜWZ
310,347,2023-12-13,46.41,ÜWZ
311,348,2023-08-12,235.62,KK
312,349,2023-09-11,235.62,KK
313,350,2023-10-11,235.62,KK
314,351,2024-07-31,8000.37,SEPA
315,352,2024-08-30,8000.37,ÜWZ
316,353,2024-09-29,8000.37,ÜWZ
317,354,2024-10-29,8000.37,SEPA
318,356,2024-05-17,46.41,ÜWZ
319,357,2024-06-16,46.41,ÜWZ
320,359,2023-09-10,942.48,SEPA
321,360,2023-10-10,942.48,KK
322,361,2023-11-09,471.24,ÜWZ
323,362,2023-11-02,28524.3,ÜWZ
324,363,2023-12-02,28524.3,KK
325,364,2024-01-03,5333.58,SEPA
326,365,2024-01-07,69409.13,SEPA
327,366,2024-02-06,138818.26,ÜWZ
328,367,2024-01-18,134064.21,SEPA
329,370,2024-04-17,134064.21,SEPA
330,371,2023-12-08,92.82,KK
331,372,2024-01-07,92.82,KK
332,373,2024-02-06,92.82,SEPA
333,374,2023-12-27,4444.65,KK
334,376,2024-02-25,4444.65,SEPA
335,377,2024-09-26,41835.64,KK
336,378,2024-10-26,41835.64,ÜWZ
337,379,2024-11-25,41835.64,SEPA
338,380,2024-12-25,41835.64,SEPA
339,381,2024-08-18,97933.43,ÜWZ
340,382,2024-09-17,97933.43,KK
341,383,2024-10-17,97933.43,SEPA
342,385,2024-02-04,4444.65,SEPA
343,386,2024-01-14,46.41,KK
344,387,2024-02-13,46.41,ÜWZ
345,388,2024-03-14,46.41,ÜWZ
346,389,2024-04-13,46.41,KK
347,390,2024-02-25,74163.18,ÜWZ
348,391,2024-03-26,74163.18,ÜWZ
349,392,2024-04-25,74163.18,ÜWZ
350,395,2024-05-18,6518.82,SEPA
351,396,2024-06-17,6518.82,KK
352,397,2024-07-17,6518.82,SEPA
353,398,2024-03-18,92.82,ÜWZ
354,399,2024-04-17,92.82,SEPA
355,400,2024-05-17,92.82,ÜWZ
356,401,2024-06-16,92.82,SEPA
357,403,2024-04-03,2074.17,KK
358,404,2023-09-29,8557.29,ÜWZ
359,405,2023-10-29,8557.29,KK
360,406,2024-08-29,353.43,ÜWZ
361,407,2024-01-29,92.82,SEPA
362,408,2023-08-21,6518.82,SEPA
363,409,2023-09-20,6518.82,SEPA
364,411,2023-07-25,23.2,KK
365,412,2023-07-14,2963.1,ÜWZ
366,413,2023-08-13,2963.1,SEPA
367,414,2023-12-26,46.41,ÜWZ
368,415,2024-01-25,23.2,ÜWZ
369,416,2024-02-24,46.41,KK
370,417,2023-11-29,5926.2,ÜWZ
371,420,2023-07-25,8592.99,SEPA
372,421,2023-08-24,8592.99,SEPA
373,422,2024-06-15,46.41,ÜWZ
374,423,2024-07-15,92.82,KK
375,424,2024-08-14,92.82,ÜWZ
376,425,2024-09-13,92.82,ÜWZ
377,427,2024-02-09,589.05,ÜWZ
378,428,2024-07-19,46.41,SEPA
379,429,2024-08-18,46.41,KK
380,430,2024-09-17,46.41,ÜWZ
381,431,2024-03-10,67507.51,KK
382,432,2024-04-09,135015.02,ÜWZ
383,433,2024-08-09,235.62,SEPA
384,434,2024-09-08,235.62,SEPA
385,435,2024-10-08,117.81,KK
386,436,2024-11-07,235.62,ÜWZ
387,437,2024-10-14,950.81,KK
388,439,2024-04-24,3259.41,SEPA
389,440,2024-05-24,6518.82,KK
390,441,2024-07-13,3407.57,KK
391,442,2024-08-12,6815.13,KK
392,443,2024-09-11,6815.13,ÜWZ
393,444,2024-10-11,6815.13,ÜWZ
394,445,2024-10-01,23.2,SEPA
395,446,2024-10-31,46.41,ÜWZ
396,447,2024-11-30,46.41,KK
397,448,2024-12-30,46.41,KK
398,449,2023-10-20,4740.96,SEPA
399,452,2023-09-20,91277.76,ÜWZ
400,453,2023-10-20,45638.88,ÜWZ
401,455,2024-07-26,235.62,KK
402,456,2024-08-25,235.62,SEPA
403,457,2024-09-24,117.81,KK
404,458,2024-09-19,4444.65,KK
405,459,2024-10-19,4444.65,KK
406,460,2024-11-18,2222.32,ÜWZ
407,461,2023-11-21,57999.41,ÜWZ
408,462,2023-12-21,57999.41,ÜWZ
409,463,2024-02-20,92.82,ÜWZ
410,464,2023-08-03,6222.51,ÜWZ
411,465,2023-12-21,92.82,KK
412,466,2024-01-20,46.41,SEPA
413,467,2024-02-19,92.82,KK
414,468,2024-03-20,92.82,KK
415,469,2024-02-17,824.67,ÜWZ
416,470,2024-03-18,824.67,ÜWZ
417,471,2024-04-17,824.67,KK
418,472,2024-03-02,81769.66,KK
419,473,2024-04-01,81769.66,SEPA
420,474,2024-05-01,81769.66,KK
421,476,2024-03-08,7407.75,ÜWZ
422,477,2024-05-16,130260.97,SEPA
423,478,2024-01-19,46.41,KK
424,479,2024-02-18,46.41,KK
425,480,2024-03-19,46.41,KK
426,481,2024-04-18,46.41,SEPA
427,482,2023-08-01,942.48,KK
428,484,2024-09-20,92.82,ÜWZ
429,485,2024-10-20,92.82,ÜWZ
430,486,2023-09-25,471.24,ÜWZ
431,487,2024-06-09,25671.87,ÜWZ
432,488,2024-07-09,25671.87,ÜWZ
433,489,2024-08-08,25671.87,ÜWZ
434,490,2024-09-07,25671.87,SEPA
435,491,2024-05-23,130260.97,ÜWZ
436,492,2024-06-22,130260.97,ÜWZ
437,493,2024-07-20,89376.14,SEPA
438,494,2024-03-19,28524.3,KK
439,495,2024-04-18,57048.6,ÜWZ
440,496,2024-05-18,57048.6,KK
441,497,2024-09-18,92.82,ÜWZ
442,498,2023-09-02,942.48,SEPA
443,499,2023-10-02,942.48,KK
444,500,2023-12-12,235.62,SEPA
445,501,2024-01-11,471.24,ÜWZ
446,503,2024-03-11,471.24,SEPA
447,505,2024-02-18,3111.26,ÜWZ
448,506,2023-08-20,7111.44,ÜWZ
449,507,2024-08-27,15212.96,ÜWZ
450,508,2024-05-13,46.41,ÜWZ
451,509,2024-06-12,46.41,ÜWZ
452,510,2024-07-12,46.41,KK
453,511,2024-08-11,46.41,SEPA
454,512,2024-07-05,235.62,KK
455,513,2024-08-04,235.62,SEPA
456,514,2024-09-03,235.62,ÜWZ
457,515,2024-10-03,235.62,SEPA
458,516,2023-08-30,8296.68,KK
459,517,2023-09-29,8296.68,KK
460,518,2023-10-29,8296.68,KK
461,519,2023-11-28,4148.34,KK
462,520,2023-12-06,353.43,ÜWZ
463,521,2024-01-05,353.43,SEPA
464,522,2024-02-04,353.43,SEPA
465,523,2023-12-18,10458.91,ÜWZ
466,524,2024-01-17,10458.91,KK
467,525,2024-02-16,5229.45,SEPA
468,526,2024-03-09,46.41,KK
469,527,2024-04-08,46.41,KK
470,528,2024-05-08,46.41,KK
471,529,2024-06-07,92.82,KK
472,530,2023-07-19,589.05,ÜWZ
473,531,2023-08-18,589.05,SEPA
474,532,2023-07-05,92.82,ÜWZ
475,533,2023-08-04,92.82,SEPA
476,534,2023-06-17,46.41,ÜWZ
477,536,2023-08-16,46.41,KK
478,537,2023-09-15,46.41,SEPA
479,538,2023-11-15,4148.34,SEPA
480,539,2023-12-15,4148.34,ÜWZ
481,540,2024-05-19,105539.91,SEPA
482,541,2024-06-18,105539.91,KK
483,542,2024-07-18,105539.91,ÜWZ
484,543,2024-07-27,117.81,KK
485,544,2024-08-26,117.81,SEPA
486,545,2024-09-25,117.81,KK
487,546,2024-10-25,58.91,KK
488,547,2024-10-04,412.33,ÜWZ
489,548,2024-11-03,824.67,KK
490,549,2024-12-03,824.67,SEPA
491,550,2024-02-02,2370.48,SEPA
492,551,2024-03-03,2370.48,ÜWZ
493,552,2024-04-02,2370.48,ÜWZ
494,553,2024-05-02,2370.48,ÜWZ
495,554,2024-09-26,141670.69,ÜWZ
496,556,2024-11-25,141670.69,ÜWZ
497,558,2023-10-07,27573.49,KK
498,559,2023-11-06,27573.49,KK
499,560,2023-12-06,27573.49,KK
500,561,2024-01-05,27573.49,KK
501,562,2024-10-12,92.82,ÜWZ
502,563,2024-11-11,92.82,KK
503,564,2024-02-08,8296.68,SEPA
504,565,2024-03-09,8296.68,KK
505,566,2023-08-25,100785.86,ÜWZ
506,567,2023-07-13,5629.89,KK
507,568,2023-08-12,2814.95,SEPA
508,569,2023-11-25,46.41,SEPA
509,570,2024-09-21,824.67,ÜWZ
510,571,2024-10-21,824.67,ÜWZ
511,572,2024-06-03,5926.2,ÜWZ
512,573,2024-07-03,5926.2,KK
513,574,2024-08-02,5926.2,KK
514,575,2024-09-01,5926.2,KK
515,576,2023-07-23,46.41,SEPA
516,577,2023-08-22,23.2,KK
517,578,2023-09-21,46.41,SEPA
518,579,2024-07-16,55146.98,KK
519,580,2024-08-15,55146.98,KK
520,581,2024-09-14,55146.98,KK
521,582,2024-09-29,471.24,SEPA
522,583,2024-10-29,471.24,ÜWZ
523,584,2024-08-07,5926.2,SEPA
524,585,2024-09-06,5926.2,SEPA
525,586,2024-10-06,5926.2,KK
526,587,2024-11-05,5926.2,SEPA
527,588,2023-09-14,942.48,ÜWZ
528,589,2024-02-02,3852.03,SEPA
529,590,2024-03-03,3852.03,KK
530,591,2024-04-02,3852.03,SEPA
531,592,2024-05-02,1926.02,KK
532,593,2023-10-18,589.05,KK
533,594,2023-11-17,589.05,KK
534,595,2024-04-02,92.82,KK
535,596,2024-05-02,46.41,ÜWZ
536,597,2024-06-01,92.82,SEPA
537,598,2024-06-19,5926.2,KK
538,599,2024-07-19,5926.2,KK
539,600,2024-08-18,5926.2,SEPA
540,601,2024-09-17,5926.2,SEPA
541,602,2024-05-23,3555.72,KK
542,603,2024-01-05,46.41,ÜWZ
543,604,2024-02-04,46.41,SEPA
544,607,2024-10-13,128359.35,KK
545,608,2024-11-12,128359.35,KK
546,610,2023-07-23,130260.97,ÜWZ
547,611,2023-08-22,130260.97,KK
548,612,2024-05-17,1481.55,KK
549,613,2024-06-16,1481.55,SEPA
550,614,2024-07-16,1481.55,ÜWZ
551,615,2024-06-08,471.24,KK
552,616,2024-07-08,471.24,KK
553,617,2024-08-07,471.24,ÜWZ
554,618,2024-09-06,471.24,KK
555,620,2023-07-06,92.82,ÜWZ
556,622,2023-08-05,824.67,SEPA
557,623,2023-11-10,31376.73,ÜWZ
558,624,2024-03-31,92.82,SEPA
559,625,2024-04-30,92.82,SEPA
560,626,2024-05-30,92.82,SEPA
561,627,2024-06-29,92.82,ÜWZ
562,628,2023-07-19,96031.81,ÜWZ
563,629,2024-05-24,17114.58,KK
564,630,2024-06-23,17114.58,SEPA
565,631,2024-07-23,17114.58,KK
566,632,2024-08-22,17114.58,SEPA
567,633,2023-09-29,92.82,KK
568,634,2023-09-18,8000.37,ÜWZ
569,635,2023-10-18,8000.37,KK
570,636,2023-11-17,8000.37,SEPA
571,637,2023-12-17,8000.37,ÜWZ
572,638,2024-07-25,99835.05,SEPA
573,640,2024-09-23,99835.05,ÜWZ
574,641,2023-10-29,2666.79,KK
575,642,2023-11-28,2666.79,ÜWZ
576,643,2024-10-13,51343.74,KK
577,644,2024-11-12,51343.74,KK
578,645,2024-12-12,51343.74,ÜWZ
579,646,2024-08-31,2814.95,SEPA
580,647,2024-09-30,5629.89,KK
581,648,2024-10-30,5629.89,KK
582,649,2024-11-29,5629.89,SEPA
583,650,2024-01-11,115048.01,SEPA
584,651,2024-02-10,115048.01,ÜWZ
585,652,2024-06-07,8889.3,SEPA
586,653,2024-07-07,8889.3,SEPA
587,654,2024-08-04,104589.1,ÜWZ
588,655,2024-09-03,104589.1,ÜWZ
589,656,2023-09-24,4296.49,SEPA
590,657,2024-01-30,92.82,KK
591,658,2024-03-18,8000.37,SEPA
592,659,2024-04-17,8000.37,ÜWZ
593,660,2024-05-17,8000.37,ÜWZ
594,661,2024-04-10,2666.79,ÜWZ
595,662,2024-05-10,2666.79,KK
596,663,2024-10-02,353.43,ÜWZ
597,664,2024-11-01,353.43,ÜWZ
598,665,2024-12-01,353.43,SEPA
599,666,2023-06-09,6518.82,ÜWZ
600,667,2023-07-09,6518.82,ÜWZ
601,668,2023-08-08,6518.82,KK
602,669,2023-10-22,92.82,SEPA
603,670,2023-11-21,92.82,KK
604,671,2023-12-21,92.82,KK
605,672,2023-06-06,235.62,ÜWZ
606,673,2023-07-06,235.62,SEPA
607,674,2023-08-05,235.62,KK
608,675,2023-09-04,117.81,KK
609,676,2024-05-24,1777.86,ÜWZ
610,677,2024-03-31,706.86,ÜWZ
611,678,2024-04-30,706.86,ÜWZ
612,679,2024-03-13,6815.13,ÜWZ
613,680,2024-04-12,6815.13,KK
614,681,2024-05-12,6815.13,KK
615,682,2024-06-11,6815.13,KK
616,684,2023-07-22,92.82,ÜWZ
617,685,2023-08-21,46.41,KK
618,686,2023-09-20,92.82,ÜWZ
619,687,2024-09-01,471.24,SEPA
620,688,2024-10-01,471.24,KK
621,689,2023-12-10,589.05,SEPA
622,690,2024-05-13,96982.62,SEPA
623,691,2024-09-29,117.81,ÜWZ
624,692,2024-10-29,117.81,ÜWZ
625,693,2024-11-28,58.91,SEPA
626,694,2023-07-16,35179.97,KK
627,695,2023-08-15,35179.97,ÜWZ
628,696,2023-09-14,35179.97,ÜWZ
629,697,2023-10-14,17589.99,KK
630,698,2024-03-10,4740.96,ÜWZ
631,699,2024-04-09,2370.48,ÜWZ
632,700,2024-01-17,92.82,KK
633,701,2024-02-16,92.82,KK
634,702,2024-03-17,92.82,SEPA
635,703,2024-04-16,92.82,SEPA
636,704,2023-10-03,5037.27,SEPA
637,706,2023-10-03,5926.2,ÜWZ
638,707,2023-11-02,5926.2,SEPA
639,708,2024-06-01,46.41,ÜWZ
640,709,2024-07-01,46.41,SEPA
641,710,2024-07-31,23.2,ÜWZ
642,711,2024-08-30,23.2,SEPA
643,713,2023-11-11,7407.75,ÜWZ
644,714,2023-12-11,7407.75,KK
645,715,2023-10-26,706.86,ÜWZ
646,718,2023-07-29,92.82,SEPA
647,719,2024-05-01,23.2,KK
648,720,2024-06-28,824.67,ÜWZ
649,721,2024-07-28,824.67,ÜWZ
650,722,2024-08-27,824.67,KK
651,723,2024-09-26,824.67,ÜWZ
652,724,2024-02-22,950.81,ÜWZ
653,725,2024-03-23,950.81,KK
654,726,2024-04-22,950.81,ÜWZ
655,727,2024-05-22,950.81,KK
656,728,2023-11-18,1185.24,SEPA
657,729,2023-12-18,1185.24,ÜWZ
658,731,2024-02-20,92.82,KK
659,732,2024-03-21,46.41,ÜWZ
660,733,2024-04-20,92.82,KK
661,734,2024-05-20,92.82,KK
662,735,2024-08-20,4148.34,KK
663,736,2024-09-19,4148.34,SEPA
664,737,2024-02-12,706.86,KK
665,739,2024-03-01,8000.37,KK
666,740,2024-03-31,4000.18,SEPA
667,741,2024-04-30,8000.37,SEPA
668,742,2023-07-18,296.31,ÜWZ
669,743,2024-01-10,2852.43,SEPA
670,744,2024-02-09,2852.43,ÜWZ
671,745,2024-03-29,235.62,SEPA
672,746,2024-04-28,235.62,SEPA
673,747,2024-05-28,235.62,KK
674,748,2024-06-27,117.81,ÜWZ
675,749,2024-03-18,4148.34,ÜWZ
676,750,2024-04-17,8296.68,ÜWZ
677,751,2024-05-17,8296.68,ÜWZ
678,753,2023-12-22,65605.89,KK
