tix_nr,firma_nr,usr_id,auf_dat,typ_txt,prio,bearb_h,stat_txt
150,66,546,2024-04-15,bug,n,33.8,warte
151,105,465,2024-12-05,ausfall,n,20.8,offen
152,8,,2023-09-16,frage,h,40.3,warte
153,101,221,2024-02-03,rechnung,k,23.0,warte
154,49,409,2024-07-17,bug,k,4.6,warte
155,9,369,2023-09-22,ausfall,k,26.5,offen
156,80,200,2024-10-08,rechnung,h,27.5,warte
157,62,662,2024-06-17,bug,n,41.3,offen
158,98,218,2023-08-22,rechnung,n,15.6,erledigt
159,32,632,2024-02-04,ausfall,h,51.4,offen
160,94,454,2024-01-19,rechnung,n,29.2,erledigt
161,107,107,2023-12-02,frage,k,52.7,offen
162,114,114,2024-05-31,frage,h,5.4,warte
163,68,,2023-11-14,rechnung,h,1.5,warte
164,67,667,2024-01-15,bug,h,5.6,erledigt
165,24,624,2024-11-27,bug,k,30.2,warte
166,39,279,2024-09-02,bug,h,33.3,warte
167,68,,2024-02-25,ausfall,k,15.4,offen
168,74,314,2024-05-29,frage,n,0.3,offen
169,86,,2024-03-12,bug,n,0.3,erledigt
170,109,469,2024-04-15,bug,h,49.8,erledigt
171,84,684,2025-01-15,ausfall,n,49.8,offen
172,99,459,2024-09-08,bug,k,32.8,warte
173,14,494,2024-10-25,ausfall,k,51.2,warte
174,42,522,2023-11-03,ausfall,h,47.5,erledigt
175,98,458,2024-03-19,rechnung,k,19.4,erledigt
176,90,90,2024-04-05,frage,k,3.5,offen
177,69,,2024-03-10,ausfall,n,18.5,offen
178,92,212,2023-11-05,rechnung,k,11.4,warte
179,9,249,2024-01-06,bug,n,35.1,warte
180,53,533,2023-12-17,ausfall,n,46.5,offen
181,57,297,2023-08-15,bug,h,30.3,offen
182,113,473,2024-04-06,ausfall,k,33.8,offen
183,93,573,2023-08-28,ausfall,n,29.1,warte
184,51,171,2024-07-28,rechnung,n,17.6,warte
185,59,59,2024-01-14,bug,h,22.7,offen
186,47,287,2024-10-17,rechnung,k,31.7,offen
187,4,244,2023-12-30,rechnung,n,8.9,offen
188,79,,2023-12-09,ausfall,h,20.2,erledigt
189,102,582,2024-12-07,rechnung,n,29.9,offen
190,109,589,2024-02-04,bug,n,52.0,erledigt
191,98,578,2024-04-19,frage,n,18.8,warte
192,40,640,2024-05-31,ausfall,k,26.0,warte
193,73,73,2023-07-24,frage,n,48.9,offen
194,43,283,2024-04-14,frage,n,39.3,erledigt
195,59,299,2024-06-25,bug,h,3.4,warte
196,43,163,2024-07-05,frage,n,16.7,offen
197,61,61,2023-08-24,frage,n,8.6,warte
198,76,196,2024-10-27,bug,n,3.2,offen
