nutz_id,firma_nr,usr_id,feat,am,anz_events
142,37,37,sso,2024-07-21,751
143,37,637,sso,2024-06-13,507
144,37,397,sso,2024-06-08,375
145,37,277,dash,2024-07-27,294
146,37,277,sso,2024-05-03,424
147,96,456,sso,2024-05-18,348
148,96,336,sso,2024-07-20,521
149,96,336,sso,2024-04-27,166
150,96,696,sso,2024-07-17,50
151,96,576,export,2024-06-14,767
152,96,216,dash,2024-06-12,54
153,96,456,api,2024-05-25,650
154,96,696,dash,2024-07-19,365
155,98,338,api,2024-10-17,400
156,98,698,dash,2024-11-15,534
157,98,578,sso,2024-11-29,56
158,98,458,api,2024-10-16,609
159,98,98,audit,2024-11-22,410
160,34,394,dash,2024-09-29,451
161,34,154,dash,2024-09-25,239
162,34,34,export,2024-09-09,282
163,34,394,export,2024-07-01,17
164,34,634,export,2024-07-17,383
165,34,154,audit,2024-09-10,748
166,48,648,export,2024-05-21,376
167,48,648,sso,2024-05-02,547
168,48,288,audit,2024-05-03,235
169,58,178,dash,2023-08-07,800
170,58,298,api,2023-08-03,456
171,58,658,api,2023-11-07,303
172,58,178,audit,2023-08-02,660
173,55,655,sso,2024-01-15,110
174,55,295,sso,2024-01-17,183
175,55,175,api,2023-11-20,663
176,55,655,export,2023-11-16,574
177,119,479,sso,2023-09-17,495
178,119,119,sso,2023-10-05,418
179,119,599,audit,2023-12-10,196
180,119,599,sso,2023-12-15,327
181,119,119,sso,2023-11-15,328
182,119,359,audit,2023-09-17,148
183,119,359,api,2023-11-20,637
184,119,479,export,2023-09-29,234
185,105,345,sso,2024-04-25,609
186,105,585,sso,2024-05-17,595
187,105,225,sso,2024-03-31,76
188,105,225,dash,2024-05-21,84
189,105,465,export,2024-05-05,42
190,105,225,audit,2024-03-20,298
191,120,240,sso,2023-10-13,558
192,120,480,sso,2023-10-07,23
193,120,240,sso,2023-09-01,736
194,102,462,export,2024-04-22,509
195,102,462,export,2024-04-27,255
196,102,462,dash,2024-04-27,620
197,102,102,sso,2024-04-24,706
198,102,462,export,2024-03-22,795
199,102,582,sso,2024-03-19,716
200,102,342,api,2024-04-03,141
201,59,659,sso,2024-09-28,465
202,59,59,export,2024-08-26,266
203,59,59,dash,2024-08-20,53
204,59,659,dash,2024-08-04,475
205,49,529,api,2024-10-10,706
206,49,169,audit,2024-08-22,101
207,49,289,export,2024-08-09,609
208,49,169,sso,2024-08-01,731
209,49,409,export,2024-10-08,688
210,49,649,dash,2024-07-31,238
211,64,424,export,2023-10-15,677
212,64,184,export,2023-08-14,322
213,64,664,api,2023-09-27,672
214,64,184,dash,2023-08-15,534
215,64,664,export,2023-11-16,685
216,64,64,api,2023-08-25,16
217,94,334,audit,2024-06-08,249
218,94,334,audit,2024-08-30,514
219,94,94,export,2024-07-25,189
220,75,315,api,2023-10-25,125
221,75,555,audit,2023-09-18,628
222,75,195,api,2023-08-22,651
223,104,224,sso,2024-08-11,427
224,104,224,export,2024-08-21,458
225,104,344,audit,2024-09-12,291
226,26,26,api,2024-05-27,492
227,26,386,dash,2024-07-20,362
228,26,146,audit,2024-07-18,215
229,20,20,audit,2024-08-22,284
230,20,380,sso,2024-09-27,462
231,20,140,audit,2024-07-30,237
232,20,380,export,2024-07-11,110
233,20,380,dash,2024-08-09,293
234,80,320,export,2023-10-28,473
235,80,440,dash,2023-12-03,191
236,80,440,sso,2024-01-21,510
237,50,170,dash,2024-03-13,707
238,50,650,audit,2023-12-17,196
239,50,650,sso,2024-02-16,210
240,50,650,audit,2023-12-04,504
241,50,410,audit,2024-03-04,757
242,50,530,audit,2024-01-15,397
243,50,410,dash,2024-01-27,667
244,93,453,audit,2023-11-20,329
245,93,573,sso,2023-11-26,227
246,93,333,audit,2023-10-04,588
247,93,693,dash,2023-10-25,80
248,98,698,sso,2024-09-04,498
249,98,698,sso,2024-07-07,319
250,98,98,export,2024-08-22,433
251,98,698,audit,2024-07-09,397
252,98,218,api,2024-06-23,523
253,98,338,dash,2024-06-29,704
254,98,98,export,2024-07-23,227
255,17,377,api,2024-01-23,152
256,17,137,api,2024-02-02,585
257,17,617,api,2024-02-21,190
258,17,17,sso,2024-02-08,799
259,17,17,export,2024-02-23,628
260,17,17,dash,2024-03-26,269
261,69,309,audit,2024-03-26,163
262,69,309,dash,2024-05-06,764
263,69,669,sso,2024-03-16,738
264,69,429,dash,2024-06-14,616
265,69,549,api,2024-05-18,225
266,69,549,audit,2024-06-01,93
267,69,189,dash,2024-05-16,11
268,69,189,sso,2024-06-19,142
269,91,691,sso,2024-09-15,316
270,91,331,dash,2024-09-15,710
271,91,571,audit,2024-09-18,233
272,91,571,export,2024-09-21,446
273,81,681,audit,2023-11-27,211
274,81,561,audit,2023-12-24,81
275,81,681,export,2023-11-26,785
276,81,561,export,2024-01-11,683
277,81,561,dash,2023-11-29,623
278,81,681,audit,2023-11-30,59
279,81,81,api,2024-02-07,524
280,81,321,dash,2024-02-27,236
281,32,272,audit,2024-09-11,491
282,32,632,audit,2024-10-16,663
283,32,32,dash,2024-09-21,14
284,32,632,audit,2024-08-10,338
285,106,586,sso,2024-02-13,147
286,106,346,api,2024-03-04,624
287,106,106,dash,2023-11-28,607
288,106,226,audit,2024-01-24,588
289,106,226,export,2024-02-15,237
290,106,586,audit,2023-12-07,516
291,63,303,api,2024-05-03,217
292,63,543,dash,2024-05-08,618
293,63,63,audit,2024-06-03,387
294,63,183,sso,2024-06-01,33
295,63,543,api,2024-06-05,426
296,63,663,api,2024-03-04,252
297,17,137,export,2023-08-24,228
298,17,377,api,2023-06-23,702
299,17,617,export,2023-06-10,518
300,17,17,api,2023-06-26,453
301,17,17,dash,2023-07-26,764
302,17,497,sso,2024-04-11,537
303,17,377,export,2024-05-22,425
304,17,377,export,2024-07-06,138
305,17,17,sso,2024-04-07,153
306,17,497,audit,2024-06-26,206
307,6,246,api,2023-10-17,447
308,6,246,export,2023-10-16,668
309,6,126,sso,2023-11-25,65
310,6,6,sso,2023-10-17,67
311,6,126,sso,2023-10-14,724
312,6,126,audit,2023-09-20,459
313,23,623,export,2023-10-21,198
314,23,503,sso,2023-09-11,115
315,23,263,export,2023-09-07,264
316,23,503,dash,2023-10-19,673
317,23,503,sso,2023-10-24,431
318,94,574,dash,2024-08-28,242
319,94,94,audit,2024-08-06,738
320,94,574,audit,2024-06-20,751
321,94,454,dash,2024-06-20,29
322,94,574,api,2024-08-03,314
323,94,94,api,2024-08-25,391
324,94,454,export,2024-07-20,112
325,94,334,sso,2024-06-19,159
326,78,438,sso,2024-05-01,162
327,78,198,sso,2024-03-04,38
328,78,78,api,2024-05-20,798
329,78,558,export,2024-05-05,476
330,78,318,sso,2024-05-09,783
331,78,438,dash,2024-05-23,263
332,50,290,audit,2024-10-01,650
333,50,530,dash,2024-07-26,108
334,50,650,api,2024-09-18,749
335,80,200,sso,2024-06-30,394
336,80,200,sso,2024-07-07,322
337,80,440,audit,2024-08-11,324
338,80,320,export,2024-07-20,739
339,80,320,export,2024-07-21,642
340,27,507,api,2023-12-25,638
341,27,27,dash,2024-01-29,400
342,27,147,api,2023-12-22,115
343,27,627,audit,2024-01-30,709
344,27,507,api,2023-12-02,39
345,27,267,sso,2024-02-16,485
346,27,267,api,2024-02-27,306
347,77,677,audit,2023-09-14,53
348,77,77,sso,2023-09-11,531
349,77,77,audit,2023-07-14,351
350,77,197,sso,2023-07-19,634
351,77,77,export,2023-08-24,65
352,77,317,export,2023-08-14,660
353,77,197,dash,2023-09-06,398
354,82,202,dash,2024-11-24,347
355,82,202,sso,2024-12-11,77
356,82,682,dash,2024-10-10,631
357,82,322,audit,2024-12-12,26
358,72,192,export,2023-10-02,217
359,72,192,export,2023-12-06,249
360,72,432,dash,2023-11-19,659
361,72,552,export,2023-10-07,529
362,72,552,audit,2023-12-15,615
363,72,672,audit,2023-11-06,514
364,72,312,export,2023-10-23,720
365,64,304,api,2024-11-23,214
366,64,544,dash,2024-11-18,165
367,64,64,export,2024-10-12,749
368,64,64,audit,2024-10-05,627
369,64,304,audit,2024-11-21,641
370,100,340,api,2024-08-26,195
371,100,100,api,2024-07-22,766
372,100,100,api,2024-05-27,651
373,100,340,api,2024-06-14,403
374,108,468,audit,2024-08-14,282
375,108,348,audit,2024-10-01,685
376,108,348,sso,2024-09-10,361
377,108,108,export,2024-11-02,797
378,8,488,export,2024-09-25,429
379,8,608,sso,2024-10-17,396
380,8,488,dash,2024-09-07,557
381,8,128,export,2024-10-03,5
382,100,460,dash,2024-02-26,63
383,100,100,audit,2023-12-12,499
384,100,700,sso,2023-12-20,33
385,100,340,sso,2024-01-07,674
386,100,460,audit,2023-12-06,184
387,100,100,export,2024-03-03,55
388,78,318,audit,2024-10-13,227
389,78,438,audit,2024-12-25,76
390,78,678,sso,2024-12-19,93
391,52,652,dash,2023-12-12,614
392,52,172,audit,2023-12-20,731
393,52,532,dash,2023-10-08,301
394,52,172,api,2023-09-26,535
395,52,52,api,2023-12-18,467
396,19,619,audit,2024-04-19,155
397,19,499,audit,2024-02-09,588
398,19,259,sso,2024-03-28,769
399,19,379,audit,2024-03-19,441
400,19,619,api,2024-02-13,389
401,19,139,export,2024-04-06,44
402,19,619,dash,2024-03-02,144
403,86,446,sso,2024-09-27,31
404,86,566,sso,2024-08-28,3
405,86,326,audit,2024-10-14,37
406,86,326,export,2024-09-02,377
407,86,206,sso,2024-11-04,204
408,35,35,export,2024-04-02,592
409,35,35,dash,2024-02-28,604
410,35,395,audit,2024-04-15,465
411,35,155,dash,2024-03-07,466
412,35,35,audit,2024-05-06,42
413,35,275,dash,2024-04-03,337
414,35,155,export,2024-05-02,39
415,104,584,dash,2024-07-20,359
416,104,584,export,2024-08-24,379
417,104,344,api,2024-07-09,649
418,104,584,sso,2024-08-13,524
419,104,104,api,2024-06-08,303
420,104,104,export,2024-08-24,666
421,104,344,dash,2024-07-02,591
422,104,344,sso,2024-06-05,390
423,59,539,audit,2024-11-11,504
424,59,419,dash,2024-09-05,230
425,59,539,audit,2024-09-28,444
426,59,299,audit,2024-10-02,275
427,59,179,sso,2024-09-27,546
428,59,299,api,2024-12-01,736
429,93,93,api,2024-02-22,67
430,93,693,export,2024-02-02,784
431,93,453,api,2024-03-16,659
432,18,138,sso,2024-07-11,232
433,18,258,export,2024-10-13,464
434,18,258,api,2024-08-14,526
435,18,258,sso,2024-07-27,591
436,18,18,dash,2024-10-11,677
437,18,498,sso,2024-10-02,177
438,18,18,api,2024-10-10,231
439,120,360,dash,2024-07-13,146
440,120,120,sso,2024-07-05,317
441,120,120,audit,2024-07-26,772
442,109,109,export,2024-06-26,121
443,109,589,sso,2024-06-12,613
444,109,589,api,2024-05-30,26
445,68,308,audit,2024-08-20,272
446,68,308,export,2024-09-18,231
447,68,668,audit,2024-08-09,449
448,68,428,sso,2024-09-24,267
449,68,428,audit,2024-08-26,213
450,68,548,audit,2024-10-16,677
451,35,395,api,2024-06-11,373
452,35,515,api,2024-06-25,369
453,35,35,api,2024-05-12,410
454,35,35,export,2024-05-01,203
455,35,515,dash,2024-05-18,645
456,35,395,api,2024-06-29,157
457,35,155,export,2024-06-26,302
458,35,35,api,2024-07-21,647
459,53,293,export,2024-03-08,542
460,53,413,audit,2024-02-27,238
461,53,653,export,2024-02-24,775
462,53,413,export,2023-12-26,142
463,53,173,export,2024-02-04,428
464,53,533,audit,2024-01-18,518
465,99,459,audit,2024-04-28,579
466,99,699,audit,2024-04-03,347
467,99,339,audit,2024-05-09,350
468,99,459,api,2024-06-09,36
469,83,83,audit,2024-06-28,236
470,83,683,dash,2024-07-03,111
471,83,683,dash,2024-08-26,656
472,83,683,api,2024-06-19,156
473,83,323,api,2024-05-31,74
474,94,454,audit,2024-02-01,617
475,94,214,sso,2024-02-23,24
476,94,334,dash,2024-03-07,335
477,94,94,api,2024-02-24,76
478,94,454,api,2024-03-13,723
479,2,482,api,2024-02-17,474
480,2,602,audit,2024-01-23,508
481,2,482,dash,2023-12-09,20
482,2,2,api,2023-11-14,59
483,2,2,audit,2024-01-17,337
484,2,602,sso,2023-12-12,1
485,20,500,audit,2024-06-25,315
486,20,380,export,2024-05-17,596
487,20,140,api,2024-05-12,54
488,20,620,audit,2024-06-15,43
489,20,500,dash,2024-08-04,266
490,20,380,sso,2024-07-19,742
491,93,453,export,2023-10-27,136
492,93,693,api,2023-09-14,144
493,93,573,sso,2023-10-09,788
494,97,337,dash,2024-09-19,158
495,97,697,dash,2024-08-26,750
496,97,577,audit,2024-10-18,515
497,97,577,dash,2024-10-31,50
498,116,596,sso,2024-11-22,587
499,116,236,export,2024-11-22,689
500,116,476,export,2024-11-07,296
501,116,476,export,2024-12-26,746
502,116,356,export,2024-11-11,623
503,41,641,audit,2024-05-27,141
504,41,281,api,2024-05-28,800
505,41,521,api,2024-07-07,192
506,41,401,api,2024-05-10,228
507,41,41,audit,2024-06-14,358
508,105,225,audit,2023-10-01,673
509,105,465,sso,2023-10-01,755
510,105,465,dash,2023-12-10,508
511,105,345,audit,2023-12-08,697
512,105,345,dash,2023-11-15,44
513,105,105,dash,2023-12-04,245
514,105,105,sso,2023-11-10,566
515,105,345,dash,2023-12-26,622
516,100,580,dash,2023-11-23,581
517,100,100,export,2023-09-08,421
518,100,340,sso,2023-11-16,667
519,100,220,dash,2023-11-03,602
520,100,100,api,2023-10-19,77
521,100,340,dash,2023-08-26,502
522,100,460,export,2023-09-11,492
523,53,533,api,2023-10-03,144
524,53,533,sso,2023-10-15,258
525,53,53,api,2023-12-15,529
526,53,53,dash,2023-10-17,564
527,120,600,audit,2024-07-17,238
528,120,360,export,2024-08-22,701
529,120,480,audit,2024-07-25,580
530,120,600,export,2024-09-05,540
531,120,240,sso,2024-08-20,144
532,36,396,api,2024-08-12,437
533,36,516,sso,2024-09-22,750
534,36,636,api,2024-08-08,609
535,36,636,dash,2024-07-26,68
536,36,36,sso,2024-07-03,5
537,36,396,export,2024-09-21,512
538,36,156,dash,2024-09-09,263
539,36,156,audit,2024-08-23,586
540,55,295,dash,2024-08-25,638
541,55,175,sso,2024-08-13,125
542,55,535,dash,2024-09-12,76
543,55,55,sso,2024-09-10,522
544,55,175,sso,2024-09-20,474
545,55,295,export,2024-07-18,224
546,55,295,export,2024-08-29,380
547,63,183,api,2024-10-08,126
548,63,63,sso,2024-10-08,323
549,63,183,export,2024-08-22,570
550,63,423,dash,2024-11-25,786
551,63,423,sso,2024-09-11,778
552,82,202,export,2024-08-27,322
553,82,682,api,2024-09-06,594
554,82,322,export,2024-07-31,640
555,82,322,sso,2024-08-26,583
556,82,322,audit,2024-10-19,461
557,6,246,audit,2023-07-30,735
558,6,366,dash,2023-07-05,351
559,6,366,dash,2023-07-19,44
560,6,366,export,2023-07-20,354
561,6,366,audit,2023-08-08,6
562,112,472,sso,2023-11-26,650
563,112,352,api,2024-02-25,50
564,112,112,dash,2024-02-09,677
565,112,472,export,2024-02-02,718
566,112,592,api,2024-02-12,161
567,112,472,audit,2024-02-04,629
568,112,592,sso,2023-12-29,652
569,112,592,api,2024-01-10,317
570,61,181,export,2023-12-14,656
571,61,541,export,2023-10-14,716
572,61,301,sso,2023-12-12,353
573,34,274,sso,2024-10-02,115
574,34,34,dash,2024-09-19,256
575,34,154,audit,2024-08-23,147
576,34,634,sso,2024-11-03,694
577,34,394,audit,2024-11-04,229
578,34,514,sso,2024-08-30,360
579,2,242,api,2023-11-28,444
580,2,122,audit,2023-11-21,566
581,2,362,api,2023-11-12,328
582,2,2,sso,2023-11-19,396
583,2,122,sso,2023-10-25,49
584,2,602,export,2023-11-20,350
585,2,362,dash,2023-12-15,289
586,32,632,audit,2023-07-24,795
587,32,632,export,2023-08-02,258
588,32,272,dash,2023-09-08,759
589,32,392,api,2023-09-07,287
590,32,392,dash,2023-08-17,360
591,32,632,audit,2023-10-04,343
592,14,614,export,2024-11-02,149
593,14,14,api,2024-10-12,714
594,14,494,dash,2024-10-25,235
595,14,374,sso,2024-08-06,189
596,14,494,audit,2024-10-13,133
597,14,374,api,2024-10-17,468
598,14,254,export,2024-10-04,155
599,19,19,api,2023-11-23,519
600,19,139,audit,2023-11-26,708
601,19,619,audit,2023-11-28,56
602,19,19,api,2023-10-15,722
603,19,139,sso,2023-12-06,171
604,19,379,audit,2023-09-19,32
605,19,499,api,2023-09-24,156
606,19,139,api,2023-10-14,17
607,24,624,api,2023-07-20,51
608,24,24,api,2023-08-14,674
609,24,144,sso,2023-07-20,553
610,24,144,sso,2023-07-16,281
611,24,504,audit,2023-08-13,74
612,24,624,export,2023-09-06,584
613,24,24,sso,2023-07-25,227
614,87,327,api,2024-08-22,432
615,87,207,dash,2024-07-04,643
616,87,207,dash,2024-07-01,114
617,87,447,dash,2024-07-15,607
618,87,687,dash,2024-08-14,285
619,87,327,audit,2024-06-01,258
620,87,687,export,2024-08-23,259
621,10,10,audit,2024-09-02,288
622,10,130,audit,2024-09-01,553
623,10,370,audit,2024-08-20,727
624,10,250,dash,2024-10-29,750
625,101,581,api,2023-08-13,765
626,101,221,export,2023-10-31,621
627,101,101,api,2023-10-07,689
628,101,581,api,2023-09-20,503
629,101,581,export,2023-08-30,300
630,101,221,api,2023-08-19,48
631,101,101,export,2023-10-12,322
632,67,67,api,2023-12-06,731
633,67,187,sso,2023-09-20,303
634,67,307,audit,2023-12-06,574
635,67,427,dash,2023-09-23,648
636,67,307,export,2023-11-03,699
637,45,645,api,2024-07-19,658
638,45,645,export,2024-06-09,39
639,45,285,dash,2024-06-27,359
640,45,45,sso,2024-08-06,329
641,45,165,api,2024-06-26,717
642,45,45,sso,2024-06-11,82
643,45,285,export,2024-08-23,389
644,82,322,dash,2023-09-10,159
645,82,82,dash,2023-10-27,743
646,82,682,sso,2023-09-08,374
647,82,682,dash,2023-09-08,681
648,57,57,dash,2024-09-26,711
649,57,657,audit,2024-08-24,496
650,57,297,export,2024-09-10,774
651,24,144,sso,2023-07-04,209
652,24,504,dash,2023-08-21,172
653,24,624,sso,2023-09-03,46
654,24,624,sso,2023-08-17,746
655,29,149,dash,2024-01-10,360
656,29,149,export,2023-11-01,465
657,29,149,api,2023-12-24,105
658,29,29,export,2023-12-21,570
659,29,629,api,2023-11-12,111
660,29,269,export,2023-12-29,94
661,29,509,export,2024-01-05,319
662,29,149,sso,2024-02-01,372
663,68,668,export,2024-10-27,618
664,68,668,export,2024-12-26,677
665,68,308,sso,2024-10-24,119
666,70,550,dash,2023-11-09,310
667,70,190,export,2024-01-03,602
668,70,310,api,2023-12-08,322
669,61,541,sso,2024-06-22,308
670,61,181,dash,2024-06-27,764
671,61,661,export,2024-06-14,12
672,61,181,api,2024-06-25,708
673,61,181,sso,2024-07-30,620
674,87,87,audit,2023-10-05,301
675,87,567,sso,2023-11-23,146
676,87,327,audit,2023-10-28,34
677,87,87,export,2023-10-29,522
678,87,567,export,2023-11-04,506
679,32,32,dash,2024-08-22,24
680,32,152,dash,2024-09-12,219
681,32,392,export,2024-08-27,300
682,32,272,audit,2024-09-28,603
683,32,272,api,2024-08-28,326
684,32,32,sso,2024-07-31,9
685,32,392,audit,2024-09-29,662
686,32,392,audit,2024-09-11,421
687,54,654,audit,2023-09-28,701
688,54,534,dash,2023-11-27,698
689,54,534,export,2023-12-13,141
690,54,534,dash,2023-10-23,441
691,90,90,sso,2024-06-19,658
692,90,690,audit,2024-05-01,374
693,90,450,sso,2024-05-01,34
694,54,654,sso,2023-10-20,340
695,54,54,dash,2023-12-27,127
696,54,654,audit,2023-11-11,64
697,14,494,audit,2024-10-23,746
698,14,374,api,2024-11-01,614
699,14,494,audit,2024-12-02,671
700,14,254,api,2024-10-11,304
701,98,338,export,2024-01-05,80
702,98,338,export,2024-01-19,189
703,98,98,api,2024-02-28,426
704,98,698,dash,2024-01-23,323
705,98,578,audit,2024-01-01,248
706,98,218,audit,2024-03-04,148
707,98,698,dash,2023-12-09,418
708,9,249,sso,2023-11-26,210
709,9,369,api,2023-10-02,271
710,9,609,dash,2023-09-21,59
711,9,9,sso,2023-11-11,796
712,40,400,sso,2024-03-20,533
713,40,640,export,2024-02-04,689
714,40,400,dash,2024-03-04,552
715,42,42,dash,2024-05-17,513
716,42,162,dash,2024-06-23,515
717,42,522,api,2024-05-04,257
718,42,402,export,2024-04-28,319
719,64,664,audit,2023-12-29,137
720,64,544,sso,2024-02-04,139
721,64,64,export,2024-01-22,185
722,64,184,audit,2024-01-21,220
723,64,184,api,2024-02-11,506
724,64,64,sso,2023-12-25,312
725,64,424,export,2024-01-21,441
726,64,64,audit,2023-12-28,60
727,15,495,audit,2023-08-22,366
728,15,375,sso,2023-09-11,700
729,15,615,audit,2023-11-03,513
730,15,615,sso,2023-11-16,688
731,15,15,audit,2023-11-09,742
732,15,495,audit,2023-10-27,310
733,15,255,api,2023-08-13,143
734,15,135,export,2023-09-10,405
735,94,214,audit,2024-10-05,405
736,94,214,dash,2024-08-20,38
737,94,454,api,2024-10-18,394
738,94,574,audit,2024-08-30,562
739,94,94,api,2024-10-22,405
740,94,94,export,2024-10-15,303
741,2,482,audit,2023-06-29,43
742,2,2,dash,2023-08-14,548
743,2,482,export,2023-09-07,196
744,2,482,sso,2023-08-25,505
745,2,242,sso,2023-08-28,688
746,2,242,dash,2023-09-27,328
747,2,362,api,2023-07-29,478
748,103,223,sso,2024-05-22,217
749,103,223,api,2024-08-06,138
750,103,103,export,2024-05-18,561
751,103,223,api,2024-07-18,782
752,103,583,dash,2024-07-18,74
753,103,343,export,2024-08-12,205
754,13,373,sso,2023-09-29,559
755,13,13,api,2023-10-24,158
756,13,13,dash,2023-10-25,80
757,13,493,dash,2023-09-03,368
758,13,133,audit,2023-08-23,405
759,13,493,audit,2023-08-21,498
760,72,672,sso,2023-11-09,647
761,72,72,dash,2023-12-28,730
762,72,432,api,2024-02-04,121
763,72,72,dash,2023-12-14,283
764,72,312,export,2024-01-14,335
765,72,72,export,2024-01-18,528
766,72,552,audit,2023-12-15,113
767,72,312,dash,2023-12-20,695
768,53,173,api,2024-02-05,405
769,53,173,audit,2024-01-10,494
770,53,653,sso,2024-02-14,445
771,53,653,audit,2024-01-20,692
772,53,653,audit,2024-01-10,771
773,53,53,export,2024-03-13,361
774,53,533,audit,2024-03-10,695
775,63,303,export,2024-02-18,570
776,63,303,audit,2024-01-19,151
777,63,303,audit,2024-02-12,730
778,66,186,audit,2024-03-25,477
779,66,186,api,2024-01-30,704
780,66,666,audit,2024-04-12,142
781,49,529,audit,2024-01-25,679
782,49,409,export,2024-02-25,497
783,49,169,export,2024-01-12,297
784,49,49,api,2024-02-20,228
785,49,289,sso,2024-01-25,609
786,24,384,dash,2024-03-13,291
787,24,24,dash,2024-02-22,366
788,24,384,api,2023-12-30,30
789,24,264,export,2024-02-24,64
790,24,384,dash,2024-02-24,257
791,74,194,dash,2024-11-01,279
792,74,554,audit,2024-12-17,432
