abo_nr,firma_nr,tarif_id,anz_seats,mrr_betrag,arr_betrag,start_dat,ende_dat,stat_txt
43,104,3,10,2490.0,29880.0,2024-07-09,,mahnung
44,26,4,60,47940.0,575280.0,2024-05-13,,aktiv
45,20,2,1,99.0,1188.0,2024-06-27,,trial
46,80,4,121,96679.0,1160148.0,2023-10-21,,mahnung
47,50,3,3,747.0,8964.0,2023-12-04,,mahnung
48,93,4,132,105468.0,1265616.0,2023-09-15,,mahnung
49,98,1,1,39.0,468.0,2024-06-17,,trial
50,17,1,2,78.0,936.0,2024-01-07,,mahnung
51,69,2,2,198.0,2376.0,2024-03-14,2024-11-28,gekündigt
52,91,4,90,71910.0,862920.0,2024-08-08,2024-10-01,gekündigt
53,81,2,1,99.0,1188.0,2023-11-19,,aktiv
54,32,2,3,297.0,3564.0,2024-08-09,,trial
55,106,4,19,15181.0,182172.0,2023-11-26,,mahnung
56,63,1,2,78.0,936.0,2024-03-03,,aktiv
57,17,3,15,3735.0,44820.0,2023-06-07,,trial
58,17,4,1,799.0,9588.0,2024-04-04,,trial
59,6,2,4,396.0,4752.0,2023-08-31,2024-04-08,gekündigt
60,23,2,7,693.0,8316.0,2023-09-06,2023-11-12,gekündigt
61,94,4,56,44744.0,536928.0,2024-05-28,2024-09-10,gekündigt
62,78,3,26,6474.0,77688.0,2024-03-03,,trial
63,50,3,4,996.0,11952.0,2024-07-25,,mahnung
64,80,1,2,78.0,936.0,2024-06-16,,aktiv
65,27,4,59,47141.0,565692.0,2023-12-01,,mahnung
66,77,4,123,98277.0,1179324.0,2023-06-09,,mahnung
67,82,3,6,1494.0,17928.0,2024-09-11,,trial
68,72,2,1,99.0,1188.0,2023-09-17,,trial
69,64,4,7,5593.0,67116.0,2024-10-02,,aktiv
70,100,3,24,5976.0,71712.0,2024-05-22,,mahnung
71,108,2,2,198.0,2376.0,2024-07-28,,mahnung
72,8,4,148,118252.0,1419024.0,2024-08-09,,trial
73,100,2,4,396.0,4752.0,2023-11-27,,mahnung
74,78,2,2,198.0,2376.0,2024-10-09,,trial
75,52,2,3,297.0,3564.0,2023-09-25,,trial
76,19,2,8,792.0,9504.0,2024-01-10,,aktiv
77,86,1,2,78.0,936.0,2024-08-26,,trial
78,35,2,3,297.0,3564.0,2024-02-23,,mahnung
79,104,1,2,78.0,936.0,2024-05-21,2024-07-30,gekündigt
80,59,2,7,693.0,8316.0,2024-08-26,2024-11-05,gekündigt
81,93,2,8,792.0,9504.0,2024-01-27,,aktiv
82,18,1,1,39.0,468.0,2024-07-05,,trial
83,120,3,9,2241.0,26892.0,2024-06-28,,trial
84,109,3,21,5229.0,62748.0,2024-04-08,,trial
85,68,3,10,2490.0,29880.0,2024-07-16,2024-09-09,gekündigt
86,35,1,2,78.0,936.0,2024-04-30,,aktiv
87,53,3,18,4482.0,53784.0,2023-11-29,,aktiv
88,99,3,4,996.0,11952.0,2024-03-13,,aktiv
89,83,2,1,99.0,1188.0,2024-05-21,,trial
90,94,1,1,39.0,468.0,2024-01-22,,aktiv
91,2,1,2,78.0,936.0,2023-11-14,2023-12-04,gekündigt
92,20,1,1,39.0,468.0,2024-04-29,,mahnung
93,93,1,2,78.0,936.0,2023-08-02,2024-02-26,gekündigt
94,97,4,98,78302.0,939624.0,2024-08-20,2024-10-10,gekündigt
95,116,4,135,107865.0,1294380.0,2024-10-04,,aktiv
96,41,2,6,594.0,7128.0,2024-05-03,,mahnung
97,105,3,15,3735.0,44820.0,2023-09-28,,trial
98,100,1,1,39.0,468.0,2023-08-23,2024-03-16,gekündigt
99,53,2,3,297.0,3564.0,2023-09-22,,aktiv
100,120,4,66,52734.0,632808.0,2024-06-13,,mahnung
101,36,2,8,792.0,9504.0,2024-07-02,,trial
102,55,2,2,198.0,2376.0,2024-06-12,2025-02-13,gekündigt
103,63,3,25,6225.0,74700.0,2024-08-18,2024-09-17,gekündigt
104,82,4,31,24769.0,297228.0,2024-07-24,,trial
105,6,3,24,5976.0,71712.0,2023-06-17,,mahnung
106,112,4,85,67915.0,814980.0,2023-11-25,,aktiv
107,61,3,8,1992.0,23904.0,2023-10-12,,trial
108,34,4,11,8789.0,105468.0,2024-08-21,,mahnung
109,2,4,83,66317.0,795804.0,2023-09-26,,aktiv
110,32,1,1,39.0,468.0,2023-07-08,2024-02-22,gekündigt
111,14,3,1,249.0,2988.0,2024-07-26,2024-09-17,gekündigt
112,19,1,2,78.0,936.0,2023-09-15,,trial
113,24,1,1,39.0,468.0,2023-06-08,,trial
114,87,2,4,396.0,4752.0,2024-05-31,,trial
115,10,4,92,73508.0,882096.0,2024-08-14,2025-01-29,gekündigt
116,101,4,142,113458.0,1361496.0,2023-07-27,2023-11-13,gekündigt
117,67,3,27,6723.0,80676.0,2023-09-18,2024-06-14,gekündigt
118,45,1,1,39.0,468.0,2024-05-27,,trial
119,82,1,1,39.0,468.0,2023-08-10,,mahnung
120,57,3,24,5976.0,71712.0,2024-07-27,,mahnung
121,24,1,1,39.0,468.0,2023-06-22,,aktiv
122,29,1,2,78.0,936.0,2023-10-31,,aktiv
123,68,4,79,63121.0,757452.0,2024-10-03,,aktiv
124,70,2,2,198.0,2376.0,2023-10-16,,mahnung
125,61,3,1,249.0,2988.0,2024-06-02,,aktiv
126,87,2,8,792.0,9504.0,2023-09-20,,aktiv
127,32,2,5,495.0,5940.0,2024-07-27,,trial
128,54,3,25,6225.0,74700.0,2023-09-05,,mahnung
129,90,2,1,99.0,1188.0,2024-03-21,2024-10-22,gekündigt
130,54,1,2,78.0,936.0,2023-09-23,,aktiv
131,14,4,111,88689.0,1064268.0,2024-08-31,2024-11-07,gekündigt
132,98,1,1,39.0,468.0,2023-12-07,,mahnung
133,9,3,17,4233.0,50796.0,2023-09-19,2023-12-15,gekündigt
134,40,2,6,594.0,7128.0,2023-12-13,,trial
135,42,2,5,495.0,5940.0,2024-03-28,,aktiv
136,64,1,1,39.0,468.0,2023-11-09,2023-12-26,gekündigt
137,15,2,2,198.0,2376.0,2023-08-08,,trial
138,94,3,27,6723.0,80676.0,2024-07-27,,mahnung
139,2,2,8,792.0,9504.0,2023-06-26,,trial
140,103,1,1,39.0,468.0,2024-05-13,,aktiv
141,13,2,8,792.0,9504.0,2023-08-07,,trial
142,72,4,30,23970.0,287640.0,2023-10-29,,trial
143,53,3,18,4482.0,53784.0,2023-12-30,,mahnung
144,63,4,146,116654.0,1399848.0,2024-01-03,,trial
145,66,4,141,112659.0,1351908.0,2024-01-14,,trial
146,49,1,2,78.0,936.0,2023-12-04,,trial
147,24,3,15,3735.0,44820.0,2023-12-23,,aktiv
148,74,4,44,35156.0,421872.0,2024-09-22,,mahnung
149,79,4,103,82297.0,987564.0,2024-08-14,,aktiv
150,41,3,30,7470.0,89640.0,2024-01-01,,aktiv
151,104,1,1,39.0,468.0,2024-01-10,,trial
152,109,4,78,62322.0,747864.0,2024-02-21,,mahnung
153,97,3,22,5478.0,65736.0,2024-04-14,,mahnung
154,81,1,2,78.0,936.0,2024-03-14,,aktiv
155,90,2,6,594.0,7128.0,2023-10-01,2023-10-21,gekündigt
156,37,3,7,1743.0,20916.0,2024-03-30,,trial
157,39,4,9,7191.0,86292.0,2023-09-25,,mahnung
158,34,2,3,297.0,3564.0,2024-08-25,,aktiv
159,97,1,2,78.0,936.0,2024-01-25,,aktiv
160,98,3,22,5478.0,65736.0,2023-08-17,,mahnung
161,101,1,1,39.0,468.0,2023-07-21,,aktiv
162,6,3,10,2490.0,29880.0,2023-07-10,,trial
163,63,1,1,39.0,468.0,2023-12-22,,mahnung
164,4,3,20,4980.0,59760.0,2023-11-25,,trial
165,100,1,2,78.0,936.0,2023-10-03,,mahnung
166,90,3,29,7221.0,86652.0,2023-07-21,,trial
167,25,1,2,78.0,936.0,2024-06-11,,mahnung
168,37,2,5,495.0,5940.0,2024-01-06,,trial
169,65,1,1,39.0,468.0,2024-07-15,,mahnung
170,44,4,142,113458.0,1361496.0,2024-03-06,,mahnung
171,95,2,2,198.0,2376.0,2024-08-05,2024-12-10,gekündigt
172,69,4,1,799.0,9588.0,2024-10-10,,mahnung
173,69,3,22,5478.0,65736.0,2024-03-21,,trial
174,62,3,23,5727.0,68724.0,2024-07-09,,trial
175,64,1,1,39.0,468.0,2024-09-27,2025-02-11,gekündigt
176,79,3,16,3984.0,47808.0,2023-10-16,,aktiv
177,22,4,96,76704.0,920448.0,2023-07-18,,aktiv
178,36,2,2,198.0,2376.0,2024-06-22,,mahnung
179,3,3,15,3735.0,44820.0,2024-09-15,,mahnung
180,55,4,61,48739.0,584868.0,2023-11-17,2024-08-15,gekündigt
181,92,1,2,78.0,936.0,2024-02-16,,aktiv
182,41,3,21,5229.0,62748.0,2023-07-30,2023-12-26,gekündigt
183,59,1,2,78.0,936.0,2023-12-17,2024-03-18,gekündigt
184,80,2,7,693.0,8316.0,2024-02-13,,trial
185,83,4,86,68714.0,824568.0,2024-02-27,,aktiv
186,43,3,25,6225.0,74700.0,2024-03-04,,mahnung
187,75,4,137,109463.0,1313556.0,2024-05-12,,mahnung
188,50,1,1,39.0,468.0,2024-01-15,,mahnung
189,16,2,8,792.0,9504.0,2023-07-28,,mahnung
190,79,1,2,78.0,936.0,2024-08-17,,trial
191,10,2,4,396.0,4752.0,2023-09-21,,aktiv
192,19,4,27,21573.0,258876.0,2024-06-05,2024-08-19,gekündigt
193,53,4,137,109463.0,1313556.0,2024-05-19,,mahnung
194,119,4,94,75106.0,901272.0,2024-07-16,,mahnung
195,21,4,60,47940.0,575280.0,2024-03-15,,trial
196,39,1,2,78.0,936.0,2024-09-14,,aktiv
197,33,2,8,792.0,9504.0,2023-08-29,,trial
198,87,2,4,396.0,4752.0,2023-12-08,2024-05-08,gekündigt
199,42,4,39,31161.0,373932.0,2023-08-25,2024-05-14,gekündigt
200,23,3,21,5229.0,62748.0,2024-02-14,,trial
201,9,3,24,5976.0,71712.0,2023-08-16,2023-10-13,gekündigt
202,105,4,16,12784.0,153408.0,2024-08-23,2025-02-24,gekündigt
203,101,1,1,39.0,468.0,2024-05-09,2024-10-29,gekündigt
204,72,2,2,198.0,2376.0,2024-07-01,2024-11-01,gekündigt
205,105,3,28,6972.0,83664.0,2023-08-26,,mahnung
206,37,2,3,297.0,3564.0,2023-12-02,,mahnung
207,63,4,11,8789.0,105468.0,2023-12-14,2024-02-15,gekündigt
208,54,1,2,78.0,936.0,2024-03-05,2024-09-28,gekündigt
209,106,2,5,495.0,5940.0,2023-07-15,,aktiv
210,112,1,2,78.0,936.0,2023-07-01,2024-02-10,gekündigt
211,2,1,1,39.0,468.0,2023-06-13,,aktiv
212,37,3,14,3486.0,41832.0,2023-11-11,2024-01-10,gekündigt
213,5,4,111,88689.0,1064268.0,2024-05-15,2024-11-15,gekündigt
214,37,2,1,99.0,1188.0,2024-07-23,,mahnung
215,110,2,7,693.0,8316.0,2024-09-30,2025-05-09,gekündigt
216,69,3,8,1992.0,23904.0,2024-01-29,2024-05-25,gekündigt
217,15,4,149,119051.0,1428612.0,2024-09-22,,trial
218,87,4,29,23171.0,278052.0,2023-10-03,2024-01-30,gekündigt
219,101,1,2,78.0,936.0,2024-10-08,,trial
220,55,3,28,6972.0,83664.0,2024-02-04,,trial
221,41,4,106,84694.0,1016328.0,2023-08-21,2023-11-07,gekündigt
222,25,3,19,4731.0,56772.0,2023-07-09,2024-02-12,gekündigt
223,9,1,1,39.0,468.0,2023-11-21,2024-03-19,gekündigt
224,2,2,7,693.0,8316.0,2024-09-17,,aktiv
225,113,3,20,4980.0,59760.0,2024-05-30,,mahnung
226,85,1,1,39.0,468.0,2023-07-19,,aktiv
227,7,4,58,46342.0,556104.0,2024-07-12,2024-08-19,gekündigt
228,113,2,4,396.0,4752.0,2024-09-25,,trial
229,59,3,20,4980.0,59760.0,2024-08-03,,aktiv
230,2,2,8,792.0,9504.0,2023-09-10,2023-11-06,gekündigt
231,5,3,13,3237.0,38844.0,2024-01-29,,mahnung
232,62,2,5,495.0,5940.0,2023-10-14,,mahnung
233,86,1,2,78.0,936.0,2024-03-29,2024-10-29,gekündigt
234,25,3,20,4980.0,59760.0,2024-06-15,,trial
235,31,3,12,2988.0,35856.0,2024-05-19,,aktiv
236,47,1,1,39.0,468.0,2024-01-01,,aktiv
237,10,4,135,107865.0,1294380.0,2024-10-09,,trial
238,106,4,137,109463.0,1313556.0,2023-07-19,,aktiv
239,32,3,5,1245.0,14940.0,2024-05-13,,mahnung
240,80,2,4,396.0,4752.0,2024-06-04,,aktiv
241,116,1,2,78.0,936.0,2023-06-02,,aktiv
242,17,2,7,693.0,8316.0,2023-07-02,,aktiv
243,49,4,33,26367.0,316404.0,2023-11-06,,mahnung
244,117,1,2,78.0,936.0,2024-03-27,,aktiv
245,115,4,101,80699.0,968388.0,2023-07-15,,aktiv
246,101,4,18,14382.0,172584.0,2024-05-20,,trial
247,13,1,2,78.0,936.0,2023-09-25,2024-04-11,gekündigt
248,103,3,27,6723.0,80676.0,2023-09-14,,mahnung
249,35,4,105,83895.0,1006740.0,2024-07-21,2025-04-21,gekündigt
250,114,3,9,2241.0,26892.0,2023-10-25,,aktiv
251,26,4,54,43146.0,517752.0,2024-10-09,,mahnung
252,81,3,19,4731.0,56772.0,2024-08-27,,mahnung
253,28,4,121,96679.0,1160148.0,2024-01-07,,trial
254,41,3,30,7470.0,89640.0,2024-06-03,,mahnung
255,36,4,110,87890.0,1054680.0,2024-07-31,,trial
256,26,3,29,7221.0,86652.0,2023-09-20,,aktiv
257,67,1,2,78.0,936.0,2024-01-26,,trial
258,13,3,27,6723.0,80676.0,2024-03-14,2024-08-05,gekündigt
259,66,3,9,2241.0,26892.0,2024-04-06,2024-08-09,gekündigt
260,105,2,3,297.0,3564.0,2024-09-28,,mahnung
261,8,3,22,5478.0,65736.0,2023-06-05,,aktiv
262,101,1,2,78.0,936.0,2023-10-18,2024-01-27,gekündigt
263,72,2,2,198.0,2376.0,2023-06-02,,trial
264,63,3,12,2988.0,35856.0,2024-05-20,,trial
265,49,2,6,594.0,7128.0,2024-03-27,,aktiv
266,66,3,23,5727.0,68724.0,2024-03-09,,mahnung
267,9,1,2,78.0,936.0,2023-06-18,,aktiv
268,80,2,8,792.0,9504.0,2024-08-28,,aktiv
269,57,2,5,495.0,5940.0,2023-12-06,,mahnung
270,62,4,102,81498.0,977976.0,2024-05-09,,mahnung
271,58,2,1,99.0,1188.0,2024-09-25,,aktiv
272,98,4,37,29563.0,354756.0,2023-07-12,,trial
273,65,3,16,3984.0,47808.0,2024-03-06,,trial
274,32,1,2,78.0,936.0,2024-01-13,,mahnung
275,94,3,17,4233.0,50796.0,2023-09-29,,mahnung
276,107,3,20,4980.0,59760.0,2023-08-30,,trial
277,114,1,1,39.0,468.0,2024-05-28,2024-09-23,gekündigt
278,68,3,25,6225.0,74700.0,2023-10-08,,aktiv
279,67,2,6,594.0,7128.0,2023-10-22,,aktiv
280,24,3,23,5727.0,68724.0,2024-09-20,2024-12-27,gekündigt
281,20,1,2,78.0,936.0,2023-07-25,2024-02-07,gekündigt
282,35,1,1,39.0,468.0,2024-04-27,,trial
283,39,2,7,693.0,8316.0,2024-06-24,2024-10-03,gekündigt
284,92,4,1,799.0,9588.0,2024-02-18,,trial
285,68,3,4,996.0,11952.0,2023-11-14,,aktiv
286,74,1,2,78.0,936.0,2024-02-16,,aktiv
287,85,3,14,3486.0,41832.0,2024-08-16,,trial
288,64,2,6,594.0,7128.0,2024-02-08,2024-07-19,gekündigt
289,120,3,27,6723.0,80676.0,2024-01-27,2024-10-05,gekündigt
290,49,3,1,249.0,2988.0,2023-07-14,,aktiv
291,86,4,3,2397.0,28764.0,2024-01-06,,aktiv
292,34,2,2,198.0,2376.0,2024-03-25,,mahnung
293,109,3,28,6972.0,83664.0,2024-03-14,,aktiv
294,54,4,69,55131.0,661572.0,2023-12-18,,mahnung
295,44,2,4,396.0,4752.0,2024-09-09,,aktiv
296,77,2,4,396.0,4752.0,2023-11-11,,trial
297,84,2,6,594.0,7128.0,2024-10-09,,trial
298,24,2,6,594.0,7128.0,2023-06-14,2023-12-29,gekündigt
299,99,3,12,2988.0,35856.0,2024-06-13,,trial
300,14,3,12,2988.0,35856.0,2024-08-25,,aktiv
301,14,1,1,39.0,468.0,2023-11-14,,trial
302,42,3,19,4731.0,56772.0,2023-09-22,,aktiv
303,98,2,5,495.0,5940.0,2024-02-04,,aktiv
304,15,1,1,39.0,468.0,2024-08-29,2025-02-19,gekündigt
305,90,4,77,61523.0,738276.0,2024-03-24,,aktiv
306,69,1,1,39.0,468.0,2023-11-21,,trial
307,1,4,7,5593.0,67116.0,2023-11-25,,aktiv
308,11,1,1,39.0,468.0,2024-09-10,,trial
309,92,4,14,11186.0,134232.0,2023-11-03,,trial
310,9,4,82,65518.0,786216.0,2024-01-03,,trial
311,53,3,3,747.0,8964.0,2023-12-13,,mahnung
312,96,2,6,594.0,7128.0,2024-09-26,2025-05-27,gekündigt
313,93,3,3,747.0,8964.0,2023-08-02,,mahnung
314,11,3,20,4980.0,59760.0,2024-03-11,,aktiv
315,57,4,37,29563.0,354756.0,2023-06-10,,trial
316,113,3,26,6474.0,77688.0,2024-02-04,,aktiv
317,93,4,72,57528.0,690336.0,2023-06-06,,trial
318,119,4,13,10387.0,124644.0,2024-01-08,,trial
319,116,2,2,198.0,2376.0,2024-07-03,2024-10-09,gekündigt
320,117,4,62,49538.0,594456.0,2024-09-07,,trial
321,27,3,28,6972.0,83664.0,2023-10-14,2023-12-08,gekündigt
322,36,1,2,78.0,936.0,2024-09-29,,trial
323,51,4,43,34357.0,412284.0,2024-07-08,2024-08-28,gekündigt
324,59,4,45,35955.0,431460.0,2023-11-14,,trial
325,112,3,21,5229.0,62748.0,2023-12-28,,mahnung
326,74,1,2,78.0,936.0,2024-05-02,,aktiv
327,47,4,52,41548.0,498576.0,2024-06-30,,trial
328,4,3,26,6474.0,77688.0,2023-12-20,,mahnung
329,79,3,14,3486.0,41832.0,2023-10-21,,trial
330,120,4,84,67116.0,805392.0,2024-10-13,2025-03-14,gekündigt
331,102,4,90,71910.0,862920.0,2024-09-20,,aktiv
332,8,1,2,78.0,936.0,2023-08-27,2023-10-17,gekündigt
333,109,4,7,5593.0,67116.0,2024-01-29,,trial
334,80,3,15,3735.0,44820.0,2024-06-20,,mahnung
335,98,4,44,35156.0,421872.0,2024-04-19,,aktiv
336,82,1,1,39.0,468.0,2023-09-03,,aktiv
337,40,3,7,1743.0,20916.0,2024-04-16,,aktiv
338,7,4,111,88689.0,1064268.0,2024-02-03,2024-09-02,gekündigt
339,73,1,1,39.0,468.0,2023-07-07,2024-03-13,gekündigt
340,17,3,17,4233.0,50796.0,2023-07-11,,aktiv
341,82,1,1,39.0,468.0,2024-07-22,,mahnung
342,43,1,1,39.0,468.0,2023-12-17,,aktiv
343,41,2,1,99.0,1188.0,2024-03-25,2024-04-29,gekündigt
344,92,2,2,198.0,2376.0,2023-10-02,,aktiv
345,75,4,121,96679.0,1160148.0,2024-03-02,,mahnung
346,5,3,5,1245.0,14940.0,2023-11-30,,aktiv
347,59,3,24,5976.0,71712.0,2024-04-27,,mahnung
348,43,3,11,2739.0,32868.0,2024-06-21,,aktiv
349,61,3,6,1494.0,17928.0,2023-06-09,2024-03-13,gekündigt
350,76,1,1,39.0,468.0,2024-09-14,,mahnung
