task_id,project_id,assignee_id,title,estimate_hours,status
178,34,13,Task 178,40,done
179,34,13,Task 179,24,todo
180,34,5,Task 180,4,doing
181,34,5,Task 181,40,done
182,35,51,Task 182,24,todo
183,35,2,Task 183,24,done
184,35,28,Task 184,8,doing
185,35,60,Task 185,40,todo
186,36,49,Task 186,40,done
187,36,49,Task 187,8,todo
188,36,45,Task 188,24,doing
189,37,37,Task 189,40,doing
190,37,26,Task 190,40,done
191,37,60,Task 191,4,doing
192,37,40,Task 192,8,done
193,37,60,Task 193,4,done
194,37,60,Task 194,8,todo
195,38,29,Task 195,24,done
196,38,29,Task 196,24,done
197,38,29,Task 197,16,done
198,38,29,Task 198,40,doing
199,38,18,Task 199,8,done
200,38,18,Task 200,40,done
201,38,18,Task 201,8,done
202,39,32,Task 202,40,doing
203,39,32,Task 203,24,todo
204,39,32,Task 204,16,doing
205,39,32,Task 205,24,todo
206,39,9,Task 206,40,doing
207,39,9,Task 207,16,todo
208,39,32,Task 208,24,doing
209,40,23,Task 209,16,done
210,40,29,Task 210,4,done
211,40,30,Task 211,8,todo
212,40,24,Task 212,16,done
213,40,23,Task 213,8,doing
214,41,42,Task 214,24,done
215,41,42,Task 215,40,done
216,41,13,Task 216,24,doing
217,41,42,Task 217,16,doing
218,41,42,Task 218,24,doing
219,42,50,Task 219,8,todo
220,42,7,Task 220,4,done
221,42,7,Task 221,8,todo
222,42,50,Task 222,24,todo
223,43,44,Task 223,24,doing
224,43,46,Task 224,24,doing
225,43,39,Task 225,4,doing
226,43,44,Task 226,24,todo
227,44,5,Task 227,16,doing
228,44,32,Task 228,4,doing
229,44,5,Task 229,40,todo
230,44,32,Task 230,8,todo
231,44,17,Task 231,16,doing
232,45,60,Task 232,4,done
233,45,31,Task 233,8,done
234,45,60,Task 234,40,done
235,45,60,Task 235,24,todo
236,46,36,Task 236,8,done
237,46,8,Task 237,24,todo
238,46,8,Task 238,4,done
239,46,8,Task 239,8,todo
240,46,8,Task 240,8,done
241,47,46,Task 241,8,todo
242,47,7,Task 242,8,doing
243,47,46,Task 243,24,doing
244,47,46,Task 244,40,done
245,47,59,Task 245,24,done
246,48,33,Task 246,40,todo
247,48,18,Task 247,40,todo
248,48,18,Task 248,4,doing
249,48,33,Task 249,24,todo
250,48,57,Task 250,8,done
251,48,18,Task 251,4,doing
252,49,56,Task 252,8,todo
253,49,57,Task 253,8,done
254,49,56,Task 254,4,done
255,49,39,Task 255,4,todo
256,49,39,Task 256,16,done
257,49,57,Task 257,8,done
258,50,33,Task 258,24,done
259,50,11,Task 259,40,done
260,50,14,Task 260,16,done
261,50,24,Task 261,4,doing
262,50,24,Task 262,4,doing
263,51,56,Task 263,16,todo
264,51,17,Task 264,8,doing
265,51,17,Task 265,24,todo
266,51,48,Task 266,16,doing
267,51,48,Task 267,4,done
268,51,48,Task 268,24,doing
269,51,17,Task 269,4,done
270,52,30,Task 270,4,doing
271,52,2,Task 271,8,doing
272,52,30,Task 272,16,done
273,52,30,Task 273,24,done
274,52,2,Task 274,4,todo
275,52,30,Task 275,4,todo
276,52,2,Task 276,8,done
277,53,38,Task 277,4,todo
278,53,38,Task 278,40,done
279,53,38,Task 279,8,doing
280,53,9,Task 280,4,done
281,53,38,Task 281,40,todo
282,54,15,Task 282,16,done
283,54,46,Task 283,40,todo
284,54,42,Task 284,4,doing
285,54,46,Task 285,24,done
286,54,42,Task 286,40,todo
287,54,42,Task 287,4,doing
288,54,15,Task 288,40,doing
289,55,30,Task 289,4,todo
290,55,36,Task 290,40,done
291,55,36,Task 291,24,doing
292,55,36,Task 292,4,done
293,55,36,Task 293,8,done
294,56,12,Task 294,24,todo
295,56,56,Task 295,24,doing
296,56,56,Task 296,4,done
297,56,56,Task 297,40,doing
298,57,4,Task 298,4,done
299,57,49,Task 299,4,done
300,57,4,Task 300,16,done
301,57,49,Task 301,4,todo
302,57,59,Task 302,40,doing
303,57,49,Task 303,24,doing
304,58,53,Task 304,8,doing
305,58,23,Task 305,8,done
306,58,23,Task 306,8,todo
307,58,23,Task 307,8,todo
308,59,43,Task 308,4,todo
309,59,59,Task 309,4,doing
310,59,43,Task 310,40,todo
311,59,33,Task 311,40,done
312,59,16,Task 312,4,todo
313,59,43,Task 313,8,done
314,60,28,Task 314,8,done
315,60,28,Task 315,24,done
316,60,12,Task 316,8,doing
317,60,12,Task 317,8,todo
318,61,54,Task 318,16,done
319,61,14,Task 319,16,todo
320,61,14,Task 320,8,doing
321,61,14,Task 321,16,doing
322,61,54,Task 322,4,doing
323,61,54,Task 323,8,doing
324,61,14,Task 324,8,todo
325,62,25,Task 325,8,done
326,62,49,Task 326,4,todo
327,62,49,Task 327,24,todo
328,62,27,Task 328,4,todo
329,62,49,Task 329,16,done
330,63,28,Task 330,40,doing
331,63,56,Task 331,4,done
332,63,28,Task 332,40,done
333,63,59,Task 333,24,todo
334,63,59,Task 334,8,todo
335,63,56,Task 335,16,todo
336,63,59,Task 336,8,done
337,64,31,Task 337,24,done
338,64,21,Task 338,4,doing
339,64,31,Task 339,16,done
340,64,44,Task 340,4,done
341,64,21,Task 341,4,todo
342,64,31,Task 342,40,doing
343,65,42,Task 343,40,done
344,65,58,Task 344,4,done
345,65,37,Task 345,40,doing
346,65,37,Task 346,16,todo
347,65,42,Task 347,24,done
348,65,42,Task 348,40,done
349,65,42,Task 349,16,done
350,66,13,Task 350,24,todo
351,66,9,Task 351,8,todo
352,66,9,Task 352,24,done
353,66,13,Task 353,24,todo
354,66,9,Task 354,40,doing
355,67,59,Task 355,16,doing
356,67,51,Task 356,8,doing
357,67,53,Task 357,16,done
358,67,53,Task 358,40,todo
359,67,59,Task 359,16,doing
360,68,52,Task 360,24,done
361,68,52,Task 361,4,doing
362,68,52,Task 362,24,done
363,68,28,Task 363,24,done
364,69,17,Task 364,40,doing
365,69,18,Task 365,16,done
366,69,18,Task 366,8,todo
367,70,16,Task 367,8,done
368,70,16,Task 368,16,done
369,70,29,Task 369,4,done
370,70,29,Task 370,8,todo
371,70,16,Task 371,24,done
372,70,29,Task 372,16,done
373,71,46,Task 373,40,done
374,71,46,Task 374,8,done
375,71,4,Task 375,24,todo
376,71,46,Task 376,24,done
377,71,4,Task 377,16,todo
378,71,14,Task 378,40,doing
379,71,14,Task 379,4,done
380,72,43,Task 380,16,doing
381,72,43,Task 381,24,done
382,72,18,Task 382,16,doing
383,73,32,Task 383,4,todo
384,73,32,Task 384,8,todo
385,73,14,Task 385,4,doing
386,73,14,Task 386,24,done
387,73,55,Task 387,4,todo
388,73,55,Task 388,16,todo
389,73,55,Task 389,16,todo
390,74,35,Task 390,8,doing
391,74,35,Task 391,16,doing
392,74,56,Task 392,8,todo
393,74,35,Task 393,16,todo
394,74,56,Task 394,4,done
395,74,56,Task 395,4,doing
396,75,43,Task 396,8,doing
397,75,43,Task 397,40,doing
398,75,43,Task 398,8,doing
399,75,31,Task 399,4,done
400,75,31,Task 400,4,todo
401,75,31,Task 401,16,todo
402,75,43,Task 402,4,todo
403,76,53,Task 403,24,doing
404,76,53,Task 404,8,todo
405,76,17,Task 405,24,todo
406,76,51,Task 406,16,doing
407,76,35,Task 407,8,doing
408,76,17,Task 408,40,doing
409,76,35,Task 409,4,todo
410,77,18,Task 410,24,done
411,77,48,Task 411,16,done
412,77,18,Task 412,24,todo
413,77,33,Task 413,40,todo
414,78,49,Task 414,8,done
415,78,49,Task 415,40,done
416,78,49,Task 416,24,done
417,78,49,Task 417,16,doing
418,78,25,Task 418,40,todo
419,78,25,Task 419,24,doing
420,79,15,Task 420,24,doing
421,79,37,Task 421,40,doing
422,79,37,Task 422,4,doing
423,80,22,Task 423,8,doing
424,80,44,Task 424,16,doing
425,80,41,Task 425,40,done
