cost_id,project_id,cost_date,category,amount
167,66,2025-04-16,subcontractor,2936.66
168,66,2025-06-21,other,2600.59
169,66,2025-03-11,other,1443.58
170,67,2025-02-04,other,3108.79
171,67,2025-05-08,travel,1166.8
172,67,2025-04-16,other,3420.17
173,67,2025-04-08,software,3005.98
174,68,2025-03-07,software,1657.77
175,68,2025-06-05,other,2437.22
176,68,2025-01-24,other,4447.44
177,68,2025-04-02,travel,1249.67
178,69,2025-06-10,subcontractor,2006.17
179,69,2025-05-05,subcontractor,1288.7
180,70,2025-02-10,subcontractor,845.49
181,70,2025-02-15,travel,3142.63
182,70,2025-02-26,other,1245.12
183,70,2025-04-22,other,2810.29
184,71,2025-05-16,subcontractor,1057.02
185,71,2025-06-19,software,1589.1
186,72,2025-04-07,travel,3177.38
187,72,2025-06-15,subcontractor,4343.94
188,72,2025-04-28,other,798.64
189,73,2025-06-28,subcontractor,3187.62
190,74,2025-02-03,travel,2589.93
191,74,2025-06-12,travel,2977.49
192,75,2025-03-09,subcontractor,647.82
193,76,2025-05-03,software,3687.48
194,77,2025-04-16,travel,985.14
195,77,2025-02-03,subcontractor,2515.17
196,77,2025-04-06,other,2781.06
197,77,2025-06-19,software,3073.73
198,78,2025-02-07,travel,771.72
199,78,2025-01-19,other,2469.01
200,79,2025-02-23,subcontractor,3902.69
201,79,2025-01-18,other,3604.09
202,79,2025-05-26,other,434.89
203,79,2025-04-08,subcontractor,1106.12
204,80,2025-01-25,other,4391.77
205,80,2025-03-13,travel,2767.68
206,80,2025-04-18,other,1755.6
207,80,2025-05-21,travel,4496.1
