opp_id,account_id,name,stage,type,source,amount,probability,weighted_amount,close_date,created_at,owner,competitor
84,20,Opportunity 84,won,new,partner,48551,80,38840.8,2026-07-04,2025-12-01,Ben,
85,35,Opportunity 85,lost,renewal,partner,5025,80,4020.0,2026-01-19,2025-10-26,Elena,Northwind
86,38,Opportunity 86,won,renewal,partner,177575,100,177575.0,2026-05-27,2025-12-08,Hans,Helix
87,15,Opportunity 87,lost,new,partner,59541,100,59541.0,2026-03-26,2025-08-04,Greta,
88,2,Opportunity 88,proposal,renewal,partner,80446,20,16089.2,2026-07-03,2025-06-22,Ines,
89,1,Opportunity 89,lost,upsell,partner,156502,40,62600.8,2026-04-17,2025-08-21,Elena,Helix
90,6,Opportunity 90,proposal,new,event,177076,10,17707.6,2026-02-04,2025-10-28,Ben,Helix
91,24,Opportunity 91,won,renewal,inbound,221563,40,88625.2,2026-03-02,2025-06-14,Elena,
92,39,Opportunity 92,won,new,inbound,224204,100,224204.0,2026-07-17,2025-07-12,Elena,
93,2,Opportunity 93,won,upsell,event,233041,20,46608.2,2026-07-18,2025-09-14,Jonas,Northwind
94,17,Opportunity 94,qualify,new,inbound,12952,20,2590.4,2026-03-09,2025-11-13,Ben,
95,39,Opportunity 95,proposal,renewal,event,143178,40,57271.2,2026-01-13,2025-08-26,Ines,
96,8,Opportunity 96,won,renewal,event,239799,40,95919.6,2026-03-18,2025-10-26,Clara,
97,19,Opportunity 97,prospect,upsell,partner,41512,40,16604.8,2026-07-07,2025-09-30,Anna,
98,31,Opportunity 98,lost,upsell,partner,59179,10,5917.9,2026-02-01,2025-06-05,Ben,
99,16,Opportunity 99,qualify,renewal,outbound,245065,40,98026.0,2026-04-24,2025-11-19,David,Helix
100,31,Opportunity 100,lost,new,inbound,219987,60,131992.2,2026-03-06,2025-10-06,Greta,Northwind
